# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-04-28 16:18:55 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpDcXrkB/standata-92b63cb03c47.json
# init = 2 (Default)
# random
#   seed = 172057097
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202604281818-2-2aa473.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202604281818-2-01d1f8.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-223.36513,1,0.25,3,7,0,242.59061,0.68049162,0.35305721,0.24025247,0.11280474,-1.5517019,-1.8223831,-1.5032184,-1.7369898,-1.7009955,-1.7369898,-1.720029,-1.7457624,-1.9936255,-1.3562817,3,5,3,4,4,6,7,3,7,3,2,4,7,5,2,7,6,2,4,1,-4.9342195,0.58704776,1.802858,1.0583638,0.74449425
-223.36513,0,14.38551,0,1,1,223.44183,0.68049162,0.35305721,0.24025247,0.11280474,-1.5517019,-1.8223831,-1.5032184,-1.7369898,-1.7009955,-1.7369898,-1.720029,-1.7457624,-1.9936255,-1.3562817,3,7,2,3,1,4,7,4,6,1,3,8,2,4,5,7,2,4,6,4,-4.9342195,0.92264588,2.1539389,1.9873228,0.16661606
-223.36513,0,2.4311673,0,1,1,225.1008,0.68049162,0.35305721,0.24025247,0.11280474,-1.5517019,-1.8223831,-1.5032184,-1.7369898,-1.7009955,-1.7369898,-1.720029,-1.7457624,-1.9936255,-1.3562817,2,8,4,1,3,7,8,3,6,2,1,1,1,5,4,6,7,1,8,2,-4.9342195,0.82557101,0.90701449,0.74880486,0.15820962
-221.56225,1,0.23979141,1,1,0,223.26645,0.6434728,0.32246693,0.2074987,0.11496823,-1.5914463,-1.8384178,-1.5355277,-1.7715284,-1.7224682,-1.7715284,-1.7364446,-1.7576038,-1.985688,-1.3892378,3,6,2,4,2,4,6,4,7,3,1,6,2,5,2,7,7,1,7,4,-5.4350311,0.23057926,3.1377436,0.7234986,2.414245
-211.61345,0.92490482,0.32433241,2,3,0,221.86781,0.16401459,0.5197908,0.085253275,0.43453753,-1.9754057,-1.686204,-1.6590068,-2.0215224,-1.7343951,-2.0215224,-1.6120998,-1.6527582,-1.7268387,-2.0141683,5,5,4,5,4,1,5,4,6,3,1,5,4,5,3,6,8,3,4,4,-3.3980304,0.12200255,1.3548922,0.16530031,1.1895919
-211.88271,0.9505711,0.40546146,3,7,0,212.28894,0.13974688,0.54826651,0.076618535,0.47164798,-2.0121147,-1.6746691,-1.6696917,-2.0491308,-1.7410665,-2.0491308,-1.6028686,-1.6555506,-1.7086061,-2.0643895,4,4,3,1,5,4,8,3,6,4,8,5,5,6,1,5,5,5,7,3,-3.3010908,0.5956653,1.0045663,0.59838526,0.40618099
-211.88271,0.011351084,0.58967707,2,3,0,213.21821,0.13974688,0.54826651,0.076618535,0.47164798,-2.0121147,-1.6746691,-1.6696917,-2.0491308,-1.7410665,-2.0491308,-1.6028686,-1.6555506,-1.7086061,-2.0643895,4,5,3,2,1,6,7,6,8,1,4,4,3,5,2,5,3,2,8,7,-3.3010908,0.86829057,2.1956807,1.9064888,0.28919185
-212.42138,0.99530883,0.048319482,4,23,0,212.93973,0.18381735,0.72937429,0.13407165,0.59530265,-1.9741425,-1.6001184,-1.6130128,-1.9997803,-1.6624118,-1.9997803,-1.5270716,-1.5765872,-1.6601285,-2.0994335,4,6,2,3,1,6,5,3,8,1,3,5,2,3,7,3,7,1,6,7,-2.0504071,0.83328972,1.2889447,1.0740644,0.21488033
-212.79938,0.99675103,0.084787954,3,7,0,212.90497,0.19516393,0.78304221,0.1528216,0.63022061,-1.9628009,-1.5825759,-1.5985075,-1.9860922,-1.6426293,-1.9860922,-1.5090585,-1.556828,-1.6502561,-2.1057614,2,7,3,3,4,3,8,3,7,4,5,5,1,5,6,6,6,3,3,4,-1.7991173,0.4667022,2.4162951,1.1276902,1.2886048
-211.46664,0.99852412,0.1542237,2,3,0,212.9854,0.22326146,0.52026907,0.11615603,0.40411304,-1.9003439,-1.6821855,-1.6218014,-1.9592892,-1.6990379,-1.9592892,-1.6037467,-1.6271456,-1.7429236,-1.9375779,4,5,2,4,1,3,6,2,5,3,3,4,4,5,1,4,6,5,5,6,-3.1591138,0.48471373,2.1165093,1.0259011,1.0906082
