# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-04-28 16:19:50 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpDcXrkB/standata-92b62a77c282.json
# init = 2 (Default)
# random
#   seed = 1340186666
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202604281819-2-174338.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202604281819-2-0318e9.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-237.3483,1,0.5,1,3,0,260.024,0.52576353,0.051894137,0.027284045,0.024610092,-1.3307527,-1.9906425,-1.9332301,-2.2527822,-2.2350616,-1.4797401,-1.9332301,-2.0608603,-1.9617851,-1.9153092,8,1,8,6,5,3,7,4,2,8,5,2,8,8,6,8,3,3,6,4,-23.534212,0.71862262,4.8402979,3.4783476,1.3619503
-237.3483,0,14.38551,0,1,1,237.63081,0.52576353,0.051894137,0.027284045,0.024610092,-1.3307527,-1.9906425,-1.9332301,-2.2527822,-2.2350616,-1.4797401,-1.9332301,-2.0608603,-1.9617851,-1.9153092,8,4,8,2,5,2,8,5,2,3,4,2,1,1,8,2,6,1,6,2,-23.534212,0.85743928,1.8665825,1.6004811,0.26610133
-237.3483,0,2.4311673,0,1,1,237.907,0.52576353,0.051894137,0.027284045,0.024610092,-1.3307527,-1.9906425,-1.9332301,-2.2527822,-2.2350616,-1.4797401,-1.9332301,-2.0608603,-1.9617851,-1.9153092,6,4,7,7,3,3,7,3,4,8,8,5,6,4,2,5,2,1,1,7,-23.534212,0.65257016,1.8953163,1.2368269,0.65848945
-231.18702,0.88039504,0.23979141,2,3,0,236.40885,0.4192141,0.1321468,0.055397801,0.076748995,-1.2326517,-1.8733378,-1.7585216,-2.054432,-2.1585056,-1.5217591,-1.7585216,-2.0316623,-1.8010661,-1.6974975,8,2,8,2,6,6,8,2,3,8,8,2,4,8,8,5,4,1,2,8,-12.586996,0.92184373,1.1260101,1.0380053,0.088004745
-231.29472,0.91693207,0.23045151,1,3,0,231.96298,0.36512269,0.15333446,0.055985892,0.097348572,-1.246166,-1.8745583,-1.7398423,-2.0177038,-2.1709346,-1.5653307,-1.7398423,-2.0597949,-1.7828478,-1.6570721,6,2,7,5,3,2,8,4,2,5,5,1,5,7,3,4,3,1,7,3,-11.212877,0.59496235,0.85977333,0.51153276,0.34824057
-230.6717,0.75574645,0.27717874,2,3,0,232.14842,0.30557541,0.13462737,0.041138813,0.093488555,-1.2951221,-1.9202578,-1.7884614,-2.0532868,-2.2068767,-1.5916096,-1.7884614,-2.0953563,-1.8239436,-1.6851829,8,3,7,3,6,3,6,4,1,8,3,4,4,2,1,6,6,3,2,1,-12.541654,0.62253481,6.1753232,3.8443537,2.3309696
-231.18071,0.86984215,0.21973526,2,3,0,231.64463,0.3005378,0.15889571,0.047754167,0.11114154,-1.2832384,-1.9023369,-1.7538876,-2.0122275,-2.2028706,-1.6120966,-1.7538876,-2.102471,-1.7928072,-1.6455056,7,2,8,4,3,2,8,4,1,7,5,7,6,6,4,4,7,2,3,8,-10.982826,0.75821812,3.072916,2.3299406,0.74297541
-230.72665,0.81962548,0.25633639,2,3,0,232.10361,0.27075065,0.11398358,0.030861129,0.083122453,-1.3296229,-1.9557275,-1.8345046,-2.0948269,-2.2298346,-1.5968918,-1.8345046,-2.1125805,-1.8636914,-1.7224434,6,7,6,8,2,2,6,3,4,8,7,1,7,8,6,2,8,2,4,6,-14.299336,0.10725069,0.91002267,0.097600555,0.81242211
-235.88618,0.76510363,0.26316948,3,11,0,237.04308,0.026168967,0.087296303,0.0022844541,0.085011849,-1.4624166,-2.0763727,-1.9576066,-2.1695473,-2.3282148,-1.6908766,-1.9576066,-2.2205986,-1.960389,-1.7700061,7,5,6,7,4,2,7,4,2,7,7,3,8,8,1,1,3,8,5,8,-19.279049,0.60983997,7.5295288,4.5918076,2.9377211
-231.78047,0.99120498,0.23159918,3,11,0,235.81882,0.50088496,0.11505909,0.057631367,0.057427722,-1.2098663,-1.8664036,-1.7708655,-2.0895543,-2.143847,-1.4720412,-1.7708655,-1.9997859,-1.8137277,-1.7391535,7,1,4,4,3,5,6,3,2,7,7,2,8,4,7,1,5,3,7,6,-13.965285,0.25416145,3.0525619,0.77584356,2.2767184
