# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-04-28 16:19:46 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpDcXrkB/standata-92b64d544f22.json
# init = 2 (Default)
# random
#   seed = 1884530617
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202604281819-2-3e6642.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202604281819-2-872afc.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-290.03662,1,0.5,1,1,0,376.27854,0.0081755165,0.0049676349,4.0612981e-05,0.0049270219,-1.5502378,-2.1711688,-2.1626241,-2.4335772,-2.3717634,-1.56904,-2.1626241,-2.1799147,-2.1626932,-2.1385181,7,2,7,5,4,2,7,6,2,8,3,8,4,8,4,7,2,8,4,1,-69.895056,0.44278116,3.7139544,1.644469,2.0694854
-290.03662,0,14.38551,0,1,1,290.92762,0.0081755165,0.0049676349,4.0612981e-05,0.0049270219,-1.5502378,-2.1711688,-2.1626241,-2.4335772,-2.3717634,-1.56904,-2.1626241,-2.1799147,-2.1626932,-2.1385181,6,3,7,3,7,3,5,1,5,5,6,3,7,1,8,1,1,3,8,8,-69.895056,0.56554449,1.8765665,1.0612818,0.81528466
-290.03662,0,2.4311673,0,1,1,290.31921,0.0081755165,0.0049676349,4.0612981e-05,0.0049270219,-1.5502378,-2.1711688,-2.1626241,-2.4335772,-2.3717634,-1.56904,-2.1626241,-2.1799147,-2.1626932,-2.1385181,8,2,8,6,5,5,5,5,4,5,8,7,4,8,4,2,8,1,5,8,-69.895056,0.58386183,1.3493477,0.78783262,0.56151509
-239.55199,1,0.23979141,2,3,0,283.41945,0.0083811726,0.073314842,0.00061446435,0.072700378,-1.4741291,-2.0899668,-1.9861778,-2.2017138,-2.3301211,-1.6757396,-1.9861778,-2.2140379,-1.9869632,-1.8056751,8,1,8,2,4,1,5,2,4,7,5,1,7,3,5,6,5,5,8,4,-22.472339,0.6716477,0.83059364,0.55786631,0.27272733
-235.4416,0.88027796,0.32433241,3,11,0,240.18629,0.6197824,0.065612481,0.040665461,0.02494702,-1.2608094,-1.9348318,-1.8734532,-2.2147941,-2.1911558,-1.4369757,-1.8734532,-2.0146006,-1.9092571,-1.8786645,8,1,7,6,3,6,5,3,7,8,7,7,7,4,6,1,8,2,1,8,-20.509085,0.20503374,1.4365894,0.29454929,1.1420401
-233.12245,0.74947199,0.35494904,2,3,0,236.57873,0.52655525,0.081454051,0.042890058,0.038563993,-1.2567565,-1.9197485,-1.8437961,-2.1683648,-2.18107,-1.4639525,-1.8437961,-2.0201362,-1.8806254,-1.8224944,5,4,7,3,4,3,8,6,4,6,3,2,8,8,4,3,1,8,1,6,-17.806488,0.59357658,1.0579645,0.62798293,0.42998153
-231.79223,1,0.27788184,2,3,0,232.96436,0.45032987,0.14646693,0.065958432,0.080508493,-1.2002476,-1.8430294,-1.7254382,-2.028201,-2.1351399,-1.5073444,-1.7254382,-2.0099011,-1.7719038,-1.6746513,8,3,7,6,2,4,8,5,2,7,8,1,8,7,4,4,8,8,6,7,-11.576355,0.34249937,1.9155682,0.65608091,1.2594873
-231.79223,7.0688623e-05,0.48798902,1,1,0,233.4075,0.45032987,0.14646693,0.065958432,0.080508493,-1.2002476,-1.8430294,-1.7254382,-2.028201,-2.1351399,-1.5073444,-1.7254382,-2.0099011,-1.7719038,-1.6746513,8,7,5,5,3,6,8,5,7,8,5,1,7,3,3,5,5,4,1,3,-11.576355,0.25033336,1.4657222,0.36691916,1.098803
-231.64526,0.99998694,0.038367216,4,15,0,231.88689,0.45862645,0.13803112,0.063304722,0.074726398,-1.2040625,-1.8498357,-1.7375942,-2.0435046,-2.1379191,-1.4998065,-1.7375942,-2.0083214,-1.782977,-1.6901824,7,2,7,5,3,1,8,4,1,7,8,3,8,3,5,1,2,1,1,8,-12.141305,0.6648843,3.0926365,2.0562455,1.0363911
-230.61309,0.99447696,0.070234383,4,31,0,232.62308,0.2869727,0.1242046,0.03564333,0.08856127,-1.3131281,-1.9385878,-1.8116716,-2.0738033,-2.2190559,-1.5953176,-1.8116716,-2.1049384,-1.8439058,-1.7032542,7,4,6,3,4,3,6,1,3,8,7,7,5,8,7,8,8,7,2,7,-13.380184,0.67199194,2.3638329,1.5884766,0.77535624
