# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-04-28 16:19:01 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpDcXrkB/standata-92b62a118615.json
# init = 2 (Default)
# random
#   seed = 1968809440
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202604281819-2-8e1347.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202604281819-2-4a23cb.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-219.75716,1,0.25,1,1,0,223.22388,0.58454642,0.42557963,0.24877105,0.17680858,-1.5711479,-1.7583878,-1.487053,-1.7280475,-1.6469992,-1.7280475,-1.6596175,-1.6698835,-1.9248649,-1.4681294,2,7,2,3,6,4,5,4,7,2,1,5,2,4,1,5,6,4,6,3,-3.7842375,0.49507328,1.9143691,0.94775297,0.96661611
-219.75716,0,14.38551,0,1,1,220.27199,0.58454642,0.42557963,0.24877105,0.17680858,-1.5711479,-1.7583878,-1.487053,-1.7280475,-1.6469992,-1.7280475,-1.6596175,-1.6698835,-1.9248649,-1.4681294,5,6,5,2,3,8,7,4,6,4,4,7,1,3,2,6,3,2,7,3,-3.7842375,0.38785544,0.64450142,0.24997338,0.39452804
-219.75716,0,2.4311673,0,1,1,220.18541,0.58454642,0.42557963,0.24877105,0.17680858,-1.5711479,-1.7583878,-1.487053,-1.7280475,-1.6469992,-1.7280475,-1.6596175,-1.6698835,-1.9248649,-1.4681294,7,2,4,4,5,6,7,4,4,1,2,6,2,3,4,8,8,2,8,3,-3.7842375,0.45563386,2.3080229,1.0516134,1.2564096
-213.69724,1,0.23979141,2,3,0,220.98304,0.39448382,0.4200098,0.16568707,0.25432273,-1.7260827,-1.7407766,-1.5655385,-1.8384242,-1.678785,-1.8384242,-1.650421,-1.6504903,-1.8434924,-1.6786065,2,4,3,4,4,4,7,3,6,3,4,3,3,2,3,5,8,1,7,1,-3.8695029,0.40558757,1.8038042,0.73160055,1.0722036
-211.6117,0.95986409,0.32433241,2,3,0,213.72063,0.2526762,0.47259019,0.11941229,0.3531779,-1.8644678,-1.7066574,-1.6175164,-1.9368063,-1.704104,-1.9368063,-1.6255639,-1.6399538,-1.7724569,-1.8731233,4,5,3,5,3,5,4,1,6,4,6,3,5,6,3,2,1,1,7,3,-3.5140241,0.59801366,2.6695575,1.5964319,1.0731256
-215.69365,0.049689793,0.45000299,1,1,0,215.97437,0.32206824,0.9371482,0.30182567,0.63532253,-1.7778938,-1.5390101,-1.4862749,-1.8224541,-1.528564,-1.8224541,-1.4557892,-1.4676323,-1.6770437,-1.9611189,2,7,2,3,3,6,5,4,7,4,4,4,3,8,3,6,5,3,7,1,-1.0401316,0.62498143,1.9570552,1.2231231,0.73393202
-215.9106,0.99907246,0.041605864,2,3,0,215.96813,0.32826421,0.94324623,0.30963398,0.63361225,-1.7687954,-1.5378182,-1.4810718,-1.8147238,-1.5239411,-1.8147238,-1.4541285,-1.4647283,-1.6795132,-1.9530008,4,5,5,3,5,3,6,3,7,2,6,7,5,3,2,7,6,1,6,2,-1.0171609,0.6089596,3.2801689,1.9974903,1.2826785
-212.53197,0.97839399,0.07059458,2,5,0,218.2984,0.28017619,0.67037141,0.18782211,0.4825493,-1.8323881,-1.6161377,-1.5541596,-1.8872067,-1.6163257,-1.8872067,-1.5349565,-1.5513564,-1.7120123,-1.9336762,2,5,3,2,4,1,6,3,4,3,6,2,6,7,4,5,4,4,7,2,-2.0248004,0.54765375,1.03724,0.5680484,0.46919164
-211.75979,0.99711732,0.11789255,3,15,0,213.65481,0.15147573,0.55233476,0.08366531,0.46866945,-1.9967357,-1.6716349,-1.6610916,-2.0356451,-1.7318049,-2.0356451,-1.5989937,-1.6474802,-1.7098505,-2.0511819,6,6,2,3,3,5,6,1,6,3,5,8,4,5,2,2,7,3,7,1,-3.2034589,0.46688884,3.8784004,1.8107819,2.0676185
-212.30992,0.95464733,0.21502945,2,3,0,212.37684,0.13341127,0.64282808,0.08576051,0.55706757,-2.0376746,-1.6355617,-1.6606655,-2.0613919,-1.7200703,-2.0613919,-1.5656969,-1.6312293,-1.6713613,-2.1295105,4,3,4,3,4,2,5,2,3,5,6,4,3,7,3,6,3,1,5,1,-2.7262275,0.22862313,1.6252042,0.37155927,1.2536449
