# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-04-28 16:20:01 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpDcXrkB/standata-92b62a6768cb.json
# init = 2 (Default)
# random
#   seed = 443308388
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202604281820-2-078a73.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202604281820-2-499758.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-248.40606,0.85714286,0.5,3,7,0,322.79083,0.0071249625,0.037744148,0.00026892564,0.037475222,-1.4973005,-2.1194129,-2.061178,-2.2997559,-2.3333178,-1.6170842,-2.061178,-2.1853248,-2.0615657,-1.934738,6,2,8,5,3,3,7,3,4,6,8,8,5,6,8,4,8,2,1,8,-31.631352,0.47793162,1.0629744,0.50802906,0.55494531
-248.40606,0,11.094852,0,1,1,248.45104,0.0071249625,0.037744148,0.00026892564,0.037475222,-1.4973005,-2.1194129,-2.061178,-2.2997559,-2.3333178,-1.6170842,-2.061178,-2.1853248,-2.0615657,-1.934738,7,1,7,2,4,2,8,6,1,6,7,8,8,2,6,4,6,8,8,8,-31.631352,0.89469827,1.7195675,1.5384941,0.18107343
-248.40606,0,1.7361222,0,1,1,249.51472,0.0071249625,0.037744148,0.00026892564,0.037475222,-1.4973005,-2.1194129,-2.061178,-2.2997559,-2.3333178,-1.6170842,-2.061178,-2.1853248,-2.0615657,-1.934738,8,2,8,4,4,3,8,4,4,6,8,8,8,2,8,5,6,3,8,7,-31.631352,0.57344468,0.76030252,0.43599143,0.32431109
-238.27202,0.97692659,0.16387417,3,7,0,248.04288,0.010656781,0.080495919,0.00085782739,0.079638092,-1.4709592,-2.085484,-1.973366,-2.1854513,-2.3315009,-1.6868074,-1.973366,-2.2205485,-1.9744396,-1.7863394,5,5,8,5,4,4,8,6,2,8,4,2,7,8,2,6,8,1,3,3,-21.109587,0.28013663,4.631418,1.2974298,3.3339882
-234.61529,0.98183238,0.20188165,3,11,0,240.08577,0.074986779,0.19930869,0.014945517,0.18436318,-1.432018,-2.0301994,-1.813018,-1.9945657,-2.3673611,-1.8203904,-1.813018,-2.310656,-1.8270811,-1.6063791,6,8,7,6,2,2,8,5,2,8,8,6,6,6,3,1,5,3,2,7,-10.125233,0.29238874,1.0911889,0.31905135,0.77213757
-236.43533,0.96325495,0.29296164,2,3,0,236.72549,0.037601985,0.074415763,0.0027981804,0.071617583,-1.4621309,-2.0793297,-1.9760401,-2.196971,-2.3211332,-1.6654058,-1.9760401,-2.2032973,-1.9795483,-1.8040418,6,3,8,4,3,3,7,5,3,8,4,5,5,5,1,2,4,4,4,2,-20.819421,0.39939651,2.3175432,0.92561866,1.3919245
-235.12856,1,0.43907012,1,1,0,236.80378,0.034858904,0.089847721,0.0031319931,0.086715728,-1.4578361,-2.0717254,-1.9507976,-2.1634135,-2.32577,-1.6908126,-1.9507976,-2.2190522,-1.9545669,-1.7642777,8,5,5,6,5,1,8,2,2,4,4,3,4,8,8,6,1,8,5,8,-18.670885,0.60912882,2.9099211,1.7725168,1.1374043
-235.12856,3.5066868e-98,0.77692504,1,1,0,238.13163,0.034858904,0.089847721,0.0031319931,0.086715728,-1.4578361,-2.0717254,-1.9507976,-2.1634135,-2.32577,-1.6908126,-1.9507976,-2.2190522,-1.9545669,-1.7642777,8,6,7,7,5,1,6,5,3,6,2,7,7,7,7,2,2,8,3,3,-18.670885,0.46231485,0.99945977,0.46206509,0.53739467
-235.25141,0.9996158,0.061345484,4,15,0,235.41562,0.03312793,0.17626892,0.0058394243,0.17042949,-1.4590508,-2.0595297,-1.85392,-2.0312076,-2.3827603,-1.822182,-1.85392,-2.3214156,-1.8598258,-1.6322183,8,4,5,5,3,4,7,4,3,8,7,3,1,8,2,4,8,8,1,8,-11.938385,0.54416892,3.8802924,2.1115345,1.7687579
-234.60878,0.99220446,0.11242134,3,7,0,236.10464,0.025666007,0.12413028,0.0031859287,0.12094436,-1.4585544,-2.0657329,-1.9078355,-2.1029598,-2.347692,-1.7495685,-1.9078355,-2.26246,-1.9114005,-1.6975989,8,2,8,6,5,2,6,5,3,8,1,7,2,1,1,2,7,8,8,7,-15.488225,0.38989731,3.9252243,1.5304344,2.3947899
