# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-05-08 07:49:17 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpCZXZ45/standata-16d8c74869966.json
# init = 2 (Default)
# random
#   seed = 1724125868
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202605080949-2-352920.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202605080949-2-7b8630.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-18.493587,0.66666667,1,2,3,0,21.565102,0.55030302,1.7676097,0.97272094,0.79488875,-25.669703,-23.236818,-17.868179,-30.65765,-17.868179,-17.421761,-19.511386,-18.53545,-25.858133,-20.956021,7,6,4,8,4,4,5,4,4,3,7,8,5,6,5,4,5,4,6,4,-0.43064145,0.45317792,0.84955007,0.38499733,0.46455273
-18.493587,0,7.847232,0,1,1,19.727518,0.55030302,1.7676097,0.97272094,0.79488875,-25.669703,-23.236818,-17.868179,-30.65765,-17.868179,-17.421761,-19.511386,-18.53545,-25.858133,-20.956021,6,6,4,6,4,4,7,4,1,1,7,3,5,6,4,4,5,4,2,2,-0.43064145,0.63475186,1.7570253,1.1152751,0.64175022
-18.493587,0.79256364,1.108156,1,1,0,18.8195,0.55030302,1.7676097,0.97272094,0.79488875,-25.669703,-23.236818,-17.868179,-30.65765,-17.868179,-17.421761,-19.511386,-18.53545,-25.858133,-20.956021,6,6,6,6,6,5,7,6,3,6,5,7,5,8,3,2,3,7,2,4,-0.43064145,0.33477499,1.7608,0.5894718,1.1713282
-18.493587,0.12228201,0.81523584,2,3,0,19.880304,0.55030302,1.7676097,0.97272094,0.79488875,-25.669703,-23.236818,-17.868179,-30.65765,-17.868179,-17.421761,-19.511386,-18.53545,-25.858133,-20.956021,6,5,4,8,3,6,8,6,2,2,8,7,3,6,3,6,6,7,1,3,-0.43064145,0.68517307,3.3340596,2.2844078,1.0496518
-18.279867,0.9971981,0.098110055,4,15,0,19.599159,0.53412764,1.9975131,1.066927,0.93058614,-25.584287,-23.849057,-17.795477,-30.864569,-17.795477,-17.370442,-19.384004,-18.691987,-26.460244,-20.911035,5,6,5,7,6,4,7,5,3,4,7,8,6,6,4,4,3,7,3,5,-0.51690196,0.7570191,4.8382406,3.6626405,1.1756001
-18.780349,0.9946538,0.14444135,3,7,0,19.140051,0.56419319,1.523875,0.85975987,0.66411509,-25.578925,-22.671699,-17.945229,-30.202442,-17.945229,-17.493452,-19.596926,-18.422112,-25.245374,-20.949106,7,7,6,5,1,7,5,5,1,3,7,6,7,8,4,4,7,6,2,3,-0.40605226,0.38065128,0.71251384,0.27121931,0.44129453
-17.551683,0.99418001,0.23381979,3,7,0,19.387364,0.3234877,1.515455,0.49023107,1.025224,-20.777844,-28.969429,-17.477633,-25.168788,-17.477633,-17.875808,-17.789657,-21.070288,-29.251094,-19.146127,6,8,3,8,1,5,7,4,3,2,6,8,6,8,5,6,5,8,3,4,-0.52308287,0.63094354,1.3766129,0.86856502,0.50804789
-17.395434,1,0.40208696,1,1,0,17.538915,0.31429644,1.6696965,0.52477966,1.1449168,-20.738494,-29.79175,-17.434168,-25.300159,-17.434168,-17.90076,-17.727491,-21.327907,-29.871135,-19.110518,7,4,6,7,3,6,8,5,3,3,5,5,6,8,5,6,8,5,5,2,-0.54656663,0.57258706,2.1034192,1.2043906,0.89902857
-17.759724,0.90153434,0.7308325,2,3,0,17.93303,0.39020069,3.5405635,1.3815303,2.1590332,-23.07276,-29.965747,-17.371378,-29.301857,-17.371378,-17.49155,-18.147386,-20.807148,-31.122099,-19.959173,7,6,5,6,5,5,7,5,6,4,5,6,6,8,2,8,5,4,2,3,-1.7864361,0.60531475,1.4495191,0.8774153,0.57210381
-17.759724,0.019362309,0.99442776,1,1,0,19.772032,0.39020069,3.5405635,1.3815303,2.1590332,-23.07276,-29.965747,-17.371378,-29.301857,-17.371378,-17.49155,-18.147386,-20.807148,-31.122099,-19.959173,6,8,4,7,6,6,7,8,3,4,5,6,6,6,5,6,6,5,1,3,-1.7864361,0.65340466,1.564796,1.022445,0.54235101
-20.004998,0.99216686,0.083962541,5,31,0,20.70687,0.23268262,0.80391042,0.18705598,0.61685444,-19.43264,-28.383163,-17.865802,-22.386326,-17.865802,-18.555005,-17.908689,-21.596356,-27.797867,-18.761243,7,8,5,5,4,2,8,2,2,2,8,7,2,8,3,6,3,6,2,6,-1.6000523,0.73114989,2.1264187,1.5547308,0.57168789
-20.119316,0.99918193,0.15490142,3,15,0,20.885824,0.20050762,0.8201885,0.16445405,0.65573445,-19.180665,-29.50221,-17.858723,-22.096598,-17.858723,-18.726276,-17.859314,-22.084026,-28.396266,-18.634137,8,7,3,8,7,6,6,3,4,4,7,7,6,6,6,6,8,8,4,7,-1.6555669,0.47642786,1.7601068,0.8385639,0.92154289
-18.282273,0.97838345,0.29370996,2,3,0,20.685777,0.18874754,1.4213218,0.268271,1.1530508,-19.135477,-34.15111,-17.511888,-22.993712,-17.511888,-18.744119,-17.494749,-23.372933,-31.695366,-18.436759,8,8,5,7,4,4,1,8,5,6,4,7,6,5,6,7,5,4,5,2,-0.8954664,0.22737868,1.9346994,0.43990939,1.49479
-18.696799,0.78513464,0.52189498,2,3,0,19.976153,0.34644967,1.0133143,0.3510624,0.66225188,-20.704115,-26.412296,-17.71439,-24.314494,-17.71439,-17.942017,-18.037135,-20.384068,-27.11038,-19.227902,6,7,4,8,6,6,6,5,2,4,7,8,6,8,5,5,7,6,1,3,-0.85719622,0.70540958,2.3609328,1.6654246,0.69550816
-18.163409,1,0.50640068,2,3,0,18.949956,0.47719491,3.266432,1.5587247,1.7077073,-25.175616,-26.553404,-17.575585,-31.482813,-17.575585,-17.288212,-18.93819,-19.474808,-28.919627,-20.729729,6,8,4,7,3,7,5,8,3,6,6,8,5,7,3,4,7,6,3,7,-1.4873877,0.12883616,2.9507235,0.38015987,2.5705636
-18.163409,0.25335339,0.95892726,1,1,0,19.575987,0.47719491,3.266432,1.5587247,1.7077073,-25.175616,-26.553404,-17.575585,-31.482813,-17.575585,-17.288212,-18.93819,-19.474808,-28.919627,-20.729729,7,7,4,8,6,3,4,7,2,5,5,8,5,7,5,6,7,5,3,1,-1.4873877,0.47582909,3.2476707,1.5453362,1.7023345
-17.278541,1,0.18128438,3,7,0,18.285738,0.33046031,2.8261736,0.9339382,1.8922354,-21.557237,-31.686251,-17.318867,-27.174272,-17.318867,-17.775759,-17.744584,-21.664444,-31.767925,-19.381165,7,5,3,8,4,6,8,4,1,2,7,7,7,6,6,4,4,6,2,3,-1.220512,0.56641046,1.6269782,0.92153746,0.70544071
-18.449905,0.91263929,0.34397723,2,3,0,18.688011,0.19369174,3.9806415,0.77101736,3.2096241,-19.620806,-42.041813,-17.291692,-25.128473,-17.291692,-18.954152,-17.277236,-25.436534,-37.10468,-18.54024,8,7,5,6,3,2,4,7,2,1,7,8,4,8,3,3,7,8,4,6,-2.6197536,0.72985539,1.5971175,1.1656648,0.43145268
-17.927314,0.99850909,0.49674028,3,7,0,18.52974,0.24066607,1.409429,0.33920174,1.0702273,-19.668346,-31.722258,-17.490672,-23.687414,-17.490672,-18.357413,-17.566475,-22.349484,-30.544367,-18.68234,6,8,5,7,4,5,4,6,3,3,8,8,4,4,5,7,4,4,4,4,-0.72182262,0.21871519,3.5841487,0.78390778,2.8002409
