# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-05-08 07:49:27 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpCZXZ45/standata-16d8c3e23e888.json
# init = 2 (Default)
# random
#   seed = 987141376
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202605080949-2-3c75e3.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202605080949-2-4a2ef9.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-19.527747,0.21540716,1,1,3,0,19.531246,0.7386747,2.2315792,1.6484111,0.58316809,-29.588158,-23.805043,-29.588158,-16.660189,-17.146091,-17.912168,-60.665396,-16.660189,-17.896677,-17.896677,7,5,7,5,1,3,8,3,3,5,3,6,5,4,3,2,8,4,2,5,-0.90563609,0.54247873,1.0978764,0.59557461,0.50230181
-19.527747,0,3.454539,0,1,1,21.564088,0.7386747,2.2315792,1.6484111,0.58316809,-29.588158,-23.805043,-29.588158,-16.660189,-17.146091,-17.912168,-60.665396,-16.660189,-17.896677,-17.896677,4,3,5,6,3,4,6,7,3,2,3,5,8,4,2,3,7,1,3,2,-0.90563609,0.4109788,4.4155293,1.8146889,2.6008403
-19.298122,0.98758166,0.38253638,2,7,0,21.026951,0.18321766,2.5162175,0.46101548,2.055202,-19.060473,-18.39337,-19.060473,-19.399164,-18.686559,-17.860875,-33.402989,-19.399164,-16.742595,-16.742595,5,4,3,6,4,3,8,5,2,3,5,4,4,7,3,5,6,3,4,5,-1.3616929,0.083352617,2.7048961,0.22546017,2.4794359
-18.545062,0.9948941,0.41185544,2,3,0,19.392351,0.25002553,2.4442839,0.61113338,1.8331505,-19.889086,-18.861936,-19.889086,-18.861554,-18.018171,-17.244749,-35.587035,-18.861554,-16.631223,-16.631223,4,3,6,6,4,2,5,1,1,6,4,3,3,7,5,1,5,4,6,3,-1.0821772,0.37198502,1.1373655,0.42308293,0.71428258
-17.842361,0.87391472,0.57086271,2,3,0,19.025246,0.40975012,2.68049,1.0983311,1.5821589,-22.480054,-20.261151,-22.480054,-17.822379,-16.917161,-16.585005,-42.694593,-17.822379,-16.6087,-16.6087,5,5,7,4,6,3,6,4,4,3,4,4,3,3,3,1,4,2,4,1,-1.0109737,0.44171389,3.2135381,1.4194644,1.7940737
-18.446719,0.90371126,0.62827353,2,3,0,18.613404,0.27718636,2.7821796,0.77118225,2.0109974,-20.34115,-19.112031,-20.34115,-18.693723,-17.790651,-17.083188,-37.244304,-18.693723,-16.587454,-16.587454,3,1,4,3,2,4,7,4,5,3,6,3,5,3,2,4,4,4,4,3,-1.2828511,0.32514492,2.4326406,0.79096072,1.6416799
-18.446719,0.83618445,0.80100107,1,3,0,18.798218,0.27718636,2.7821796,0.77118225,2.0109974,-20.34115,-19.112031,-20.34115,-18.693723,-17.790651,-17.083188,-37.244304,-18.693723,-16.587454,-16.587454,4,6,6,4,4,2,7,2,4,5,6,5,4,4,4,3,7,2,4,2,-1.2828511,0.25108217,1.8900063,0.47454688,1.4154594
-18.09855,0.86134872,0.85973037,2,3,0,18.648108,0.54455327,2.8259879,1.538901,1.287087,-25.293725,-21.709377,-25.293725,-17.164564,-16.563824,-16.730153,-50.226772,-17.164564,-16.927714,-16.927714,6,7,8,3,3,6,7,2,4,3,6,5,5,5,4,1,8,3,4,4,-1.1061879,0.53292857,2.8707761,1.5299186,1.3408575
-18.09855,0.00077026844,1.0181393,1,1,0,18.962558,0.54455327,2.8259879,1.538901,1.287087,-25.293725,-21.709377,-25.293725,-17.164564,-16.563824,-16.730153,-50.226772,-17.164564,-16.927714,-16.927714,6,7,5,1,4,2,7,2,1,2,7,5,5,4,5,4,6,4,2,4,-1.1061879,0.87977506,1.6688067,1.4681745,0.20063219
-17.750603,0.99937664,0.080704992,5,31,0,18.681701,0.39933271,2.3095355,0.92227304,1.3872624,-22.132536,-20.077752,-22.132536,-17.872367,-16.982152,-16.609013,-41.191872,-17.872367,-16.607512,-16.607512,7,5,7,3,2,4,7,4,5,2,3,5,5,4,1,4,4,3,2,4,-0.74016671,0.77917603,0.92149454,0.71800645,0.20348808
-17.984102,0.98762812,0.15059522,2,7,0,18.624727,0.36281611,1.6206896,0.5880123,1.0326773,-21.183629,-19.583379,-21.183629,-18.066297,-17.230098,-16.720047,-37.250155,-18.066297,-16.650762,-16.650762,7,5,4,2,3,5,6,1,1,1,5,4,4,4,4,2,8,4,2,3,-0.46988812,0.4486844,0.43036806,0.19309943,0.23726862
-17.909749,0.99596954,0.27369502,3,7,0,18.151514,0.4546591,2.8778818,1.3084551,1.5694266,-23.416879,-20.75104,-23.416879,-17.580897,-16.731106,-16.562134,-45.404486,-17.580897,-16.678601,-16.678601,7,5,4,5,2,5,4,3,2,2,6,5,4,3,4,5,8,4,3,2,-1.1504951,0.49162215,2.8220634,1.3873889,1.4346745
-17.994758,0.99044959,0.51285268,2,3,0,18.117339,0.33321531,1.8236531,0.60766914,1.215984,-20.857753,-19.401212,-20.857753,-18.243802,-17.384786,-16.784022,-36.962683,-18.243802,-16.623206,-16.623206,4,3,5,5,1,6,8,4,3,2,4,3,5,1,3,6,8,2,1,1,-0.55616869,0.67032677,2.6771345,1.7945549,0.88257958
-17.994758,0.058064954,0.94409684,2,3,0,19.728572,0.33321531,1.8236531,0.60766914,1.215984,-20.857753,-19.401212,-20.857753,-18.243802,-17.384786,-16.784022,-36.962683,-18.243802,-16.623206,-16.623206,5,5,4,3,2,4,5,5,2,4,6,6,5,5,3,1,7,5,2,1,-0.55616869,0.67399271,2.1408633,1.4429263,0.69793704
-18.379527,0.99937537,0.094613292,4,31,0,18.5199,0.62659639,2.3348607,1.4630153,0.87184541,-26.821007,-22.467071,-26.821007,-16.89609,-16.655708,-17.116541,-53.306506,-16.89609,-17.241783,-17.241783,4,6,4,5,1,4,8,4,4,2,4,5,5,2,3,3,8,4,2,4,-0.78246138,0.81209642,3.8790859,3.1501918,0.72889411
-18.552191,0.99564682,0.18071613,3,7,0,18.801805,0.62815905,2.7079456,1.7010206,1.0069251,-27.201013,-22.656797,-27.201013,-16.875383,-16.655266,-17.114392,-55.120257,-16.875383,-17.28727,-17.28727,7,3,5,3,4,3,8,6,2,2,2,6,5,3,3,3,7,3,2,1,-1.0681434,0.22718321,2.1009182,0.47729334,1.6236249
