# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-05-08 07:50:57 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpCZXZ45/standata-16d8c3425e9da.json
# init = 2 (Default)
# random
#   seed = 1334026636
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202605080950-2-2c6385.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202605080950-2-474490.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-25.349746,1,0.5,1,1,0,25.629796,0.2174317,2.1019505,0.45703067,1.6449198,-19.242817,-20.887601,-21.317821,-43.820903,-20.957267,-25.404379,-24.89663,-20.625867,-20.625867,-43.820903,4,3,2,7,4,6,6,3,5,7,4,3,5,6,4,5,5,1,3,7,-0.95288604,0.43887801,3.6273566,1.591967,2.0353895
-25.349746,0,14.38551,0,1,1,29.719392,0.2174317,2.1019505,0.45703067,1.6449198,-19.242817,-20.887601,-21.317821,-43.820903,-20.957267,-25.404379,-24.89663,-20.625867,-20.625867,-43.820903,5,7,2,3,3,4,7,3,2,4,3,3,5,5,2,4,1,1,1,7,-0.95288604,0.55801608,0.42256812,0.23579981,0.18676831
-25.349746,2.5065833e-12,2.4311673,1,2,1,27.77863,0.2174317,2.1019505,0.45703067,1.6449198,-19.242817,-20.887601,-21.317821,-43.820903,-20.957267,-25.404379,-24.89663,-20.625867,-20.625867,-43.820903,3,4,5,7,5,3,6,5,7,6,4,2,3,4,1,6,8,7,3,5,-0.95288604,0.24365493,0.79632426,0.19402833,0.60229593
-25.544322,0.97288395,0.23979141,3,7,0,27.312886,0.27453288,3.792522,1.041172,2.75135,-19.573585,-21.794347,-21.431938,-45.379685,-21.370186,-27.30671,-24.853958,-20.584029,-20.584029,-45.379685,4,6,2,7,4,4,6,4,4,8,3,4,6,8,3,5,6,3,4,6,-2.1995901,0.29683316,1.4792936,0.43910339,1.0401902
-21.228345,1,0.30015365,3,7,0,26.844468,0.57195756,0.69788229,0.39915905,0.29872324,-18.718475,-21.953053,-18.985407,-26.977362,-18.587629,-26.224691,-19.66399,-18.588334,-18.588334,-26.977362,1,4,5,6,3,3,5,2,5,8,1,7,6,8,4,6,4,5,1,5,-1.6985452,0.24317176,2.6783474,0.65129844,2.0270489
-17.72149,1,0.46781456,2,3,0,20.77091,0.79006752,2.691134,2.1261775,0.56495644,-21.448381,-26.85531,-19.355514,-27.199383,-19.40926,-35.621723,-19.443967,-20.594439,-20.594439,-27.199383,5,8,5,5,2,4,3,3,4,4,1,4,5,4,4,7,5,1,4,6,-1.3967996,0.39181594,2.9147838,1.1420587,1.772725
-18.385373,0.64214226,0.79458903,2,3,0,18.454917,0.80771038,1.1905004,0.9615795,0.22892087,-20.150905,-25.0869,-18.822883,-24.882097,-18.93841,-31.80289,-18.909728,-19.623371,-19.623371,-24.882097,2,7,2,7,1,2,3,5,3,8,2,2,4,6,4,6,2,4,1,5,-1.0089618,0.11440451,1.034376,0.11833728,0.91603871
-18.624765,0.98897421,0.46612931,2,3,0,19.120925,0.61878167,2.3364607,1.4457591,0.89070165,-20.021379,-24.471142,-19.488737,-30.811948,-19.302411,-31.638018,-20.172429,-19.371361,-19.371361,-30.811948,6,6,1,3,7,7,3,3,7,8,3,5,3,6,3,7,3,4,3,5,-0.7754093,0.77960502,2.0444417,1.593857,0.45058469
-18.999599,0.82507374,0.81954969,1,1,0,19.288933,0.64302043,1.1538156,0.74192698,0.41188859,-19.302521,-23.390776,-19.012307,-27.677656,-18.797639,-29.133216,-19.527775,-18.87204,-18.87204,-27.677656,2,5,5,5,5,3,4,4,3,5,2,4,4,7,4,3,2,5,4,6,-0.65392199,0.4072188,2.3765759,0.9677864,1.4087895
-18.218245,1,0.87641325,1,1,0,18.750176,0.6605465,2.120771,1.4008679,0.71990314,-20.127015,-24.762973,-19.337001,-29.453178,-19.199795,-32.015798,-19.833916,-19.429476,-19.429476,-29.453178,1,7,5,4,3,7,3,2,3,3,1,7,3,4,2,7,5,5,5,4,-0.6877932,0.96542206,2.4297607,2.3457445,0.084016122
