# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-05-08 07:50:08 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpCZXZ45/standata-16d8c5c378a12.json
# init = 2 (Default)
# random
#   seed = 1334507086
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202605080950-2-835f15.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202605080950-2-6b1de3.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-19.240244,0.14286274,1,2,3,0,20.319189,0.60454504,0.99962314,0.60431721,0.39530593,-24.285433,-21.254325,-24.285433,-17.219797,-16.851537,-17.250549,-42.006757,-17.219797,-17.135968,-17.135968,7,4,4,4,2,2,8,4,2,5,2,8,2,3,5,4,6,3,2,5,-0.82660382,0.55613502,2.7934247,1.5535213,1.2399034
-19.240244,0,3.0276601,0,1,1,19.250857,0.60454504,0.99962314,0.60431721,0.39530593,-24.285433,-21.254325,-24.285433,-17.219797,-16.851537,-17.250549,-42.006757,-17.219797,-17.135968,-17.135968,6,6,7,3,5,3,8,4,3,4,2,7,7,2,3,4,7,4,1,2,-0.82660382,0.60594774,1.770765,1.072991,0.69777393
-17.73916,1,0.32241351,2,3,0,19.198675,0.48298379,1.8484625,0.89277742,0.95568508,-23.32863,-20.707433,-23.32863,-17.456299,-16.719651,-16.653959,-43.164638,-17.456299,-16.747291,-16.747291,1,5,4,4,4,2,5,3,3,1,5,6,6,2,5,4,6,4,3,1,-0.448256,0.047711571,2.4721299,0.1179492,2.3541807
-17.719625,0.99348091,0.3508837,3,7,0,17.837654,0.40785914,2.035757,0.8303021,1.2054549,-22.135769,-20.081313,-22.135769,-17.821038,-16.960298,-16.613874,-40.651961,-17.821038,-16.628982,-16.628982,6,3,6,2,3,3,6,5,4,2,1,3,4,3,5,1,7,7,2,4,-0.5663718,0.49352567,1.7901207,0.88347053,0.90665019
-17.690225,0.95056139,0.4788188,2,3,0,18.032916,0.45140905,2.1867265,0.98710814,1.1996184,-22.993907,-20.530214,-22.993907,-17.594739,-16.776369,-16.59158,-43.130559,-17.594739,-16.677736,-16.677736,2,5,5,4,1,3,6,3,5,2,7,2,6,7,4,7,6,2,3,2,-0.62815529,0.56522635,1.9416681,1.097482,0.84418611
-17.690225,0.75854895,0.65721893,1,3,0,18.188221,0.45140905,2.1867265,0.98710814,1.1996184,-22.993907,-20.530214,-22.993907,-17.594739,-16.776369,-16.59158,-43.130559,-17.594739,-16.677736,-16.677736,3,3,6,4,3,2,7,5,2,2,4,3,1,5,2,1,8,5,4,2,-0.62815529,0.31123463,2.8820845,0.89700449,1.98508
-18.108015,0.94929075,0.53788893,2,3,0,18.144972,0.59508855,2.0232844,1.2040334,0.81925099,-25.764246,-21.942709,-25.764246,-17.013384,-16.617655,-16.974793,-49.762622,-17.013384,-17.076602,-17.076602,6,5,6,3,5,3,2,1,4,3,7,5,5,4,1,3,7,4,3,4,-0.56215389,0.22992293,2.0935053,0.48134489,1.6121605
-17.81739,0.75240319,0.81555084,2,3,0,18.582285,0.38952434,1.7771867,0.69225748,1.0849292,-21.683865,-19.846136,-21.683865,-17.919585,-17.072178,-16.657068,-38.910861,-17.919585,-16.63805,-16.63805,7,4,3,3,5,5,5,6,7,4,7,3,5,5,3,4,7,6,4,1,-0.47331184,0.1450917,0.76786716,0.11141115,0.65645601
-18.237466,0.78756333,0.68545643,2,3,0,18.775975,0.47383043,3.4273535,1.6239844,1.8033691,-24.030236,-21.071396,-24.030236,-17.488549,-16.660483,-16.56402,-47.711633,-17.488549,-16.72953,-16.72953,6,2,6,3,2,1,7,2,3,3,4,2,3,5,1,4,7,2,4,6,-1.6351264,0.7714778,1.6409022,1.2659196,0.37498259
-17.80735,0.98643972,0.65057049,1,3,0,18.098356,0.50811694,2.4072567,1.2231679,1.1840888,-24.240787,-21.173022,-24.240787,-17.325463,-16.618951,-16.649808,-46.741928,-17.325463,-16.799566,-16.799566,6,7,4,4,2,4,8,1,1,2,4,7,4,5,4,1,8,3,2,3,-0.76777988,0.80516148,1.1773803,0.94798126,0.22939903
-17.80735,0.30956388,1.1686813,1,1,0,18.183089,0.50811694,2.4072567,1.2231679,1.1840888,-24.240787,-21.173022,-24.240787,-17.325463,-16.618951,-16.649808,-46.741928,-17.325463,-16.799566,-16.799566,5,4,7,5,2,3,6,4,5,3,4,3,8,2,4,4,8,2,2,2,-0.76777988,0.42849013,2.0875072,0.89447624,1.193031
-17.768189,0.97685562,0.24887003,2,7,0,18.5528,0.48163867,1.7606261,0.84798562,0.91264051,-23.227413,-20.65681,-23.227413,-17.467745,-16.735076,-16.664041,-42.670832,-17.467745,-16.749676,-16.749676,4,4,5,6,3,1,5,1,1,3,5,6,3,6,2,1,7,4,2,2,-0.41984633,0.27426521,0.65767625,0.18037771,0.47729853
-18.279876,0.89718378,0.43921891,2,3,0,18.738018,0.57176625,2.9170023,1.6678435,1.2491589,-25.978606,-22.053599,-25.978606,-17.057557,-16.564187,-16.828753,-52.193721,-17.057557,-17.038557,-17.038557,4,6,4,5,3,2,6,4,1,2,6,4,7,4,4,6,7,6,1,2,-1.1965751,0.17044995,4.7563659,0.81072231,3.9456435
-18.03606,1,0.60396151,2,3,0,18.282796,0.44374908,1.4104263,0.62587535,0.78455091,-22.258053,-20.164964,-22.258053,-17.669765,-16.914451,-16.696652,-39.185664,-17.669765,-16.737112,-16.737112,5,5,3,4,6,2,3,7,5,6,5,4,5,3,4,2,8,3,1,3,-0.42091406,0.14739639,1.2531693,0.18471263,1.0684567
-18.03606,0.19212199,1.1442801,1,3,0,19.378527,0.44374908,1.4104263,0.62587535,0.78455091,-22.258053,-20.164964,-22.258053,-17.669765,-16.914451,-16.696652,-39.185664,-17.669765,-16.737112,-16.737112,3,4,4,4,2,1,5,6,3,4,5,4,4,5,4,5,5,2,2,1,-0.42091406,0.17239269,1.7798248,0.30682878,1.472996
-17.688573,0.99272208,0.17640088,2,7,0,18.508795,0.44404716,2.1674071,0.96243095,1.2049761,-22.847388,-20.453924,-22.847388,-17.631817,-16.803255,-16.59078,-42.721099,-17.631817,-16.666644,-16.666644,6,5,7,1,2,6,8,3,4,2,4,6,4,4,4,3,7,5,1,2,-0.61938305,0.76096099,3.7032116,2.8179995,0.88521203
-17.764383,0.99412235,0.32823174,3,7,0,17.797216,0.41441474,2.4698104,1.0235259,1.4462846,-22.472856,-20.256999,-22.472856,-17.791319,-16.903948,-16.585916,-42.340721,-17.791319,-16.618095,-16.618095,5,5,5,3,4,3,6,3,2,5,6,5,4,5,2,3,5,4,4,2,-0.84324192,0.38011776,1.5408084,0.58568865,0.95511979
-17.764383,0.61448874,0.60903992,1,3,0,19.743935,0.41441474,2.4698104,1.0235259,1.4462846,-22.472856,-20.256999,-22.472856,-17.791319,-16.903948,-16.585916,-42.340721,-17.791319,-16.618095,-16.618095,5,6,5,4,3,3,6,5,3,2,6,3,5,5,4,4,6,2,3,1,-0.84324192,0.18558505,2.009511,0.37293519,1.6365758
-17.954141,0.9890087,0.35474909,2,3,0,17.977919,0.3673522,1.6417078,0.60308497,1.0386228,-21.262977,-19.625229,-21.262977,-18.041155,-17.202758,-16.708499,-37.505408,-18.041155,-16.64811,-16.64811,7,6,2,3,1,2,8,4,1,2,5,5,2,5,2,3,4,3,3,1,-0.46698608,0.42157403,1.2350013,0.52064446,0.7143568
-18.887727,0.79937903,0.64315958,2,3,0,19.895164,0.68768188,1.6306715,1.1213833,0.50928827,-27.299717,-22.704699,-27.299717,-16.820068,-16.866441,-17.536011,-52.459317,-16.820068,-17.45914,-17.45914,2,5,6,2,3,4,6,4,1,4,7,3,6,3,3,5,8,5,6,5,-0.54454447,0.45529203,2.7254926,1.2408951,1.4845975
-18.316859,0.93698102,0.65661595,2,7,0,19.152878,0.28992438,2.6841655,0.77820504,1.9059605,-20.506283,-19.202623,-20.506283,-18.592885,-17.683081,-16.998005,-37.561109,-18.592885,-16.581173,-16.581173,5,5,7,3,3,2,3,4,1,3,1,3,2,5,2,2,7,3,5,2,-1.1750547,0.47391108,2.914798,1.3813551,1.533443
