# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-05-08 07:51:37 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpCZXZ45/standata-16d8c2e431b0.json
# init = 2 (Default)
# random
#   seed = 2136128963
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202605080951-2-311d48.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202605080951-2-0da558.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-19.714103,0.75614277,0.5,2,3,0,20.839273,0.1312343,0.86812055,0.11392719,0.75419335,-17.806404,-17.802078,-19.170746,-19.035765,-18.436898,-17.802078,-21.01461,-19.035765,-19.035765,-29.916437,2,1,4,7,2,5,8,4,6,6,4,1,5,6,4,5,8,6,7,4,-1.8570804,0.51438705,0.79902163,0.41100638,0.38801525
-19.714103,0,9.23356,0,1,1,20.584126,0.1312343,0.86812055,0.11392719,0.75419335,-17.806404,-17.802078,-19.170746,-19.035765,-18.436898,-17.802078,-21.01461,-19.035765,-19.035765,-29.916437,5,4,6,4,3,4,8,4,1,6,5,4,2,3,5,4,8,4,6,5,-1.8570804,0.74800907,2.1014591,1.5719104,0.52954862
-19.714103,2.1217232e-32,1.3683348,1,1,0,20.342259,0.1312343,0.86812055,0.11392719,0.75419335,-17.806404,-17.802078,-19.170746,-19.035765,-18.436898,-17.802078,-21.01461,-19.035765,-19.035765,-29.916437,5,2,3,4,2,3,6,6,7,7,5,5,1,6,6,4,1,4,6,8,-1.8570804,0.3883789,1.8092585,0.7026778,1.1065806
-17.234491,0.98931328,0.12520653,3,7,0,21.505514,0.11522332,2.2508741,0.25935319,1.9915209,-17.379111,-17.355465,-19.639789,-19.281937,-18.243318,-17.355465,-21.866063,-19.281937,-19.281937,-36.462629,3,2,3,6,2,3,6,2,4,5,5,1,4,4,3,3,7,6,4,5,-1.5565826,0.6845405,2.1601039,1.4786786,0.6814253
-16.512871,0.99884832,0.15672623,2,7,0,17.572614,0.18033619,2.6811288,0.48350456,2.1976242,-17.296732,-17.303795,-18.96552,-18.689655,-18.637734,-17.303795,-22.852458,-18.689655,-18.689655,-35.559527,8,4,5,6,3,3,6,7,5,8,4,1,5,4,2,3,3,2,4,8,-1.5038676,0.68969885,0.83980602,0.57921324,0.26059277
-16.446877,0.99604154,0.2366493,3,7,0,16.726915,0.20572016,3.0847159,0.63458825,2.4501276,-17.290149,-17.312481,-18.746262,-18.488954,-18.843871,-17.312481,-23.373612,-18.488954,-18.488954,-35.532206,7,2,5,4,1,1,7,3,4,4,2,4,4,7,5,4,2,5,7,6,-1.7475685,0.80765493,2.2885766,1.8483801,0.44019643
-16.354901,0.95744266,0.38987477,1,3,0,16.87691,0.23069775,2.0138656,0.46459427,1.5492713,-17.399131,-17.426164,-18.431437,-18.263426,-18.883793,-17.426164,-23.076947,-18.263426,-18.263426,-32.678324,8,1,3,1,3,3,8,5,3,3,4,2,4,3,5,1,2,5,3,4,-0.86310161,0.77837939,1.339294,1.0424788,0.29681516
-17.555562,0.82746463,0.60309408,1,3,0,18.383504,0.095005215,2.4478247,0.23255612,2.2152686,-17.404475,-17.368741,-19.95328,-19.532928,-18.151478,-17.368741,-21.73241,-19.532928,-19.532928,-37.634663,5,3,3,4,1,5,7,4,3,8,3,3,3,5,1,7,5,3,4,6,-1.8645317,0.3955888,1.8266116,0.72258708,1.1040245
-16.488771,0.95698249,0.63987726,1,3,0,17.81517,0.19764117,2.0529826,0.40575389,1.6472288,-17.358922,-17.371944,-18.718104,-18.508921,-18.682402,-17.371944,-22.701038,-18.508921,-18.508921,-33.614424,3,5,2,3,4,5,7,5,4,6,3,6,2,7,6,5,5,3,6,7,-0.99619436,0.27029675,3.4382887,0.92935825,2.5089304
-16.488771,0.32918608,1.0366153,1,1,0,16.552759,0.19764117,2.0529826,0.40575389,1.6472288,-17.358922,-17.371944,-18.718104,-18.508921,-18.682402,-17.371944,-22.701038,-18.508921,-18.508921,-33.614424,5,6,1,5,2,3,6,8,4,6,3,6,1,2,2,7,6,4,6,5,-0.99619436,0.15429942,1.1492971,0.17733588,0.97196123
