# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-05-08 07:51:00 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpCZXZ45/standata-16d8cc0aeb76.json
# init = 2 (Default)
# random
#   seed = 1496329098
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202605080951-2-7adec3.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202605080951-2-11cdd8.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-23.624823,1.9800137e-07,1,1,1,0,24.119862,0.84820559,0.43782928,0.37136924,0.066460039,-19.073238,-23.018987,-18.590777,-22.249425,-18.821431,-27.081289,-18.65484,-18.885786,-18.885786,-22.249425,6,2,5,5,3,7,2,3,1,7,2,4,2,4,4,8,3,3,1,2,-4.2731341,0.74905471,1.6626623,1.245425,0.41723726
-23.624823,0,2.3350656,0,1,1,25.120957,0.84820559,0.43782928,0.37136924,0.066460039,-19.073238,-23.018987,-18.590777,-22.249425,-18.821431,-27.081289,-18.65484,-18.885786,-18.885786,-22.249425,2,5,3,4,1,7,2,1,1,6,2,7,1,7,1,8,5,3,2,8,-4.2731341,0.78550904,1.4876807,1.1685866,0.31909406
-22.915194,1,0.23023595,2,3,0,23.706299,0.84009406,0.47942919,0.40276562,0.076663578,-19.115474,-23.148504,-18.579421,-22.471986,-18.790613,-27.42507,-18.649649,-18.901738,-18.901738,-22.471986,2,4,7,7,6,4,5,2,3,7,2,3,2,2,1,8,3,2,2,2,-3.7864012,0.26552956,1.8355517,0.48739324,1.3481585
-19.265683,1,0.23979153,3,7,0,23.327229,0.91147071,4.4874045,4.0901378,0.39726676,-23.901194,-29.790849,-19.82095,-25.622686,-19.950417,-40.883666,-19.736345,-23.237995,-23.237995,-25.622686,3,4,3,8,6,5,2,2,3,5,2,7,2,4,3,6,1,1,2,1,-3.7585634,0.73018188,2.1989128,1.6056063,0.59330654
-18.705985,0.97266217,0.32433259,2,7,0,20.320802,0.81892994,4.4249764,3.6237457,0.80123073,-22.578105,-28.246456,-19.675413,-27.524504,-19.737342,-38.349104,-19.682049,-21.595278,-21.595278,-27.524504,3,4,4,5,1,4,6,3,3,5,2,3,4,4,3,6,3,3,2,4,-3.0911709,0.38905762,3.1208046,1.2141728,1.9066318
-22.360644,0.75059466,0.4675056,2,7,0,22.467076,0.92133544,0.59460084,0.54782683,0.046774013,-19.666808,-24.293794,-18.552916,-22.021022,-18.944672,-29.471585,-18.556178,-19.48792,-19.48792,-22.021022,6,3,2,7,2,6,5,5,6,7,3,7,3,5,4,5,3,2,2,7,-3.4814575,0.32354908,1.7832135,0.57695709,1.2062564
-19.772973,1,0.36999955,2,7,0,22.42416,0.71371752,5.3595468,3.8252025,1.5343444,-21.679818,-26.954693,-19.792365,-30.446245,-19.764782,-36.367957,-20.092622,-20.585909,-20.585909,-30.446245,4,5,4,8,2,8,1,2,2,7,2,6,1,4,2,5,2,2,2,4,-3.6442917,0.55237754,1.9477357,1.0758855,0.87185025
-19.522148,1,0.65285013,2,3,0,20.579619,0.59462471,3.4960029,2.0788097,1.4171932,-20.335206,-24.819945,-19.796781,-32.803707,-19.63699,-32.539524,-20.638445,-19.612447,-19.612447,-32.803707,3,3,4,7,2,5,4,2,2,7,3,2,2,8,1,8,4,3,4,6,-1.7322034,0.64990108,3.1215274,2.028684,1.0928434
-18.19211,1,1.1921842,1,1,0,19.345691,0.67943119,2.5656323,1.7431706,0.8224617,-20.492744,-25.337191,-19.423327,-29.587322,-19.326413,-33.130812,-19.853231,-19.692375,-19.692375,-29.587322,4,4,4,4,2,6,5,1,2,8,1,6,2,5,2,5,2,5,4,5,-1.024454,0.49605809,3.1468309,1.5610109,1.58582
-18.19211,5.7909249e-09,2.219054,1,3,1,19.423894,0.67943119,2.5656323,1.7431706,0.8224617,-20.492744,-25.337191,-19.423327,-29.587322,-19.326413,-33.130812,-19.853231,-19.692375,-19.692375,-29.587322,1,5,2,5,3,4,1,6,2,5,3,5,4,7,2,7,4,2,2,7,-1.024454,0.64589355,3.5542434,2.2956629,1.2585805
-18.160609,0.99281898,0.17643007,4,15,0,18.950122,0.89214268,1.627566,1.4520211,0.17554491,-21.434867,-26.953418,-19.042007,-24.260137,-19.287782,-35.144062,-19.014033,-20.948433,-20.948433,-24.260137,4,4,4,7,2,6,4,3,4,7,2,5,3,4,3,6,3,1,1,3,-1.3471155,0.19562146,5.3750008,1.0514655,4.3235353
-18.027866,0.99916699,0.32589011,3,7,0,18.350697,0.85964301,3.197261,2.7485031,0.44875794,-22.51452,-28.236656,-19.505265,-26.122445,-19.631593,-38.02381,-19.467584,-21.729649,-21.729649,-26.122445,2,3,2,6,3,6,5,6,5,6,1,3,3,6,4,8,4,2,4,5,-2.151329,0.42969155,2.0652247,0.88740959,1.1778151
