# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-05-08 07:52:21 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpCZXZ45/standata-16d8c47ac6766.json
# init = 2 (Default)
# random
#   seed = 1934875247
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202605080952-1-4b7b3b.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202605080952-1-0394fc.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-16.034302,1,0.5,1,3,0,25.167302,0.62633348,1.6344668,1.0237213,0.61074553,-19.834901,-26.672539,-21.017593,-19.056716,-19.834901,-24.401993,-35.39797,-18.968477,-35.39797,-21.017593,6,6,4,2,3,4,5,3,6,2,2,5,3,4,5,6,7,1,5,4,-0.45908353,0.53903476,3.4813648,1.8765766,1.6047882
-16.034302,0,14.38551,0,1,1,17.296341,0.62633348,1.6344668,1.0237213,0.61074553,-19.834901,-26.672539,-21.017593,-19.056716,-19.834901,-24.401993,-35.39797,-18.968477,-35.39797,-21.017593,3,5,3,6,5,2,7,1,7,1,3,6,2,4,4,5,7,6,7,2,-0.45908353,0.072120123,1.9204471,0.13850288,1.7819442
-16.034302,5.1111149e-75,2.4311673,1,2,1,16.142409,0.62633348,1.6344668,1.0237213,0.61074553,-19.834901,-26.672539,-21.017593,-19.056716,-19.834901,-24.401993,-35.39797,-18.968477,-35.39797,-21.017593,4,8,1,3,2,5,8,6,7,1,6,6,2,3,4,8,6,2,7,4,-0.45908353,0.77758205,1.1567635,0.89947857,0.25728497
-15.815858,1,0.23979141,2,3,0,16.022015,0.62838038,1.9179627,1.2052102,0.71275258,-20.002002,-27.157013,-21.280552,-19.116461,-20.002002,-24.763493,-36.45899,-19.035826,-36.45899,-21.280552,3,6,2,1,6,7,5,6,6,2,3,6,5,5,1,6,7,2,6,2,-0.54329798,0.76131414,1.8794763,1.4308719,0.44860442
-16.512302,0.93061935,0.32433241,3,7,0,17.192913,0.74461806,3.7390302,2.7841494,0.95488076,-22.145292,-30.974097,-23.73883,-19.380131,-22.145292,-28.65883,-43.996802,-19.511524,-43.996802,-23.73883,4,7,4,4,5,4,8,1,5,2,2,7,1,1,4,4,5,4,6,3,-2.1956857,0.42850588,1.7739684,0.76015588,1.0138125
-16.171263,1,0.41242868,1,1,0,16.480548,0.71711928,3.3578645,2.4079894,0.94987511,-21.592775,-30.164649,-23.171633,-19.297255,-21.592775,-27.755588,-42.426607,-19.386771,-42.426607,-23.171633,4,3,1,5,1,7,3,2,8,2,2,7,4,7,1,7,5,4,7,4,-1.7775556,0.60482759,1.9893374,1.2032062,0.78613126
-15.861888,0.98759024,0.69813791,1,3,0,16.16337,0.63561317,3.0765894,1.9555207,1.1210686,-20.525119,-28.520783,-22.072073,-19.307257,-20.525119,-25.805937,-39.450022,-19.250217,-39.450022,-22.072073,4,4,6,6,4,4,3,1,3,3,1,8,4,3,3,5,8,5,6,1,-1.3915189,0.18539578,1.3999737,0.25954922,1.1404245
-15.861888,0.35646927,1.1977097,1,1,0,16.429894,0.63561317,3.0765894,1.9555207,1.1210686,-20.525119,-28.520783,-22.072073,-19.307257,-20.525119,-25.805937,-39.450022,-19.250217,-39.450022,-22.072073,6,4,1,1,4,4,5,1,7,4,5,6,4,5,5,2,7,1,6,1,-1.3915189,0.34957479,1.8538946,0.6480748,1.2058198
-15.944737,0.98453989,0.29113796,3,7,0,16.367353,0.7275535,2.3782216,1.7302835,0.64793816,-21.277794,-29.338766,-22.661051,-19.142833,-21.277794,-27.194435,-40.493826,-19.262911,-40.493826,-22.661051,3,5,3,6,5,3,7,3,6,4,2,5,3,3,2,5,6,2,8,2,-0.97876613,0.14446848,1.7765985,0.25666247,1.519936
-16.169778,0.98335719,0.51257765,2,3,0,16.183072,0.75308173,1.9566512,1.4735183,0.48313292,-21.322284,-29.118381,-22.560579,-19.076194,-21.322284,-27.230921,-39.801055,-19.254474,-39.801055,-22.560579,3,7,3,5,3,5,8,4,6,4,2,2,2,5,2,5,6,4,8,3,-0.78850606,0.55978893,2.520147,1.4107504,1.1093966
-16.446715,0.78404453,0.91155797,2,3,0,17.1074,0.43616496,2.0725504,0.90397386,1.1685765,-19.131089,-24.843229,-20.042238,-20.030311,-19.131089,-22.025311,-32.663932,-19.622424,-32.663932,-20.042238,2,4,1,4,4,6,6,3,8,3,5,6,4,4,6,4,6,2,3,2,-0.56807951,0.24414568,3.1056214,0.75822403,2.3473973
-16.446715,0.595082,0.86911371,1,1,0,17.25881,0.43616496,2.0725504,0.90397386,1.1685765,-19.131089,-24.843229,-20.042238,-20.030311,-19.131089,-22.025311,-32.663932,-19.622424,-32.663932,-20.042238,2,3,5,2,5,4,1,2,4,3,2,6,3,6,4,8,8,2,6,3,-0.56807951,0.27703807,2.4159036,0.66929725,1.7466063
-16.015563,0.71133025,0.45920748,2,3,0,19.031337,0.70547175,3.1088334,2.1931942,0.91563926,-21.339287,-29.744206,-22.889032,-19.256251,-21.339287,-27.321656,-41.587073,-19.32715,-41.587073,-22.889032,2,8,3,2,2,5,5,4,4,2,5,6,2,3,4,6,5,3,5,2,-1.5286874,0.52204936,3.2620715,1.7029624,1.5591092
-15.869966,0.99991015,0.3525239,2,3,0,16.052869,0.70545369,2.6063441,1.8386551,0.76768905,-21.119757,-29.242894,-22.574822,-19.175143,-21.119757,-26.931211,-40.467664,-19.250063,-40.467664,-22.574822,5,6,1,4,4,5,5,3,7,5,1,6,1,3,2,7,6,5,7,1,-1.1034531,0.70534636,0.99284578,0.70030015,0.29254562
-15.868549,0.56548106,0.66968991,2,3,0,17.095892,0.70540617,2.1700206,1.5307459,0.63927467,-20.884068,-28.687195,-22.236129,-19.09092,-20.884068,-26.498353,-39.237182,-19.169858,-39.237182,-22.236129,6,5,1,5,3,6,4,2,8,7,2,7,4,5,2,6,7,5,8,2,-0.79322144,0.17489267,1.8080082,0.31620738,1.4918008
-16.445067,0.94723063,0.32938647,2,3,0,16.55982,0.65914925,1.3677261,0.90153561,0.46619045,-19.907823,-26.571916,-20.997047,-18.938288,-19.907823,-24.552244,-34.933951,-18.921178,-34.933951,-20.997047,4,7,2,4,6,5,6,3,7,2,2,3,4,5,3,3,6,6,5,3,-0.5290937,0.66176108,2.450506,1.6216495,0.8288565
