# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-05-08 07:52:26 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpCZXZ45/standata-16d8c517fa522.json
# init = 2 (Default)
# random
#   seed = 852429538
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202605080952-1-5d8530.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202605080952-1-992af2.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-18.090074,0.9950035,0.5,3,7,0,19.289966,0.84062473,4.7461195,3.9897054,0.7564141,-24.401588,-33.646315,-25.787838,-19.842551,-24.401588,-31.911924,-49.134469,-20.078616,-49.134469,-25.787838,4,3,5,6,4,3,7,4,4,3,3,6,3,2,3,7,8,4,8,2,-3.4950775,0.08689634,1.3954579,0.12126018,1.2741977
-18.090074,0,14.255416,0,1,1,18.99757,0.84062473,4.7461195,3.9897054,0.7564141,-24.401588,-33.646315,-25.787838,-19.842551,-24.401588,-31.911924,-49.134469,-20.078616,-49.134469,-25.787838,3,3,5,5,4,4,6,2,8,1,3,5,3,4,2,7,8,5,8,1,-3.4950775,0.48059358,1.0068047,0.48386389,0.52294084
-18.090074,0,2.4027037,1,1,0,18.367398,0.84062473,4.7461195,3.9897054,0.7564141,-24.401588,-33.646315,-25.787838,-19.842551,-24.401588,-31.911924,-49.134469,-20.078616,-49.134469,-25.787838,5,8,2,6,7,5,7,3,4,3,3,7,3,1,2,7,8,4,7,2,-3.4950775,0.3456606,1.6242856,0.56145152,1.062834
-18.238122,0.99179034,0.23661995,1,1,0,18.282959,0.84183724,4.9391296,4.1579433,0.78118635,-24.497393,-33.783113,-25.892116,-19.870493,-24.497393,-32.045544,-49.438296,-20.103315,-49.438296,-25.892116,2,6,7,4,3,5,6,2,6,3,4,6,2,7,3,5,8,2,6,3,-3.6821039,0.66872703,0.98502112,0.65871025,0.32631087
-18.092771,0.97194226,0.31232273,3,7,0,20.199679,0.43696181,0.98067935,0.42851942,0.55215992,-18.835388,-23.33314,-19.408021,-19.634418,-18.835388,-21.197047,-29.091407,-19.128949,-29.091407,-19.408021,2,7,2,4,4,8,8,5,5,3,2,6,4,5,4,5,7,4,6,5,-0.83259921,0.79016687,3.1416615,2.4824368,0.65922468
-16.332881,1,0.44849216,2,7,0,17.854325,0.60881498,4.0060313,2.4389319,1.5670994,-20.494718,-28.66715,-22.146963,-19.479281,-20.494718,-25.691343,-40.018643,-19.382969,-40.018643,-22.146963,3,5,4,6,3,7,6,4,7,2,3,3,2,5,1,3,8,6,7,3,-2.2217364,0.61533579,2.7087842,1.6668119,1.0419723
-16.332881,0.18669117,0.76090326,2,3,0,19.065878,0.60881498,4.0060313,2.4389319,1.5670994,-20.494718,-28.66715,-22.146963,-19.479281,-20.494718,-25.691343,-40.018643,-19.382969,-40.018643,-22.146963,5,6,6,3,5,3,6,2,2,5,3,5,1,4,3,5,8,3,7,2,-2.2217364,0.10849503,2.679976,0.29076406,2.3892119
-17.630878,0.99584724,0.10806864,4,15,0,18.083986,0.33340116,1.5803647,0.52689543,1.0534693,-18.979371,-23.250569,-19.379465,-20.667979,-18.979371,-20.669194,-29.624284,-20.118391,-29.624284,-19.379465,3,6,2,3,3,3,6,4,7,3,3,7,3,4,7,7,4,3,4,4,-0.50657574,0.32460606,3.2041405,1.0400834,2.164057
-16.990465,0.99672669,0.1914349,4,15,0,18.765421,0.37023591,2.1640437,0.8012067,1.362837,-19.089598,-24.168433,-19.758527,-20.582609,-19.089598,-21.306048,-31.561655,-20.130447,-31.561655,-19.758527,2,5,4,3,4,2,7,3,7,3,3,6,1,3,2,4,5,2,5,6,-0.67446411,0.49869722,1.5868808,0.79137303,0.79550775
-16.415565,0.98027271,0.34955465,2,3,0,17.548704,0.46419475,1.7451328,0.81008147,0.93505131,-19.103213,-24.817108,-20.024392,-19.748243,-19.103213,-22.168096,-32.398006,-19.352977,-32.398006,-20.024392,3,5,3,3,5,7,7,2,6,1,2,5,7,4,3,3,7,2,7,1,-0.41946254,0.37837205,3.5942604,1.3599677,2.2342927
