# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-05-08 07:52:06 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpCZXZ45/standata-16d8c3de7401.json
# init = 2 (Default)
# random
#   seed = 200253319
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202605080952-2-093cd3.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202605080952-2-852c18.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-17.761292,0.83794796,0.5,1,1,0,17.806476,0.83089758,4.4540145,3.7008299,0.75318464,-24.068275,-33.250192,-25.476196,-19.756824,-24.068275,-31.457769,-48.324049,-19.990436,-48.324049,-25.476196,4,4,2,5,5,4,6,2,6,2,3,6,3,2,2,3,8,7,8,1,-3.1724457,0.53561449,4.2188168,2.2596594,1.9591574
-17.761292,0,10.714322,0,1,1,18.123857,0.83089758,4.4540145,3.7008299,0.75318464,-24.068275,-33.250192,-25.476196,-19.756824,-24.068275,-31.457769,-48.324049,-19.990436,-48.324049,-25.476196,5,3,1,7,4,5,7,6,6,2,1,4,1,4,1,7,7,4,4,1,-3.1724457,0.62339126,1.1210099,0.6988278,0.42218213
-17.761292,5.8014476e-25,1.6593255,1,3,1,18.325163,0.83089758,4.4540145,3.7008299,0.75318464,-24.068275,-33.250192,-25.476196,-19.756824,-24.068275,-31.457769,-48.324049,-19.990436,-48.324049,-25.476196,3,7,3,5,1,5,6,2,7,4,4,7,4,3,1,7,7,4,4,2,-3.1724457,0.65426243,1.4580758,0.95396421,0.50411159
-15.871296,0.99233319,0.15570301,4,15,0,19.23126,0.55839831,2.8046487,1.5661111,1.2385376,-19.817633,-27.09994,-21.213889,-19.49814,-19.817633,-24.218737,-36.886539,-19.300782,-36.886539,-21.213889,2,7,2,1,1,3,6,5,6,1,2,5,3,5,4,6,7,4,6,3,-1.0940052,0.60145175,2.0856766,1.2544338,0.83124275
-16.74509,0.95063671,0.19970833,2,7,0,18.007215,0.54435348,1.2652652,0.68875153,0.5765137,-19.18869,-24.9762,-20.123864,-19.211799,-19.18869,-22.730589,-32.184703,-18.937216,-32.184703,-20.123864,3,6,2,5,2,5,7,4,5,6,3,6,5,5,1,3,7,5,6,3,-0.48278953,0.66574937,1.2489555,0.83149131,0.41746416
-15.899774,0.97207944,0.26394471,1,3,0,17.342735,0.56928732,1.8780901,1.0691729,0.80891722,-19.578912,-26.289532,-20.778319,-19.274481,-19.578912,-23.749273,-34.97139,-19.072401,-34.97139,-20.778319,4,3,5,7,1,1,5,2,2,4,3,7,1,4,2,3,7,1,6,5,-0.47788205,0.45568552,3.445276,1.5699624,1.8753136
-16.67332,0.92070863,0.4052736,2,5,0,17.281804,0.81913278,2.194739,1.7977827,0.39695635,-22.516685,-30.667229,-23.656099,-19.295109,-22.516685,-29.10217,-42.649861,-19.585737,-42.649861,-23.656099,2,5,5,5,3,5,8,1,7,2,2,8,1,2,2,3,6,4,5,1,-1.146863,0.61893567,1.3765403,0.85198986,0.5245504
-17.565834,0.84155382,0.55953855,2,3,0,18.84458,0.87193736,1.7731863,1.5461074,0.22707892,-22.986938,-30.760963,-23.825699,-19.376593,-22.986938,-29.661162,-42.426487,-19.774017,-42.426487,-23.825699,6,7,3,6,1,4,7,3,8,5,1,6,1,5,1,6,8,4,8,3,-1.2280609,0.41180038,1.4113793,0.58120651,0.83017274
-16.310792,0.97995833,0.62009334,2,3,0,17.617319,0.50186005,3.349595,1.6810279,1.6685671,-19.616244,-26.636276,-20.957112,-19.863138,-19.616244,-23.519583,-36.28998,-19.598693,-36.28998,-20.957112,3,5,4,2,2,6,5,3,6,1,4,7,5,7,3,7,7,4,4,5,-1.5610566,0.78584786,1.2748934,1.0018722,0.27302115
-16.310792,9.0642282e-06,1.0799967,1,1,0,20.102603,0.50186005,3.349595,1.6810279,1.6685671,-19.616244,-26.636276,-20.957112,-19.863138,-19.616244,-23.519583,-36.28998,-19.598693,-36.28998,-20.957112,3,5,3,5,6,4,6,1,5,4,4,7,1,3,4,6,5,4,7,3,-1.5610566,0.17026759,2.6161337,0.44544277,2.1706909
