# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-05-08 07:52:34 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpCZXZ45/standata-16d8c6c462a3b.json
# init = 2 (Default)
# random
#   seed = 90071496
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202605080952-2-5321f8.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202605080952-2-5766fa.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-15.87713,1,0.5,1,3,0,16.382302,0.65132893,1.8367881,1.1963532,0.64043489,-20.148047,-27.359846,-21.412307,-19.058111,-20.148047,-25.077359,-36.732106,-19.025357,-36.732106,-21.412307,5,5,2,7,5,5,6,2,3,2,1,5,1,5,2,5,7,3,7,1,-0.53891093,0.15389799,1.195017,0.18391073,1.0111063
-15.87713,0,14.38551,0,1,1,16.203753,0.65132893,1.8367881,1.1963532,0.64043489,-20.148047,-27.359846,-21.412307,-19.058111,-20.148047,-25.077359,-36.732106,-19.025357,-36.732106,-21.412307,1,2,1,4,6,3,6,1,6,1,4,6,1,8,2,7,4,4,6,4,-0.53891093,0.29193646,3.9680076,1.1584061,2.8096015
-15.87713,0,2.4311673,1,1,0,17.580415,0.65132893,1.8367881,1.1963532,0.64043489,-20.148047,-27.359846,-21.412307,-19.058111,-20.148047,-25.077359,-36.732106,-19.025357,-36.732106,-21.412307,1,5,3,6,3,6,6,4,7,1,2,6,4,5,2,7,4,4,5,3,-0.53891093,0.84648064,5.0280376,4.2561365,0.77190113
-15.93641,0.99632995,0.23979141,2,7,0,16.186455,0.53048879,2.6870773,1.4254644,1.2616129,-19.621319,-26.602617,-20.935281,-19.603281,-19.621319,-23.693578,-35.981529,-19.357326,-35.981529,-20.935281,4,3,4,3,5,4,6,4,8,6,3,8,4,6,4,3,7,4,8,3,-0.9869179,0.26487778,1.9647623,0.52042186,1.4443404
-17.771551,0.81513082,0.32094928,2,7,0,19.269371,0.50797742,5.7328602,2.9121636,2.8206967,-19.942892,-27.609401,-21.514276,-20.058784,-19.942892,-24.184347,-38.489098,-19.854542,-38.489098,-21.514276,2,3,5,4,2,4,3,5,4,2,6,5,2,3,4,8,8,5,7,4,-3.7846973,0.48165716,1.9872389,0.95716785,1.0300711
-17.695856,1,0.28910821,1,1,0,17.909701,0.50568567,5.6046339,2.8341831,2.7704509,-19.918559,-27.540774,-21.474717,-20.064203,-19.918559,-24.123422,-38.349662,-19.855935,-38.349662,-21.474717,3,6,3,5,1,6,7,4,4,2,3,3,4,5,4,4,7,3,5,2,-3.6676896,0.5147821,1.8554539,0.95515443,0.90029943
-18.477377,0.82006531,0.48471908,1,1,0,18.809709,0.50922441,6.7689233,3.446901,3.3220223,-20.027572,-27.84986,-21.657265,-20.11056,-20.027572,-24.348202,-39.03993,-19.92156,-39.03993,-21.657265,2,5,3,6,2,4,6,4,6,4,5,4,2,3,1,6,5,4,5,5,-4.7058809,0.6853733,5.4712626,3.7498573,1.7214053
-18.848153,0.98717868,0.49069434,2,3,0,19.50483,0.45625172,0.80826234,0.36877109,0.43949125,-18.825753,-23.121957,-19.357259,-19.47811,-18.825753,-21.184542,-28.43383,-18.995998,-28.43383,-19.357259,4,6,4,3,3,2,4,1,1,5,3,4,4,5,4,4,5,5,8,3,-1.2568719,0.14635157,3.5996473,0.52681404,3.0728333
-19.132908,0.87754608,0.85831085,1,3,0,19.552256,0.45019983,7.1576348,3.222366,3.9352688,-19.759,-26.969391,-21.178977,-20.550692,-19.759,-23.375805,-37.503867,-20.340095,-37.503867,-21.178977,1,8,2,4,1,8,6,5,7,1,4,3,2,5,4,3,6,2,8,3,-5.0498909,0.94098922,2.4674898,2.3218813,0.1456085
-19.132908,2.5973508e-08,1.0835247,1,1,0,19.522392,0.45019983,7.1576348,3.222366,3.9352688,-19.759,-26.969391,-21.178977,-20.550692,-19.759,-23.375805,-37.503867,-20.340095,-37.503867,-21.178977,3,6,2,3,3,4,5,5,6,2,4,4,4,3,3,4,5,2,7,3,-5.0498909,0.42142847,2.7307607,1.1508203,1.5799404
-18.975348,0.99930286,0.086062011,2,3,0,19.300157,0.4578944,7.014184,3.2117556,3.8024284,-19.7814,-27.066886,-21.228771,-20.481832,-19.7814,-23.487378,-37.665539,-20.270167,-37.665539,-21.228771,3,6,4,4,2,4,8,1,6,5,2,4,4,2,1,3,6,2,6,4,-4.9243593,0.70895279,1.9877456,1.4092178,0.57852782
