# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-05-08 07:52:02 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpCZXZ45/standata-16d8c8d3e80a.json
# init = 2 (Default)
# random
#   seed = 1998948570
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202605080952-2-731238.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202605080952-2-28d18c.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-18.83531,0.63997209,0.5,2,3,0,22.699735,0.42229608,6.3877521,2.6975227,3.6902294,-19.629169,-26.421522,-20.892039,-20.744994,-19.629169,-22.867078,-36.453195,-20.519768,-36.453195,-20.892039,2,2,4,5,3,5,7,2,8,2,4,4,3,5,3,2,5,2,8,2,-4.3960913,0.4999672,2.7879583,1.3938877,1.3940706
-18.83531,0,7.4754571,0,1,1,19.306134,0.42229608,6.3877521,2.6975227,3.6902294,-19.629169,-26.421522,-20.892039,-20.744994,-19.629169,-22.867078,-36.453195,-20.519768,-36.453195,-20.892039,5,4,4,2,4,2,5,2,5,2,2,3,1,4,2,5,7,5,5,4,-4.3960913,0.16982592,1.4986029,0.25450161,1.2441012
-18.83531,0.00016565179,1.0405793,1,1,0,19.593623,0.42229608,6.3877521,2.6975227,3.6902294,-19.629169,-26.421522,-20.892039,-20.744994,-19.629169,-22.867078,-36.453195,-20.519768,-36.453195,-20.892039,3,6,2,5,5,5,6,3,4,5,5,5,1,6,3,5,5,2,8,2,-4.3960913,0.3910655,0.53105872,0.20767874,0.32337998
-18.839308,0.99960626,0.091913395,3,7,0,19.151801,0.3989564,6.0778714,2.4248057,3.6530658,-19.561876,-26.027443,-20.697366,-20.940964,-19.561876,-22.496387,-35.717837,-20.714935,-35.717837,-20.697366,7,4,5,3,3,4,7,4,8,2,4,7,3,4,5,7,6,3,7,3,-4.1375746,0.20567872,1.5554566,0.31992433,1.2355323
-18.722012,1,0.11586968,1,1,0,18.842206,0.4031947,5.9698653,2.4070181,3.5628473,-19.562542,-26.067877,-20.714613,-20.892156,-19.562542,-22.544599,-35.778416,-20.661213,-35.778416,-20.714613,3,3,3,6,4,3,8,1,5,4,3,6,1,3,6,5,5,5,5,3,-4.0370784,0.28131896,1.2710628,0.35757405,0.91348872
-15.857386,1,0.17326818,3,7,0,19.073076,0.70613666,2.2685931,1.6019367,0.66665635,-20.950057,-28.836522,-22.326954,-19.111247,-20.950057,-26.620522,-39.56103,-19.190662,-39.56103,-22.326954,7,7,3,3,5,5,7,1,6,3,2,6,4,4,1,6,6,4,8,1,-0.85753706,0.31615918,1.1743148,0.37127039,0.80304439
-17.236378,0.95231541,0.28651659,2,7,0,17.618263,0.8335443,3.5233156,2.9368397,0.58647595,-23.711658,-32.601736,-25.01311,-19.638275,-23.711658,-30.921803,-46.819007,-19.899662,-46.819007,-25.01311,3,4,1,6,4,6,5,3,6,3,1,4,1,3,1,5,6,7,7,1,-2.309819,0.34861076,2.3411716,0.81615763,1.525014
-15.97227,0.963615,0.43397006,2,3,0,17.629088,0.54604593,1.8581014,1.0146087,0.84349271,-19.444987,-25.959106,-20.597994,-19.359516,-19.444987,-23.376971,-34.40163,-19.111712,-34.40163,-20.597994,4,6,3,4,5,7,7,4,7,4,4,5,2,5,2,5,5,3,6,1,-0.4592301,0.1848642,2.6619757,0.49210401,2.1698716
-17.104543,0.73324062,0.70407232,2,3,0,17.150431,0.48782577,4.5737523,2.2311942,2.342558,-19.722888,-26.960926,-21.145974,-20.094358,-19.722888,-23.628014,-37.157138,-19.849996,-37.157138,-21.145974,6,5,1,1,1,6,8,5,5,4,2,5,3,2,3,5,5,4,7,2,-2.709729,0.50587894,2.0080482,1.0158293,0.99221889
-16.52868,0.98567635,0.56297206,3,7,0,17.973264,0.6245749,4.3438155,2.7130382,1.6307774,-20.716789,-29.104687,-22.423393,-19.472788,-20.716789,-26.136707,-40.874775,-19.404173,-40.874775,-22.423393,2,7,4,2,4,5,7,5,8,3,5,5,4,4,4,8,7,1,7,3,-2.5562945,0.72751516,2.8787462,2.0943315,0.7844147
-16.52868,0.14950251,1.0086791,1,3,0,18.292207,0.6245749,4.3438155,2.7130382,1.6307774,-20.716789,-29.104687,-22.423393,-19.472788,-20.716789,-26.136707,-40.874775,-19.404173,-40.874775,-22.423393,4,5,4,3,2,5,3,5,6,3,2,4,3,2,2,7,5,3,6,2,-2.5562945,0.38387202,5.05446,1.9402657,3.1141942
-15.735761,0.99137353,0.1295775,2,7,0,17.546204,0.64621077,2.177058,1.4068383,0.77021967,-20.280276,-27.775319,-21.642111,-19.137659,-20.280276,-25.344458,-37.693854,-19.095889,-37.693854,-21.642111,2,6,3,2,6,6,6,5,8,1,3,7,3,4,2,6,6,4,8,2,-0.70208111,0.89097798,1.5877489,1.4146493,0.1730996
-16.358139,0.98230107,0.23985395,3,7,0,16.489805,0.78822478,2.2546983,1.777209,0.47748922,-22.060531,-30.211166,-23.303408,-19.216978,-22.060531,-28.435488,-41.908151,-19.452669,-41.908151,-23.303408,5,6,4,4,6,5,6,2,5,2,1,7,2,5,3,8,7,5,8,2,-1.065987,0.1032951,4.1660972,0.43033743,3.7357597
-15.880781,0.99763077,0.43185162,3,7,0,16.423691,0.68331779,1.9308773,1.3194028,0.6114745,-20.501413,-27.981257,-21.795982,-19.045586,-20.501413,-25.781364,-37.856343,-19.0807,-37.856343,-21.795982,4,6,2,5,1,7,6,4,7,2,2,5,2,5,2,4,7,4,6,2,-0.62513233,0.52696882,2.7471986,1.447688,1.2995106
-15.880781,0.013532213,0.81367158,1,1,0,17.995248,0.68331779,1.9308773,1.3194028,0.6114745,-20.501413,-27.981257,-21.795982,-19.045586,-20.501413,-25.781364,-37.856343,-19.0807,-37.856343,-21.795982,5,5,2,6,2,3,6,1,5,4,2,5,2,6,2,7,5,1,7,1,-0.62513233,0.12291541,1.9317182,0.23743792,1.6942803
-15.910509,0.99993264,0.072283427,5,31,0,16.107014,0.52766992,2.4420864,1.2886155,1.1534709,-19.541586,-26.354225,-20.800714,-19.570854,-19.541586,-23.513182,-35.438554,-19.312025,-35.438554,-20.800714,2,4,3,3,2,5,8,5,6,4,4,5,4,4,5,3,6,4,6,3,-0.79601082,0.56004716,1.086498,0.60849011,0.47800787
-16.009117,0.99295815,0.13836876,3,15,0,16.797174,0.69130847,1.7632231,1.2189311,0.54429204,-20.471679,-27.815536,-21.710029,-19.0033,-20.471679,-25.71549,-37.429699,-19.056397,-37.429699,-21.710029,1,4,2,4,1,5,7,2,6,2,2,4,2,2,3,5,4,5,7,5,-0.57751113,0.65917671,1.337013,0.88132781,0.45568516
-16.499426,0.96950065,0.25747512,2,7,0,17.334325,0.51867812,1.4369915,0.74533607,0.69165547,-19.163387,-25.000493,-20.120854,-19.367083,-19.163387,-22.594906,-32.424362,-19.048044,-32.424362,-20.120854,3,5,2,5,2,4,5,2,8,2,2,5,1,3,1,1,7,3,8,1,-0.40286115,0.26876004,3.1781181,0.85415116,2.3239669
-16.003879,0.87136742,0.44273796,2,3,0,17.856865,0.5943864,3.356875,1.9952809,1.3615942,-20.224292,-28.052428,-21.7724,-19.44754,-20.224292,-25.142306,-38.746184,-19.320613,-38.746184,-21.7724,3,7,3,6,1,3,6,3,7,3,3,8,2,5,4,7,5,4,4,3,-1.6039872,0.54148435,1.2486316,0.67611445,0.57251711
