# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-05-08 07:53:03 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpCZXZ45/standata-16d8c4cc1c1e3.json
# init = 2 (Default)
# random
#   seed = 15209939
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202605080953-2-3a4ec2.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202605080953-2-1da24b.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-16.111224,0.49077712,1,1,3,0,16.473355,0.82568386,1.0297014,0.85020782,0.17949357,-40.945336,-32.819824,-38.557062,-24.998861,-24.477786,-34.105478,-38.557062,-27.584038,-34.105478,-29.298156,8,5,7,5,3,2,2,5,3,8,7,3,8,4,6,2,8,4,1,8,-1.2831977,0.37728473,2.0538328,0.77487974,1.278953
-16.111224,0,5.6994044,0,1,1,16.344398,0.82568386,1.0297014,0.85020782,0.17949357,-40.945336,-32.819824,-38.557062,-24.998861,-24.477786,-34.105478,-38.557062,-27.584038,-34.105478,-29.298156,8,3,6,6,1,4,5,2,1,8,8,5,8,1,7,1,8,2,1,6,-1.2831977,0.42272108,2.1598442,0.91301169,1.2468325
-15.166741,0.9735258,0.73207061,2,3,0,15.817013,0.66769885,4.2669462,2.8490351,1.4179111,-51.978271,-37.292553,-45.209932,-28.021994,-28.016849,-40.805142,-45.209932,-30.595458,-40.805142,-40.218848,7,3,4,5,1,2,5,5,1,7,6,2,7,5,5,3,6,4,2,6,-2.5389358,0.43371269,1.5548353,0.67435181,0.88048351
-14.295486,1,0.82633015,1,1,0,14.563355,0.6996792,2.0377942,1.4258022,0.61199198,-45.454736,-34.516933,-40.733833,-26.47711,-26.338008,-37.100779,-40.733833,-28.84548,-37.100779,-35.192528,8,3,7,6,2,1,4,2,3,7,8,1,8,4,4,2,7,2,6,8,-0.70663812,0.13237762,2.7774127,0.36766729,2.4097454
-14.295486,2.1431967e-14,1.2221278,1,1,0,18.265937,0.6996792,2.0377942,1.4258022,0.61199198,-45.454736,-34.516933,-40.733833,-26.47711,-26.338008,-37.100779,-40.733833,-28.84548,-37.100779,-35.192528,7,6,6,5,5,2,7,6,5,8,5,1,7,4,7,2,6,3,2,6,-0.70663812,0.49297159,1.5236525,0.75111738,0.77253509
-14.627818,0.99868648,0.10269632,5,31,0,14.844586,0.84142303,2.4633939,2.0727564,0.39063753,-54.512132,-39.695428,-50.35663,-27.652223,-26.87386,-41.566959,-50.35663,-31.553724,-41.566959,-33.86923,8,3,7,4,3,3,8,5,1,8,7,1,5,4,8,1,8,5,4,5,-1.436603,0.57487036,2.5153629,1.4460075,1.0693553
-14.384657,0.99107616,0.16676709,3,15,0,15.230239,0.77145736,3.0981412,2.3900839,0.70805738,-53.775733,-38.864303,-48.367431,-27.785589,-27.293716,-41.475858,-48.367431,-31.218766,-41.475858,-36.259867,8,3,7,7,3,1,5,4,2,8,8,1,8,6,4,3,6,2,2,5,-1.6834246,0.5420077,5.1303244,2.7806753,2.3496491
-16.005876,0.91682176,0.2824352,2,7,0,16.889748,0.86368143,1.1688232,1.0094909,0.1593323,-44.017556,-34.649677,-41.730507,-25.585461,-24.902621,-35.799416,-41.730507,-28.620989,-35.799416,-29.59327,5,1,5,7,2,1,6,2,3,7,8,2,7,1,5,2,8,5,1,5,-1.306401,0.23092472,3.4161173,0.78886593,2.6272513
-14.20579,0.9749804,0.39392133,3,7,0,16.746827,0.75899338,2.4102588,1.8293705,0.58088832,-49.930202,-37.022047,-45.097656,-27.126449,-26.718491,-39.472801,-45.097656,-30.188082,-39.472801,-35.134008,6,3,5,5,5,1,7,4,1,8,8,3,6,3,5,3,7,3,1,6,-1.0820885,0.46286433,2.5898699,1.1987584,1.3911115
-14.683748,0.70350897,0.67389918,2,3,0,15.704886,0.82053802,3.2758493,2.6879589,0.58789038,-57.448196,-40.843266,-52.324643,-28.207032,-27.475047,-43.122852,-52.324643,-32.227022,-43.122852,-35.618413,7,5,8,4,4,2,7,5,3,8,8,3,8,4,2,2,8,4,2,7,-2.0231423,0.59871709,2.0640936,1.2358081,0.8282855
