# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-05-08 07:53:25 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpCZXZ45/standata-16d8c69d6ba70.json
# init = 2 (Default)
# random
#   seed = 952318381
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202605080953-2-3dc4c8.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202605080953-2-05f147.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-18.484247,3.3592278e-06,1,1,1,0,19.475092,0.48005805,0.73726299,0.35392903,0.38333396,-30.709767,-26.02157,-27.880938,-23.580959,-24.10002,-27.885565,-27.880938,-23.945187,-27.885565,-31.241652,7,5,4,5,3,3,4,2,1,8,8,3,8,5,4,2,5,3,4,7,-1.5089471,0.24851099,2.3688674,0.58868958,1.7801778
-18.484247,0,2.3350791,0,1,1,20.243479,0.48005805,0.73726299,0.35392903,0.38333396,-30.709767,-26.02157,-27.880938,-23.580959,-24.10002,-27.885565,-27.880938,-23.945187,-27.885565,-31.241652,8,5,8,3,4,1,8,2,1,6,7,5,5,2,4,6,8,5,6,7,-1.5089471,0.52041481,1.3034646,0.6783423,0.62512234
-15.258085,0.99172378,0.23023767,2,3,0,18.797202,0.63893578,1.300791,0.83112191,0.46966909,-38.670017,-30.779563,-34.842555,-25.132554,-25.232698,-33.063258,-34.842555,-26.682793,-33.063258,-33.190132,8,4,5,6,4,3,7,3,3,6,8,2,5,3,7,4,7,7,1,8,-0.53375564,0.28036643,3.2785292,0.91918953,2.3593397
-14.522805,0.99507535,0.23456313,2,3,0,15.500438,0.72475052,1.6293762,1.1808912,0.44848496,-43.674006,-33.761826,-39.63248,-25.952736,-25.724792,-35.98803,-39.63248,-28.327442,-35.98803,-33.352147,5,3,7,5,4,4,8,5,2,7,8,3,6,4,4,3,4,5,2,4,-0.61824326,0.86976098,1.7433497,1.5162975,0.22705216
-17.077063,0.91256452,0.31233045,2,7,0,17.286825,0.39764847,1.9566242,0.77804862,1.1785756,-36.800453,-29.075139,-31.821018,-26.601456,-27.72866,-32.173064,-31.821018,-26.472652,-32.173064,-41.842141,8,5,6,6,4,1,5,4,1,8,8,5,6,6,5,4,8,4,2,6,-0.53531505,0.33854027,2.0305674,0.68742883,1.3431385
-15.639391,0.97575871,0.375736,2,3,0,17.682457,0.54412665,3.3945256,1.8470519,1.5474738,-44.956914,-33.440953,-38.58863,-27.500292,-28.086911,-37.093038,-38.58863,-28.724696,-37.093038,-42.184875,8,3,6,5,4,2,7,5,3,6,8,3,8,5,1,3,5,3,2,8,-1.610027,0.78108308,1.5538741,1.2137048,0.34016934
-14.650377,1,0.58904511,2,3,0,16.204877,0.84287439,2.5439728,2.1442495,0.39972326,-55.093871,-39.969291,-50.875297,-27.746218,-26.954841,-41.853388,-50.875297,-31.704287,-41.853388,-34.008082,8,3,8,5,3,2,8,5,2,8,7,3,7,4,4,2,8,5,3,7,-1.5051631,0.71807695,2.7092859,1.9454758,0.76381013
-14.250859,0.94925541,1.047395,2,3,0,14.384865,0.69852499,2.3855144,1.6663414,0.71917296,-47.224506,-35.363728,-42.0909,-26.870872,-26.730591,-38.126404,-42.0909,-29.358443,-38.126404,-36.197607,8,1,8,5,5,2,5,1,3,5,6,2,8,5,7,3,7,5,2,5,-0.92343966,0.61618148,1.4864925,0.91594915,0.57054335
-14.250859,0.0018305027,1.6381859,1,1,0,15.021878,0.69852499,2.3855144,1.6663414,0.71917296,-47.224506,-35.363728,-42.0909,-26.870872,-26.730591,-38.126404,-42.0909,-29.358443,-38.126404,-36.197607,7,4,8,3,3,3,7,3,4,6,7,5,7,5,3,3,8,3,2,6,-0.92343966,0.28048044,3.7214516,1.0437944,2.6776572
-14.562806,0.98735488,0.13058982,3,11,0,15.449923,0.70478037,1.6159608,1.1388974,0.47706334,-42.920469,-33.277209,-38.804599,-25.869378,-25.720253,-35.581762,-38.804599,-28.078157,-35.581762,-33.615754,7,1,6,6,4,5,7,4,2,7,5,2,8,3,2,6,4,3,2,7,-0.57478972,0.48948641,2.4053041,1.1773637,1.2279404
