# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-05-11 07:42:31 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpCZXZ45/standata-16d8c9576d19.json
# init = 2 (Default)
# random
#   seed = 1003540642
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202605110942-2-15fb41.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202605110942-2-962d50.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-24.901921,3.6786517e-05,1,1,1,0,25.673275,0.18836436,0.44097428,0.083063837,0.35791044,-1.7780547,-1.7280921,-2.4420776,-1.7912327,-1.7962863,-1.8196058,-2.028644,-1.222496,-1.8053661,-1.7280921,7,4,5,1,6,4,8,1,6,6,8,1,5,3,3,5,8,3,5,2,-4.0651235,0.089707557,0.91231445,0.081841501,0.83047295
-24.901921,0,2.335221,0,1,1,25.207746,0.18836436,0.44097428,0.083063837,0.35791044,-1.7780547,-1.7280921,-2.4420776,-1.7912327,-1.7962863,-1.8196058,-2.028644,-1.222496,-1.8053661,-1.7280921,4,7,7,4,8,5,5,2,8,1,6,5,6,1,7,4,8,2,7,5,-4.0651235,0.60264031,1.6262155,0.98002303,0.64619251
-23.197305,1,0.23025581,2,3,0,25.068614,0.17420752,0.59281811,0.10327337,0.48954473,-1.7204143,-1.6516614,-2.6404728,-1.7220489,-1.7282868,-1.7528001,-2.103036,-1.2045495,-1.7531181,-1.6516614,5,7,2,5,6,8,7,4,5,2,6,5,6,3,7,3,7,2,8,4,-2.8074682,0.62799958,2.4457621,1.5359375,0.90982452
-20.002279,1,0.23981491,3,7,0,23.308966,0.26515637,1.0479907,0.27788143,0.77010932,-1.5640429,-1.5150655,-2.722469,-1.6598226,-1.708792,-1.7383122,-2.0751811,-1.3469278,-1.6161662,-1.5150655,8,7,2,3,6,4,8,5,5,4,6,2,4,5,8,3,5,1,4,7,-0.95177582,0.49077308,3.0247619,1.4844717,1.5402902
-20.695047,0.99060144,0.3243665,3,7,0,21.867546,0.1727888,3.3244707,0.57443131,2.7500394,-1.4955468,-1.3488175,-3.5398514,-1.485818,-1.5089945,-1.5462577,-2.7671648,-1.2481814,-1.564345,-1.3488175,5,5,1,5,8,8,8,3,6,5,6,4,2,5,7,6,7,4,8,1,-2.0971826,0.46168606,2.7891546,1.2877138,1.5014408
-21.112946,0.91843522,0.4932445,2,7,0,23.0512,0.68165129,0.88580389,0.60380936,0.28199453,-1.5931728,-1.6222912,-1.6432902,-1.9686289,-2.4109812,-2.3409239,-1.5915418,-1.9523346,-1.5512516,-1.6222912,7,8,4,3,6,5,7,2,5,3,3,8,4,1,8,5,3,5,5,1,-1.1671343,0.22911281,2.9900118,0.68505,2.3049618
-20.461091,1,0.65356766,2,3,0,21.450057,0.25055715,4.3232952,1.0832325,3.2400627,-1.4046768,-1.3168545,-3.3263623,-1.5259958,-1.6003466,-1.6371513,-2.4751854,-1.4035929,-1.4865686,-1.3168545,4,4,2,2,7,6,7,2,3,2,7,4,6,4,7,4,8,3,7,2,-2.7590266,0.51892143,1.1006407,0.57114606,0.52949467
-20.461091,6.8374176e-10,1.1641294,1,3,1,21.727398,0.25055715,4.3232952,1.0832325,3.2400627,-1.4046768,-1.3168545,-3.3263623,-1.5259958,-1.6003466,-1.6371513,-2.4751854,-1.4035929,-1.4865686,-1.3168545,5,3,3,1,6,5,6,2,4,4,7,5,5,7,6,5,8,3,7,4,-2.7590266,0.43137885,2.8210037,1.2169213,1.6040823
-21.178262,0.99734456,0.092278416,3,7,0,21.350858,0.20569046,4.6011598,0.94641466,3.6547451,-1.4414793,-1.3157445,-3.5168919,-1.4890011,-1.5330703,-1.5720469,-2.7083027,-1.3198319,-1.5204723,-1.3157445,6,6,3,5,7,6,8,1,6,5,6,6,3,5,8,7,6,1,6,4,-3.1603204,0.41957833,1.2477822,0.52354238,0.72423984
-20.485536,1,0.16823211,3,7,0,21.557584,0.18410357,3.2706977,0.60214713,2.6685506,-1.484799,-1.3487462,-3.4909449,-1.4942486,-1.5229665,-1.5603043,-2.7017107,-1.2683579,-1.5553855,-1.3487462,6,6,4,3,6,3,6,2,6,4,8,6,6,2,7,7,6,1,6,6,-1.9986048,0.31346229,1.6630399,0.52130027,1.1417396
