# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-05-11 07:42:50 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpCZXZ45/standata-16d8c52bb8b48.json
# init = 2 (Default)
# random
#   seed = 1317732679
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202605110942-2-1a3574.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202605110942-2-4b74f7.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-21.190077,1.0043086e-08,1,1,1,0,22.989224,0.20148527,4.5436347,0.91547546,3.6281593,-1.4464324,-1.3172328,-3.5298819,-1.4865858,-1.5279507,-1.5669361,-2.7269201,-1.3114091,-1.524678,-1.3172328,5,3,3,3,7,8,6,4,4,3,6,6,3,5,4,7,8,3,5,4,-3.1215035,0.55738124,2.4833743,1.3841863,1.0991881
-21.190077,4.4731836e-271,2.3350648,1,2,1,21.347666,0.20148527,4.5436347,0.91547546,3.6281593,-1.4464324,-1.3172328,-3.5298819,-1.4865858,-1.5279507,-1.5669361,-2.7269201,-1.3114091,-1.524678,-1.3172328,7,5,2,2,6,5,8,3,5,3,6,4,3,3,7,5,6,3,4,3,-3.1215035,0.24054169,2.1568645,0.51881583,1.6380486
-19.126735,0.99978634,0.23023585,4,15,0,21.910186,0.50032788,3.1770377,1.5895606,1.5874772,-1.3454196,-1.3773937,-2.3827402,-1.7748305,-2.144932,-2.1118916,-1.7309482,-1.8690031,-1.3771898,-1.3773937,6,7,4,2,8,7,7,2,4,2,7,7,1,4,8,7,8,2,2,4,-1.4046474,0.87439661,1.9018899,1.6630061,0.23888381
-19.245262,0.99295133,0.23965493,3,7,0,19.476674,0.39299364,1.161806,0.45658236,0.70522362,-1.5017794,-1.4997239,-2.419988,-1.7248356,-1.8614577,-1.8810732,-1.8669303,-1.5518925,-1.5473991,-1.4997239,5,6,4,6,7,5,8,1,6,6,7,7,4,3,7,3,8,6,3,4,-0.60725599,0.20446448,1.7062666,0.34887092,1.3573957
-20.061712,0.98017169,0.31767202,3,7,0,20.903074,0.64258665,3.0503046,1.960085,1.0902196,-1.3914294,-1.440979,-1.9353344,-1.951107,-2.6498775,-2.492947,-1.5229488,-2.1511643,-1.3523545,-1.440979,2,8,3,1,6,6,8,3,4,6,5,5,3,4,6,7,6,2,4,2,-1.3767164,0.49636365,0.95517422,0.47411376,0.48106046
-20.15666,0.95165852,0.46785001,2,3,0,20.875381,0.48327986,0.87687338,0.42377525,0.45309813,-1.5531925,-1.5701334,-2.095625,-1.8132217,-2.0009428,-2.0080851,-1.7499914,-1.6501789,-1.5765652,-1.5701334,3,6,3,2,6,4,7,6,5,2,6,7,3,2,3,6,6,2,6,3,-1.0497844,0.79438625,1.4548012,1.1556741,0.29912712
-18.940093,1,0.68532139,2,3,0,19.69987,0.49755965,1.40287,0.69801152,0.70485851,-1.4593222,-1.4834842,-2.1981905,-1.792348,-2.0572719,-2.0487718,-1.725012,-1.7493596,-1.4846601,-1.4834842,6,7,1,3,8,5,8,1,4,3,7,4,5,4,7,5,7,5,5,3,-0.41039087,0.41414686,1.5859368,0.65681074,0.92912607
-18.940093,0.00036417048,1.2216499,1,1,0,19.461764,0.49755965,1.40287,0.69801152,0.70485851,-1.4593222,-1.4834842,-2.1981905,-1.792348,-2.0572719,-2.0487718,-1.725012,-1.7493596,-1.4846601,-1.4834842,2,6,2,4,7,4,6,2,2,2,6,4,6,5,7,6,8,3,6,4,-0.41039087,0.84450103,0.97261392,0.82137346,0.15124046
-18.595052,0.9968894,0.096993996,3,15,0,19.829449,0.42982787,2.3829393,1.0242537,1.3586856,-1.3809524,-1.3914662,-2.5422937,-1.7084817,-1.9419592,-1.9460021,-1.8519808,-1.7005381,-1.432123,-1.3914662,4,5,1,1,7,5,7,4,5,4,5,6,4,3,3,8,7,1,7,4,-0.76993537,0.81586264,2.3157215,1.8893107,0.42641086
-18.822985,0.99176765,0.17661763,3,13,0,19.120009,0.33635516,2.616442,0.88005376,1.7363883,-1.3961762,-1.3679214,-2.8733914,-1.6213291,-1.7556531,-1.7815581,-2.0792997,-1.536054,-1.4660917,-1.3679214,7,7,3,2,8,7,6,3,5,4,4,5,4,4,7,7,8,2,6,3,-1.0398083,0.46731942,1.1359877,0.53086909,0.60511857
