# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-05-11 07:42:57 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpCZXZ45/standata-16d8c85998d9.json
# init = 2 (Default)
# random
#   seed = 448664682
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202605110942-2-42468e.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202605110942-2-09c733.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-26.178772,0,2,0,1,1,26.563449,0.75516886,0.38023066,0.28713835,0.093092308,-1.8126765,-1.8214366,-1.4080707,-2.0511955,-2.3263827,-2.3086361,-1.7161206,-1.8245743,-1.7661837,-1.8214366,5,4,2,2,7,8,7,1,5,4,5,6,1,2,7,5,8,2,4,5,-4.6670811,0.55286623,3.7917679,2.0963404,1.6954275
-26.178772,0,2.3350648,0,1,1,26.603115,0.75516886,0.38023066,0.28713835,0.093092308,-1.8126765,-1.8214366,-1.4080707,-2.0511955,-2.3263827,-2.3086361,-1.7161206,-1.8245743,-1.7661837,-1.8214366,3,6,4,3,4,5,7,1,4,1,4,4,2,5,7,5,6,5,6,4,-4.6670811,0.28357541,1.6657335,0.47236106,1.1933724
-18.553455,0.98820658,0.23023585,3,7,0,27.545678,0.39437976,1.9471118,0.76790147,1.1792103,-1.4147963,-1.4127772,-2.5943933,-1.6865766,-1.8629473,-1.8787171,-1.9068444,-1.613808,-1.4704631,-1.4127772,3,4,4,4,8,7,8,5,2,4,8,7,3,3,8,8,6,2,5,3,-0.53375863,0.90367616,0.79607393,0.71939303,0.076680898
-18.731113,0.99411491,0.23237293,4,15,0,18.789683,0.47577355,1.5797525,0.75160444,0.82814802,-1.4382547,-1.4590888,-2.291761,-1.7676984,-2.0196759,-2.0156896,-1.7556666,-1.7302627,-1.4713266,-1.4590888,7,2,3,4,5,2,8,2,6,4,5,2,4,1,8,7,7,3,5,7,-0.39122267,0.36762788,1.6461953,0.60518727,1.041008
-18.656826,0.97728531,0.30835722,3,7,0,19.291032,0.36134981,1.7486001,0.63185632,1.1167438,-1.4395664,-1.4251844,-2.6596497,-1.6671943,-1.8042568,-1.8268708,-1.9629946,-1.5447746,-1.4984133,-1.4251844,4,5,1,3,8,6,7,4,3,3,2,4,1,4,7,5,6,1,4,7,-0.49524458,0.91232865,2.6548558,2.422101,0.2327548
-18.814666,0.89954155,0.44965793,3,7,0,19.627339,0.31278554,2.2827011,0.7139959,1.5687052,-1.4229905,-1.3838654,-2.90729,-1.6109488,-1.7186669,-1.7478584,-2.1204865,-1.4826546,-1.492355,-1.3838654,5,4,4,4,7,5,7,3,6,4,5,3,1,3,5,5,8,2,6,1,-0.83169785,0.50032165,2.7303761,1.3660662,1.3643098
-18.689593,0.96970013,0.56092223,2,7,0,19.149115,0.45255284,2.5852023,1.1699407,1.4152617,-1.3684954,-1.3864431,-2.4909497,-1.727834,-1.9995001,-1.9941506,-1.8123386,-1.7524596,-1.4145218,-1.3864431,4,5,3,6,8,7,5,4,5,3,3,5,3,3,6,6,8,3,2,6,-0.91092095,0.77321184,1.2737703,0.98489428,0.28887602
-18.689593,0.90280575,0.90688592,1,3,0,18.726294,0.45255284,2.5852023,1.1699407,1.4152617,-1.3684954,-1.3864431,-2.4909497,-1.727834,-1.9995001,-1.9941506,-1.8123386,-1.7524596,-1.4145218,-1.3864431,6,6,3,2,6,8,8,4,4,4,6,4,2,2,7,7,8,1,7,4,-0.91092095,0.39967243,2.8709984,1.1474589,1.7235395
-18.689593,0.17647945,1.2240646,1,3,0,19.006129,0.45255284,2.5852023,1.1699407,1.4152617,-1.3684954,-1.3864431,-2.4909497,-1.727834,-1.9995001,-1.9941506,-1.8123386,-1.7524596,-1.4145218,-1.3864431,6,5,5,6,8,4,7,4,8,5,7,3,5,4,5,4,6,1,5,3,-0.91092095,0.23362428,0.93574,0.21861158,0.71712842
-19.048581,0.99351683,0.16914605,3,7,0,19.161373,0.39352773,3.2978004,1.2977759,2.0000245,-1.3515925,-1.3489057,-2.7433593,-1.662458,-1.8715851,-1.8836709,-1.9593403,-1.6631154,-1.4159995,-1.3489057,4,4,4,1,8,7,7,4,4,6,4,4,3,4,8,4,5,2,6,5,-1.5602046,0.59866053,1.9406801,1.1618086,0.77887151
