# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-05-11 07:42:45 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpCZXZ45/standata-16d8c64724f41.json
# init = 2 (Default)
# random
#   seed = 1899146688
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202605110942-2-493fb4.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202605110942-2-96be3e.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-19.234343,1,1,1,1,0,20.70833,0.29979955,3.0819042,0.92395349,2.1579507,-1.3977284,-1.3478265,-3.0491807,-1.5824004,-1.689343,-1.720536,-2.2162056,-1.4796213,-1.4736433,-1.3478265,2,7,3,2,5,4,6,3,4,1,3,3,4,3,6,4,8,4,7,3,-1.4945497,0.51594394,0.5363481,0.27672555,0.25962255
-19.234343,0,14.38551,0,1,1,20.093246,0.29979955,3.0819042,0.92395349,2.1579507,-1.3977284,-1.3478265,-3.0491807,-1.5824004,-1.689343,-1.720536,-2.2162056,-1.4796213,-1.4736433,-1.3478265,5,6,4,2,7,6,6,4,8,2,8,4,3,4,4,3,8,1,6,3,-1.4945497,0.68690067,2.4032488,1.6507932,0.75245559
-19.234343,1.1153147e-132,2.4311673,1,2,1,19.984737,0.29979955,3.0819042,0.92395349,2.1579507,-1.3977284,-1.3478265,-3.0491807,-1.5824004,-1.689343,-1.720536,-2.2162056,-1.4796213,-1.4736433,-1.3478265,3,3,1,4,6,5,8,1,5,3,6,5,2,4,7,4,5,2,6,4,-1.4945497,0.27021483,0.90398264,0.24426952,0.65971312
-18.851707,1,0.23979141,2,3,0,19.250106,0.34624903,2.7589841,0.95529556,1.8036885,-1.3861413,-1.3624453,-2.8560473,-1.6268533,-1.7732347,-1.7973409,-2.0604962,-1.5585863,-1.4558313,-1.3624453,3,7,1,5,4,5,5,5,6,2,5,2,3,5,5,2,8,3,6,3,-1.1415217,0.54418001,2.0727562,1.1279525,0.9448037
-18.549915,1,0.32433241,2,3,0,18.901435,0.43414096,2.1577735,0.93677787,1.2209956,-1.3934695,-1.4050397,-2.502056,-1.7164162,-1.9470823,-1.9510897,-1.8373038,-1.6971692,-1.4420941,-1.4050397,7,4,5,4,6,7,8,3,8,6,3,4,3,3,5,8,8,1,6,4,-0.61843571,0.45387477,1.0840559,0.49202564,0.5920303
-19.505965,0.88834848,0.50720558,2,3,0,19.555714,0.21703671,2.0895699,0.45351337,1.6360565,-1.4946215,-1.3984231,-3.1939291,-1.5517003,-1.5923047,-1.6268786,-2.3971316,-1.3089389,-1.5610269,-1.3984231,6,6,2,1,8,7,4,2,4,5,5,4,4,7,7,7,7,2,5,5,-0.9471872,0.74228854,2.2356387,1.659489,0.57614972
-19.787773,0.87233552,0.61338271,2,3,0,20.174508,0.58709963,3.4073193,2.0004359,1.4068834,-1.356871,-1.4041674,-2.1199214,-1.88009,-2.4475409,-2.3449844,-1.5918626,-2.0532273,-1.3489832,-1.4041674,4,8,3,4,8,3,7,4,4,3,6,5,1,7,6,8,7,5,7,3,-1.6447736,0.53741155,1.4394997,0.77360378,0.66589594
-21.003261,0.59500845,0.73351248,2,3,0,21.578611,0.18694063,0.94505848,0.17666983,0.76838865,-1.6260983,-1.5413456,-2.8814533,-1.6384901,-1.6541765,-1.6825555,-2.212354,-1.2286239,-1.6709886,-1.5413456,7,7,2,2,8,6,7,3,4,3,6,3,4,6,7,5,8,1,4,3,-1.3854059,0.76015003,2.1925821,1.6666914,0.52589077
-19.921672,0.96406664,0.37555254,2,3,0,22.00004,0.18760982,2.3437854,0.43971716,1.9040683,-1.5082994,-1.3862173,-3.3456562,-1.52304,-1.5503122,-1.5856072,-2.5533246,-1.2628231,-1.5734911,-1.3862173,6,4,2,7,7,6,8,2,6,6,4,6,2,6,5,3,8,1,7,5,-1.2172853,0.34289778,0.86775266,0.29755047,0.5702022
-19.617763,0.9159655,0.62056618,2,7,0,21.916129,0.53107029,3.7025627,1.966321,1.7362416,-1.3343276,-1.3740709,-2.3104263,-1.8104214,-2.2587718,-2.200678,-1.6794338,-1.9484885,-1.3541042,-1.3740709,5,6,3,5,4,4,8,2,4,6,6,5,1,2,7,4,8,3,8,2,-1.8918318,0.24403569,0.97044459,0.23682312,0.73362147
