# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-05-11 07:43:04 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpCZXZ45/standata-16d8c14992e19.json
# init = 2 (Default)
# random
#   seed = 111370224
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202605110943-1-373547.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202605110943-1-5abda9.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-23.333648,0.10051782,1,2,3,0,23.776456,0.083258225,4.0150335,0.33428456,3.6807489,-1.6019332,-1.3518583,-3.9661576,-1.4202454,-1.4101208,-1.4435831,-3.502499,-1.0883067,-1.6462429,-1.3518583,3,4,5,2,7,6,6,2,5,3,6,5,3,4,8,6,8,1,6,6,-3.3681504,0.58451748,1.4347792,0.83865352,0.59612568
-23.333648,0,2.8033056,0,1,1,23.721205,0.083258225,4.0150335,0.33428456,3.6807489,-1.6019332,-1.3518583,-3.9661576,-1.4202454,-1.4101208,-1.4435831,-3.502499,-1.0883067,-1.6462429,-1.3518583,7,5,2,7,5,6,8,4,6,2,5,5,6,4,6,6,8,3,7,5,-3.3681504,0.26075809,2.5022519,0.65248242,1.8497695
-20.942684,0.99632162,0.29178784,2,3,0,23.398368,0.1214243,1.6999255,0.20641227,1.4935132,-1.6042901,-1.4421563,-3.4168838,-1.5223617,-1.5226316,-1.5530551,-2.683878,-1.1425441,-1.6500069,-1.4421563,5,5,2,4,5,3,8,2,5,4,7,4,3,4,7,5,8,1,4,6,-1.255387,0.093498882,2.046458,0.19134154,1.8551165
-20.901997,0.9523904,0.31038605,2,7,0,21.824959,0.18301842,0.98964956,0.18112409,0.80852546,-1.6210187,-1.5319421,-2.9186737,-1.6291543,-1.6442181,-1.6728473,-2.2366619,-1.2243521,-1.6665703,-1.5319421,3,8,3,2,7,7,6,5,8,3,7,4,4,3,7,4,7,3,3,5,-1.3139043,0.61145818,1.3421742,0.82068337,0.52149079
-23.382265,0.98252564,0.37331614,3,7,0,23.469602,0.81427098,3.6258338,2.9524113,0.67342256,-1.5132148,-1.548706,-1.4489591,-2.2298432,-3.7529259,-3.1772458,-1.354696,-2.5496179,-1.3385609,-1.548706,2,2,4,3,3,7,5,1,5,5,3,6,2,2,8,6,6,4,5,6,-2.3189451,0.66302913,0.73167775,0.48512366,0.24655409
-21.637076,1,0.55757273,2,3,0,24.474727,0.76238263,1.0018454,0.76378952,0.23805587,-1.6106486,-1.6363335,-1.4791878,-2.0490475,-2.7006104,-2.5483908,-1.5286502,-2.1158347,-1.5254056,-1.6363335,5,5,5,4,8,7,8,3,7,4,6,8,3,2,7,6,6,2,2,1,-1.1000769,0.32568646,2.6497116,0.86297519,1.7867364
-20.278725,0.25931589,0.95153981,2,3,0,22.747676,0.50909596,0.86124183,0.43845474,0.4227871,-1.5583324,-1.5788062,-2.029539,-1.8326921,-2.0427563,-2.0445004,-1.7256859,-1.6852778,-1.5753422,-1.5788062,5,5,2,2,7,7,4,2,2,4,2,7,6,3,8,4,8,4,4,7,-1.0909812,0.6069014,3.3028026,2.0044756,1.2983271
-21.130591,0.9740311,0.17005221,3,15,0,25.08836,0.13385616,1.1909424,0.15941498,1.0315274,-1.6317238,-1.501136,-3.1703243,-1.5783376,-1.5807094,-1.6088883,-2.4475102,-1.1562815,-1.673643,-1.501136,3,6,2,5,7,6,5,5,7,3,7,3,6,6,6,5,7,2,7,3,-1.3009524,0.96200253,1.2412343,1.1940706,0.04716376
-20.749845,0.98811639,0.28250649,2,3,0,21.72292,0.13746091,1.4579706,0.20041396,1.2575566,-1.6041215,-1.4642042,-3.2776519,-1.5501621,-1.5545177,-1.5845578,-2.5359271,-1.1652953,-1.6507501,-1.4642042,2,6,2,3,8,8,6,5,2,2,6,4,4,3,5,4,8,2,5,5,-1.1432085,0.84801759,1.8612054,1.5783349,0.28287048
-21.401067,0.96986213,0.50295725,1,1,0,21.417877,0.10965601,1.337797,0.14669748,1.1910995,-1.640575,-1.4839987,-3.3158788,-1.550318,-1.5470416,-1.5748132,-2.5937214,-1.1209908,-1.6791846,-1.4839987,5,6,1,3,6,5,6,3,6,1,8,3,3,4,8,4,8,1,4,5,-1.3750162,0.59369085,5.0942404,3.0244039,2.0698365
