# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-05-11 07:43:22 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpCZXZ45/standata-16d8c43231f44.json
# init = 2 (Default)
# random
#   seed = 1806328891
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202605110943-1-757a65.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202605110943-1-31a94c.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-35.392344,1.4372962e-20,1,1,1,0,37.976851,0.35058565,0.14652763,0.051370485,0.095157148,-1.9460939,-2.0299117,-2.0203456,-2.0561957,-1.1860215,-1.9618068,-2.0280673,-2.7236178,-2.0458615,-2.337987,4,5,4,7,8,3,6,5,6,7,6,8,7,3,6,1,6,8,6,8,-11.65606,0.58066519,3.7274661,2.1644098,1.5630563
-35.392344,0,2.3350648,0,1,1,35.449915,0.35058565,0.14652763,0.051370485,0.095157148,-1.9460939,-2.0299117,-2.0203456,-2.0561957,-1.1860215,-1.9618068,-2.0280673,-2.7236178,-2.0458615,-2.337987,2,4,4,5,8,6,6,5,2,8,2,6,2,6,5,2,4,4,7,8,-11.65606,0.21631126,3.2837891,0.71032056,2.5734685
-30.068937,0.98763237,0.23023585,2,3,0,36.255285,0.36405599,0.24503304,0.089205747,0.1558273,-1.8974917,-1.8921734,-1.9193244,-1.9451908,-1.1294478,-1.827548,-1.8890204,-3.0372142,-1.947088,-2.4083426,4,5,8,7,6,3,4,7,4,8,6,7,3,3,8,2,3,6,3,7,-7.3066413,0.4752084,3.523372,1.674336,1.849036
-24.853958,0.9910598,0.23201765,3,11,0,37.317891,0.77540796,0.75441559,0.58497985,0.16943573,-1.5434717,-1.669662,-2.0464148,-2.0481472,-1.8833963,-1.5482137,-1.6888602,-3.3519205,-1.5230777,-3.7200007,5,3,6,6,8,4,6,8,7,8,4,4,4,5,5,3,7,7,5,8,-1.801146,0.34870584,1.5586955,0.54352623,1.0151693
-24.63077,0.99970243,0.30517623,2,3,0,25.194115,0.78912441,0.93330383,0.73649284,0.19681099,-1.5110689,-1.6392129,-2.0722556,-2.0787084,-1.9691334,-1.5159415,-1.6604431,-3.4972838,-1.4730162,-4.031226,2,5,6,6,8,1,6,3,3,8,4,6,8,8,7,3,5,6,3,6,-1.3201369,0.66256562,1.0283777,0.68136769,0.34700998
-24.525469,0.86141936,0.47556402,2,3,0,25.98285,0.7189977,2.4495927,1.7612515,0.6883412,-1.5216754,-1.4601236,-2.0607695,-2.0628296,-1.9875799,-1.3332357,-1.5045438,-4.5509454,-1.3497331,-4.9791871,3,4,6,5,6,4,5,8,5,7,2,7,5,8,4,2,7,7,4,8,-1.0114783,0.46795199,2.5599717,1.1979439,1.3620278
-28.813777,0.67809653,0.52867984,2,7,0,30.653147,0.90540766,2.6405759,2.3907977,0.24977825,-1.3316571,-1.6392445,-2.3551277,-2.4590662,-2.5748688,-1.5298179,-1.6480204,-3.9652903,-1.283086,-6.5240675,4,2,5,8,7,2,6,6,5,7,4,4,4,6,6,1,6,6,2,8,-2.0169788,0.70026445,2.0882188,1.4623054,0.6259134
-23.07823,0.99548305,0.3445282,3,7,0,30.152301,0.64932434,1.0681461,0.69357324,0.37457283,-1.6176737,-1.5437837,-1.9374213,-1.9240007,-1.6674391,-1.4347238,-1.5769915,-3.9631919,-1.5089674,-3.7237553,3,8,7,8,7,5,3,8,8,5,4,2,4,7,3,2,5,7,3,5,-0.76648943,0.3930103,0.80038169,0.31455825,0.48582344
-24.007167,0.63871097,0.61646717,2,3,0,24.468335,0.62363314,2.8449,1.7741739,1.0707261,-1.6318518,-1.3894731,-1.9398486,-1.9172795,-1.7301791,-1.2794677,-1.4374878,-5.0767358,-1.4065218,-4.6171775,2,5,2,6,8,7,4,6,4,8,7,2,4,6,8,3,4,7,4,7,-1.1772881,0.52528742,1.4481517,0.76069586,0.68745581
-23.840667,0.97210373,0.36547457,2,7,0,25.994159,0.2861033,2.5137837,0.71920182,1.7945819,-2.0981603,-1.426479,-1.5767154,-1.5483409,-0.82394767,-1.4210412,-1.3710985,-6.7629907,-1.8696611,-3.2268079,6,5,2,5,6,5,6,7,4,6,5,5,5,7,7,3,7,8,4,5,-1.0487945,0.21144648,4.8176549,1.0186762,3.7989787
-23.217606,0.80373338,0.62693547,2,3,0,24.643782,0.51890618,0.75760289,0.39312482,0.36447807,-1.7450516,-1.5885256,-1.8360233,-1.8249853,-1.3450925,-1.5061977,-1.6085663,-3.9171004,-1.6550185,-3.0968785,5,8,4,5,7,5,5,6,3,7,6,6,3,7,6,3,5,8,3,6,-1.4288454,0.22138027,2.2757113,0.50379759,1.7719137
-22.552464,1,0.63636864,2,3,0,23.009484,0.56013608,1.6470266,0.92255899,0.72446756,-1.7029777,-1.4406591,-1.8515831,-1.8252327,-1.5028498,-1.3491507,-1.4761228,-4.7367654,-1.5171063,-3.8388452,7,3,4,7,5,4,5,7,3,8,5,6,4,6,7,4,6,8,1,7,-0.40927719,0.63258169,1.4612221,0.92434234,0.53687976
-22.552464,0.019475038,1.204603,1,3,0,23.703483,0.56013608,1.6470266,0.92255899,0.72446756,-1.7029777,-1.4406591,-1.8515831,-1.8252327,-1.5028498,-1.3491507,-1.4761228,-4.7367654,-1.5171063,-3.8388452,4,5,3,7,8,5,6,8,5,6,2,6,7,2,7,7,4,7,3,4,-0.40927719,0.13733992,2.2181726,0.30464364,1.9135289
-22.566124,0.99990312,0.10522606,2,3,0,22.570075,0.56199679,1.6591786,0.93245308,0.72672557,-1.7009372,-1.4399012,-1.853586,-1.8272554,-1.5082724,-1.3478962,-1.4756767,-4.738626,-1.51459,-3.8519678,3,5,4,8,5,2,5,7,6,8,1,5,5,6,8,5,4,7,3,8,-0.41194954,0.72933917,1.3937515,1.0165176,0.37723395
-22.568806,0.99936825,0.20122496,2,3,0,22.606809,0.55970633,1.6811742,0.94096385,0.74021036,-1.7037121,-1.4373127,-1.8512413,-1.8245499,-1.5036679,-1.3458826,-1.473005,-4.7630937,-1.5153306,-3.8553539,5,7,4,5,6,3,2,8,6,7,7,4,4,6,2,6,6,8,2,8,-0.41449266,0.33429442,3.6950648,1.2352396,2.4598252
-22.436046,0.9915173,0.3825168,2,5,0,22.758904,0.43912735,1.7662727,0.77561868,0.99065407,-1.8516408,-1.4220666,-1.7299612,-1.69958,-1.2041971,-1.3652711,-1.4343339,-5.3268785,-1.6431374,-3.4916042,3,5,5,7,5,2,4,7,5,7,2,5,6,7,8,2,8,8,4,7,-0.43501951,0.61736886,1.5246117,0.94124777,0.58336391
-22.545745,0.89161579,0.70532904,2,3,0,22.666324,0.46165114,0.99159434,0.45777066,0.53382368,-1.8006086,-1.5265624,-1.7758508,-1.7594065,-1.238002,-1.4589017,-1.5407611,-4.4181941,-1.6670416,-3.1575436,3,4,4,7,6,2,5,8,4,7,3,4,4,5,6,4,6,6,4,6,-0.80223744,0.59808498,1.5307009,0.9154892,0.61521168
-22.545745,0.014298857,0.95155425,1,1,0,23.307251,0.46165114,0.99159434,0.45777066,0.53382368,-1.8006086,-1.5265624,-1.7758508,-1.7594065,-1.238002,-1.4589017,-1.5407611,-4.4181941,-1.6670416,-3.1575436,1,4,6,5,7,4,5,7,6,7,2,6,6,7,6,4,4,7,1,7,-0.80223744,0.54832281,1.6361014,0.89711174,0.73898971
-23.351591,0.99683751,0.089596102,4,31,0,23.509247,0.34281277,2.4465472,0.83870761,1.6078396,-2.0090101,-1.4011949,-1.6282207,-1.5951365,-0.96642601,-1.3781101,-1.3765957,-6.3444557,-1.7717487,-3.3847178,7,8,6,8,7,5,5,8,5,6,4,3,8,6,8,4,5,8,3,7,-0.90029588,0.1284512,2.0585308,0.26442075,1.79411
-23.296738,1,0.16815263,1,1,0,23.361278,0.34217455,2.3912515,0.81822542,1.5730261,-2.0079119,-1.4041812,-1.628594,-1.5960639,-0.96504371,-1.3809689,-1.3794328,-6.3102544,-1.7728998,-3.3710102,2,6,4,7,4,1,7,7,5,7,4,5,8,5,8,6,5,8,3,6,-0.86094441,0.67387965,1.4190098,0.95624179,0.46276796
-23.063257,0.99828195,0.31568446,3,7,0,24.704728,0.62014053,1.9306868,1.1972971,0.73338965,-1.6353308,-1.4351549,-1.9214733,-1.8998262,-1.676776,-1.3282019,-1.4777027,-4.691968,-1.4470053,-4.2217719,2,8,1,4,8,3,4,8,6,7,4,4,4,6,5,2,5,8,2,8,-0.54015889,0.1365797,1.3309764,0.18178435,1.149192
-28.29822,0.30546374,0.58397096,2,3,0,29.107501,0.40776445,7.6438308,3.1168824,4.5269484,-1.9761452,-1.2872973,-1.6775169,-1.6248025,-1.1487876,-1.251169,-1.2908564,-7.3725176,-1.6543817,-4.1436513,6,7,3,4,7,3,6,7,6,6,3,6,5,6,8,5,5,6,6,8,-5.4840775,0.24177017,3.0254081,0.73145342,2.2939547
-23.080542,0.99533277,0.14034776,2,7,0,29.440205,0.39860385,2.4195361,0.9644364,1.4550997,-1.9266904,-1.3847755,-1.6815777,-1.6454841,-1.1085198,-1.3436561,-1.3842448,-5.9984341,-1.6850121,-3.5590119,7,3,5,7,8,2,3,8,4,7,4,4,3,5,7,4,5,5,3,4,-0.81842249,0.11903493,3.561026,0.42388649,3.1371395
-23.285361,0.98652722,0.25676813,1,1,0,23.28828,0.39445505,2.6037409,1.0270587,1.5766821,-1.937856,-1.3768978,-1.6754777,-1.6380447,-1.0986733,-1.337892,-1.3747274,-6.1322295,-1.6893886,-3.5872057,2,7,4,7,8,4,5,7,5,6,4,5,1,6,6,6,3,8,4,6,-0.96204067,0.4469125,1.7985388,0.80378947,0.99474931
-22.294242,1,0.45348441,2,3,0,23.134585,0.45689475,1.3021419,0.59494179,0.70720009,-1.8150234,-1.4726648,-1.7574288,-1.7340103,-1.2367593,-1.4083408,-1.4878025,-4.8143112,-1.6446899,-3.333354,5,5,3,3,6,4,3,8,3,8,4,6,6,2,5,4,5,8,4,7,-0.46011332,0.31112462,1.5599732,0.48534606,1.0746271
-22.294242,0.050450332,0.82452421,1,1,0,23.818326,0.45689475,1.3021419,0.59494179,0.70720009,-1.8150234,-1.4726648,-1.7574288,-1.7340103,-1.2367593,-1.4083408,-1.4878025,-4.8143112,-1.6446899,-3.333354,4,5,4,5,7,3,6,8,7,7,3,6,4,5,6,2,8,6,3,6,-0.46011332,0.088763124,2.06715,0.18348669,1.8836633
-24.064429,0.98956431,0.10076213,4,15,0,24.544178,0.63978376,0.6695078,0.42834022,0.24116758,-1.652836,-1.6398774,-1.9317275,-1.9235186,-1.5758404,-1.5348115,-1.6643036,-3.5166209,-1.6028523,-3.257411,5,2,6,6,6,1,5,8,3,6,2,1,3,8,7,3,8,8,2,4,-1.8957413,0.41125255,2.2057875,0.90713573,1.2986518
-25.10449,0.99335455,0.17843831,3,15,0,25.681737,0.2359114,3.1071908,0.73302175,2.3741691,-2.2035952,-1.4413138,-1.5232751,-1.4967206,-0.69106961,-1.4536721,-1.3485649,-7.5574145,-1.9737422,-3.1661421,3,6,5,6,7,3,3,7,3,8,1,5,4,7,7,4,5,8,5,6,-1.6693285,0.52762488,1.0531151,0.55564973,0.49746538
