# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-05-11 07:43:10 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpCZXZ45/standata-16d8cdd9b9fc.json
# init = 2 (Default)
# random
#   seed = 609297770
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202605110943-1-8a8706.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202605110943-1-1b84ca.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-19.655841,1,0.5,2,3,0,20.627757,0.63649152,2.4544155,1.5622146,0.89220084,-1.4116545,-1.4582323,-1.9233635,-1.9363529,-2.5670884,-2.4363347,-1.5392434,-2.1019608,-1.3780342,-1.4582323,5,3,4,4,3,6,7,3,8,3,5,6,2,5,7,6,6,4,7,3,-0.87949549,0.15831969,5.1065146,0.80846179,4.2980528
-19.655841,0,14.38551,0,1,1,21.45648,0.63649152,2.4544155,1.5622146,0.89220084,-1.4116545,-1.4582323,-1.9233635,-1.9363529,-2.5670884,-2.4363347,-1.5392434,-2.1019608,-1.3780342,-1.4582323,5,6,4,4,7,7,8,2,6,2,3,6,3,6,7,6,8,2,3,3,-0.87949549,0.20417352,1.5823345,0.3230708,1.2592637
-19.655841,1.1922338e-212,2.4311673,1,1,0,20.743812,0.63649152,2.4544155,1.5622146,0.89220084,-1.4116545,-1.4582323,-1.9233635,-1.9363529,-2.5670884,-2.4363347,-1.5392434,-2.1019608,-1.3780342,-1.4582323,7,8,4,3,6,7,7,3,6,3,6,7,1,6,7,8,7,7,5,4,-0.87949549,0.48848162,1.7088905,0.83476162,0.87412893
-22.272365,0.95700286,0.23979141,3,15,0,23.595677,0.085731572,1.1312405,0.096983024,1.0342574,-1.6827973,-1.5194285,-3.2839036,-1.5677786,-1.5595386,-1.5843593,-2.5818417,-1.0850378,-1.7124707,-1.5194285,7,4,3,3,7,5,8,3,6,3,5,6,4,7,4,5,7,1,5,5,-1.7529298,0.19143364,2.7129708,0.51935386,2.1936169
-22.45423,1,0.28683868,2,3,0,22.519269,0.077777647,1.1551835,0.089847458,1.0653361,-1.6885752,-1.5170776,-3.3220647,-1.5613407,-1.5517193,-1.5761376,-2.6243273,-1.073266,-1.716316,-1.5170776,4,7,1,5,8,8,6,7,6,3,8,2,3,5,8,5,8,1,6,4,-1.8157172,0.70959013,2.2035674,1.5636297,0.63993773
-21.059021,0.98914487,0.44618056,2,3,0,23.167701,0.12511304,2.5079657,0.3137792,2.1941865,-1.5686386,-1.3883326,-3.6025041,-1.4811519,-1.4835455,-1.5170995,-2.8908062,-1.1560329,-1.6217028,-1.3883326,8,6,5,4,7,7,8,3,6,5,7,6,4,2,7,3,8,1,5,2,-1.6681479,0.29156193,2.3849128,0.69534978,1.689563
-20.388675,0.95383273,0.73213316,2,3,0,21.435668,0.20962058,1.0711715,0.2245396,0.84663192,-1.5908474,-1.5132823,-2.8882083,-1.6287855,-1.6543492,-1.6841687,-2.1997589,-1.2658616,-1.6409661,-1.5132823,2,6,3,2,6,5,7,4,2,5,6,6,4,2,5,6,7,2,3,4,-1.0802195,0.66215644,2.7434708,1.8166069,0.92686393
-20.388675,0.00088094996,1.1316427,1,1,0,20.96719,0.20962058,1.0711715,0.2245396,0.84663192,-1.5908474,-1.5132823,-2.8882083,-1.6287855,-1.6543492,-1.6841687,-2.1997589,-1.2658616,-1.6409661,-1.5132823,4,5,3,2,8,8,7,3,4,2,6,6,6,7,7,7,8,4,5,5,-1.0802195,0.73775378,5.1924454,3.8307462,1.3616992
-20.290966,0.99757474,0.089927368,5,31,0,21.515794,0.62728931,3.6000522,2.2582742,1.3417779,-1.3684895,-1.4194201,-2.0026176,-1.9351943,-2.6235635,-2.4725103,-1.5362425,-2.1443297,-1.3375258,-1.4194201,8,5,5,4,6,6,8,2,8,1,6,6,1,3,7,7,6,2,8,4,-1.8593008,0.31162486,3.1279415,0.97474433,2.1531971
-19.540386,1,0.16404467,4,15,0,20.595357,0.41790986,1.0372032,0.43345746,0.60374579,-1.5204751,-1.5251691,-2.3131185,-1.7528269,-1.9007335,-1.9174255,-1.8258189,-1.5763434,-1.5597372,-1.5251691,7,2,4,5,8,5,8,5,2,5,6,5,1,7,6,2,5,2,8,2,-0.74647701,0.16670909,2.1557164,0.35937751,1.7963389
-19.317489,1,0.30701286,2,7,0,19.827443,0.47826118,1.1419681,0.54615901,0.59580908,-1.497453,-1.5160189,-2.1895212,-1.7884741,-2.0041186,-2.0066683,-1.7504275,-1.6847113,-1.525589,-1.5160189,7,7,7,5,5,4,8,2,3,3,5,5,3,3,8,5,5,1,7,4,-0.58305441,0.37772873,0.95565664,0.36097897,0.59467766
-19.057964,0.72406464,0.57973982,2,3,0,20.412265,0.27501729,2.3587581,0.64869925,1.7100588,-1.4402299,-1.379214,-3.045441,-1.5804931,-1.6599635,-1.6928424,-2.237969,-1.4173671,-1.5116985,-1.379214,4,6,1,5,7,7,6,4,7,1,7,6,5,4,4,3,8,1,6,6,-0.95913805,0.50552472,2.1277445,1.0756275,1.0521171
-20.201376,0.65914561,0.46036341,2,3,0,21.415483,0.35071023,0.88092779,0.30895039,0.5719774,-1.5675373,-1.5538008,-2.4194368,-1.730204,-1.817924,-1.8430596,-1.9080986,-1.4577807,-1.6117989,-1.5538008,6,7,6,3,7,5,8,2,6,3,4,7,3,3,7,3,5,3,7,5,-1.1314833,0.26539314,2.7993063,0.74291669,2.0563897
-19.571454,1,0.30006792,3,7,0,20.505642,0.41799953,1.0266788,0.42915124,0.59752753,-1.5225644,-1.5272562,-2.3092326,-1.753891,-1.9009602,-1.9177384,-1.8253603,-1.5751417,-1.5616103,-1.5272562,2,5,4,3,8,7,8,6,7,3,6,3,6,3,4,6,6,1,4,6,-0.76321268,0.92258681,4.128156,3.8085823,0.31957373
-18.589785,1,0.57070357,1,3,0,19.326076,0.36896417,2.0185444,0.74477056,1.2737738,-1.416521,-1.4045947,-2.6848967,-1.6634204,-1.8161593,-1.8369467,-1.9640457,-1.5723276,-1.4771794,-1.4045947,7,4,2,3,7,8,8,2,6,1,5,5,6,3,6,5,7,2,5,4,-0.59402728,0.68944927,1.0482755,0.72273277,0.32554272
-18.589785,0.073122995,1.0798778,1,3,0,20.059121,0.36896417,2.0185444,0.74477056,1.2737738,-1.416521,-1.4045947,-2.6848967,-1.6634204,-1.8161593,-1.8369467,-1.9640457,-1.5723276,-1.4771794,-1.4045947,4,6,1,2,8,6,8,2,5,4,7,4,3,4,6,5,6,2,6,3,-0.59402728,0.85093578,1.7188916,1.4626663,0.25622523
-18.644609,0.99871994,0.11715255,3,15,0,18.782776,0.41197369,1.6286236,0.67095008,0.95767354,-1.4385351,-1.4424175,-2.4844823,-1.7120306,-1.8933029,-1.9066555,-1.8591477,-1.6241209,-1.4875199,-1.4424175,6,7,4,2,7,6,7,5,4,5,4,3,3,1,8,6,5,1,5,7,-0.42393464,0.63126491,2.0855846,1.3165564,0.76902823
-18.721064,0.9981367,0.22213981,3,15,0,18.7756,0.36217318,2.5636897,0.92849967,1.6351901,-1.3883795,-1.3725604,-2.7812484,-1.6442347,-1.803411,-1.8246197,-2.0094516,-1.5820943,-1.4545235,-1.3725604,6,3,1,2,4,7,8,3,3,2,6,6,7,5,4,6,8,1,6,3,-0.96410677,0.70331682,1.5268182,1.0738369,0.45298127
