# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-05-11 07:43:32 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpCZXZ45/standata-16d8c33de67e1.json
# init = 2 (Default)
# random
#   seed = 556876323
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202605110943-2-1bc736.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202605110943-2-18485b.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-25.331114,0.95430683,0.5,2,7,0,30.981048,0.10973136,0.92581366,0.1015908,0.82422287,-2.1957422,-1.6860735,-1.5689795,-1.5895393,-0.53017597,-1.6925453,-1.5554719,-5.6465665,-2.1205157,-2.4730615,4,7,1,5,7,3,4,8,7,8,3,6,2,3,8,1,2,7,5,6,-1.8694085,0.25970462,3.696979,0.96012252,2.7368565
-25.331114,0,13.238682,0,1,1,26.198171,0.10973136,0.92581366,0.1015908,0.82422287,-2.1957422,-1.6860735,-1.5689795,-1.5895393,-0.53017597,-1.6925453,-1.5554719,-5.6465665,-2.1205157,-2.4730615,5,8,3,5,7,4,6,4,7,5,5,7,2,4,8,6,3,8,5,8,-1.8694085,0.28797645,3.0017268,0.86442663,2.1373002
-25.331114,2.2241857e-20,2.182938,1,3,1,25.77731,0.10973136,0.92581366,0.1015908,0.82422287,-2.1957422,-1.6860735,-1.5689795,-1.5895393,-0.53017597,-1.6925453,-1.5554719,-5.6465665,-2.1205157,-2.4730615,4,7,2,4,6,2,6,8,4,8,7,7,4,3,8,7,2,8,8,6,-1.8694085,0.33266056,2.5705739,0.85512855,1.7154454
-25.410081,0.97119089,0.21230228,3,7,0,26.126316,0.11250491,1.5864893,0.17848783,1.4080015,-2.2985345,-1.6202834,-1.4933813,-1.5006104,-0.45534624,-1.6418177,-1.4547467,-6.9850227,-2.1741893,-2.6365965,5,4,6,5,4,1,3,6,6,4,6,6,4,6,8,1,3,8,2,6,-1.3069652,0.63799285,1.6102584,1.0273333,0.58292506
-24.481414,0.99618575,0.26214696,4,15,0,25.98298,0.78624507,1.4133858,1.1112676,0.30211818,-1.4789502,-1.5745892,-2.1037675,-2.117408,-2.0667022,-1.448355,-1.6030081,-3.8552848,-1.3954204,-4.5960342,2,7,6,6,6,2,6,8,5,5,2,5,3,6,4,5,7,5,5,8,-0.8044707,0.71957549,5.0352595,3.6232493,1.4120102
-23.373797,0.97743495,0.40158596,2,7,0,24.978372,0.58420786,0.76627666,0.44766484,0.31861181,-1.6888079,-1.5951505,-1.8843257,-1.8726831,-1.4794584,-1.4995454,-1.6206471,-3.7737991,-1.6080254,-3.2464462,7,3,5,7,5,1,5,7,3,7,3,1,4,8,4,2,8,6,5,8,-1.4236282,0.69666994,2.1383233,1.4897056,0.64861775
-23.084161,1,0.63394684,2,3,0,23.526188,0.58794734,0.86461039,0.50834538,0.35626501,-1.6808816,-1.5688972,-1.8833487,-1.8694499,-1.5006352,-1.4723548,-1.5966519,-3.896177,-1.5843051,-3.3554055,3,6,3,6,7,2,6,7,3,7,6,2,5,6,6,4,5,8,2,7,-1.1128562,0.51022141,2.7186045,1.3870902,1.3315143
-23.084161,0.023713885,1.1286102,1,1,0,23.248121,0.58794734,0.86461039,0.50834538,0.35626501,-1.6808816,-1.5688972,-1.8833487,-1.8694499,-1.5006352,-1.4723548,-1.5966519,-3.896177,-1.5843051,-3.3554055,4,4,4,6,7,3,4,7,3,6,4,7,2,5,5,2,6,5,5,7,-1.1128562,0.26369004,4.048765,1.067619,2.981146
-23.380723,0.99456723,0.096356046,2,7,0,23.888609,0.59828008,0.78071061,0.46708361,0.313627,-1.6762182,-1.5939277,-1.8947179,-1.8829487,-1.5108119,-1.495613,-1.6203886,-3.7609509,-1.5958192,-3.2940776,4,4,5,6,5,5,3,6,4,5,5,6,5,7,7,1,5,7,3,6,-1.3820027,0.37427384,2.5955142,0.97143308,1.6240811
-23.325891,0.99916928,0.17416848,2,3,0,23.499967,0.61124746,0.8161996,0.49889993,0.31729967,-1.6632361,-1.5871513,-1.9040108,-1.891812,-1.5436403,-1.4863007,-1.6148539,-3.7773789,-1.5797268,-3.3631124,3,8,4,4,8,2,7,7,3,7,3,6,1,8,6,3,7,7,3,6,-1.2745061,0.62892624,1.6887892,1.0621238,0.62666535
-23.453222,0.99905343,0.32513163,3,7,0,23.898583,0.65797001,2.0428613,1.3441415,0.69871981,-1.5923789,-1.4444746,-1.9695551,-1.9543784,-1.7871037,-1.3290211,-1.4886763,-4.608847,-1.4111059,-4.4498448,5,8,6,5,8,4,4,8,3,7,5,4,7,6,7,4,8,4,3,8,-0.64073532,0.18000494,0.95041708,0.17107977,0.77933731
-23.651444,0.95858541,0.61208118,2,3,0,24.115393,0.60249876,2.6524342,1.5980883,1.0543459,-1.6575694,-1.3884576,-1.9101615,-1.8838861,-1.6628598,-1.2842249,-1.4342898,-5.0999179,-1.4318786,-4.4462913,5,5,6,7,5,2,7,7,2,7,3,4,4,5,4,4,4,5,3,8,-0.99815773,0.69645386,2.6074691,1.8159819,0.79148718
-24.673709,0.093467857,1.0170761,1,3,0,25.157646,0.57659994,0.53946365,0.31105471,0.22840894,-1.7146416,-1.6792886,-1.8993138,-1.8948723,-1.4307943,-1.5851409,-1.6985204,-3.4318687,-1.6807029,-2.9705307,7,3,6,5,8,2,7,5,4,7,7,4,7,6,4,5,3,5,1,8,-2.6608104,0.85963717,2.3811695,2.0469418,0.33422768
-25.415375,0.99896701,0.11212652,4,15,0,26.71768,0.81498529,1.9102903,1.5568585,0.3534318,-1.4340028,-1.5637227,-2.1730813,-2.2060579,-2.2188267,-1.4358124,-1.5917111,-4.0194755,-1.3392826,-5.2113472,5,2,8,8,3,3,2,6,2,8,3,2,5,7,7,3,5,7,3,8,-0.97740439,0.8452173,0.85345073,0.72135132,0.13209941
-23.628278,0.99605175,0.21372128,3,11,0,25.909425,0.58069299,0.70232354,0.40783435,0.29448918,-1.695715,-1.6147954,-1.8855075,-1.8755879,-1.4632264,-1.519945,-1.6386323,-3.6890684,-1.6262706,-3.1697689,5,5,7,6,5,3,6,6,3,8,5,2,8,4,7,2,6,7,5,8,-1.6837149,0.45230993,1.7586803,0.79546855,0.96321173
-23.48223,0.9874406,0.40196544,2,7,0,24.153713,0.62747745,2.3246801,1.4586843,0.86599575,-1.6266163,-1.4140423,-1.9369951,-1.9156866,-1.7189293,-1.3042793,-1.4595701,-4.8583396,-1.4214666,-4.4400007,5,7,8,7,7,2,2,6,5,6,2,4,6,7,6,1,5,8,6,8,-0.77638111,0.6606878,0.75125491,0.49634495,0.25490995
-24.12176,0.76282475,0.73170011,2,7,0,25.642619,0.25029751,2.4450092,0.61197973,1.8330295,-2.1512928,-1.4528442,-1.5485849,-1.5250883,-0.73684289,-1.4568856,-1.3753979,-6.9648837,-1.9352372,-3.1135799,4,4,8,6,7,3,8,7,1,8,3,6,5,5,7,3,6,8,6,8,-1.0819876,0.54230055,1.2914897,0.70037557,0.59111413
-23.479656,1,0.66592959,2,3,0,24.246672,0.46922231,0.68687537,0.32229725,0.36457812,-1.7895346,-1.6101634,-1.8097891,-1.8030125,-1.2431254,-1.5378969,-1.6226921,-3.920002,-1.7081849,-2.9365908,3,3,5,5,7,2,3,8,4,8,5,3,8,6,8,8,5,7,6,5,-1.7329715,0.70458631,2.3677001,1.6682491,0.69945102
-23.479656,1.7213816e-05,1.2467477,1,3,1,23.769556,0.46922231,0.68687537,0.32229725,0.36457812,-1.7895346,-1.6101634,-1.8097891,-1.8030125,-1.2431254,-1.5378969,-1.6226921,-3.920002,-1.7081849,-2.9365908,3,3,3,6,7,4,6,5,1,4,3,5,6,8,6,4,6,6,3,7,-1.7329715,0.72453727,1.4818499,1.0736555,0.40819442
-23.286306,0.99951976,0.11445076,4,15,0,24.059261,0.3758789,0.75203668,0.28267472,0.46936196,-1.8767624,-1.5972407,-1.7414354,-1.7378262,-1.0627979,-1.5465985,-1.5914469,-4.284162,-1.7796379,-2.8211407,3,4,3,5,8,3,8,8,5,5,3,7,4,7,8,2,5,7,4,7,-1.512388,0.55255368,4.002654,2.2116812,1.7909728
-22.333893,0.99936772,0.21523853,2,7,0,23.439171,0.46310559,1.5917702,0.73715766,0.85461251,-1.8164343,-1.4371953,-1.7556442,-1.7272735,-1.2592987,-1.3725506,-1.4551584,-5.0741723,-1.6213483,-3.4930354,4,4,5,6,6,4,2,7,4,7,6,7,5,6,8,3,7,7,5,7,-0.39487483,0.65043054,4.7664437,3.1002406,1.6662031
-22.333893,0.80541785,0.40072152,1,3,0,23.866912,0.46310559,1.5917702,0.73715766,0.85461251,-1.8164343,-1.4371953,-1.7556442,-1.7272735,-1.2592987,-1.3725506,-1.4551584,-5.0741723,-1.6213483,-3.4930354,4,3,4,4,6,1,4,7,5,4,3,6,4,7,8,3,8,7,3,7,-0.39487483,0.2387714,1.8409728,0.43957164,1.4014011
-22.362588,0.99321831,0.41836003,3,7,0,22.485849,0.46098446,1.1519493,0.53103073,0.62091858,-1.8058091,-1.4959431,-1.7667373,-1.7463506,-1.2416904,-1.4296016,-1.5111218,-4.6272498,-1.6518468,-3.2586749,4,5,5,7,8,3,4,8,5,8,1,4,7,5,6,6,4,8,5,8,-0.57661656,0.28007927,11.083512,3.104262,7.9792501
-22.362588,0.68969492,0.75366847,1,3,0,23.314593,0.46098446,1.1519493,0.53103073,0.62091858,-1.8058091,-1.4959431,-1.7667373,-1.7463506,-1.2416904,-1.4296016,-1.5111218,-4.6272498,-1.6518468,-3.2586749,4,7,6,7,6,3,4,8,8,6,4,3,3,6,7,4,7,7,6,7,-0.57661656,0.31625707,3.1532096,0.99722482,2.1559848
-22.523387,0.97612944,0.56068026,2,3,0,22.554776,0.49643039,1.022705,0.50770184,0.51500316,-1.765669,-1.5203933,-1.8017377,-1.7836338,-1.3151782,-1.4443966,-1.5410186,-4.3517631,-1.6310124,-3.2621956,6,3,2,6,6,4,6,8,5,8,4,3,2,7,4,6,7,6,3,6,-0.74249483,0.48549099,3.4642331,1.681854,1.7823791
-22.523387,0.0032941227,0.95049484,1,1,0,24.307683,0.49643039,1.022705,0.50770184,0.51500316,-1.765669,-1.5203933,-1.8017377,-1.7836338,-1.3151782,-1.4443966,-1.5410186,-4.3517631,-1.6310124,-3.2621956,5,5,3,6,7,2,6,6,4,7,5,7,4,5,8,4,7,8,2,6,-0.74249483,0.36400854,3.3281754,1.2114843,2.1166911
-24.057596,0.99329336,0.10150858,4,15,0,25.322756,0.18364884,1.559564,0.28641211,1.2731518,-2.1887469,-1.5555242,-1.5378967,-1.5344042,-0.61265689,-1.5647169,-1.4464135,-6.4532181,-2.0359382,-2.7750229,4,5,7,5,6,3,5,8,5,6,1,5,6,5,8,4,6,8,2,6,-0.89982274,0.42296281,1.6361666,0.6920376,0.94412895
-22.974393,0.99775357,0.18164148,3,15,0,24.370699,0.33344487,0.90515993,0.30182093,0.603339,-1.9313724,-1.5665159,-1.6938067,-1.6881822,-0.97120116,-1.5288594,-1.5469892,-4.7000577,-1.8108524,-2.8376696,5,3,8,5,8,2,5,7,3,8,3,7,5,6,6,2,2,8,1,6,-1.095333,0.45544476,3.4116289,1.5538085,1.8578204
-24.091679,0.88519368,0.32591713,2,3,0,24.593301,0.40723937,0.59230426,0.24120961,0.35109465,-1.8423637,-1.6504452,-1.7888516,-1.7898648,-1.1285317,-1.589661,-1.6518218,-3.8804238,-1.7788834,-2.7525588,5,5,4,7,6,2,5,8,5,7,4,5,4,4,8,3,5,8,5,6,-2.2932194,0.54551785,3.377716,1.8426044,1.5351117
-22.719903,1,0.42439127,2,7,0,24.311787,0.60340386,1.5599649,0.94128883,0.61867605,-1.6547308,-1.4610769,-1.8970622,-1.8751595,-1.6071963,-1.3591109,-1.4994903,-4.5173089,-1.485727,-3.9455091,2,8,5,8,8,5,7,6,5,6,4,6,1,4,5,3,6,5,7,7,-0.43218901,0.93183151,1.3976162,1.3023428,0.095273384
-22.719903,0.60485512,0.75348211,1,1,0,23.228397,0.60340386,1.5599649,0.94128883,0.61867605,-1.6547308,-1.4610769,-1.8970622,-1.8751595,-1.6071963,-1.3591109,-1.4994903,-4.5173089,-1.485727,-3.9455091,1,6,3,6,5,2,4,8,3,8,4,6,7,5,8,2,4,5,5,7,-0.43218901,0.7113184,1.2977905,0.92314226,0.37464823
-22.791993,0.96009108,0.45307662,2,5,0,23.341619,0.31419906,1.0948251,0.34399303,0.7508321,-1.9696903,-1.5351476,-1.6608155,-1.6513275,-0.92180869,-1.5058978,-1.5062307,-5.0907664,-1.8262098,-2.8941346,5,6,1,7,6,1,4,7,2,7,5,6,3,8,8,4,4,6,3,7,-0.78566205,0.80813053,3.0906217,2.4976257,0.59299596
-23.514388,0.84641355,0.7152596,2,3,0,24.47846,0.67619678,1.9274186,1.3033142,0.62410434,-1.5733237,-1.4615213,-1.9893212,-1.9779195,-1.8288096,-1.3431552,-1.5045752,-4.4849419,-1.4051757,-4.4710989,2,3,4,6,7,3,5,4,4,7,4,2,6,5,7,5,7,8,2,7,-0.61183682,0.78188253,1.4030641,1.0970313,0.30603278
