# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-05-11 07:43:43 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpCZXZ45/standata-16d8c488f2f15.json
# init = 2 (Default)
# random
#   seed = 924433351
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202605110943-2-530fe8.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202605110943-2-64885f.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-24.66097,1,1,1,1,0,24.994569,0.7906066,1.5810749,1.2500082,0.33106665,-1.4677629,-1.5637111,-2.1200714,-2.1378193,-2.1052736,-1.4365218,-1.5931994,-3.9379566,-1.3755418,-4.7816003,5,5,6,4,8,7,5,8,6,4,2,6,5,7,7,3,3,6,2,8,-0.8011218,0.039580611,2.9308139,0.11600341,2.8148105
-24.66097,0,14.38551,0,1,1,27.86891,0.7906066,1.5810749,1.2500082,0.33106665,-1.4677629,-1.5637111,-2.1200714,-2.1378193,-2.1052736,-1.4365218,-1.5931994,-3.9379566,-1.3755418,-4.7816003,6,6,3,6,8,6,7,5,4,7,5,4,5,8,6,3,8,7,3,7,-0.8011218,0.47200623,1.7560824,0.82888184,0.9272006
-24.66097,5.279835e-20,2.4311673,1,1,0,26.476655,0.7906066,1.5810749,1.2500082,0.33106665,-1.4677629,-1.5637111,-2.1200714,-2.1378193,-2.1052736,-1.4365218,-1.5931994,-3.9379566,-1.3755418,-4.7816003,5,3,4,5,4,4,2,7,2,7,2,5,7,7,7,1,8,7,3,8,-0.8011218,0.64670143,2.2845549,1.4774249,0.80712999
-22.343544,1,0.23979141,3,7,0,25.031809,0.51244709,1.3123212,0.67249519,0.63982603,-1.7529007,-1.4724712,-1.8066761,-1.7827013,-1.3673087,-1.3933399,-1.4984616,-4.624529,-1.5869928,-3.4952309,5,6,5,5,7,3,7,6,7,8,6,7,5,6,6,1,3,7,3,6,-0.44781477,0.72038097,1.4775396,1.0643914,0.4131482
-22.557103,0.97436483,0.32433241,2,3,0,22.691473,0.52326785,1.0323335,0.54018693,0.49214657,-1.7387357,-1.5204613,-1.823569,-1.8050615,-1.3752201,-1.4380473,-1.5450653,-4.2823749,-1.6062434,-3.3366654,3,5,4,4,6,3,5,8,2,5,7,6,8,8,7,2,7,8,1,8,-0.72901852,0.32542313,1.9846595,0.6458541,1.3388054
-24.041191,0.80258405,0.46988459,2,3,0,24.17581,0.4676757,0.59445892,0.27801399,0.31644493,-1.7925718,-1.6461578,-1.8233034,-1.8204955,-1.2376419,-1.5730644,-1.6572517,-3.7507071,-1.7316018,-2.849443,2,3,4,7,6,4,4,7,4,7,1,5,3,6,8,3,4,4,5,8,-2.248366,0.38712159,1.4487219,0.56083153,0.88789036
-22.415326,1,0.4361119,1,3,0,23.757512,0.46527006,1.0924914,0.50830353,0.58418786,-1.7994938,-1.5064176,-1.7730397,-1.7539142,-1.2493229,-1.4385799,-1.522077,-4.5393669,-1.652956,-3.2325735,5,6,7,7,8,1,2,8,7,6,8,5,2,6,8,1,5,7,2,6,-0.64491467,0.15576707,1.0763392,0.1676582,0.90868097
-22.415326,0.077357176,0.771604,1,1,0,23.936686,0.46527006,1.0924914,0.50830353,0.58418786,-1.7994938,-1.5064176,-1.7730397,-1.7539142,-1.2493229,-1.4385799,-1.522077,-4.5393669,-1.652956,-3.2325735,5,4,2,3,8,2,4,7,2,5,2,5,3,5,8,4,5,7,3,6,-0.64491467,0.20815773,1.300002,0.27060546,1.0293965
-22.449637,0.99770372,0.077687391,3,15,0,23.183891,0.40266322,1.6881714,0.67976453,1.0084069,-1.8957223,-1.4344987,-1.6983346,-1.6703062,-1.1143394,-1.3881599,-1.4353925,-5.4255149,-1.6924457,-3.3535713,4,6,6,8,5,3,7,8,6,7,4,7,4,7,7,3,5,7,4,5,-0.44006811,0.60428994,2.383521,1.4403377,0.94318322
-22.720845,0.9924549,0.14167407,3,15,0,23.348838,0.53157111,0.94321583,0.50138629,0.44182954,-1.7307938,-1.5404301,-1.8340173,-1.8175942,-1.3867702,-1.4559044,-1.56484,-4.1467518,-1.611922,-3.2873836,3,2,4,8,7,4,3,8,5,8,2,5,2,8,5,4,6,2,4,4,-0.89568815,0.58402515,2.3991611,1.4011704,0.99799068
-23.185572,0.99447003,0.25884175,3,7,0,23.422131,0.66662438,1.5980449,1.0652957,0.5327492,-1.5875569,-1.4828301,-1.9685796,-1.9552162,-1.7741325,-1.3677105,-1.5230299,-4.3296706,-1.4360303,-4.2180757,3,4,4,6,8,3,8,8,6,8,3,3,4,7,5,1,5,8,1,7,-0.50750723,0.51353665,3.4440572,1.7686496,1.6754076
-25.154787,0.80533134,0.48040658,2,3,0,25.838936,0.81520018,1.6613148,1.3543041,0.30701066,-1.4424019,-1.5785527,-2.1578181,-2.1860295,-2.1856637,-1.4516007,-1.6046171,-3.9076805,-1.3602144,-4.9917205,3,7,2,5,8,3,6,7,4,6,3,4,3,5,6,4,7,8,4,5,-0.90329348,0.48575322,3.2683575,1.5876152,1.6807423
-24.609855,0.96741613,0.49302457,2,3,0,25.966118,0.69899534,0.64077241,0.44789693,0.19287548,-1.6140066,-1.6692183,-1.9783693,-1.9730713,-1.6874903,-1.5558786,-1.6913575,-3.3620808,-1.5859554,-3.3497875,5,7,1,7,3,4,6,5,1,7,6,7,4,8,5,5,8,6,1,7,-2.1388182,0.87622923,0.71052344,0.62258141,0.087942034
-23.149687,0.80519887,0.84451078,2,3,0,24.734195,0.25684248,1.1461987,0.29439253,0.85180621,-2.0446585,-1.5523798,-1.6183751,-1.6136462,-0.79775933,-1.5378105,-1.49718,-5.4169423,-1.9046483,-2.8001542,4,6,7,6,6,2,5,8,4,2,5,7,5,2,8,2,7,8,6,7,-0.84644368,0.64008546,1.4582843,0.93342659,0.52485772
-23.149687,0.29309396,0.87003902,2,3,0,24.781493,0.25684248,1.1461987,0.29439253,0.85180621,-2.0446585,-1.5523798,-1.6183751,-1.6136462,-0.79775933,-1.5378105,-1.49718,-5.4169423,-1.9046483,-2.8001542,3,7,5,4,6,2,6,8,5,8,6,7,4,6,5,5,7,8,8,6,-0.84644368,0.57459077,4.6665612,2.681363,1.9851982
-22.760401,0.99992272,0.18370738,3,15,0,23.327655,0.6018933,1.6606553,0.99953732,0.66111802,-1.6561437,-1.4507239,-1.89665,-1.8739134,-1.610713,-1.3488168,-1.4900118,-4.593212,-1.4793847,-4.0002357,4,6,6,7,6,3,2,6,4,7,2,4,8,5,5,2,6,7,2,8,-0.43909805,0.35631284,1.4996814,0.53435574,0.96532569
-22.948687,0.98839835,0.34938678,2,3,0,23.10504,0.6401123,1.5414514,0.986702,0.55474939,-1.6158425,-1.4764652,-1.937039,-1.9196794,-1.6997621,-1.3666419,-1.5160521,-4.3795789,-1.4592233,-4.0725814,3,5,6,8,4,2,8,7,3,8,4,5,8,8,7,1,7,8,4,8,-0.47047122,0.65047459,2.0129776,1.3093908,0.70358684
-22.787519,1,0.63676412,1,1,0,22.984322,0.62230444,1.4012506,0.87200448,0.52924614,-1.6359609,-1.4851477,-1.9151242,-1.8963432,-1.6413551,-1.379588,-1.5227004,-4.3344291,-1.4851991,-3.908492,5,4,6,5,7,5,3,8,4,7,2,6,6,6,7,4,5,7,4,6,-0.4725514,0.29318255,1.7648734,0.51743008,1.2474433
-22.787519,0.0052780165,1.1925586,1,1,0,23.562619,0.62230444,1.4012506,0.87200448,0.52924614,-1.6359609,-1.4851477,-1.9151242,-1.8963432,-1.6413551,-1.379588,-1.5227004,-4.3344291,-1.4851991,-3.908492,5,3,3,5,5,2,5,6,5,8,2,3,2,6,6,4,7,8,4,7,-0.4725514,0.45659793,1.8965385,0.86595557,1.030583
