# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-05-11 07:44:51 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpCZXZ45/standata-16d8c5e974dc3.json
# init = 2 (Default)
# random
#   seed = 791526394
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202605110944-1-3b0f65.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202605110944-1-4aa59b.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-17.332747,1,1,2,3,0,17.652664,0.87626473,2.9219949,2.560441,0.36155383,-1.3713599,-1.3591205,-1.5470025,-1.4867942,-1.3531959,-1.0557286,-1.2730693,-1.5470025,-1.0688603,-2.1057223,5,3,7,5,1,6,7,8,4,4,4,3,8,7,1,7,3,8,6,2,-2.0154594,0.59731992,2.9121872,1.7395075,1.1726798
-17.332747,0,14.38551,0,1,1,19.1956,0.87626473,2.9219949,2.560441,0.36155383,-1.3713599,-1.3591205,-1.5470025,-1.4867942,-1.3531959,-1.0557286,-1.2730693,-1.5470025,-1.0688603,-2.1057223,6,2,6,3,6,7,6,8,6,2,5,4,7,6,1,8,3,8,7,3,-2.0154594,0.41898958,1.1277876,0.47253125,0.65525633
-17.332747,7.2141582e-155,2.4311673,1,1,0,17.89235,0.87626473,2.9219949,2.560441,0.36155383,-1.3713599,-1.3591205,-1.5470025,-1.4867942,-1.3531959,-1.0557286,-1.2730693,-1.5470025,-1.0688603,-2.1057223,5,4,8,4,4,6,4,6,3,3,4,4,8,4,3,7,1,8,7,2,-2.0154594,0.33079207,2.2206209,0.73456379,1.4860571
-17.118987,0.99831081,0.23979141,4,15,0,17.861717,0.87262172,2.3625615,2.0616225,0.30093902,-1.3951509,-1.3838237,-1.5158522,-1.5055423,-1.3681459,-1.0809423,-1.2987112,-1.5158522,-1.0945709,-2.0771584,6,5,8,2,2,6,5,8,4,5,7,5,7,5,3,6,3,8,8,3,-1.5461361,0.78538373,1.3053677,1.0252146,0.28015316
-17.265281,0.99599781,0.32277087,2,3,0,17.368315,0.88165648,2.3885854,2.1059118,0.28267362,-1.3956867,-1.3835194,-1.5444152,-1.4949493,-1.3592303,-1.0783547,-1.2964208,-1.5444152,-1.0896244,-2.0613495,5,6,8,5,6,6,3,7,6,3,4,2,8,7,5,8,4,8,8,4,-1.6279006,0.54604302,3.6743457,2.0063508,1.6679949
-16.365374,0.98084562,0.4986717,2,3,0,17.406405,0.69846082,1.7354818,1.212166,0.52331575,-1.4231591,-1.4275871,-1.2221028,-1.7429582,-1.5525238,-1.1754115,-1.4046763,-1.2221028,-1.257918,-2.3471899,3,3,8,3,3,7,5,7,6,6,4,4,6,2,5,8,1,8,6,2,-0.58329817,0.35227695,1.6346703,0.57585667,1.0588137
-16.621623,0.6869916,0.80013168,2,3,0,17.48729,0.68085503,1.4956437,1.0183165,0.47732716,-1.4480993,-1.4537614,-1.2228024,-1.7720099,-1.575029,-1.2046382,-1.436396,-1.2228024,-1.2926764,-2.3374584,5,6,4,4,4,4,4,5,6,6,6,4,8,6,6,8,1,8,5,2,-0.53198994,0.08769114,3.937772,0.34530772,3.5924643
-16.41447,1,0.53976287,1,1,0,16.595581,0.6707698,1.7283004,1.1592917,0.5690087,-1.4247594,-1.4315356,-1.1992163,-1.7834598,-1.5813894,-1.1887647,-1.4227261,-1.1992163,-1.2862776,-2.3998011,7,1,6,7,3,6,6,8,6,2,7,2,6,4,2,7,4,4,8,1,-0.5341348,0.58267343,1.6515739,0.96232826,0.68924569
-16.42507,0.85033552,0.98386475,2,3,0,16.49212,0.62723727,2.4916045,1.5628272,0.92877729,-1.3771866,-1.3886742,-1.1298395,-1.8554807,-1.6269775,-1.1692735,-1.415035,-1.1298395,-1.3044326,-2.5912055,5,6,6,8,4,7,3,7,4,3,4,5,7,3,4,7,3,6,6,2,-0.89680854,0.41303243,1.7797157,0.7350803,1.0446354
-16.42507,0.44390656,1.1405078,1,3,0,16.614124,0.62723727,2.4916045,1.5628272,0.92877729,-1.3771866,-1.3886742,-1.1298395,-1.8554807,-1.6269775,-1.1692735,-1.415035,-1.1298395,-1.3044326,-2.5912055,6,7,7,4,4,7,5,3,4,3,4,4,7,4,2,7,3,8,8,2,-0.89680854,0.17829572,1.7562081,0.31312439,1.4430837
