# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-05-11 07:44:12 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpCZXZ45/standata-16d8c12616d9c.json
# init = 2 (Default)
# random
#   seed = 98764617
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202605110944-1-50ddec.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202605110944-1-5ef2c3.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-17.289429,0.47103373,1,1,3,0,17.487704,0.70756938,4.6356984,3.2800783,1.3556202,-1.3104086,-1.3149479,-1.1690915,-1.7159144,-1.5269093,-1.0721023,-1.3015768,-1.1690915,-1.1672026,-2.5439076,8,6,8,5,5,8,6,7,8,1,6,4,8,3,4,6,2,8,7,2,-2.9566164,0.85917829,1.6758443,1.4398491,0.23599527
-17.289429,0,5.4984411,0,1,1,17.562825,0.70756938,4.6356984,3.2800783,1.3556202,-1.3104086,-1.3149479,-1.1690915,-1.7159144,-1.5269093,-1.0721023,-1.3015768,-1.1690915,-1.1672026,-2.5439076,4,4,8,5,3,8,4,8,6,2,6,3,7,5,4,6,4,8,5,4,-2.9566164,0.86971126,3.1386323,2.7297038,0.40892844
-16.266177,0.93633731,0.69878378,2,3,0,17.143398,0.75535937,2.6293018,1.9860677,0.64323404,-1.366785,-1.3662695,-1.2632883,-1.6482704,-1.4803526,-1.1000756,-1.3219788,-1.2632883,-1.1605246,-2.3345762,6,4,8,5,2,6,5,7,6,2,5,5,8,6,3,5,2,7,4,4,-1.2389592,0.9221285,2.4360987,2.2463961,0.18970266
-16.369393,0.66769109,0.71001663,2,3,0,16.847351,0.70108006,1.7268369,1.2106509,0.51618598,-1.4239038,-1.4281015,-1.224978,-1.7393802,-1.5499982,-1.1749544,-1.403811,-1.224978,-1.255967,-2.34073,4,3,8,4,3,8,4,8,8,3,4,5,7,5,3,7,4,8,7,3,-0.5861692,0.57328531,2.3107847,1.3247389,0.98604577
-16.425727,0.99525902,0.4019116,3,7,0,16.738566,0.80409017,2.2437234,1.804156,0.43956748,-1.3908899,-1.3858999,-1.3509707,-1.5895002,-1.4360989,-1.1023506,-1.3207407,-1.3509707,-1.1390662,-2.2024725,4,5,8,3,4,6,2,5,5,7,5,3,7,5,5,5,3,7,5,3,-1.1167585,0.31866035,1.609105,0.51275798,1.0963471
-20.705309,0.35554362,0.62551391,2,3,0,21.957459,0.97488312,2.4308943,2.3698378,0.061056489,-1.4192746,-1.3990915,-1.9697301,-1.4053704,-1.2782274,-1.0752752,-1.3018976,-1.9697301,-1.0740545,-1.8831834,7,3,6,4,5,5,6,7,6,5,5,5,8,7,2,7,3,8,7,3,-3.1080812,0.077058443,2.6752285,0.20614894,2.4690796
-16.357273,0.99504828,0.1488483,4,15,0,21.272346,0.78395497,2.0123634,1.5776023,0.4347611,-1.4038131,-1.4007649,-1.3176494,-1.6211243,-1.4609531,-1.1225806,-1.3423303,-1.3176494,-1.1665867,-2.2183689,6,8,5,2,4,6,6,4,7,3,5,2,7,5,2,7,3,4,5,3,-0.90908981,0.072521608,1.2217352,0.088602198,1.133133
-19.69549,0.84975463,0.25474346,2,7,0,20.154303,0.7807196,0.68350536,0.53362603,0.14987933,-1.6132763,-1.6113836,-1.3851845,-1.7264527,-1.5514219,-1.3191605,-1.5443028,-1.3851845,-1.3513774,-1.9383018,6,3,8,6,2,4,2,7,5,3,7,6,7,2,2,8,5,7,6,4,-2.1239801,0.55016319,3.8903914,2.1403501,1.7500412
-19.877348,0.99247349,0.28749093,2,3,0,20.322807,0.7500915,0.65136382,0.48858246,0.16278136,-1.6238096,-1.6238041,-1.3729919,-1.7584699,-1.5774761,-1.3377423,-1.5642751,-1.3729919,-1.3783981,-1.967892,3,3,7,3,4,6,5,8,5,7,5,5,8,5,1,2,4,7,5,2,-2.196589,0.34507008,1.485576,0.51262785,0.9729482
-17.755237,1,0.51896622,1,1,0,19.498182,0.78797524,1.0441011,0.82272582,0.22137528,-1.5183398,-1.5155866,-1.3533099,-1.6682858,-1.5013445,-1.2285743,-1.4505302,-1.3533099,-1.2635089,-2.0447571,5,6,7,4,3,7,3,6,6,5,8,4,8,5,5,4,5,8,6,4,-1.1115053,0.46232045,5.064103,2.3412384,2.7228646
-17.755237,3.1830486e-05,0.97280937,1,1,0,18.881567,0.78797524,1.0441011,0.82272582,0.22137528,-1.5183398,-1.5155866,-1.3533099,-1.6682858,-1.5013445,-1.2285743,-1.4505302,-1.3533099,-1.2635089,-2.0447571,5,2,8,5,3,7,2,8,4,4,2,2,8,5,5,8,5,8,5,1,-1.1115053,0.60074806,0.86043235,0.51690307,0.34352928
-16.733665,0.99931457,0.077943161,4,15,0,18.659718,0.57281777,2.4698483,1.414773,1.0550753,-1.386565,-1.4028433,-1.1001414,-1.9563817,-1.6937196,-1.2046388,-1.4668123,-1.1001414,-1.378094,-2.7057814,8,4,8,4,4,4,6,6,3,3,6,1,8,5,2,6,5,8,6,2,-0.83497094,0.20792562,4.0210328,0.83607573,3.184957
-16.38486,0.99976277,0.14815642,4,15,0,16.908874,0.75463984,1.7554836,1.3247579,0.43072574,-1.4222315,-1.4218305,-1.2818986,-1.6661402,-1.4959353,-1.1513895,-1.3737115,-1.2818986,-1.2065087,-2.2421885,6,3,8,3,4,8,5,8,8,4,6,7,5,4,4,8,3,8,6,2,-0.71732883,0.70715201,0.80113868,0.56652682,0.23461185
-16.25071,0.99347244,0.28236402,3,7,0,16.555488,0.76262397,2.1626763,1.6493088,0.51336753,-1.3921778,-1.3910213,-1.2822381,-1.6455376,-1.4792167,-1.1204045,-1.3417217,-1.2822381,-1.1747945,-2.2768977,4,7,8,4,1,7,3,8,6,4,6,1,8,3,4,6,4,8,8,3,-0.92670859,0.53612317,1.4825594,0.79483446,0.68772495
-17.991059,0.6385922,0.52638813,1,3,0,18.112976,0.76477338,0.9602439,0.73436897,0.22587493,-1.5345249,-1.5334858,-1.3381651,-1.7001126,-1.5270623,-1.2512155,-1.4746712,-1.3381651,-1.2930443,-2.0591415,4,4,8,4,4,7,2,8,5,4,5,6,8,6,2,5,3,7,7,3,-1.1855214,0.69601564,0.76061807,0.52940207,0.231216
