# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-05-11 07:44:39 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpCZXZ45/standata-16d8c3a1d119c.json
# init = 2 (Default)
# random
#   seed = 1586056000
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202605110944-1-7ae91e.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202605110944-1-4c5624.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-18.001349,0.66704248,1,2,3,0,18.362087,0.54649303,4.4565715,2.4354853,2.0210862,-1.3348315,-1.3555854,-1.0352461,-2.0404265,-1.7418785,-1.1809505,-1.460114,-1.0352461,-1.3960468,-2.9130882,5,5,6,2,2,5,6,8,6,5,6,6,8,6,4,7,4,8,5,3,-2.6073373,0.3233282,1.7814795,0.57600257,1.2054769
-18.001349,0,7.8525958,0,1,1,18.361717,0.54649303,4.4565715,2.4354853,2.0210862,-1.3348315,-1.3555854,-1.0352461,-2.0404265,-1.7418785,-1.1809505,-1.460114,-1.0352461,-1.3960468,-2.9130882,5,4,8,1,3,7,3,6,6,2,4,3,8,4,7,6,1,8,6,2,-2.6073373,0.20868342,1.4071335,0.29364544,1.1134881
-18.001349,6.1753185e-12,1.109138,1,1,0,19.193204,0.54649303,4.4565715,2.4354853,2.0210862,-1.3348315,-1.3555854,-1.0352461,-2.0404265,-1.7418785,-1.1809505,-1.460114,-1.0352461,-1.3960468,-2.9130882,8,3,6,3,3,5,6,7,3,5,7,4,7,4,3,7,4,5,6,4,-2.6073373,0.27993834,0.96966738,0.27144707,0.69822031
-17.371752,0.99996892,0.098744889,4,15,0,18.761599,0.50128167,2.6385409,1.3226522,1.3158887,-1.3961887,-1.4186696,-1.06986,-2.1078469,-1.7886678,-1.2510028,-1.5422477,-1.06986,-1.4839572,-2.8832721,5,5,8,5,2,8,2,7,6,2,5,6,8,5,4,6,3,7,5,4,-0.94410433,0.85882874,3.0043136,2.5801909,0.42412273
-19.302966,0.96907488,0.12525767,2,7,0,20.912336,0.37611129,3.387218,1.2739709,2.1132471,-1.4224575,-1.4549275,-1.0406523,-2.4449284,-1.9841114,-1.3465153,-1.71449,-1.0406523,-1.711085,-3.2546406,7,6,6,3,3,5,8,6,4,5,8,5,8,6,7,5,5,8,7,4,-1.6588609,0.26706861,2.2723719,0.6068792,1.6654927
-20.191799,0.98674299,0.17138891,2,3,0,20.249819,0.35225558,4.1087484,1.4473296,2.6614189,-1.4212233,-1.4560413,-1.0275362,-2.5412618,-2.0357605,-1.3634877,-1.7551596,-1.0275362,-1.7656471,-3.3720817,6,2,5,5,4,6,4,8,7,5,5,7,7,5,2,6,4,6,6,4,-2.361525,0.41656197,1.3426524,0.55929793,0.78335446
-16.55471,0.9988948,0.27205543,4,15,0,20.316404,0.61790485,2.7974943,1.7285853,1.068909,-1.3647093,-1.3773739,-1.1126219,-1.8748461,-1.6388566,-1.1639204,-1.4131159,-1.1126219,-1.3089868,-2.6413887,7,5,8,7,2,5,5,7,5,5,3,5,6,8,4,6,3,5,4,2,-1.1314862,0.086423321,3.4728135,0.30013208,3.1726814
-20.345054,0.55341711,0.47594921,2,3,0,22.197246,0.692846,9.0808458,6.2916277,2.7892181,-1.2710723,-1.2776758,-1.1263675,-1.7441494,-1.5447183,-1.0458863,-1.2795771,-1.1263675,-1.1581026,-2.6639385,6,5,7,3,1,6,6,6,4,5,8,7,8,6,2,8,3,8,8,4,-6.7660128,0.5383387,2.3320933,1.2554561,1.0766372
-19.245598,1,0.21293362,2,3,0,20.730815,0.73373643,7.4815388,5.4894775,1.9920613,-1.2801718,-1.2820228,-1.1968413,-1.6675639,-1.4913202,-1.0316679,-1.2569523,-1.1968413,-1.1151744,-2.5462034,4,4,6,6,4,5,7,8,8,4,6,4,7,2,4,6,3,8,7,5,-5.5604035,0.42605389,2.0428968,0.87038413,1.1725127
-16.889121,0.98503208,0.39305285,2,7,0,19.148494,0.75250668,1.3332031,1.0032442,0.32995886,-1.4687548,-1.4685564,-1.2982968,-1.6854982,-1.5126949,-1.1949507,-1.4179953,-1.2982968,-1.2466513,-2.1729971,8,6,5,4,3,6,2,8,3,7,3,6,8,7,3,8,4,8,5,5,-0.73129572,0.21747127,0.6232189,0.1355322,0.4876867
-16.793261,1,0.70245057,2,3,0,16.911834,0.7511633,3.8215343,2.8705963,0.95093798,-1.3275457,-1.3274249,-1.2439076,-1.6451994,-1.4767087,-1.0659546,-1.2883289,-1.2439076,-1.133036,-2.414509,6,6,6,3,4,6,2,6,5,3,5,4,8,4,4,6,3,8,5,3,-2.2902995,0.45257909,1.774516,0.80310882,0.97140713
-16.793261,1.8086166e-06,1.3252095,1,3,1,18.494825,0.7511633,3.8215343,2.8705963,0.95093798,-1.3275457,-1.3274249,-1.2439076,-1.6451994,-1.4767087,-1.0659546,-1.2883289,-1.2439076,-1.133036,-2.414509,4,7,8,5,6,6,4,7,6,2,7,3,6,5,4,7,3,8,7,2,-2.2902995,0.66418563,2.8059676,1.8636833,0.94228423
-17.25333,0.99781905,0.10734713,4,15,0,17.429881,0.71794363,4.5919766,3.2967803,1.2951963,-1.3111231,-1.3145502,-1.1844008,-1.6978365,-1.5141408,-1.0674383,-1.2949804,-1.1844008,-1.1559389,-2.5187988,5,6,7,2,2,8,1,6,8,3,6,3,8,3,3,6,2,6,6,3,-2.9370201,0.54406888,1.6685013,0.90777964,0.76072166
-16.500049,0.99971767,0.20363447,3,7,0,17.438121,0.78682748,1.7450791,1.3730762,0.37200291,-1.4253323,-1.4221592,-1.3265252,-1.6262091,-1.465466,-1.1417073,-1.3616221,-1.3265252,-1.1829525,-2.1795375,4,2,8,4,1,4,4,7,5,3,4,7,6,4,4,6,2,8,8,3,-0.81341267,0.31177027,2.1358972,0.66590926,1.469988
