# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-05-11 07:44:44 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpCZXZ45/standata-16d8c5a3437dc.json
# init = 2 (Default)
# random
#   seed = 1689961086
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202605110944-1-95908e.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202605110944-1-3afbf1.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-30.237178,0.024098368,1,2,3,0,30.314064,0.52226717,0.19671946,0.10274011,0.093979342,-1.9529774,-1.9622978,-1.6021684,-2.0681899,-1.8491777,-1.6874713,-1.9298143,-1.6021684,-1.756192,-1.8594585,7,5,7,3,3,6,3,8,7,2,4,7,7,8,2,8,2,8,5,6,-8.9530055,0.75168322,2.1580961,1.6222046,0.53589148
-30.237178,0,2.4396507,0,1,1,30.93475,0.52226717,0.19671946,0.10274011,0.093979342,-1.9529774,-1.9622978,-1.6021684,-2.0681899,-1.8491777,-1.6874713,-1.9298143,-1.6021684,-1.756192,-1.8594585,5,3,8,5,3,8,4,8,7,4,4,3,7,2,6,4,3,6,5,1,-8.9530055,0.73395638,3.4138449,2.5056133,0.90823167
-28.139135,1,0.24369187,3,7,0,31.808986,0.3625293,16.598268,6.0173584,10.580909,-1.3609578,-1.3998114,-0.95742709,-2.6373332,-2.0805385,-1.3273761,-1.7400681,-0.95742709,-1.7687768,-3.5894018,4,5,8,6,3,6,4,7,7,4,5,5,7,5,3,6,4,7,7,4,-11.664419,0.61137146,5.4343599,3.3224126,2.1119473
-24.743505,0.99751258,0.2556947,2,3,0,29.705372,0.29577509,8.7829619,2.5977814,6.1851805,-1.4234486,-1.463787,-0.99759723,-2.8239163,-2.1812242,-1.4127875,-1.8758053,-0.99759723,-1.9205559,-3.6963011,3,6,6,2,4,7,6,4,6,5,5,6,7,3,2,5,4,6,4,5,-6.554485,0.25646479,2.7735179,0.71130968,2.0622083
-18.180799,1,0.34498969,2,3,0,24.508656,0.57304549,0.97957429,0.56134064,0.41823366,-1.5380848,-1.5503116,-1.234119,-1.9280445,-1.6909944,-1.3240834,-1.5743202,-1.234119,-1.454384,-2.3835936,8,5,6,5,5,6,5,6,7,4,4,2,6,4,5,8,1,7,7,4,-0.84023894,0.48799998,2.8307482,1.381405,1.4493431
-16.363152,0.86783892,0.54096134,2,3,0,18.406302,0.76374904,2.8841002,2.2027288,0.68137143,-1.3566261,-1.3552761,-1.2736815,-1.6331487,-1.4687079,-1.0869901,-1.3079723,-1.2736815,-1.1443723,-2.3359017,6,5,7,1,2,7,5,8,3,6,7,7,8,3,4,7,1,8,7,3,-1.4736298,0.12736155,3.7933058,0.48312131,3.3101845
-16.875932,0.80200099,0.61545472,1,1,0,16.935326,0.74285355,3.9824587,2.9583835,1.0240751,-1.3234871,-1.3242344,-1.2285667,-1.6577357,-1.4857524,-1.0662221,-1.2897086,-1.2285667,-1.1383608,-2.4397744,7,2,7,6,3,8,4,8,5,5,3,4,8,2,4,6,2,8,7,4,-2.4200563,0.26955914,2.2380233,0.60327964,1.6347437
-17.138838,0.9721337,0.5913134,2,3,0,17.485624,0.6573306,4.2202954,2.7741293,1.4461661,-1.3203241,-1.3300241,-1.1143815,-1.8075347,-1.5906916,-1.1068928,-1.3474921,-1.1143815,-1.2340464,-2.6426277,4,4,7,2,4,7,2,6,4,6,4,4,8,5,5,7,6,8,8,1,-2.4797892,0.42535408,5.5692733,2.3689131,3.2003602
-17.138838,9.2299718e-05,0.98832334,1,1,0,18.006992,0.6573306,4.2202954,2.7741293,1.4461661,-1.3203241,-1.3300241,-1.1143815,-1.8075347,-1.5906916,-1.1068928,-1.3474921,-1.1143815,-1.2340464,-2.6426277,5,8,3,3,4,6,3,7,5,6,3,5,7,4,3,6,2,8,6,5,-2.4797892,0.20946424,1.9108387,0.40025237,1.5105863
-18.267254,0.99286249,0.078162782,4,31,0,20.758415,0.51823293,4.4583501,2.3104638,2.1478863,-1.3427169,-1.3660368,-1.0251782,-2.1063349,-1.7827115,-1.2038177,-1.4958034,-1.0251782,-1.4437605,-2.9812078,5,4,3,5,3,5,3,4,5,2,5,4,8,2,5,8,2,6,8,5,-2.601662,0.26021335,1.6324603,0.42478797,1.2076723
