# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-05-11 07:44:25 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpCZXZ45/standata-16d8ce64d1f4.json
# init = 2 (Default)
# random
#   seed = 1134400910
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202605110944-2-21c6bc.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202605110944-2-4c3f3b.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-18.558644,1,1,1,1,0,23.398304,0.39614053,1.5525686,0.61503536,0.93753327,-1.5003539,-1.5264096,-1.1382302,-2.2746992,-1.8982093,-1.3792147,-1.7050039,-1.1382302,-1.6647287,-2.9104746,7,4,6,4,5,7,2,7,8,6,5,6,5,5,4,7,4,5,5,4,-0.43260004,0.64390134,1.3941178,0.89767434,0.49644348
-18.558644,0,14.38551,0,1,1,18.700176,0.39614053,1.5525686,0.61503536,0.93753327,-1.5003539,-1.5264096,-1.1382302,-2.2746992,-1.8982093,-1.3792147,-1.7050039,-1.1382302,-1.6647287,-2.9104746,5,3,8,2,2,3,5,7,7,2,6,4,7,6,6,6,4,7,7,5,-0.43260004,0.5900906,3.2958458,1.9448476,1.3509982
-18.558644,1.8709953e-60,2.4311673,1,2,1,18.838511,0.39614053,1.5525686,0.61503536,0.93753327,-1.5003539,-1.5264096,-1.1382302,-2.2746992,-1.8982093,-1.3792147,-1.7050039,-1.1382302,-1.6647287,-2.9104746,5,7,6,7,5,6,2,8,3,6,6,2,6,1,2,6,3,8,4,3,-0.43260004,0.14792693,2.1799317,0.32247062,1.8574611
-17.345883,0.98823998,0.23979141,3,11,0,19.74268,0.77705672,4.5758571,3.5557005,1.0201566,-1.3143368,-1.3114448,-1.2903807,-1.6011869,-1.443637,-1.0414766,-1.2609696,-1.2903807,-1.0964958,-2.3853835,5,5,4,6,2,8,3,6,6,1,3,4,8,7,1,6,3,7,6,3,-3.0779044,0.76536016,2.6481153,2.026762,0.62135336
-18.136202,0.95910396,0.31361586,2,7,0,19.260987,0.85646365,4.7631691,4.0794812,0.68368789,-1.3234117,-1.3120875,-1.5145734,-1.48691,-1.3545894,-1.0151143,-1.2312174,-1.5145734,-1.0357181,-2.2157182,7,5,6,2,3,5,5,8,8,6,8,2,8,6,5,8,2,8,5,4,-3.5970913,0.36122131,2.7250457,0.98434457,1.7407011
-16.62007,1,0.43351498,2,3,0,18.192546,0.672688,1.508656,1.0148548,0.4938012,-1.4469532,-1.4532948,-1.2157745,-1.7832901,-1.5829424,-1.2070625,-1.4402171,-1.2157745,-1.2996868,-2.3554458,4,5,7,4,4,6,2,8,7,2,6,4,7,3,3,6,4,8,4,1,-0.51753295,0.62449255,3.8066668,2.3772351,1.4294318
-16.931591,0.82825949,0.7348196,2,3,0,17.955998,0.85527071,1.9339182,1.6540236,0.27989461,-1.4187243,-1.4094648,-1.4561693,-1.5401796,-1.3964607,-1.1103915,-1.3284447,-1.4561693,-1.1283107,-2.0725321,4,2,7,3,5,6,4,8,6,2,5,6,8,5,4,7,4,8,5,5,-1.1850652,0.66940301,1.3433786,0.8992617,0.44411694
-17.130626,0.65600165,0.76837934,2,3,0,17.694968,0.53145738,1.7099251,0.90875231,0.80117278,-1.4452104,-1.4631248,-1.1324187,-2.0153796,-1.7368888,-1.2702496,-1.541187,-1.1324187,-1.4569887,-2.6730985,4,4,6,5,3,8,3,7,6,4,6,2,7,2,2,6,3,8,4,7,-0.40985021,0.58807042,2.3600282,1.3878628,0.97216543
-16.205944,1,0.4767388,2,7,0,17.043729,0.74430567,2.37062,1.7644659,0.60615408,-1.3790905,-1.3796246,-1.2517038,-1.6675876,-1.495185,-1.1161877,-1.339371,-1.2517038,-1.1807775,-2.3347257,3,3,8,2,2,4,2,8,7,3,2,4,8,5,4,8,5,8,8,1,-1.0140624,0.61439862,2.017725,1.2396874,0.77803753
-20.632208,0.0175466,0.88344593,1,1,0,21.438701,0.7299846,0.57287441,0.41818949,0.15468491,-1.6557556,-1.6569069,-1.3826555,-1.7919536,-1.6057519,-1.3726317,-1.6009769,-1.3826555,-1.4172422,-1.9574503,3,6,8,4,3,8,3,8,5,4,5,3,4,5,6,5,4,8,7,4,-2.6271311,0.32783209,0.45503582,0.14917534,0.30586047
