# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-05-11 07:44:11 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpCZXZ45/standata-16d8c5d7fbb36.json
# init = 2 (Default)
# random
#   seed = 146093760
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202605110944-2-8e2553.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202605110944-2-69358e.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-23.192035,1,0.5,2,3,0,27.872785,0.24912805,1.3654399,0.34016938,1.0252705,-2.0772599,-1.5282119,-1.5945078,-1.5857682,-0.76783827,-1.5196931,-1.4643451,-5.7970964,-1.9187961,-2.8605245,3,4,4,4,8,1,6,4,6,7,4,5,2,7,8,3,3,7,5,6,-0.71316172,0.14599242,2.7384072,0.3997867,2.3386205
-23.192035,0,14.38551,0,1,1,23.442325,0.24912805,1.3654399,0.34016938,1.0252705,-2.0772599,-1.5282119,-1.5945078,-1.5857682,-0.76783827,-1.5196931,-1.4643451,-5.7970964,-1.9187961,-2.8605245,2,5,6,6,8,2,5,7,3,7,4,6,6,5,5,4,4,7,4,5,-0.71316172,0.5566119,2.1695017,1.2075705,0.96193123
-23.192035,4.1045794e-08,2.4311673,1,3,0,24.411676,0.24912805,1.3654399,0.34016938,1.0252705,-2.0772599,-1.5282119,-1.5945078,-1.5857682,-0.76783827,-1.5196931,-1.4643451,-5.7970964,-1.9187961,-2.8605245,4,3,6,5,6,7,6,8,6,8,5,3,3,8,7,7,6,8,4,7,-0.71316172,0.50149195,1.917347,0.96153407,0.95581289
-22.841345,0.99592971,0.23979143,3,7,0,23.490752,0.2960002,1.4682863,0.43461303,1.0336732,-2.0234231,-1.4921748,-1.6207569,-1.6047138,-0.86774056,-1.4736228,-1.4507476,-5.700226,-1.8471381,-2.998999,3,2,2,4,6,2,3,6,7,7,3,5,4,7,5,4,3,8,6,7,-0.57752552,0.71687082,1.4245365,1.0212086,0.40332785
-22.336143,0.95939822,0.3205825,2,7,0,24.419621,0.43975231,1.2042089,0.52955366,0.67465527,-1.8311151,-1.4885088,-1.746905,-1.726047,-1.195157,-1.4281365,-1.4991517,-4.7651608,-1.6701385,-3.2351946,4,5,2,7,6,2,1,8,2,8,3,5,4,8,8,3,8,7,4,8,-0.5355306,0.69200623,3.4611081,2.3951084,1.0659997
-25.696971,0.49663502,0.44395808,1,3,0,26.649753,0.31442081,0.45243617,0.14225535,0.31018082,-1.9133909,-1.734141,-1.7849557,-1.8010134,-0.99103705,-1.6870293,-1.7179724,-3.7363758,-1.887785,-2.5222977,1,4,5,4,8,5,3,7,2,8,6,4,3,1,8,2,7,8,8,7,-3.59335,0.26881819,1.2969584,0.348646,0.94831239
-23.772065,0.99905417,0.16123079,3,7,0,26.073347,0.40826821,0.6403412,0.26143096,0.37891025,-1.8423218,-1.6309216,-1.7797676,-1.7784944,-1.1284316,-1.570926,-1.6325801,-3.9782712,-1.7678729,-2.7931885,1,3,4,8,7,5,5,8,3,7,4,5,6,8,6,5,2,5,5,6,-2.0030028,0.55111023,1.0997723,0.60609574,0.49367651
-22.909255,1,0.27976796,2,7,0,23.893785,0.35558978,2.0716257,0.73664893,1.3349768,-1.975711,-1.4173664,-1.6470563,-1.616826,-0.99972479,-1.3879351,-1.399661,-5.9929877,-1.7531777,-3.335506,5,4,3,7,5,4,7,7,4,7,3,6,5,5,7,7,4,8,7,8,-0.63823902,0.6286271,2.2274936,1.4002628,0.82723075
-24.007666,0.96160782,0.50672833,2,3,0,24.094348,0.21957887,0.80098523,0.17587943,0.6251058,-2.0435334,-1.6372834,-1.6452384,-1.6551902,-0.75992376,-1.6212844,-1.575688,-4.8855332,-1.9543085,-2.5930509,4,8,5,8,8,3,6,5,3,6,3,5,3,5,6,3,7,6,5,5,-1.6507539,0.47567427,1.4222967,0.67654995,0.74574677
-23.241836,0.45392242,0.83205033,2,3,0,24.628858,0.38700114,0.75650569,0.29276857,0.46373712,-1.8662758,-1.5939614,-1.7476106,-1.7429973,-1.0841292,-1.5409101,-1.5909044,-4.2613261,-1.7681928,-2.8437402,2,7,3,5,6,1,6,7,4,8,6,7,3,8,7,5,1,8,5,7,-1.4840226,0.56165649,3.0029809,1.6866437,1.3163372
-23.078011,0.99651255,0.27756316,2,7,0,23.805704,0.27995602,1.0223483,0.28621255,0.73613571,-2.0031572,-1.561834,-1.6461284,-1.6421394,-0.85462871,-1.5392319,-1.5199921,-5.1058568,-1.8730085,-2.794268,2,2,8,6,4,2,4,4,4,7,5,6,5,8,8,3,3,8,5,6,-0.95830256,0.97916992,1.3850509,1.3562002,0.028850715
-22.708294,1,0.51844655,2,3,0,23.033852,0.31279532,1.3179535,0.41224969,0.90570384,-1.9899233,-1.5024906,-1.6422838,-1.6275729,-0.9101224,-1.4773589,-1.4703838,-5.4238808,-1.8236662,-2.984031,4,3,7,6,7,4,5,6,3,7,5,3,6,5,6,4,8,8,3,7,-0.59533116,0.54044964,3.8171879,2.0629978,1.7541901
-22.390123,0.78712944,0.98198994,2,3,0,22.593067,0.49931141,1.6526785,0.82520123,0.82747728,-1.7741743,-1.431573,-1.7895726,-1.7605285,-1.3502686,-1.3567115,-1.4577114,-4.977597,-1.5779082,-3.6346821,6,4,3,5,7,5,3,8,3,8,5,6,5,5,8,5,6,7,3,8,-0.39549648,0.32194878,2.6250205,0.84512213,1.7798983
-22.390123,0.050913583,0.95287875,1,3,0,23.353666,0.49931141,1.6526785,0.82520123,0.82747728,-1.7741743,-1.431573,-1.7895726,-1.7605285,-1.3502686,-1.3567115,-1.4577114,-4.977597,-1.5779082,-3.6346821,3,1,2,6,7,6,4,8,6,3,2,4,2,8,8,2,5,7,2,8,-0.39549648,0.21421503,0.87875765,0.18824309,0.69051456
-22.366312,0.99997123,0.093382854,4,31,0,22.502801,0.47607455,1.6536978,0.78728342,0.86641437,-1.8022855,-1.4307385,-1.7669302,-1.7376453,-1.2927737,-1.3625625,-1.4520066,-5.0735677,-1.6035863,-3.5607093,4,5,7,7,8,2,3,7,5,8,1,2,3,5,6,4,6,6,1,5,-0.3979338,0.27312855,4.399635,1.201666,3.1979691
-22.396473,0.99974807,0.17871028,3,15,0,22.444789,0.52290479,1.2157963,0.63574571,0.58005059,-1.7403611,-1.4878506,-1.8181167,-1.7959387,-1.386432,-1.4058678,-1.5144965,-4.4904547,-1.5858927,-3.4647344,4,6,6,7,6,4,5,7,6,7,4,7,2,5,7,1,7,6,3,8,-0.51333222,0.48861252,2.3076031,1.1275238,1.1800793
-22.796077,0.97653274,0.33976528,3,7,0,22.91713,0.33016883,1.7751073,0.58608512,1.1890222,-1.9969726,-1.448523,-1.6336059,-1.6092187,-0.94045821,-1.4241967,-1.4206362,-5.8671143,-1.7940758,-3.1810234,2,4,4,7,8,3,3,7,4,8,4,3,3,5,7,4,8,7,4,7,-0.54523194,0.44914408,3.4501971,1.5496356,1.9005615
-22.602092,1,0.59731345,1,1,0,22.786537,0.34770744,1.6103182,0.55991964,1.0503986,-1.9639888,-1.4566718,-1.6540847,-1.6307776,-0.9838073,-1.425691,-1.4372391,-5.6096543,-1.7698256,-3.1750767,4,6,5,8,6,4,5,7,5,8,4,4,5,8,7,4,3,8,5,7,-0.48805075,0.40254647,1.9289738,0.77650159,1.1524722
-22.602092,7.4008305e-05,1.119229,1,1,0,23.280946,0.34770744,1.6103182,0.55991964,1.0503986,-1.9639888,-1.4566718,-1.6540847,-1.6307776,-0.9838073,-1.425691,-1.4372391,-5.6096543,-1.7698256,-3.1750767,3,3,6,5,5,3,6,5,1,6,1,3,4,8,8,2,4,7,3,6,-0.48805075,0.78532093,2.8570086,2.2436686,0.61333994
-23.677912,0.99698356,0.10285118,4,15,0,23.724169,0.21294262,1.0046899,0.21394129,0.79074857,-2.0814303,-1.5995874,-1.6086911,-1.6130413,-0.72015464,-1.5910339,-1.5262635,-5.3513867,-1.9665679,-2.6653727,5,5,3,6,8,5,5,8,3,4,3,6,4,7,7,6,6,6,7,5,-1.1728746,0.2910476,1.8926558,0.55085292,1.3418028
-23.90987,0.99513657,0.19213577,2,3,0,23.976926,0.20369886,0.91250884,0.18587701,0.72663183,-2.0789335,-1.6218499,-1.6173124,-1.6255277,-0.71325314,-1.6124638,-1.5475175,-5.1977532,-1.9774845,-2.6144391,3,6,8,7,8,1,4,5,5,8,4,4,4,7,8,6,3,3,4,7,-1.3928877,0.62864821,3.1769067,1.9971567,1.17975
-24.04882,0.97793532,0.35359843,1,1,0,24.108455,0.20434576,0.84267431,0.17219692,0.67047739,-2.0671717,-1.6358766,-1.629646,-1.64001,-0.72462252,-1.6241619,-1.5651244,-5.0386356,-1.9749756,-2.5873943,3,4,7,5,7,6,5,8,1,8,5,3,2,7,8,4,6,7,5,7,-1.5734943,0.51164214,2.1617809,1.1060582,1.0557227
