# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-05-11 07:45:04 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpCZXZ45/standata-16d8c25afae7e.json
# init = 2 (Default)
# random
#   seed = 333046152
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202605110945-1-1f6f13.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202605110945-1-1a567c.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-27.93528,0.33333333,1,2,3,0,31.100056,0.51961667,18.877911,9.8092774,9.0686339,-1.3874992,-1.2807034,-1.8746873,-2.3398346,-1.2956844,-1.3874992,-1.3257946,-1.7821593,-1.3257946,-2.647261,7,2,4,7,3,8,5,5,4,6,7,5,4,5,5,5,5,6,7,2,-12.83852,0.77617236,1.1970603,0.92912509,0.26793518
-27.93528,0,4.2806302,0,1,1,28.052578,0.51961667,18.877911,9.8092774,9.0686339,-1.3874992,-1.2807034,-1.8746873,-2.3398346,-1.2956844,-1.3874992,-1.3257946,-1.7821593,-1.3257946,-2.647261,5,5,2,6,1,6,7,7,1,2,6,4,6,8,3,7,6,6,4,5,-12.83852,0.61902458,0.87397339,0.54101101,0.33296238
-23.464507,1,0.5051111,2,3,0,28.186856,0.57711875,9.1546462,5.2833179,3.8713283,-1.5104419,-1.2859109,-1.9568119,-2.5439695,-1.3422289,-1.5104419,-1.3757495,-1.8724082,-1.3757495,-2.8084427,4,8,5,6,4,7,6,6,5,4,7,5,4,8,4,8,3,7,5,3,-6.6862423,0.40245039,0.9049155,0.3641836,0.5407319
-19.931726,1,0.58289122,2,7,0,22.158429,0.053406677,1.0920105,0.058320652,1.0336898,-1.4674813,-1.7395974,-1.3814467,-1.5496943,-1.5330396,-1.4674813,-1.5189986,-1.5420331,-1.5189986,-1.0771559,7,8,2,4,4,7,5,4,6,1,6,6,8,8,2,7,7,6,3,2,-2.2391142,0.077054646,0.98115378,0.075602457,0.90555132
-19.931726,0.45598982,0.84062856,1,3,0,21.099514,0.053406677,1.0920105,0.058320652,1.0336898,-1.4674813,-1.7395974,-1.3814467,-1.5496943,-1.5330396,-1.4674813,-1.5189986,-1.5420331,-1.5189986,-1.0771559,6,5,3,7,3,7,2,7,3,4,8,5,2,4,5,5,3,6,6,3,-2.2391142,0.77416236,2.9573494,2.2894686,0.66788079
-17.215406,0.9995492,0.27064267,3,11,0,22.890675,0.40151627,3.3762198,1.3556072,2.0206126,-1.3118072,-1.4102078,-1.6654719,-1.8903007,-1.3478752,-1.3118072,-1.3628931,-1.6348043,-1.3628931,-2.083253,8,6,4,8,1,7,4,6,7,4,5,6,2,7,6,6,5,6,3,3,-1.6249856,0.91714292,2.3986559,2.1999103,0.19874562
-19.103009,0.7314067,0.45232767,2,7,0,20.572956,0.082926726,1.1081563,0.09189577,1.0162605,-1.4522381,-1.7164889,-1.3994669,-1.5615756,-1.5239377,-1.4522381,-1.5118311,-1.5479027,-1.5118311,-1.1414741,6,3,3,6,4,3,8,7,8,2,7,6,5,6,5,7,7,7,3,1,-1.8103567,0.11287498,1.0017125,0.11306829,0.88864425
-19.602922,0.99401672,0.34707763,2,3,0,19.919519,0.064845454,1.0868446,0.070476932,1.0163677,-1.4632934,-1.7314905,-1.3896349,-1.5558769,-1.5314252,-1.4632934,-1.5181737,-1.546091,-1.5181737,-1.1019738,5,6,2,8,4,6,5,4,7,2,7,3,3,6,4,7,5,3,7,1,-2.0639817,0.039444543,2.3222808,0.091601303,2.2306795
-16.75646,0.9093426,0.61821761,3,7,0,19.618926,0.14183922,2.3241516,0.32965586,1.9944958,-1.3148228,-1.6113735,-1.3824732,-1.5055226,-1.3944077,-1.3148228,-1.3844245,-1.4665394,-1.3844245,-1.3064427,5,3,4,7,4,8,4,5,4,2,8,6,4,8,4,6,7,8,5,1,-1.4285367,0.34398021,2.7072996,0.93125751,1.7760421
-16.75646,0.12233971,0.86149744,1,3,0,17.522094,0.14183922,2.3241516,0.32965586,1.9944958,-1.3148228,-1.6113735,-1.3824732,-1.5055226,-1.3944077,-1.3148228,-1.3844245,-1.4665394,-1.3844245,-1.3064427,5,4,4,7,5,7,3,5,5,6,8,5,3,6,6,5,6,7,6,1,-1.4285367,0.24161523,2.3440229,0.56635163,1.7776713
-16.777279,0.99991931,0.10071748,4,15,0,16.843861,0.13833529,2.4974389,0.34548394,2.1519549,-1.3071609,-1.6101178,-1.3751936,-1.4957113,-1.3861794,-1.3071609,-1.3756977,-1.4573866,-1.3756977,-1.3003395,7,5,4,7,4,8,5,6,4,4,7,4,3,6,4,8,8,5,5,2,-1.5749349,0.72735994,2.052962,1.4932423,0.55971969
-19.157589,0.96470443,0.19037935,3,7,0,20.051037,0.057462671,4.8060049,0.27616588,4.529839,-1.2877813,-1.6728905,-1.2677454,-1.3783706,-1.3464376,-1.2877813,-1.3264848,-1.3652188,-1.3264848,-1.095491,7,5,4,6,1,8,4,6,6,2,6,5,1,7,1,6,3,4,6,2,-4.4569698,0.29784027,2.0107513,0.59888272,1.4118686
-16.729099,0.96007395,0.32363807,3,7,0,20.042444,0.2072912,1.6836438,0.34900455,1.3346393,-1.3470344,-1.5880359,-1.462036,-1.6003749,-1.4315053,-1.3470344,-1.4278665,-1.5368756,-1.4278665,-1.4552812,6,5,3,6,7,8,3,7,6,2,8,7,3,6,5,7,8,6,4,4,-0.8202189,0.30825838,1.5717233,0.48449688,1.0872264
-17.393507,0.97486553,0.54275904,2,5,0,17.480427,0.443556,2.9833767,1.3232946,1.6600821,-1.3566754,-1.4032337,-1.7186111,-1.9857545,-1.3685936,-1.3566754,-1.3870283,-1.6833659,-1.3870283,-2.1944155,8,4,4,7,4,5,6,6,5,4,4,7,2,6,5,7,5,6,5,3,-1.2460614,0.51331995,2.2642794,1.1622998,1.1019796
