# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-05-11 07:45:31 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpCZXZ45/standata-16d8c5a0a86dc.json
# init = 2 (Default)
# random
#   seed = 1449841492
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202605110945-1-363039.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202605110945-1-98dc6f.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-18.611589,0.33334201,1,1,3,0,23.049845,0.056270156,1.6519764,0.09295697,1.5590194,-1.3979488,-1.7075128,-1.3363608,-1.4841595,-1.4613486,-1.3979488,-1.4454741,-1.4744063,-1.4454741,-1.0828152,4,4,2,6,7,4,4,6,3,3,5,6,4,3,6,5,6,7,5,4,-1.9446062,0.11649653,2.6690032,0.3109296,2.3580736
-18.611589,0,4.2806977,0,1,1,18.840304,0.056270156,1.6519764,0.09295697,1.5590194,-1.3979488,-1.7075128,-1.3363608,-1.4841595,-1.4613486,-1.3979488,-1.4454741,-1.4744063,-1.4454741,-1.0828152,8,4,3,5,5,8,5,5,6,3,7,8,4,7,6,4,3,5,3,3,-1.9446062,0.44893641,2.5609406,1.1496995,1.4112411
-17.224335,1,0.50512143,2,3,0,18.819201,0.10198129,2.2810167,0.23262103,2.0483956,-1.3323487,-1.6479269,-1.3475069,-1.4741005,-1.4051062,-1.3323487,-1.3916434,-1.4501259,-1.3916434,-1.2019215,8,6,3,6,3,8,5,5,5,4,6,8,3,7,7,4,5,6,3,2,-1.6837542,0.24921981,2.2875203,0.57009537,1.7174249
-17.741008,0.78652041,0.58290469,3,7,0,18.368887,0.083711262,3.3952004,0.28421651,3.1109839,-1.2989755,-1.6501902,-1.307907,-1.4231324,-1.3663777,-1.2989755,-1.3499579,-1.4029412,-1.3499579,-1.1628109,7,5,5,6,5,7,3,7,4,6,5,5,5,4,6,6,4,5,4,2,-2.7843385,0.72148063,2.3842808,1.7202124,0.66406837
-17.924871,0.83651806,0.45679421,2,7,0,19.10627,0.1035274,1.4235511,0.14737655,1.2761745,-1.3999428,-1.6783998,-1.3871158,-1.5339348,-1.4744177,-1.3999428,-1.4627894,-1.5131791,-1.4627894,-1.1927251,7,5,4,7,4,6,8,6,5,1,8,5,4,5,4,3,5,6,5,3,-1.3955829,0.25445898,2.6222902,0.66726529,1.9550249
-16.449997,0.98064679,0.44535339,2,3,0,18.769588,0.19080656,2.5496042,0.48648121,2.063123,-1.2913762,-1.5650288,-1.4253729,-1.5473729,-1.3753474,-1.2913762,-1.3697146,-1.4838557,-1.3697146,-1.4424859,7,2,3,7,4,6,6,4,5,4,6,5,2,5,4,7,5,2,5,1,-1.3560773,0.45098311,1.528257,0.68921809,0.8390389
-16.449997,0.12977757,0.71197071,1,1,0,18.068634,0.19080656,2.5496042,0.48648121,2.063123,-1.2913762,-1.5650288,-1.4253729,-1.5473729,-1.3753474,-1.2913762,-1.3697146,-1.4838557,-1.3697146,-1.4424859,7,8,6,6,5,7,4,4,5,6,7,8,4,6,6,5,4,6,6,2,-1.3560773,0.63917291,2.9338944,1.8752658,1.0586286
-16.450781,0.99998296,0.084609161,4,15,0,16.466928,0.19318289,2.652534,0.51242418,2.1401098,-1.2862717,-1.5604701,-1.4261675,-1.5472153,-1.3703373,-1.2862717,-1.3648788,-1.4817126,-1.3648788,-1.451529,8,2,3,8,6,8,4,8,6,3,7,6,4,6,2,7,5,6,5,5,-1.4277871,0.85954174,0.84947059,0.73015543,0.11931516
-16.61132,0.99930189,0.15148076,4,15,0,16.648682,0.16290016,2.2475643,0.36612857,1.8814357,-1.3130809,-1.5960606,-1.4041258,-1.5284679,-1.3951372,-1.3130809,-1.3871342,-1.4807705,-1.3871342,-1.3601986,7,4,4,8,3,8,5,7,4,4,6,7,3,4,1,7,6,7,3,4,-1.2635464,0.60016753,2.2961318,1.3780637,0.91806805
-16.791818,0.94755695,0.27854257,2,7,0,17.800985,0.17522815,3.4891131,0.61139085,2.8777222,-1.2607085,-1.559798,-1.3976435,-1.5087881,-1.3437434,-1.2607085,-1.3361523,-1.4488857,-1.3361523,-1.4171913,6,6,3,7,3,7,3,7,6,3,3,7,5,4,4,4,5,7,7,2,-2.2373797,0.46055728,2.9094912,1.3399873,1.5695038
