# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-05-11 07:45:50 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpCZXZ45/standata-16d8c17edaf9d.json
# init = 2 (Default)
# random
#   seed = 1418877763
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202605110945-1-3da689.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202605110945-1-1ccb46.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-17.285612,0.0088383455,1,1,3,0,18.175767,0.14712439,1.5092618,0.22204922,1.2872126,-1.3760832,-1.6404935,-1.4169003,-1.5575541,-1.4568334,-1.3760832,-1.4484288,-1.52204,-1.4484288,-1.2989839,6,7,2,6,4,7,1,7,5,3,8,2,3,2,4,3,3,4,5,3,-1.0797853,0.4391771,2.2043987,0.96812142,1.2362772
-17.285612,1.0925409e-309,2.3728917,1,1,0,17.515118,0.14712439,1.5092618,0.22204922,1.2872126,-1.3760832,-1.6404935,-1.4169003,-1.5575541,-1.4568334,-1.3760832,-1.4484288,-1.52204,-1.4484288,-1.2989839,7,4,3,7,3,7,4,7,6,4,5,2,3,7,4,8,8,4,5,1,-1.0797853,0.53154832,3.5560641,1.8902199,1.6658442
-16.421943,0.99105054,0.23508247,3,7,0,17.830563,0.24292708,2.0191535,0.49050707,1.5286465,-1.3180231,-1.5467223,-1.487521,-1.6258705,-1.401446,-1.3180231,-1.4008098,-1.5376969,-1.4008098,-1.5642274,6,8,5,7,3,4,7,5,1,3,4,5,2,2,2,4,4,4,3,3,-0.83018163,0.34043735,1.7221201,0.58627401,1.1358461
-16.638077,0.99429001,0.23972041,2,5,0,16.809223,0.16843037,2.9888668,0.50341594,2.4854509,-1.2779757,-1.5737463,-1.3962389,-1.5112966,-1.3604539,-1.2779757,-1.3524346,-1.4569856,-1.3524346,-1.3903554,7,7,1,7,3,5,5,6,4,2,5,7,5,5,3,6,4,7,6,1,-1.8174008,0.17425182,1.3734031,0.23931799,1.1340851
-17.094663,0.97850411,0.31898281,3,7,0,17.539382,0.12437001,1.8898987,0.23504673,1.654852,-1.348479,-1.6398104,-1.380176,-1.512244,-1.4257639,-1.348479,-1.4148338,-1.4822072,-1.4148338,-1.2527793,8,6,5,7,1,5,5,6,7,5,3,5,3,6,4,6,6,7,8,3,-1.2942735,0.56965239,1.2956369,0.73806268,0.55757425
-16.973109,1,0.46753437,1,1,0,17.123459,0.13378732,1.9251539,0.25756118,1.6675927,-1.3426345,-1.6307367,-1.3870742,-1.5177929,-1.4213211,-1.3426345,-1.4111356,-1.4841302,-1.4111356,-1.2773151,8,3,6,7,3,6,4,7,5,2,7,4,3,5,1,6,5,7,7,2,-1.247076,0.67262362,1.6936195,1.1391685,0.55445102
-16.973109,0.034277077,0.79410029,1,1,0,18.455867,0.13378732,1.9251539,0.25756118,1.6675927,-1.3426345,-1.6307367,-1.3870742,-1.5177929,-1.4213211,-1.3426345,-1.4111356,-1.4841302,-1.4111356,-1.2773151,7,6,4,8,5,7,6,6,5,7,3,5,6,7,5,5,6,7,4,3,-1.247076,0.52493131,0.94649512,0.49684492,0.4496502
-17.625476,0.99908348,0.070229391,4,15,0,17.69203,0.10552237,1.5937348,0.16817467,1.4255601,-1.3809489,-1.6677599,-1.3781947,-1.5195215,-1.45542,-1.3809489,-1.4435254,-1.4972252,-1.4435254,-1.2005602,6,7,3,8,1,6,4,5,6,5,6,6,2,2,3,5,4,4,3,2,-1.3635786,0.43825939,2.7567735,1.2081819,1.5485916
-18.761694,0.99204799,0.12515562,4,15,0,18.954929,0.083450684,5.1966518,0.43366414,4.7629876,-1.2665224,-1.6407765,-1.2901128,-1.393946,-1.332807,-1.2665224,-1.3151785,-1.3722126,-1.3151785,-1.1695849,6,3,5,7,4,8,3,4,3,4,4,6,1,6,5,7,6,6,4,2,-4.4762286,0.80652154,1.1196377,0.90301193,0.21662577
-16.800457,0.99957823,0.22471659,4,15,0,19.671003,0.14011132,2.1825655,0.30580212,1.8767633,-1.323452,-1.61686,-1.3845807,-1.510048,-1.402867,-1.323452,-1.3928896,-1.4724937,-1.3928896,-1.2990898,7,7,2,7,2,6,6,5,5,3,5,7,2,1,6,4,5,6,4,4,-1.3460646,0.51737388,1.1906604,0.61601661,0.57464382
