# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-05-11 07:46:30 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpCZXZ45/standata-16d8c33d5ff4d.json
# init = 2 (Default)
# random
#   seed = 1373995557
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202605110946-1-11c6f0.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202605110946-1-71e103.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-33.702937,0.013043985,1,1,3,0,39.245668,0.87408638,0.17304404,0.15125544,0.021788602,-1.8911956,-1.9779086,-1.8911956,-2.1485371,-1.625539,-1.7490173,-1.9087341,-2.0182917,-1.6514999,-2.0144097,8,2,5,3,7,1,6,7,8,7,1,2,8,3,5,7,7,4,7,5,-10.865664,0.5262724,1.3627308,0.71716762,0.64556321
-33.702937,0,2.3911059,0,1,1,34.180643,0.87408638,0.17304404,0.15125544,0.021788602,-1.8911956,-1.9779086,-1.8911956,-2.1485371,-1.625539,-1.7490173,-1.9087341,-2.0182917,-1.6514999,-2.0144097,3,3,5,5,8,2,7,6,8,5,8,4,5,8,8,2,1,6,5,6,-10.865664,0.42277893,2.0547514,0.86870558,1.1860458
-31.73517,0.93991669,0.23742438,2,3,0,36.839034,0.85187266,0.20063715,0.1709173,0.029719848,-1.8526115,-1.9387555,-1.8526115,-2.1210065,-1.5923391,-1.763199,-1.8675304,-2.0066961,-1.6161972,-1.9756675,4,3,1,4,5,3,4,7,5,5,7,3,1,1,4,7,5,6,8,8,-9.472297,0.47584243,2.7986989,1.3317397,1.4669592
-24.402193,1,0.21154209,3,15,0,31.984416,0.79530169,11.526321,9.1669029,2.3594185,-1.1834727,-1.4439757,-1.1834727,-2.075431,-1.1211597,-2.6557896,-1.2018424,-2.9419101,-0.98758649,-1.4076105,5,6,2,5,4,1,1,8,6,6,5,5,7,6,8,2,5,7,5,6,-8.8293237,0.7127727,3.6599229,2.6086932,1.0512298
-17.821096,1,0.28354501,2,3,0,24.151573,0.6366812,5.3939496,3.4342263,1.9597233,-1.2597974,-1.3003361,-1.2597974,-1.7183943,-0.99972124,-2.2149447,-1.217632,-2.0932522,-1.1048572,-1.3217638,3,6,4,4,8,5,6,8,7,5,6,5,3,5,6,5,8,8,6,6,-3.5519172,0.86583412,0.88754637,0.76846793,0.11907844
-17.731773,0.98701186,0.44083569,3,7,0,18.699195,0.34093887,6.220277,2.1207342,4.0995428,-1.4297569,-1.225395,-1.4297569,-1.3581623,-1.1948361,-1.5989603,-1.3048256,-1.4818355,-1.3651298,-1.3481608,5,4,5,6,6,2,8,6,5,4,4,3,5,3,7,3,7,7,6,5,-4.329777,0.79044651,2.9898289,2.3632998,0.62652908
-16.88516,1,0.71842031,2,3,0,17.47213,0.58810734,1.214012,0.71396934,0.50004261,-1.4460523,-1.4373338,-1.4460523,-1.7131789,-1.1820979,-1.875258,-1.4039216,-1.8410879,-1.2818651,-1.4901696,5,3,4,5,7,2,2,8,7,4,4,3,3,8,4,1,8,7,7,5,-0.54423523,0.65733658,1.7597455,1.1567451,0.60300041
-16.88516,2.6963185e-05,1.2816541,1,3,0,16.933842,0.58810734,1.214012,0.71396934,0.50004261,-1.4460523,-1.4373338,-1.4460523,-1.7131789,-1.1820979,-1.875258,-1.4039216,-1.8410879,-1.2818651,-1.4901696,6,6,2,8,8,3,5,8,8,5,7,3,6,6,5,3,4,8,8,7,-0.54423523,0.82432162,3.4658187,2.8569493,0.60886939
-18.805499,0.98900061,0.10169737,4,15,0,19.472803,0.35289238,7.8897626,2.7842371,5.1055255,-1.4124792,-1.2084012,-1.4124792,-1.3556252,-1.1709331,-1.6339006,-1.2864842,-1.4938302,-1.3473833,-1.329214,7,2,4,8,7,1,5,8,8,5,6,3,6,4,6,4,4,7,5,7,-5.7434998,0.82469262,1.001567,0.82598494,0.17558209
-16.707135,0.9979478,0.18066717,3,11,0,19.739433,0.64820386,1.5137984,0.98124997,0.53254842,-1.3917313,-1.4320327,-1.3917313,-1.7667486,-1.1416395,-2.0268672,-1.3628464,-1.9644129,-1.2182535,-1.4651802,4,6,4,4,7,3,7,7,6,1,7,4,1,8,8,4,7,7,8,7,-0.4820599,0.4380136,2.0647032,0.90436805,1.1603351
-16.419225,0.99371293,0.33598002,3,7,0,17.15482,0.32097223,4.0567958,1.3021188,2.754677,-1.4634534,-1.2635385,-1.4634534,-1.3729198,-1.2400062,-1.5367284,-1.3424468,-1.4699363,-1.3971554,-1.3881721,1,2,5,5,3,6,8,8,7,1,4,7,4,5,5,2,7,5,4,3,-2.3583138,0.22459079,1.1170355,0.2508759,0.86615965
-16.351594,1,0.62190062,2,3,0,16.821921,0.3176757,1.4699978,0.46698258,1.0030152,-1.5434985,-1.3862516,-1.5434985,-1.488579,-1.324847,-1.4550158,-1.4443792,-1.5318719,-1.4487819,-1.5033021,5,3,3,6,8,2,6,7,6,4,3,2,4,5,5,4,3,5,7,3,-0.53785515,0.56807978,2.6490535,1.5048737,1.1441798
-16.351594,1.1245923e-06,1.1772975,1,3,1,18.300277,0.3176757,1.4699978,0.46698258,1.0030152,-1.5434985,-1.3862516,-1.5434985,-1.488579,-1.324847,-1.4550158,-1.4443792,-1.5318719,-1.4487819,-1.5033021,8,5,2,5,5,3,7,6,7,5,5,3,4,5,4,3,8,7,7,6,-0.53785515,0.80861254,2.1186314,1.7131519,0.40547949
-17.112506,0.99510809,0.096759455,4,15,0,17.70512,0.55107873,5.2409001,2.8881486,2.3527515,-1.2989215,-1.2490803,-1.2989215,-1.5843597,-1.015528,-2.0261823,-1.2274967,-1.8567638,-1.1689566,-1.3026218,5,2,3,6,6,4,4,6,5,5,5,3,1,3,7,4,6,6,4,8,-3.3433818,0.37093435,2.5562233,0.94819105,1.6080323
-16.817459,1,0.18237226,3,15,0,17.13968,0.35435263,1.1784755,0.41759591,0.76087963,-1.5498531,-1.4150555,-1.5498531,-1.5422019,-1.3179804,-1.4928293,-1.4611317,-1.5827451,-1.4382167,-1.5241071,6,4,2,7,8,6,5,8,5,6,3,2,4,3,4,2,5,6,4,2,-0.63274244,0.65503167,1.3031815,0.85362518,0.44955637
-16.186456,0.77387487,0.34757371,1,3,0,20.140701,0.3013008,3.406592,1.0264089,2.3801831,-1.488054,-1.2883943,-1.488054,-1.377003,-1.2752819,-1.4885835,-1.3682631,-1.4565755,-1.4233641,-1.4152371,4,2,2,6,7,2,6,8,5,3,6,4,7,5,7,2,6,6,6,5,-1.7851767,0.24274522,1.0439791,0.25342095,0.79055818
-15.744008,0.99728413,0.32827879,3,7,0,16.527619,0.45013998,3.3876552,1.524919,1.8627362,-1.3839549,-1.2569945,-1.3839549,-1.4860606,-1.1133378,-1.7763558,-1.2895535,-1.6479611,-1.2771975,-1.3465905,5,4,2,5,7,2,5,8,7,7,3,4,4,6,7,2,8,8,8,3,-1.6058967,0.7073981,1.4153349,1.0012052,0.41412967
-15.744008,0.323755,0.61503713,2,3,0,19.8457,0.45013998,3.3876552,1.524919,1.8627362,-1.3839549,-1.2569945,-1.3839549,-1.4860606,-1.1133378,-1.7763558,-1.2895535,-1.6479611,-1.2771975,-1.3465905,5,3,2,5,7,2,6,6,6,4,7,2,4,5,3,3,7,5,6,4,-1.6058967,0.14373381,3.5004391,0.50313146,2.9973076
-16.053056,0.99178467,0.14842462,3,7,0,16.59216,0.4316477,3.9768056,1.716579,2.2602266,-1.3845535,-1.2411963,-1.3845535,-1.4579057,-1.1170918,-1.7540644,-1.2831582,-1.618419,-1.2860312,-1.3368824,2,2,6,4,7,1,6,8,4,5,5,2,3,2,7,2,4,6,8,6,-2.1645198,0.32286184,5.3441123,1.7254099,3.6187024
-15.520718,0.86379682,0.27325271,3,7,0,20.380152,0.43367776,2.0899645,0.9063711,1.1835933,-1.4365236,-1.313233,-1.4365236,-1.5130657,-1.1751465,-1.6925523,-1.3477263,-1.6295467,-1.3235365,-1.4068688,7,1,6,3,7,3,7,6,8,4,5,1,5,4,5,2,8,7,6,7,-0.57909646,0.37152512,1.5762704,0.58562406,0.99064638
-15.990449,0.96918751,0.34042583,3,7,0,16.4737,0.29310004,2.7239311,0.79838431,1.9255468,-1.5075619,-1.3148112,-1.5075619,-1.3953702,-1.2994609,-1.4593342,-1.3915281,-1.4613529,-1.4392915,-1.4410553,3,5,2,3,8,5,8,7,6,4,6,2,4,2,4,3,7,6,6,7,-1.2010895,0.34001217,2.7318448,0.92886046,1.8029843
-16.129332,0.93177538,0.57747022,2,3,0,16.548562,0.5995739,1.7665891,1.0592007,0.70738838,-1.3831167,-1.3827572,-1.3831167,-1.6965817,-1.1178307,-1.9703573,-1.3389899,-1.8864431,-1.2238824,-1.4279004,5,2,2,4,8,2,8,7,6,4,7,2,4,6,8,1,6,6,8,7,-0.46064451,0.48733547,3.9457303,1.9228943,2.022836
