# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-05-11 07:46:17 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpCZXZ45/standata-16d8c1690c515.json
# init = 2 (Default)
# random
#   seed = 926743715
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202605110946-1-3c32e4.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202605110946-1-55b662.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-18.573241,1,0.5,1,3,0,24.472505,0.247723,0.87906086,0.21776359,0.66129727,-1.64906,-1.5073627,-1.64906,-1.5637972,-1.4593781,-1.3114141,-1.5566299,-1.5544127,-1.5482025,-1.6281759,6,1,5,5,6,1,6,8,5,5,6,3,5,7,6,1,8,5,3,4,-1.3367524,0.19690212,1.2302121,0.24223137,0.9879807
-18.573241,0,14.38551,0,1,1,20.024274,0.247723,0.87906086,0.21776359,0.66129727,-1.64906,-1.5073627,-1.64906,-1.5637972,-1.4593781,-1.3114141,-1.5566299,-1.5544127,-1.5482025,-1.6281759,7,3,2,5,7,2,7,5,5,3,3,2,1,2,6,1,5,7,3,4,-1.3367524,0.35792958,2.2975157,0.82234883,1.4751669
-18.573241,0,2.4311673,0,1,1,20.314598,0.247723,0.87906086,0.21776359,0.66129727,-1.64906,-1.5073627,-1.64906,-1.5637972,-1.4593781,-1.3114141,-1.5566299,-1.5544127,-1.5482025,-1.6281759,4,1,5,6,8,3,7,8,7,7,5,6,2,6,5,2,6,6,5,8,-1.3367524,0.59691749,1.5995748,0.95481416,0.64476061
-16.706904,1,0.23979141,2,3,0,18.798327,0.22214731,1.7975667,0.39932459,1.3982421,-1.591111,-1.4101963,-1.591111,-1.4260596,-1.421047,-1.3102263,-1.481303,-1.4422044,-1.5272199,-1.5383529,4,4,4,5,6,3,6,7,6,7,5,3,4,5,4,2,8,5,5,5,-0.79887391,0.72850749,2.406119,1.7528757,0.65324327
-16.982364,0.98260755,0.32433241,1,1,0,16.983287,0.20828865,1.6414617,0.34189784,1.2995639,-1.6085817,-1.4326052,-1.6085817,-1.4375998,-1.4456731,-1.282867,-1.5007577,-1.4442942,-1.5444337,-1.5601008,6,5,3,7,8,3,3,7,8,7,7,2,4,5,5,2,7,8,8,4,-0.81006779,0.90143828,3.0348418,2.7357225,0.29911923
-17.816568,0.92772598,0.48157507,2,3,0,18.227166,0.19031242,4.3879245,0.83507651,3.552848,-1.5772431,-1.3641251,-1.5772431,-1.3184882,-1.434757,-1.2891151,-1.4543588,-1.3455734,-1.5487331,-1.4978313,4,2,6,1,5,2,6,3,7,3,6,5,2,4,6,3,8,6,4,4,-3.0177611,0.30781388,1.2560627,0.38663355,0.8694292
-16.529721,0.82640642,0.65609411,2,3,0,18.546145,0.37739237,1.2624256,0.47642978,0.78599578,-1.5281446,-1.3983234,-1.5281446,-1.542392,-1.2881133,-1.5367644,-1.4410833,-1.5956525,-1.4136941,-1.5033532,6,2,5,7,6,1,6,8,6,4,6,4,4,7,8,6,4,8,8,5,-0.53878202,0.49448945,1.950489,0.96449622,0.98599274
-15.782462,1,0.68083173,1,1,0,16.328889,0.41930728,1.6813634,0.70500789,0.97635546,-1.4689132,-1.3456456,-1.4689132,-1.5273236,-1.2137274,-1.6406716,-1.3821188,-1.6194543,-1.3536059,-1.4424529,4,1,5,5,8,1,8,6,5,4,7,1,5,4,7,3,7,7,5,7,-0.42655546,0.18300267,2.1041542,0.38506583,1.7190883
-15.782462,2.6817667e-08,1.2437859,1,1,0,16.426378,0.41930728,1.6813634,0.70500789,0.97635546,-1.4689132,-1.3456456,-1.4689132,-1.5273236,-1.2137274,-1.6406716,-1.3821188,-1.6194543,-1.3536059,-1.4424529,3,5,3,6,7,3,5,8,7,5,3,3,5,4,7,3,6,8,6,6,-0.42655546,0.65598149,1.8341448,1.203165,0.63097975
-16.977517,0.99468754,0.09844709,5,31,0,16.982759,0.3284884,5.0088934,1.6453634,3.36353,-1.4480462,-1.2443523,-1.4480462,-1.362581,-1.2200939,-1.5631689,-1.3245301,-1.4716363,-1.3836104,-1.3687676,5,3,2,3,7,4,4,7,6,6,8,3,4,4,5,1,7,7,6,5,-3.2424217,0.63192466,2.3542603,1.4877152,0.86654517
-17.433689,0.99436406,0.18104796,3,15,0,18.218436,0.21988486,4.3635034,0.95946834,3.404035,-1.5487936,-1.3317432,-1.5487936,-1.3250399,-1.3855838,-1.3451763,-1.4234243,-1.3687621,-1.5121845,-1.4670263,4,1,4,5,1,1,6,6,7,7,4,1,3,3,6,3,5,5,7,5,-2.8874718,0.27085046,1.345608,0.36445856,0.98114947
-16.7964,0.9937425,0.3360462,3,7,0,17.917103,0.57144318,1.2193443,0.69678597,0.52255831,-1.4505855,-1.4299333,-1.4505855,-1.6958875,-1.1847635,-1.8483669,-1.4043054,-1.8169567,-1.2902289,-1.4871891,8,5,3,8,7,3,8,8,7,8,5,1,3,5,4,2,6,7,7,5,-0.52898855,0.8212086,1.1701945,0.9609738,0.20922072
-17.920661,0.75436681,0.62490009,1,1,0,18.322197,0.67263888,1.0458502,0.70347949,0.34237069,-1.4520833,-1.505898,-1.4520833,-1.8182006,-1.2100199,-1.9806377,-1.432596,-1.961754,-1.2669579,-1.5392927,7,3,1,8,5,5,7,8,6,4,4,1,5,5,7,1,4,7,6,6,-0.83273005,0.72289845,0.79316866,0.5733804,0.21978826
-17.463131,0.99940281,0.54827502,2,3,0,18.610066,0.58338711,5.4853721,3.2000954,2.2852767,-1.2808072,-1.2632442,-1.2808072,-1.6307536,-1.0019241,-2.1001275,-1.2197598,-1.9406779,-1.1416751,-1.3044072,7,3,2,6,8,3,6,6,8,8,6,2,3,4,8,5,5,8,6,7,-3.5865297,0.76783009,0.90972305,0.69851274,0.21121032
-17.463131,0.0072861744,1.0373934,1,3,0,17.692392,0.58338711,5.4853721,3.2000954,2.2852767,-1.2808072,-1.2632442,-1.2808072,-1.6307536,-1.0019241,-2.1001275,-1.2197598,-1.9406779,-1.1416751,-1.3044072,7,1,5,2,7,2,7,7,2,5,7,4,3,8,7,3,6,7,6,7,-3.5865297,0.22808954,1.1472185,0.26166854,0.88554997
-17.603307,0.99927026,0.090253308,2,3,0,17.639045,0.59050585,5.6201564,3.3187352,2.3014212,-1.2761881,-1.2660534,-1.2761881,-1.6413389,-0.99882186,-2.117951,-1.2174055,-1.9614962,-1.1351641,-1.3043959,8,2,2,2,8,2,6,8,5,8,5,5,4,6,4,4,6,7,7,3,-3.7150551,0.92152948,1.9926582,1.8362932,0.15636492
-16.750064,0.99880844,0.17215092,3,7,0,18.167622,0.56110728,1.2212169,0.6852337,0.53598321,-1.4537537,-1.425883,-1.4537537,-1.6856002,-1.1871714,-1.8314816,-1.4049511,-1.8024051,-1.2957631,-1.4858938,3,5,5,5,3,3,8,8,7,4,5,4,4,7,8,2,8,5,5,4,-0.52191164,0.66447432,1.3179035,0.87571301,0.44219045
-15.909011,1,0.32558494,3,7,0,16.683777,0.32436288,1.8703014,0.60665633,1.263645,-1.5145098,-1.3471793,-1.5145098,-1.4560261,-1.2922162,-1.4870539,-1.4101204,-1.5166175,-1.426579,-1.4651932,3,7,4,4,7,3,6,6,6,6,5,4,5,6,7,3,7,8,6,6,-0.58711376,0.52022138,1.6718147,0.86971374,0.80210093
-16.792565,0.92558815,0.61295069,2,3,0,17.038969,0.20971639,2.9191957,0.6122032,2.3069925,-1.5731286,-1.3712051,-1.5731286,-1.3604823,-1.4145269,-1.3108342,-1.454384,-1.3878421,-1.5288758,-1.5033885,5,3,3,1,8,3,8,7,6,4,3,4,2,2,5,3,8,7,6,6,-1.588714,0.60797869,1.6567764,1.0072848,0.64949166
-16.792565,0.13979397,0.9143623,1,1,0,17.675846,0.20971639,2.9191957,0.6122032,2.3069925,-1.5731286,-1.3712051,-1.5731286,-1.3604823,-1.4145269,-1.3108342,-1.454384,-1.3878421,-1.5288758,-1.5033885,6,3,5,5,4,2,6,8,4,4,7,1,5,4,5,2,5,7,6,5,-1.588714,0.53378054,1.6042482,0.85631648,0.74793175
