# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-05-11 07:46:18 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpCZXZ45/standata-16d8c1690c515.json
# init = 2 (Default)
# random
#   seed = 926743715
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202605110946-2-3c32e4.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202605110946-2-55b662.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-21.162253,0,2,1,2,1,21.645635,0.58712525,0.52343191,0.30732009,0.21611182,-1.624477,-1.618077,-1.624477,-1.8242785,-1.364392,-1.6988719,-1.5931168,-1.8311239,-1.4397487,-1.6815455,5,6,4,5,4,3,6,8,5,4,4,1,3,5,8,3,4,5,7,5,-2.797668,0.65847886,1.5932702,1.0491347,0.54413545
-21.162253,0,2.3350648,0,1,1,21.297429,0.58712525,0.52343191,0.30732009,0.21611182,-1.624477,-1.618077,-1.624477,-1.8242785,-1.364392,-1.6988719,-1.5931168,-1.8311239,-1.4397487,-1.6815455,3,4,1,3,6,2,6,7,8,4,7,1,3,2,7,4,6,5,5,5,-2.797668,0.81006628,1.2864691,1.0421252,0.24434386
-18.464122,1,0.23023585,3,7,0,21.766894,0.69304624,0.9480533,0.65704478,0.29100853,-1.4680397,-1.5351681,-1.4680397,-1.8481561,-1.2331113,-1.9880817,-1.4541573,-1.982506,-1.2771991,-1.5656976,6,5,3,5,6,7,8,8,2,6,7,2,1,5,7,2,4,6,8,7,-1.0429039,0.5999415,1.236458,0.74180245,0.49465552
-16.420775,1,0.23979141,2,3,0,18.646675,0.56717645,1.3869764,0.78666034,0.60031604,-1.430643,-1.4058449,-1.430643,-1.6788948,-1.1630756,-1.8662798,-1.3813163,-1.815883,-1.2742182,-1.4629815,5,4,4,7,7,5,7,8,6,5,8,4,6,4,7,3,7,7,3,3,-0.4336108,0.68983644,1.7666069,1.2186698,0.54793709
-16.024039,1,0.32433241,3,7,0,16.468391,0.36669783,3.7045526,1.3584514,2.3461012,-1.433442,-1.2551039,-1.433442,-1.4094557,-1.1892386,-1.6199996,-1.3203453,-1.5277583,-1.3522711,-1.3689657,3,2,4,2,7,1,5,7,8,6,6,4,4,4,8,2,5,8,7,3,-1.9635548,0.60858514,1.6980867,1.0334303,0.66465638
-15.59606,0.97793122,0.50720558,2,3,0,16.179834,0.52386023,2.3426968,1.2272457,1.1154511,-1.3781767,-1.3135163,-1.3781767,-1.5888467,-1.1025803,-1.8755277,-1.3089927,-1.7652013,-1.2438178,-1.3800167,6,1,7,6,6,4,6,6,4,5,7,3,3,4,8,4,6,8,5,1,-0.72393521,0.23050047,1.9183839,0.44218838,1.4761955
-15.59606,0.0019807551,0.80696401,1,1,0,18.387739,0.52386023,2.3426968,1.2272457,1.1154511,-1.3781767,-1.3135163,-1.3781767,-1.5888467,-1.1025803,-1.8755277,-1.3089927,-1.7652013,-1.2438178,-1.3800167,4,3,3,2,8,5,6,8,7,6,2,4,4,3,7,4,6,8,4,8,-0.72393521,0.60058415,1.7461747,1.0487248,0.69744985
-15.49705,0.99988579,0.06455875,3,15,0,15.694015,0.47989894,2.3867275,1.145388,1.2413395,-1.397839,-1.3002267,-1.397839,-1.5416923,-1.1257113,-1.7946462,-1.3169554,-1.6936285,-1.2756841,-1.3804727,5,5,5,8,7,3,5,7,8,5,5,4,6,4,8,4,8,8,6,4,-0.75436643,0.72683729,2.1876775,1.5900856,0.59759191
-15.484916,0.99975434,0.11524674,4,15,0,15.539925,0.42883592,2.2803557,0.97789842,1.3024572,-1.4304208,-1.3013921,-1.4304208,-1.500199,-1.169289,-1.6937705,-1.3387432,-1.6212,-1.3209335,-1.3965777,7,2,2,5,7,4,5,7,2,5,5,5,6,3,7,2,5,8,7,5,-0.69954158,0.45737295,1.6462836,0.75296558,0.893318
-15.667392,0.97198486,0.21193813,2,7,0,16.793486,0.37036949,2.9023763,1.0749516,1.8274247,-1.4468247,-1.2785227,-1.4468247,-1.432808,-1.2027399,-1.6080246,-1.3390063,-1.54022,-1.3591828,-1.390116,5,3,4,5,4,5,6,8,6,5,5,3,2,3,7,4,6,7,7,5,-1.2327756,0.71583844,1.7833448,1.2765868,0.50675805
-17.356142,0.80905816,0.36314753,2,7,0,19.674159,0.19112938,3.6407028,0.69584526,2.9448575,-1.5818745,-1.3745031,-1.5818745,-1.3347868,-1.4375055,-1.2848298,-1.4612378,-1.3581814,-1.5486155,-1.5071866,7,1,2,3,5,4,6,8,3,4,2,2,6,3,2,1,5,7,4,3,-2.3108024,0.42952412,2.2903506,0.98376082,1.3065898
-16.505376,1,0.37509612,3,7,0,17.398783,0.22644121,2.458205,0.55663893,1.9015661,-1.5673392,-1.3717444,-1.5673392,-1.3841924,-1.3970057,-1.3331966,-1.4511478,-1.4142006,-1.5134469,-1.5025783,5,3,4,3,8,4,6,7,6,7,6,1,5,6,6,3,6,5,7,7,-1.1605932,0.63555211,2.8291068,1.7980448,1.031062
-17.869696,0.89354428,0.71116224,2,7,0,17.924187,0.77321798,2.4629541,1.9044004,0.5585537,-1.2971663,-1.4801012,-1.2971663,-1.9666775,-1.1558629,-2.3793787,-1.3047676,-2.4152104,-1.1008651,-1.4698413,6,3,3,8,7,3,6,7,7,3,7,5,3,6,8,3,6,7,6,7,-1.16306,0.4023691,1.9460557,0.78303267,1.163023
-17.532489,1,0.96475291,1,1,0,18.581497,0.75444757,2.228934,1.6816139,0.54732017,-1.3125457,-1.4695636,-1.3125457,-1.9277658,-1.1439878,-2.3180765,-1.3139675,-2.3186977,-1.1196516,-1.4661359,5,4,4,6,8,5,6,6,6,7,6,4,6,4,7,3,6,7,7,6,-0.94506046,0.71435317,2.8748954,2.0536907,0.82120477
-17.532489,2.1392978e-08,1.8231498,1,1,0,18.126921,0.75444757,2.228934,1.6816139,0.54732017,-1.3125457,-1.4695636,-1.3125457,-1.9277658,-1.1439878,-2.3180765,-1.3139675,-2.3186977,-1.1196516,-1.4661359,6,3,2,5,7,3,7,5,4,7,6,5,4,6,8,2,7,8,5,7,-0.94506046,0.28526776,2.6826889,0.76528465,1.9174043
-17.528199,0.99970091,0.15452315,3,7,0,17.743071,0.75432996,2.1392948,1.6137342,0.52556063,-1.3180319,-1.4731912,-1.3180319,-1.9265684,-1.1481591,-2.3082139,-1.3194016,-2.3066533,-1.1248177,-1.4706494,5,3,4,5,6,2,6,8,6,4,7,3,6,5,6,4,7,8,7,4,-0.88926589,0.58546255,1.5564275,0.91123,0.64519747
