# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-05-11 07:46:43 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpCZXZ45/standata-16d8c2419e8fa.json
# init = 2 (Default)
# random
#   seed = 1973199575
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202605110946-2-3dc401.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202605110946-2-8acd33.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-16.096574,1.0814649e-14,2,1,1,0,18.936813,0.309699,1.7195559,0.53254474,1.1870112,-1.5322767,-1.3649508,-1.5322767,-1.4611342,-1.3167705,-1.4549154,-1.4283347,-1.5108653,-1.4451716,-1.484631,6,3,5,4,8,5,8,8,8,8,3,5,5,6,7,2,8,4,5,7,-0.56453092,0.60843158,3.1057801,1.8896547,1.2161254
-15.672091,1,2.3350648,1,1,0,16.401868,0.51887397,1.9510523,1.0123502,0.93870203,-1.4016213,-1.3364173,-1.4016213,-1.5980195,-1.1285693,-1.8390681,-1.3342433,-1.7518094,-1.2647364,-1.4052845,5,5,5,4,8,3,8,6,8,4,4,3,3,8,7,2,4,7,8,5,-0.49134895,0.46763079,2.8073468,1.3128018,1.494545
-15.672091,7.9012376e-83,2.4311673,1,1,0,15.83541,0.51887397,1.9510523,1.0123502,0.93870203,-1.4016213,-1.3364173,-1.4016213,-1.5980195,-1.1285693,-1.8390681,-1.3342433,-1.7518094,-1.2647364,-1.4052845,2,3,5,6,7,2,7,7,4,4,7,3,4,5,7,6,7,6,6,5,-0.49134895,0.49389549,3.1131187,1.5375553,1.5755634
-16.219635,0.96614554,0.23979141,4,15,0,17.588446,0.27533528,3.0618783,0.84304312,2.2188352,-1.514783,-1.3136877,-1.514783,-1.3755081,-1.3163068,-1.4336137,-1.3952591,-1.4376103,-1.4544824,-1.4431952,6,6,4,5,4,4,7,6,5,7,4,3,4,6,7,2,5,6,7,5,-1.5276223,0.37029888,0.64752057,0.23977615,0.40774443
-16.056319,0.99491581,0.29443019,3,7,0,16.983111,0.30763379,1.7825666,0.54837771,1.2341889,-1.5302115,-1.3605638,-1.5302115,-1.4550255,-1.3155787,-1.4543088,-1.425169,-1.5059956,-1.4448754,-1.4808839,6,4,4,5,7,2,8,8,8,2,3,1,6,3,6,4,5,6,6,3,-0.58506434,0.85393236,3.5335561,3.0174179,0.51613821
-16.019398,0.99729375,0.45161217,3,7,0,16.272994,0.28388761,2.5247771,0.71675292,1.8080241,-1.5196024,-1.3281958,-1.5196024,-1.3999077,-1.3164171,-1.4376492,-1.4045022,-1.4581254,-1.4515892,-1.4550014,6,7,3,4,6,4,5,8,5,6,3,2,4,3,6,2,7,7,5,5,-1.0618629,0.59598234,1.2193281,0.72669801,0.49263009
-15.674656,1,0.76001616,2,3,0,15.945556,0.34628955,2.5043927,0.86724502,1.6371477,-1.474549,-1.3017271,-1.474549,-1.4322338,-1.2413339,-1.5508157,-1.3661776,-1.5194219,-1.3896839,-1.4178313,5,1,3,3,8,3,7,7,8,5,2,2,2,6,6,2,6,7,7,5,-0.93880814,0.5349695,3.3157078,1.7738026,1.5419053
-15.674656,0.073882022,1.3571271,1,1,0,16.086628,0.34628955,2.5043927,0.86724502,1.6371477,-1.474549,-1.3017271,-1.474549,-1.4322338,-1.2413339,-1.5508157,-1.3661776,-1.5194219,-1.3896839,-1.4178313,5,6,3,7,8,6,3,7,5,7,4,2,3,8,5,2,7,7,8,5,-0.93880814,0.92979199,1.5423456,1.4340606,0.10828501
-17.085363,0.99227916,0.13589416,3,15,0,17.330753,0.18054313,2.0229735,0.36523396,1.6577396,-1.6169271,-1.4343789,-1.6169271,-1.4020305,-1.4736822,-1.2451898,-1.5062354,-1.4038553,-1.5676865,-1.5623593,7,5,6,5,8,4,8,7,6,5,4,1,6,2,4,3,6,7,5,1,-1.0497604,0.57802836,2.3504748,1.3586411,0.99183371
-17.732189,0.98854663,0.24427302,4,15,0,20.316072,0.13804524,2.074078,0.2863166,1.7877614,-1.6527014,-1.4808952,-1.6527014,-1.396498,-1.5385489,-1.1740391,-1.5462632,-1.3784896,-1.6146722,-1.6032496,4,3,3,4,6,3,6,7,7,4,5,3,4,3,4,1,6,7,3,6,-1.2949204,0.37129077,3.0766556,1.1423338,1.9343218
