# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-05-11 07:46:51 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpCZXZ45/standata-16d8c59bf9517.json
# init = 2 (Default)
# random
#   seed = 531268285
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202605110946-2-5447c5.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202605110946-2-5dd9e3.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-19.946724,0.33333484,1,2,3,0,25.175173,0.93437558,2.6897585,2.5132447,0.17651385,-1.0538664,-5.2820298,-1.0538664,-0.29014109,-1.0538664,-1.0538664,-1.3779602,-1.8905247,-1.4119345,-1.2856751,4,6,4,4,3,4,2,5,5,1,3,8,1,8,1,3,5,3,5,3,-2.3907599,0.20203904,0.88999382,0.1798135,0.71018033
-19.946724,0,4.2806419,0,1,1,20.060684,0.93437558,2.6897585,2.5132447,0.17651385,-1.0538664,-5.2820298,-1.0538664,-0.29014109,-1.0538664,-1.0538664,-1.3779602,-1.8905247,-1.4119345,-1.2856751,3,6,2,8,3,1,5,7,6,3,5,6,3,8,2,5,6,4,2,3,-2.3907599,0.83132504,3.1375247,2.6083028,0.52922184
-21.108208,0.98419929,0.50511289,2,7,0,21.383923,0.49624297,0.95684484,0.47482752,0.48201732,-1.6954102,-3.0806909,-1.6954102,-1.3273877,-1.6954102,-1.6954102,-1.5727741,-2.7210337,-1.8109365,-1.5199023,4,5,3,7,5,2,5,6,4,1,3,7,2,8,2,3,3,6,4,6,-0.86337687,0.699666,2.5902977,1.8123432,0.77795445
-19.676068,0.80122951,0.55886086,2,3,0,22.096187,0.73503638,3.1683925,2.3288838,0.83950875,-1.416201,-4.581924,-1.416201,-0.76374867,-1.416201,-1.416201,-1.3465828,-2.3674325,-1.54711,-1.2750959,2,6,1,8,3,5,5,7,2,1,2,7,1,7,1,1,5,5,2,2,-1.6465963,0.7900464,1.9693602,1.5558859,0.41347426
-19.663253,0.99841347,0.45536242,3,7,0,19.990355,0.75983881,0.84502355,0.64208169,0.20294186,-1.2988905,-3.5193998,-1.2988905,-0.79282083,-1.2988905,-1.2988905,-1.5617865,-2.1417344,-1.6479964,-1.4832377,1,6,3,6,4,1,4,4,8,1,2,6,3,7,4,5,5,4,3,6,-1.4512304,0.7007727,1.5804002,1.1075013,0.47289889
-18.942643,0.94136656,0.71929462,2,3,0,21.062632,0.8746723,2.2589319,1.9758252,0.28310674,-1.1543111,-4.8374971,-1.1543111,-0.44550373,-1.1543111,-1.1543111,-1.3898613,-2.0002982,-1.4642833,-1.3028209,4,6,2,5,5,2,5,8,5,7,2,7,1,8,3,2,5,7,7,3,-1.489297,0.13617641,3.087753,0.42047913,2.6672739
-18.707232,1,1.0328769,1,1,0,18.81063,0.83672726,1.378759,1.1536452,0.22511377,-1.2043354,-4.1885725,-1.2043354,-0.58132936,-1.2043354,-1.2043354,-1.46317,-2.0460512,-1.539436,-1.3794055,1,4,3,6,3,2,4,8,6,6,3,8,2,7,3,1,8,8,3,4,-1.0225195,0.19173908,2.0791508,0.39865446,1.6804963
-18.707232,0.0094118155,1.8537708,1,3,1,18.998199,0.83672726,1.378759,1.1536452,0.22511377,-1.2043354,-4.1885725,-1.2043354,-0.58132936,-1.2043354,-1.2043354,-1.46317,-2.0460512,-1.539436,-1.3794055,1,6,3,6,4,5,3,5,5,2,1,6,1,7,2,4,6,6,3,5,-1.0225195,0.76976545,1.4398326,1.1083334,0.3314992
-19.060216,0.9965034,0.15203767,3,15,0,19.739656,0.69152843,1.3635276,0.94291812,0.42060952,-1.4336376,-3.765241,-1.4336376,-0.89904978,-1.4336376,-1.4336376,-1.4687238,-2.3400265,-1.6361908,-1.39896,4,8,2,8,2,3,3,8,5,3,3,8,3,5,5,1,6,6,7,3,-0.58257198,0.17683615,1.4060303,0.24863698,1.1573933
-19.02623,0.99140828,0.27711181,3,7,0,19.364369,0.74574528,2.3803508,1.7751354,0.60521542,-1.380921,-4.3979728,-1.380921,-0.74767477,-1.380921,-1.380921,-1.3790229,-2.2987033,-1.5534259,-1.3055121,2,6,2,7,3,3,7,7,4,5,1,5,2,7,1,3,4,8,6,1,-1.0246917,0.95627991,5.7838022,5.5309338,0.25286834
-18.922835,0.71647959,0.50508677,2,3,0,21.454667,0.83491237,1.1589936,0.96765808,0.19133551,-1.2023863,-4.0043834,-1.2023863,-0.6059781,-1.2023863,-1.2023863,-1.4956597,-2.039967,-1.5626829,-1.4118239,5,6,3,8,4,5,4,8,5,2,3,7,2,4,1,1,5,5,4,5,-1.1586394,0.55690002,0.90741592,0.50533995,0.40207598
-19.462883,0.71217706,0.38928126,1,3,0,21.713213,0.81876183,3.2041052,2.6233991,0.58070615,-1.2624532,-4.9334839,-1.2624532,-0.55349285,-1.2624532,-1.2624532,-1.3443666,-2.1468797,-1.4778157,-1.2629681,2,8,3,8,4,2,6,8,7,3,2,6,2,7,1,5,5,5,4,3,-1.9505905,0.56813582,0.9701628,0.55118423,0.41897857
-18.849204,0.98170635,0.2981216,2,3,0,19.908455,0.78667767,2.3125254,1.8192121,0.49331331,-1.307203,-4.5213598,-1.307203,-0.65046106,-1.307203,-1.307203,-1.3817045,-2.1938229,-1.5235563,-1.3035182,5,7,5,6,4,6,3,5,3,2,4,8,1,8,2,5,7,6,7,2,-1.0994217,0.4347678,1.9601696,0.85221863,1.107951
-20.303521,0.8418743,0.53524649,2,3,0,20.505314,0.66987226,3.3846466,2.2672808,1.1173657,-1.5430661,-4.3800758,-1.5430661,-0.93077507,-1.5430661,-1.5430661,-1.3475252,-2.5780567,-1.6046402,-1.2846972,4,8,3,4,5,7,5,7,7,3,3,8,2,7,2,2,4,7,3,6,-1.7157925,0.2004288,2.9349701,0.58825252,2.3467176
-18.962529,1,0.61978182,1,1,0,19.860694,0.73543944,2.1956209,1.6147462,0.5808747,-1.3943567,-4.2951664,-1.3943567,-0.77617713,-1.3943567,-1.3943567,-1.3902477,-2.3136106,-1.566813,-1.3176951,4,7,5,8,4,3,4,7,5,5,3,8,2,8,3,2,5,7,5,3,-0.87488529,0.38603231,1.1478843,0.44312042,0.70476387
-18.962529,0.29237703,1.1721331,1,1,0,19.947337,0.73543944,2.1956209,1.6147462,0.5808747,-1.3943567,-4.2951664,-1.3943567,-0.77617713,-1.3943567,-1.3943567,-1.3902477,-2.3136106,-1.566813,-1.3176951,4,6,3,7,4,7,3,7,7,5,3,6,3,8,3,1,6,8,6,6,-0.87488529,0.21350931,3.6005587,0.76875282,2.8318059
-19.009047,0.99718548,0.24951381,1,1,0,19.013806,0.73372414,2.2619142,1.6596211,0.60229317,-1.3992156,-4.3138248,-1.3992156,-0.77906724,-1.3992156,-1.3992156,-1.3863839,-2.3224752,-1.5663004,-1.3141222,2,7,4,2,1,2,2,8,5,7,4,8,2,7,1,1,5,7,7,2,-0.91337757,0.34451389,1.1968762,0.41234048,0.78453573
-19.451572,0.94366357,0.46827826,2,7,0,19.783902,0.91957429,1.2548538,1.1539313,0.10092251,-1.0766584,-4.3428638,-1.0766584,-0.42140176,-1.0766584,-1.0766584,-1.4884513,-1.9092095,-1.5076484,-1.3982495,5,6,4,4,4,1,7,6,4,3,1,5,3,8,1,5,6,8,4,5,-1.6998676,0.57642396,1.0741089,0.61914211,0.45496679
-20.106656,0.71136646,0.7411322,1,1,0,20.345679,0.92873907,0.97905744,0.9092889,0.069768539,-1.0660568,-4.0805256,-1.0660568,-0.44663107,-1.0660568,-1.0660568,-1.5384317,-1.9013219,-1.5426112,-1.4477227,1,8,5,6,2,1,4,5,4,2,1,7,1,8,2,3,6,4,5,1,-2.1486852,0.66186807,1.9565673,1.2949894,0.66157786
-19.347933,1,0.57976199,1,1,0,19.912613,0.91582043,1.2990725,1.1897171,0.10935537,-1.0821873,-4.3713455,-1.0821873,-0.42361206,-1.0821873,-1.0821873,-1.4815827,-1.9146333,-1.5045065,-1.3916172,2,5,3,7,2,2,5,8,4,6,2,8,1,5,2,2,5,5,5,6,-1.6307991,0.39935259,2.9839933,1.1916655,1.7923278
-19.210907,0.29118461,1.0774079,1,3,0,20.044418,0.75062735,1.0175156,0.76377507,0.25374058,-1.3218302,-3.6624598,-1.3218302,-0.79246125,-1.3218302,-1.3218302,-1.5216126,-2.1756106,-1.6280678,-1.4446709,2,6,4,7,3,3,4,7,7,4,1,5,1,6,3,2,3,6,3,4,-1.0404145,0.40613088,2.9263227,1.18847,1.7378527
-19.389168,0.99943696,0.2438677,3,15,0,19.512686,0.88909495,2.7895246,2.4801522,0.30937237,-1.1331488,-5.1138492,-1.1331488,-0.39298186,-1.1331488,-1.1331488,-1.3659914,-1.9803209,-1.4372412,-1.2774822,4,7,2,7,2,1,4,8,3,4,3,8,1,8,2,2,4,6,4,2,-1.9979456,0.63127983,1.6042874,1.0127543,0.59153311
-20.500252,0.94149153,0.45154201,2,3,0,20.542576,0.91059766,3.8731607,3.5268911,0.34626965,-1.0991296,-5.533804,-1.0991296,-0.31595099,-1.0991296,-1.0991296,-1.33681,-1.9469202,-1.4000755,-1.2459755,5,8,1,8,5,2,7,7,1,4,1,6,1,8,2,2,4,7,5,3,-3.1700056,0.80137598,1.2635708,1.0125953,0.25097551
-19.674352,1,0.69944132,2,3,0,20.573062,0.85452821,0.86665136,0.74057803,0.12607332,-1.1692967,-3.7579241,-1.1692967,-0.608978,-1.1692967,-1.1692967,-1.5576464,-2.0017309,-1.5963979,-1.4718181,2,7,1,8,2,1,6,8,3,5,4,7,2,8,3,2,8,5,4,1,-1.7745728,0.92567902,2.0729395,1.9188766,0.1540629
-21.388605,1,1.2732654,1,1,0,21.947042,0.46790391,0.97596443,0.45665757,0.51930686,-1.7424227,-3.0395447,-1.7424227,-1.3905419,-1.7424227,-1.7424227,-1.5768264,-2.8074359,-1.83308,-1.5270622,3,8,2,5,7,2,4,6,4,7,1,6,5,4,2,1,3,7,4,5,-0.82967079,0.25089998,2.0390864,0.51160674,1.5274797
-21.388605,6.6214042e-53,2.2947273,1,2,1,21.983894,0.46790391,0.97596443,0.45665757,0.51930686,-1.7424227,-3.0395447,-1.7424227,-1.3905419,-1.7424227,-1.7424227,-1.5768264,-2.8074359,-1.83308,-1.5270622,4,7,1,8,1,1,6,7,6,2,4,7,6,4,1,3,7,4,4,7,-0.82967079,0.55993039,2.4184729,1.3541765,1.0642964
-21.2502,1,0.24097313,2,3,0,21.423581,0.4829403,0.95727057,0.46230454,0.49496603,-1.7158063,-3.0563037,-1.7158063,-1.3562751,-1.7158063,-1.7158063,-1.5762862,-2.7570254,-1.8215901,-1.524747,3,3,5,6,4,2,4,8,4,4,4,6,3,5,3,3,5,5,4,2,-0.86361861,0.13573006,2.3090266,0.31340431,1.9956223
