# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-05-11 07:46:28 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpCZXZ45/standata-16d8c1299c068.json
# init = 2 (Default)
# random
#   seed = 1388956129
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202605110946-2-726e7e.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202605110946-2-776f57.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-26.309715,0,2,0,1,1,27.876877,0.82285895,0.3374783,0.27769704,0.05978126,-1.7114216,-1.8134939,-1.7114216,-2.0493734,-1.4793128,-1.8661608,-1.7236953,-2.0081014,-1.4843289,-1.8442774,7,3,6,3,8,1,3,8,6,4,8,8,8,3,8,5,2,5,7,3,-5.6060949,0.72692519,4.2013963,3.0541008,1.1472955
-26.309715,0,2.3350648,0,1,1,26.807286,0.82285895,0.3374783,0.27769704,0.05978126,-1.7114216,-1.8134939,-1.7114216,-2.0493734,-1.4793128,-1.8661608,-1.7236953,-2.0081014,-1.4843289,-1.8442774,4,4,4,5,8,4,8,8,6,5,5,4,3,2,7,6,7,4,7,7,-5.6060949,0.58987392,2.5434768,1.5003307,1.0431462
-18.374623,1,0.23023585,3,7,0,26.35379,0.77856774,3.3458206,2.604948,0.74087261,-1.2625272,-1.4650537,-1.2625272,-1.9899352,-1.1395259,-2.4553947,-1.2725098,-2.5331876,-1.0668794,-1.4476212,4,5,2,4,6,3,8,4,7,6,4,4,1,8,8,3,5,8,8,5,-1.9292356,0.18533505,2.1578095,0.39991773,1.7578917
-20.310145,0.9431787,0.23979141,2,3,0,20.338883,0.83391644,4.3855975,3.6572219,0.72837565,-1.2334615,-1.5215147,-1.2334615,-2.1346609,-1.239745,-2.6294986,-1.2639782,-2.9195379,-1.0265244,-1.4869464,7,4,3,3,6,3,6,5,6,5,5,5,6,8,6,5,5,8,7,5,-3.1222552,0.63799703,0.94183341,0.60088691,0.34094649
-15.914579,1,0.27573006,3,7,0,21.405949,0.32893205,1.8278732,0.60124607,1.2266271,-1.5136867,-1.3488629,-1.5136867,-1.4614158,-1.2894961,-1.4929821,-1.4104066,-1.5225143,-1.4238393,-1.4658805,6,4,4,6,8,4,7,8,6,3,7,2,2,3,6,2,3,6,7,7,-0.56417183,0.56433873,1.6188896,0.91360213,0.70528752
-15.594868,0.99930106,0.42816473,3,7,0,15.922995,0.47274907,1.9328961,0.91377482,1.0191213,-1.4245675,-1.3276958,-1.4245675,-1.5544615,-1.1562331,-1.7535548,-1.3460817,-1.6831605,-1.2993904,-1.4102558,3,1,5,4,6,6,7,8,8,4,4,3,4,6,6,4,7,8,5,7,-0.48464996,0.39235144,2.4439964,0.95890552,1.4850909
-15.594868,0.31002448,0.72395669,1,3,0,19.176863,0.47274907,1.9328961,0.91377482,1.0191213,-1.4245675,-1.3276958,-1.4245675,-1.5544615,-1.1562331,-1.7535548,-1.3460817,-1.6831605,-1.2993904,-1.4102558,3,4,5,6,7,1,6,8,6,7,3,3,4,4,4,4,6,6,5,5,-0.48464996,0.75440066,2.1636487,1.632258,0.53139068
-15.578731,1,0.15081585,4,15,0,15.638616,0.45962665,2.961273,1.36108,1.600193,-1.3889748,-1.2718917,-1.3889748,-1.5048791,-1.1177639,-1.7811341,-1.299197,-1.6628368,-1.2769206,-1.3583863,6,6,3,4,7,4,7,8,5,3,6,4,6,5,8,5,6,6,7,5,-1.2205555,0.64121494,3.0609458,1.9627242,1.0982216
-15.977834,0.98184768,0.2715399,3,7,0,16.238068,0.32459496,1.7698196,0.57447451,1.1953451,-1.5196651,-1.3550713,-1.5196651,-1.4638053,-1.2974719,-1.4827261,-1.4166606,-1.5211917,-1.4298297,-1.4725765,3,5,1,5,6,3,7,7,6,8,5,3,4,4,6,4,6,8,3,3,-0.55242905,0.56329268,1.8999817,1.0702458,0.82973591
-15.839674,0.9529101,0.47386636,2,7,0,17.327657,0.54217302,1.7928143,0.97201555,0.82079876,-1.4025086,-1.3560849,-1.4025086,-1.6296867,-1.130412,-1.8680972,-1.3426177,-1.7867147,-1.2578359,-1.4183886,5,2,1,8,8,3,6,8,8,8,7,4,4,6,7,2,7,7,6,3,-0.43517201,0.71412765,2.1117502,1.5080592,0.60369098
-17.171428,0.6927071,0.76527648,2,3,0,17.261717,0.71123484,1.6297371,1.1591258,0.47061128,-1.3654178,-1.4654391,-1.3654178,-1.8530217,-1.1498514,-2.159336,-1.3540689,-2.1164355,-1.1788681,-1.4799239,5,4,6,5,8,5,5,8,8,7,5,3,2,5,8,4,6,8,6,7,-0.58917222,0.65532144,3.0928186,2.0267904,1.0660283
-16.119352,0.98624505,0.54689003,2,3,0,17.256312,0.60987604,2.8768673,1.7545325,1.1223349,-1.32059,-1.3301528,-1.32059,-1.6874999,-1.0537955,-2.0751763,-1.2740697,-1.9543175,-1.1664997,-1.3667045,7,4,1,2,5,3,6,6,7,6,7,3,4,5,8,5,8,7,5,5,-1.1908683,0.67782011,2.9484794,1.9985386,0.94994075
-16.119352,0.048218378,0.99179286,2,3,0,16.638365,0.60987604,2.8768673,1.7545325,1.1223349,-1.32059,-1.3301528,-1.32059,-1.6874999,-1.0537955,-2.0751763,-1.2740697,-1.9543175,-1.1664997,-1.3667045,4,2,5,4,4,2,6,7,7,5,5,3,4,3,6,2,5,8,6,5,-1.1908683,0.48314951,1.2444062,0.60123427,0.64317198
-15.912498,0.99974907,0.094887995,4,15,0,16.347647,0.59038217,2.1419229,1.2645531,0.87736982,-1.3608992,-1.3523877,-1.3608992,-1.6737588,-1.0919054,-1.9882449,-1.3117358,-1.8845104,-1.2074081,-1.3982847,4,2,1,3,7,5,7,6,7,3,6,6,5,7,7,5,7,7,6,6,-0.62465182,0.10162019,1.2338735,0.12538646,1.1084871
-16.61823,0.956121,0.18147123,4,15,0,18.289041,0.3094606,1.3427433,0.41552613,0.92721713,-1.5588744,-1.4042467,-1.5588744,-1.5000779,-1.3438837,-1.4339331,-1.461183,-1.5347755,-1.4626798,-1.5217596,4,5,4,6,8,4,7,8,7,6,5,1,5,5,4,1,6,6,6,7,-0.5894502,0.68155785,1.4590239,0.99440921,0.46461471
