# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-05-11 07:46:59 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpCZXZ45/standata-16d8c6d6e82e8.json
# init = 2 (Default)
# random
#   seed = 1719775501
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202605110946-2-773e59.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202605110946-2-5bfe0f.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-21.203969,0.35799793,1,2,3,0,24.647279,0.46569826,1.2196975,0.56801102,0.65168652,-1.7868773,-3.1610996,-1.7868773,-1.413301,-1.7868773,-1.7868773,-1.5371782,-2.9205074,-1.8284008,-1.4907692,5,5,5,6,5,3,3,7,5,6,4,5,4,8,2,4,6,8,3,4,-0.51279478,0.19165673,2.8489958,0.54602922,2.3029666
-21.203969,0,4.4769632,1,1,0,23.381946,0.46569826,1.2196975,0.56801102,0.65168652,-1.7868773,-3.1610996,-1.7868773,-1.413301,-1.7868773,-1.7868773,-1.5371782,-2.9205074,-1.8284008,-1.4907692,3,5,3,6,2,6,3,7,4,2,4,3,2,4,3,2,3,7,4,4,-0.51279478,0.25414161,1.8749175,0.47649455,1.3984229
-21.338822,0.9801046,0.53534608,2,3,0,21.707388,0.45512537,1.5057494,0.68530477,0.82044466,-1.842783,-3.2567902,-1.842783,-1.4564992,-1.842783,-1.842783,-1.5071903,-3.0625771,-1.8358779,-1.4648107,1,5,3,7,1,5,5,6,4,3,5,7,4,8,1,4,7,6,7,1,-0.39885349,0.75971005,1.7378462,1.3202592,0.41758698
-19.102403,0.89843106,0.59034614,2,3,0,21.922628,0.81259585,1.0364007,0.84217489,0.19422579,-1.2320835,-3.8327557,-1.2320835,-0.66524911,-1.2320835,-1.2320835,-1.5174144,-2.0707818,-1.5902875,-1.4351985,1,5,2,7,2,3,5,7,6,3,3,6,1,7,3,1,5,7,1,2,-1.2161269,0.61309687,2.2695191,1.3914351,0.87808405
-19.663205,0.76363855,0.63751589,1,1,0,19.88979,0.80794901,0.83696194,0.67622257,0.16073937,-1.2323811,-3.6164044,-1.2323811,-0.70220142,-1.2323811,-1.2323811,-1.5637543,-2.0672368,-1.6245179,-1.4813187,1,7,2,8,2,3,3,8,2,3,4,8,1,8,1,2,7,5,3,4,-1.6370194,0.92495473,3.1021302,2.86933,0.23280019
-18.985538,1,0.50746595,2,3,0,19.674377,0.72531711,2.1447162,1.5555994,0.58911686,-1.4106535,-4.2416118,-1.4106535,-0.80156921,-1.4106535,-1.4106535,-1.3941518,-2.3360919,-1.5764469,-1.3226904,6,4,3,6,5,6,6,8,6,1,3,7,2,7,4,1,3,6,6,3,-0.82008429,0.087200256,0.78400429,0.068365375,0.71563891
-18.985538,0.19692095,0.86383148,1,3,0,20.219597,0.72531711,2.1447162,1.5555994,0.58911686,-1.4106535,-4.2416118,-1.4106535,-0.80156921,-1.4106535,-1.4106535,-1.3941518,-2.3360919,-1.5764469,-1.3226904,4,7,1,6,2,2,3,7,5,6,2,7,3,7,1,3,4,6,1,2,-0.82008429,0.38293269,1.6365218,0.62667769,1.0098441
-19.348866,0.98480525,0.12692345,4,31,0,21.940899,0.92591688,1.6424084,1.5207336,0.12167474,-1.0663803,-4.6816016,-1.0663803,-0.3678551,-1.0663803,-1.0663803,-1.4432546,-1.899312,-1.4682509,-1.3523566,1,7,5,8,1,2,6,6,4,2,1,8,2,7,2,3,7,4,6,4,-1.6873389,0.74853726,5.5481535,4.1529996,1.3951539
-20.686199,0.99570604,0.21750377,4,15,0,20.773199,0.5065977,1.4995269,0.75965689,0.73987002,-1.7528274,-3.3724078,-1.7528274,-1.3300143,-1.7528274,-1.7528274,-1.4904766,-2.8812783,-1.7857366,-1.442122,3,6,2,6,4,1,2,8,4,3,1,7,4,8,4,2,7,7,4,1,-0.39153518,0.097448478,1.7525174,0.17078016,1.5817373
-18.79503,1,0.39612215,2,7,0,20.613106,0.75076191,1.3531534,1.015896,0.33725736,-1.3385651,-3.9194355,-1.3385651,-0.76874197,-1.3385651,-1.3385651,-1.4659161,-2.2097145,-1.595502,-1.3900932,2,4,5,8,4,3,4,7,4,7,2,6,2,7,1,2,7,7,6,4,-0.71779074,0.25034747,1.5568859,0.38976245,1.1671234
-19.164537,0.86784666,0.74225814,1,1,0,19.217305,0.70561774,1.1504683,0.81179081,0.33867745,-1.3977054,-3.6596459,-1.3977054,-0.87699135,-1.3977054,-1.3977054,-1.4993295,-2.2794125,-1.6424187,-1.4272002,3,7,1,6,1,2,5,3,6,1,4,8,3,5,2,2,3,7,3,4,-0.75732835,0.65586943,2.4202957,1.5873979,0.83289773
-19.327684,0.87648048,0.92237689,1,3,0,19.69803,0.87548714,2.8381587,2.4847714,0.35338725,-1.1574381,-5.0705362,-1.1574381,-0.423921,-1.1574381,-1.1574381,-1.3622434,-2.0095656,-1.444989,-1.2749904,2,8,1,6,3,2,4,8,6,1,1,6,1,8,1,2,4,6,5,1,-1.9385201,0.83853574,1.4153343,1.1868084,0.22852591
-19.327684,2.9687439e-10,1.182018,1,1,0,20.07491,0.87548714,2.8381587,2.4847714,0.35338725,-1.1574381,-5.0705362,-1.1574381,-0.423921,-1.1574381,-1.1574381,-1.3622434,-2.0095656,-1.444989,-1.2749904,3,5,1,5,2,1,4,1,7,6,5,7,1,7,2,1,3,4,3,3,-1.9385201,0.81954528,2.8941135,2.3718571,0.52225645
-19.379254,0.9993757,0.097145365,2,3,0,19.414333,0.87531344,2.9077954,2.5452324,0.36256301,-1.1582221,-5.0932787,-1.1582221,-0.42244037,-1.1582221,-1.1582221,-1.3595358,-2.0111105,-1.4433105,-1.2722835,4,5,1,7,3,2,3,7,1,4,3,7,3,7,2,2,6,7,2,3,-1.9966757,0.63313839,1.6792322,1.0631864,0.61604581
-19.211884,0.99744646,0.18554828,3,15,0,20.228776,0.77693774,2.8044621,2.1788925,0.62556965,-1.333291,-4.6501635,-1.333291,-0.66364625,-1.333291,-1.333291,-1.3581581,-2.2389023,-1.518469,-1.281375,2,7,3,7,4,2,3,5,4,6,2,4,3,6,4,2,6,5,4,4,-1.4465184,0.37135434,1.2343273,0.4583728,0.77595449
-19.464075,0.96444661,0.35080172,2,3,0,19.847238,0.79674069,3.1803735,2.533933,0.64644052,-1.3024355,-4.8338497,-1.3024355,-0.60845863,-1.3024355,-1.3024355,-1.3444637,-2.2012141,-1.4954479,-1.2655529,4,5,3,8,1,1,6,5,7,1,2,4,2,8,3,1,3,7,1,2,-1.8418457,0.63933188,1.9386481,1.2394395,0.69920855
-19.464075,0.18052216,0.59550999,1,1,0,22.93424,0.79674069,3.1803735,2.533933,0.64644052,-1.3024355,-4.8338497,-1.3024355,-0.60845863,-1.3024355,-1.3024355,-1.3444637,-2.2012141,-1.4954479,-1.2655529,4,5,4,5,3,3,5,8,4,5,1,8,2,8,3,3,5,5,2,4,-1.8418457,0.31358172,4.8477291,1.5201592,3.3275698
-19.368406,0.99996988,0.091680958,3,7,0,19.502599,0.80462238,3.0765554,2.4754653,0.60109008,-1.2868106,-4.8392901,-1.2868106,-0.59062306,-1.2868106,-1.2868106,-1.3481204,-2.178316,-1.4911537,-1.2682801,6,3,5,3,5,1,6,8,7,6,2,7,3,7,2,1,3,4,5,2,-1.7789877,0.34424522,1.0735476,0.36956361,0.70398395
-18.612225,0.99981684,0.1742893,3,9,0,19.378868,0.79196261,1.6768605,1.3280108,0.34884968,-1.2834354,-4.2424326,-1.2834354,-0.66068135,-1.2834354,-1.2834354,-1.4285096,-2.1483831,-1.5465751,-1.3492026,4,5,5,7,5,2,7,8,5,3,3,7,1,7,1,4,2,7,1,5,-0.81634346,0.38818319,2.3648447,0.91799296,1.4468518
-18.61016,0.99659553,0.32828855,3,7,0,18.677996,0.79786872,1.7498424,1.3961445,0.35369789,-1.2755895,-4.3023625,-1.2755895,-0.64390118,-1.2755895,-1.2755895,-1.421808,-2.1401479,-1.5385507,-1.3419917,2,8,2,8,3,4,7,8,5,3,1,8,4,5,1,1,6,8,4,3,-0.85391607,0.86282346,2.6365238,2.2748546,0.3616692
-21.910258,0.72204827,0.60674825,3,7,0,21.914169,0.98390624,1.7407172,1.7127025,0.028014682,-0.9738729,-4.9774811,-0.9738729,-0.23492042,-0.9738729,-0.9738729,-1.446075,-1.8092215,-1.4319872,-1.3513939,4,7,1,7,3,3,3,6,8,3,2,5,2,8,2,2,4,7,5,3,-3.1724362,0.42581223,3.255589,1.3862696,1.8693194
-21.684397,0.83779214,0.49327909,2,7,0,23.697974,0.96696577,0.86748317,0.83882653,0.028656639,-1.0171908,-4.0417586,-1.0171908,-0.39987799,-1.0171908,-1.0171908,-1.5696934,-1.8614477,-1.5489216,-1.476823,4,6,5,6,1,2,4,6,4,5,3,5,2,5,2,1,5,8,5,5,-3.1311493,0.33780844,4.2277799,1.4281797,2.7996002
