# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-05-11 07:46:36 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpCZXZ45/standata-16d8c2d1258b4.json
# init = 2 (Default)
# random
#   seed = 559387477
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202605110946-2-7a1215.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202605110946-2-6811b2.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-16.974526,0.38061471,1,1,3,0,19.29199,0.20195964,1.7300942,0.34940922,1.380685,-1.6095519,-1.4314255,-1.6095519,-1.4282184,-1.4509882,-1.2748076,-1.5007672,-1.4342652,-1.5490401,-1.5592774,6,3,3,5,8,5,5,8,7,5,6,3,4,4,5,2,7,7,4,4,-0.84952461,0.78720303,3.5101933,2.7632348,0.7469585
-16.974526,0,4.6648999,0,1,1,18.153184,0.20195964,1.7300942,0.34940922,1.380685,-1.6095519,-1.4314255,-1.6095519,-1.4282184,-1.4509882,-1.2748076,-1.5007672,-1.4342652,-1.5490401,-1.5592774,5,3,4,6,6,4,5,8,4,4,5,4,5,2,4,6,5,5,7,5,-0.84952461,0.49869402,4.9222715,2.4547074,2.4675641
-18.352794,0.96184193,0.56465881,2,3,0,18.589965,0.11661324,3.0903194,0.36037216,2.7299472,-1.6601126,-1.4861738,-1.6601126,-1.3484695,-1.5692151,-1.1449909,-1.5542532,-1.3266138,-1.6411955,-1.6031847,6,4,5,7,8,3,5,8,7,1,4,2,3,6,6,2,6,7,5,4,-2.2138624,0.52193747,1.6471768,0.85972327,0.78745349
-17.776737,0.86615917,0.59723543,2,3,0,19.37087,0.69556974,4.3907287,3.054058,1.3366707,-1.2552449,-1.3626056,-1.2552449,-1.8266207,-1.0350711,-2.3189827,-1.235356,-2.2644392,-1.082222,-1.3655569,5,6,5,3,7,3,8,7,8,4,3,4,3,7,7,4,8,8,6,4,-2.7025508,0.67729299,2.4463368,1.6568868,0.78945003
-16.203712,1,0.58863961,2,3,0,17.565824,0.33569435,1.5135561,0.50809222,1.0054639,-1.5291621,-1.3757108,-1.5291621,-1.492224,-1.3029758,-1.4873872,-1.4314654,-1.5440046,-1.4311431,-1.4899799,6,2,6,4,7,3,6,7,5,4,6,2,8,2,6,2,7,6,5,4,-0.50439188,0.13228969,2.3665648,0.31307211,2.0534927
-15.526355,0.45666388,0.94472,2,3,0,15.698881,0.47573641,2.7093262,1.2889251,1.4204011,-1.3877881,-1.284174,-1.3877881,-1.5274237,-1.1147305,-1.8022645,-1.3035632,-1.6879353,-1.2694513,-1.3656118,5,1,3,6,6,5,4,8,6,6,6,3,5,5,5,4,8,7,7,4,-1.0036725,0.5683523,3.5010062,1.9898049,1.5112013
-15.895055,0.97463523,0.30981743,2,3,0,15.904392,0.52784036,3.3926984,1.7908032,1.6018952,-1.341053,-1.2741938,-1.341053,-1.5708331,-1.0609821,-1.9318167,-1.2674392,-1.7862703,-1.2121603,-1.3378435,2,2,4,3,7,3,7,7,2,6,4,4,3,5,6,3,5,8,7,4,-1.6036358,0.2868238,1.7662565,0.50660441,1.2596521
-16.344089,0.88170976,0.50367585,2,3,0,16.987735,0.56092556,1.4163572,0.79447093,0.62188622,-1.4295243,-1.3999594,-1.4295243,-1.6704646,-1.1612409,-1.8594765,-1.3782955,-1.8072393,-1.2750406,-1.4586538,6,3,3,5,8,5,6,8,5,7,6,1,2,7,6,2,7,8,5,6,-0.42150487,0.75406787,3.6149789,2.7259394,0.88903946
-16.274572,1,0.63262199,2,3,0,16.395303,0.34327142,3.9956387,1.3715886,2.6240502,-1.4467501,-1.2556344,-1.4467501,-1.3877315,-1.2124897,-1.5793402,-1.328768,-1.4964531,-1.3738005,-1.3755023,5,2,3,8,8,5,6,7,6,4,6,2,4,6,5,4,8,7,7,3,-2.2668374,0.72812838,1.2911776,0.94014302,0.35103453
-16.274572,0.011916908,1.1739184,1,3,0,16.455521,0.34327142,3.9956387,1.3715886,2.6240502,-1.4467501,-1.2556344,-1.4467501,-1.3877315,-1.2124897,-1.5793402,-1.328768,-1.4964531,-1.3738005,-1.3755023,7,1,5,4,8,3,4,8,6,4,6,2,4,5,7,4,7,6,7,6,-2.2668374,0.79903624,2.2725299,1.8158337,0.45669615
