# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-05-11 07:46:17 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpCZXZ45/standata-16d8c66fdb78b.json
# init = 2 (Default)
# random
#   seed = 1578238099
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202605110946-2-9466bb.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202605110946-2-6c0b8b.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-17.883229,0.42778953,1,1,1,0,17.963866,0.18552374,1.2388663,0.22983911,1.0090272,-1.6490355,-1.4888596,-1.6490355,-1.4838435,-1.4952184,-1.2352706,-1.5472459,-1.4705493,-1.5778203,-1.6139662,8,5,4,8,7,2,6,6,8,8,4,1,4,6,8,1,6,7,8,4,-0.99679816,0.85360786,0.79575165,0.67925986,0.11649179
-17.883229,0,5.0826805,0,1,1,19.4718,0.18552374,1.2388663,0.22983911,1.0090272,-1.6490355,-1.4888596,-1.6490355,-1.4838435,-1.4952184,-1.2352706,-1.5472459,-1.4705493,-1.5778203,-1.6139662,3,4,2,4,5,1,7,7,6,6,3,3,4,6,7,2,8,6,8,4,-0.99679816,0.52914136,1.6856003,0.89192086,0.79367948
-18.191153,0.66301365,0.63106811,3,7,0,20.918977,0.66356435,0.95731184,0.63523801,0.32207384,-1.471744,-1.5167801,-1.471744,-1.8143352,-1.2256644,-1.9438151,-1.4506782,-1.9368545,-1.2868032,-1.5540768,6,2,5,1,6,3,6,7,4,2,5,7,3,7,6,1,5,7,7,4,-0.97555331,0.042545422,2.596039,0.11044958,2.4855894
-18.14418,0.99858226,0.30543349,2,3,0,18.411961,0.6506565,0.94715358,0.61627163,0.33088195,-1.4766898,-1.512054,-1.4766898,-1.8013384,-1.2265727,-1.9208108,-1.4526216,-1.916346,-1.2940944,-1.5526482,6,5,2,6,8,4,5,7,7,4,7,5,4,3,6,6,4,6,8,6,-0.9785476,0.91765451,2.4300904,2.2299834,0.20010698
-18.763148,0.92283787,0.41870052,1,1,0,19.026538,0.68151094,0.86459135,0.58922846,0.27536288,-1.4896242,-1.5455831,-1.4896242,-1.8417339,-1.2486451,-1.9458041,-1.4735049,-1.9526976,-1.2993355,-1.5806908,4,1,3,6,8,1,7,6,4,4,6,4,3,7,7,7,5,5,4,2,-1.2227962,0.46348558,1.7494958,0.81086605,0.93862971
-17.110382,1,0.52603053,2,3,0,19.492655,0.47514139,1.0425927,0.49537895,0.54721375,-1.5126519,-1.4358183,-1.5126519,-1.6343683,-1.2521604,-1.6654387,-1.447875,-1.7009803,-1.3695399,-1.5185879,6,1,4,4,8,1,4,2,4,5,8,1,2,7,4,3,4,7,5,2,-0.71325096,0.073228096,0.83670625,0.061270405,0.77543584
-17.110382,0.58738321,0.89630137,1,3,0,18.664238,0.47514139,1.0425927,0.49537895,0.54721375,-1.5126519,-1.4358183,-1.5126519,-1.6343683,-1.2521604,-1.6654387,-1.447875,-1.7009803,-1.3695399,-1.5185879,4,2,4,4,7,2,5,7,5,8,3,1,5,7,8,2,7,7,8,4,-0.71325096,0.60425322,4.7646379,2.8790478,1.8855901
-16.008186,0.92444873,0.44428533,2,3,0,18.122856,0.31605044,1.7861033,0.56449874,1.2216046,-1.5243996,-1.356892,-1.5243996,-1.4585048,-1.3059419,-1.4688666,-1.4201961,-1.5129898,-1.4370211,-1.4759054,5,3,3,4,8,2,6,5,5,4,4,3,3,4,8,3,6,8,7,6,-0.57138091,0.25922388,2.4119005,0.62522221,1.7866783
-15.93586,0.95801321,0.63747279,2,3,0,16.311444,0.41109886,1.555665,0.63953212,0.91613291,-1.4828551,-1.3585616,-1.4828551,-1.5318012,-1.2307549,-1.6170558,-1.3963554,-1.6141504,-1.3672445,-1.4571097,6,4,4,6,8,3,5,8,8,6,3,6,2,6,7,3,6,6,7,2,-0.42060067,0.59754581,1.3742456,0.82117467,0.55307088
-15.93586,0.59877392,1.0360681,1,3,0,17.067918,0.41109886,1.555665,0.63953212,0.91613291,-1.4828551,-1.3585616,-1.4828551,-1.5318012,-1.2307549,-1.6170558,-1.3963554,-1.6141504,-1.3672445,-1.4571097,6,3,8,4,2,3,7,8,5,3,3,1,5,5,6,2,7,7,6,4,-0.42060067,0.21978086,3.7874896,0.83241773,2.9550719
-15.93586,0.69992117,0.54659534,2,3,0,18.210454,0.41109886,1.555665,0.63953212,0.91613291,-1.4828551,-1.3585616,-1.4828551,-1.5318012,-1.2307549,-1.6170558,-1.3963554,-1.6141504,-1.3672445,-1.4571097,3,2,3,4,4,3,6,8,5,3,4,4,1,3,8,1,6,8,8,6,-0.42060067,0.29303868,1.9865066,0.58212328,1.4043833
-15.657181,0.96897841,0.39976948,3,7,0,17.070357,0.51842826,1.981429,1.0272288,0.9542002,-1.399931,-1.3341077,-1.399931,-1.5962336,-1.1266905,-1.8406051,-1.3321653,-1.7514604,-1.2635016,-1.4030418,6,4,2,6,6,1,4,8,7,7,4,6,3,3,7,2,4,8,6,4,-0.50567791,0.87544252,1.3273755,1.162041,0.16533454
-18.136349,0.31379174,0.68726636,1,1,0,18.225254,0.63333951,0.92436032,0.58543391,0.33892641,-1.4856056,-1.5083143,-1.4856056,-1.7857143,-1.2310082,-1.8879011,-1.4576812,-1.8895454,-1.3059553,-1.5534994,3,5,7,6,6,4,5,7,8,6,8,2,1,5,6,2,5,8,8,1,-1.0067982,0.32015374,2.1000912,0.67235206,1.4277392
-18.9137,0.98371718,0.1514368,2,3,0,19.186835,0.63123371,0.78149604,0.49330665,0.2881894,-1.521721,-1.5413962,-1.521721,-1.8014206,-1.2663816,-1.8452868,-1.4950026,-1.8766758,-1.3388552,-1.589821,4,4,3,6,8,2,6,7,7,4,8,5,2,4,8,1,6,6,2,7,-1.4112015,0.59993108,4.1027444,2.4613639,1.6413805
-20.049713,0.91660151,0.27479172,1,1,0,20.078724,0.65472602,0.65208443,0.42693665,0.22514779,-1.5582729,-1.590437,-1.5582729,-1.8434276,-1.3063596,-1.8355926,-1.5381581,-1.8951235,-1.367224,-1.6368378,6,2,3,1,7,4,7,8,5,5,6,8,5,8,8,4,5,7,7,7,-2.0054704,0.45148928,0.85824446,0.38748817,0.47075629
-15.51044,1,0.40341038,2,3,0,19.445461,0.47248593,2.6457906,1.2500988,1.3956918,-1.3917474,-1.2864124,-1.3917474,-1.5260572,-1.1194957,-1.7932052,-1.3071412,-1.6826516,-1.2738148,-1.3688796,3,2,1,6,7,2,5,5,6,6,5,3,5,6,7,2,8,4,7,3,-0.95293043,0.23576419,1.4421378,0.34000445,1.1021333
-15.665584,0.93214289,0.76324451,2,3,0,15.731445,0.34827231,2.4896296,0.86706906,1.6225605,-1.4736427,-1.3018317,-1.4736427,-1.4340556,-1.239615,-1.5539646,-1.3656809,-1.5218524,-1.3880837,-1.4174743,5,1,7,2,7,4,7,4,8,3,6,3,2,4,6,3,7,6,5,5,-0.92497529,0.16041687,1.7740297,0.28458429,1.4894454
-15.665584,0.09493926,1.1646812,1,3,0,16.400169,0.34827231,2.4896296,0.86706906,1.6225605,-1.4736427,-1.3018317,-1.4736427,-1.4340556,-1.239615,-1.5539646,-1.3656809,-1.5218524,-1.3880837,-1.4174743,4,6,4,7,5,2,4,5,7,4,5,4,4,4,7,4,6,6,5,5,-0.92497529,0.30103139,0.94751011,0.28523029,0.66227982
-15.634979,0.99995468,0.139802,3,7,0,15.700138,0.35738889,2.5351812,0.9060456,1.6291356,-1.465966,-1.2970974,-1.465966,-1.4377046,-1.2280224,-1.5722847,-1.3589431,-1.5309001,-1.3784424,-1.410878,5,5,6,4,6,2,8,6,7,2,5,4,4,4,5,2,8,8,4,3,-0.94789316,0.39822136,1.1316094,0.45063102,0.68097836
-17.189898,0.95182227,0.26390454,3,7,0,17.770802,0.67588679,3.8401685,2.5955192,1.2446493,-1.2716612,-1.3537917,-1.2716612,-1.7896157,-1.0358854,-2.2568534,-1.2452434,-2.175433,-1.1029009,-1.3648649,5,3,1,2,8,2,3,8,8,7,6,3,3,7,7,6,5,8,8,7,-2.1491111,0.7556131,1.2553875,0.94858726,0.30680027
-16.425425,1,0.42756872,1,1,0,17.077833,0.64458057,2.9601827,1.9080763,1.0521064,-1.3056311,-1.3503596,-1.3056311,-1.7393319,-1.0520835,-2.1503932,-1.2700881,-2.0455432,-1.1426156,-1.3750007,5,4,3,6,8,1,2,8,6,4,5,7,4,5,6,3,6,6,7,5,-1.3003858,0.64851584,1.2094643,0.78435673,0.42510753
-15.61355,0.93670673,0.792955,2,3,0,16.21652,0.45532173,3.0691677,1.3974587,1.671709,-1.3885228,-1.2675782,-1.3885228,-1.498075,-1.1178049,-1.776553,-1.2970713,-1.6561196,-1.278391,-1.3554452,7,4,5,7,7,6,7,7,6,3,5,2,7,5,7,2,8,6,6,3,-1.3165612,0.24060846,2.9476399,0.70922711,2.2384128
-15.61355,0.17585456,1.2094824,1,3,0,15.757947,0.45532173,3.0691677,1.3974587,1.671709,-1.3885228,-1.2675782,-1.3885228,-1.498075,-1.1178049,-1.776553,-1.2970713,-1.6561196,-1.278391,-1.3554452,5,6,7,4,4,3,8,6,5,4,6,4,4,5,6,3,5,8,5,4,-1.3165612,0.30139971,1.5593849,0.46999816,1.0893867
-15.490226,1,0.20069851,3,7,0,15.622022,0.4287998,2.5798765,1.1062505,1.4736259,-1.418918,-1.2858676,-1.418918,-1.4884195,-1.1564538,-1.7072515,-1.3246923,-1.6186779,-1.3124128,-1.3813852,8,5,6,6,7,8,4,6,7,7,6,1,5,5,7,2,6,7,7,3,-0.9181906,0.78850843,1.6342936,1.2886543,0.34563933
