# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-05-11 07:47:17 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpCZXZ45/standata-16d8c61d56d6d.json
# init = 2 (Default)
# random
#   seed = 1807137533
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202605110947-1-0aee1f.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202605110947-1-330fe4.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-30.776101,0,2,0,1,1,30.954723,0.49539939,0.1786732,0.088514597,0.090158607,-1.4862042,-2.4085021,-1.4862042,-1.3130722,-1.4862042,-1.4862042,-1.989947,-2.310974,-2.0178508,-1.916375,2,6,3,8,2,3,6,8,3,2,3,6,7,8,7,1,2,4,5,2,-9.7659874,0.58690962,0.7803702,0.45800678,0.32236342
-30.776101,0,2.3350648,0,1,1,31.421072,0.49539939,0.1786732,0.088514597,0.090158607,-1.4862042,-2.4085021,-1.4862042,-1.3130722,-1.4862042,-1.4862042,-1.989947,-2.310974,-2.0178508,-1.916375,3,4,3,6,2,3,5,8,5,4,5,6,6,5,2,6,2,2,8,1,-9.7659874,0.21313112,2.9248287,0.62337202,2.3014567
-31.065594,0.9733527,0.23023585,1,1,0,31.658698,0.51026158,0.17250084,0.088020553,0.08448029,-1.4742867,-2.4102299,-1.4742867,-1.3000404,-1.4742867,-1.4742867,-1.9978695,-2.2995547,-2.0201904,-1.9231955,7,5,3,5,5,2,3,6,3,5,5,8,1,4,3,2,4,6,8,4,-10.073298,0.48481995,2.4033428,1.1651886,1.2381543
-25.684705,1,0.22335502,3,7,0,31.380533,0.58580037,0.30424761,0.17822836,0.12601925,-1.4409843,-2.6183236,-1.4409843,-1.1722865,-1.4409843,-1.4409843,-1.8378728,-2.2749218,-1.8949338,-1.764196,5,7,1,8,3,2,6,7,4,7,6,8,1,5,5,1,6,5,2,5,-5.7521363,0.5580624,2.7506598,1.5350398,1.21562
-18.947467,1,0.30055591,2,3,0,25.962767,0.78668273,1.1263094,0.88604812,0.24026124,-1.2735208,-3.846075,-1.2735208,-0.70859249,-1.2735208,-1.2735208,-1.5001873,-2.1209759,-1.5938909,-1.4204069,1,8,3,8,3,3,4,7,4,7,2,4,3,7,3,3,5,8,3,3,-0.99729651,0.73028979,3.2039646,2.3398227,0.86414199
-18.825056,1,0.4684688,2,3,0,19.106846,0.72514736,1.6405913,1.1896704,0.45092085,-1.3927928,-4.0155789,-1.3927928,-0.81416037,-1.3927928,-1.3927928,-1.4342146,-2.2939064,-1.595943,-1.3617688,6,8,3,6,3,4,4,8,7,4,5,8,5,8,2,2,5,7,2,2,-0.62046882,0.42643807,1.7403591,0.74215537,0.9982037
-18.825056,0.046156668,0.79573027,1,3,0,21.486432,0.72514736,1.6405913,1.1896704,0.45092085,-1.3927928,-4.0155789,-1.3927928,-0.81416037,-1.3927928,-1.3927928,-1.4342146,-2.2939064,-1.595943,-1.3617688,1,7,3,8,3,5,5,6,6,2,4,7,2,7,4,3,4,5,5,2,-0.62046882,0.59166442,1.6303354,0.96461144,0.66572393
-19.165791,0.99926893,0.073026941,4,15,0,19.206689,0.68951591,1.2272305,0.84619494,0.38103554,-1.4279357,-3.6733714,-1.4279357,-0.90824299,-1.4279357,-1.4279357,-1.4883379,-2.3249718,-1.6470941,-1.418178,1,7,3,5,1,5,7,6,4,5,4,7,2,7,1,1,7,6,7,3,-0.65722409,0.64733628,1.5268383,0.98837781,0.53846047
-19.133733,0.99995548,0.13026611,4,15,0,19.357846,0.70503449,1.1786389,0.83098107,0.34765781,-1.4004952,-3.678526,-1.4004952,-0.87682695,-1.4004952,-1.4004952,-1.4946582,-2.2846137,-1.6403349,-1.4227185,1,7,4,5,5,3,2,7,6,4,2,4,5,7,1,2,5,7,6,5,-0.72802874,0.26060221,1.1097519,0.28920379,0.8205481
-19.746163,0.98357933,0.23985294,2,3,0,19.801366,0.63591974,1.03571,0.65862845,0.37708157,-1.4942055,-3.4149676,-1.4942055,-1.029546,-1.4942055,-1.4942055,-1.5282309,-2.4075977,-1.7005006,-1.4622524,3,7,3,7,3,4,7,8,4,4,1,7,3,8,1,5,3,6,4,1,-0.79826883,0.36711383,0.87899336,0.32269062,0.55630274
