# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-05-11 07:47:27 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpCZXZ45/standata-16d8c259837e9.json
# init = 2 (Default)
# random
#   seed = 1408765757
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202605110947-1-0f2348.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202605110947-1-32d4de.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-19.182073,1,0.5,2,3,0,21.530995,0.76748677,1.0126761,0.77721553,0.2354606,-1.2968966,-3.6986963,-1.2968966,-0.75872316,-1.2968966,-1.2968966,-1.5221495,-2.145225,-1.6187797,-1.4436982,1,2,3,8,2,4,2,6,7,2,3,6,1,8,1,4,6,6,7,2,-1.0963691,0.68024827,2.3422556,1.5933153,0.74894028
-19.182073,0,14.38551,0,1,1,20.74227,0.76748677,1.0126761,0.77721553,0.2354606,-1.2968966,-3.6986963,-1.2968966,-0.75872316,-1.2968966,-1.2968966,-1.5221495,-2.145225,-1.6187797,-1.4436982,4,7,1,5,2,4,3,8,4,5,1,5,1,7,1,5,7,7,2,1,-1.0963691,0.51201054,1.2246823,0.62705027,0.59763207
-19.182073,4.4088865e-176,2.4311673,1,1,0,19.713301,0.76748677,1.0126761,0.77721553,0.2354606,-1.2968966,-3.6986963,-1.2968966,-0.75872316,-1.2968966,-1.2968966,-1.5221495,-2.145225,-1.6187797,-1.4436982,4,3,1,7,2,4,4,7,5,3,2,5,2,8,4,1,5,6,7,4,-1.0963691,0.51932328,1.3135093,0.68213594,0.63137333
-19.812714,0.97707659,0.23979141,2,7,0,20.355664,0.67585973,2.8643296,1.935885,0.92844458,-1.5201818,-4.2903468,-1.5201818,-0.91709101,-1.5201818,-1.5201818,-1.363934,-2.5275042,-1.6047078,-1.2996432,2,7,1,3,2,6,4,8,2,4,1,7,2,8,3,4,4,4,3,2,-1.2627457,0.1518025,2.4162214,0.36678844,2.049433
-19.943614,0.9848218,0.30377081,3,7,0,21.378686,0.71011141,0.8080765,0.57382435,0.23425215,-1.3649744,-3.3783773,-1.3649744,-0.89283639,-1.3649744,-1.3649744,-1.5742523,-2.2190712,-1.6817442,-1.4996564,2,8,3,8,3,3,6,5,5,5,2,8,4,8,4,5,7,8,7,1,-1.444088,0.82426951,2.2754172,1.875557,0.39986018
-22.189478,0.75982282,0.45274061,2,7,0,23.266551,0.91323522,5.7972339,5.2942382,0.50299573,-1.098358,-5.8878165,-1.098358,-0.28533621,-1.098358,-1.098358,-1.3073486,-1.9527203,-1.377183,-1.2157908,3,8,1,7,2,3,2,6,4,5,1,7,1,8,1,2,2,6,4,4,-4.9919159,0.4913575,2.2409926,1.1011285,1.1398641
-22.751264,0.9641373,0.36826373,3,7,0,23.557377,0.87842956,6.9040216,6.0646967,0.83932496,-1.1667741,-5.8084727,-1.1667741,-0.36650937,-1.1667741,-1.1667741,-1.2910247,-2.0412303,-1.3962409,-1.2028677,5,7,2,6,3,3,3,6,5,3,1,8,1,8,1,2,7,6,5,3,-5.6730454,0.33284803,1.6199019,0.53918115,1.0807207
-19.70186,1,0.58110946,1,3,0,22.830042,0.73429459,3.194544,2.3457364,0.84880764,-1.4180182,-4.5850779,-1.4180182,-0.76538564,-1.4180182,-1.4180182,-1.3457837,-2.3706838,-1.5473863,-1.2744097,6,4,6,6,4,5,3,5,2,7,3,6,1,7,1,2,4,4,3,2,-1.6682928,0.20568451,3.0551613,0.62839936,2.426762
-20.228905,0.33521554,1.0599852,1,3,0,20.930937,0.95697832,1.4467523,1.3845106,0.062241718,-1.0186909,-4.6405859,-1.0186909,-0.32129044,-1.0186909,-1.0186909,-1.4695546,-1.8526812,-1.4694359,-1.3767833,4,7,3,4,3,3,2,5,2,3,4,7,2,6,2,3,5,8,5,4,-2.2031052,0.19863938,1.105873,0.21966993,0.88620308
-19.762375,0.96053891,0.2416321,4,15,0,21.517111,0.90669723,0.9765282,0.88541541,0.091112784,-1.0969465,-4.0174261,-1.0969465,-0.48936191,-1.0969465,-1.0969465,-1.5362593,-1.9302528,-1.5527096,-1.4469547,4,6,2,5,5,1,6,8,5,4,1,8,4,8,1,3,6,5,2,3,-1.9080203,0.12580018,2.4215559,0.30463216,2.1169237
