# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-05-11 07:47:30 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpCZXZ45/standata-16d8c19772914.json
# init = 2 (Default)
# random
#   seed = 1954528891
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202605110947-1-2c7373.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202605110947-1-7b09a5.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-24.653689,5.3349436e-20,2,1,1,0,27.317705,0.26437598,0.73757476,0.19499705,0.54257771,-1.9835534,-2.591823,-1.9835534,-1.7919584,-1.9835534,-1.9835534,-1.7020467,-3.2585044,-2.009887,-1.6662333,2,3,6,6,4,4,5,6,6,5,5,6,5,7,4,7,4,7,7,6,-1.7572154,0.14114195,1.7488612,0.24683768,1.5020236
-24.653689,1.3978911e-30,2.3350648,1,2,1,24.888982,0.26437598,0.73757476,0.19499705,0.54257771,-1.9835534,-2.591823,-1.9835534,-1.7919584,-1.9835534,-1.9835534,-1.7020467,-3.2585044,-2.009887,-1.6662333,2,6,3,8,1,5,6,7,6,3,5,3,6,4,6,3,4,8,6,3,-1.7572154,0.64256806,1.5584365,1.0014015,0.55703498
-24.629128,0.99871963,0.23023585,1,1,0,24.736751,0.26741495,0.72704192,0.19442188,0.53262004,-1.9749559,-2.5908897,-1.9749559,-1.782345,-1.9749559,-1.9749559,-1.7033803,-3.2365135,-2.0069173,-1.6670104,5,4,4,6,2,1,7,6,3,2,3,7,1,3,3,4,3,7,8,1,-1.7933477,0.62244244,1.4178631,0.88253814,0.53532492
-21.084321,0.99937592,0.23897468,3,7,0,25.82189,0.52517539,0.83843977,0.44032793,0.39811184,-1.6306892,-3.0550149,-1.6306892,-1.2600772,-1.6306892,-1.6306892,-1.5927878,-2.5979105,-1.7971064,-1.5353975,1,7,1,7,4,2,4,5,5,3,5,7,2,7,5,4,3,4,3,4,-1.1582247,0.61188869,2.0166776,1.2339822,0.7826954
-19.318558,0.88238281,0.32257242,2,7,0,23.490349,0.89077871,1.0995781,0.97948079,0.12009734,-1.1193077,-4.1055721,-1.1193077,-0.50054916,-1.1193077,-1.1193077,-1.5103004,-1.9516398,-1.5412964,-1.422125,4,5,2,8,5,2,4,8,6,4,3,6,1,7,2,3,7,7,5,4,-1.5747328,0.24626203,1.6221538,0.39947487,1.2226789
-18.811284,0.99704235,0.35516119,2,7,0,19.710877,0.84650175,1.280254,1.0837373,0.19651674,-1.1873219,-4.1408926,-1.1873219,-0.56948578,-1.1873219,-1.1873219,-1.4772836,-2.0251897,-1.5430888,-1.3926148,3,6,1,8,1,2,3,7,5,4,1,8,1,8,3,2,5,8,3,3,-1.1197898,0.68187588,2.8408269,1.9370913,0.90373557
-19.872641,0.82475428,0.59338055,2,3,0,21.152574,0.60381762,1.1167807,0.67433186,0.44244883,-1.5521143,-3.3993921,-1.5521143,-1.0975446,-1.5521143,-1.5521143,-1.5184796,-2.5009787,-1.7175632,-1.456395,4,5,2,4,4,2,6,5,2,3,3,7,1,6,3,4,3,6,3,3,-0.65391737,0.76151306,3.3074783,2.518688,0.78879037
-18.791389,0.88809455,0.61157518,2,3,0,20.194301,0.87205077,1.9375932,1.6896797,0.24791357,-1.1556531,-4.6663773,-1.1556531,-0.46661847,-1.1556531,-1.1556531,-1.4107952,-1.9983014,-1.4805283,-1.3240552,6,8,5,6,1,4,4,6,4,5,1,5,2,8,1,4,4,7,4,4,-1.2905177,0.57219844,1.6132353,0.92309074,0.69014458
-19.050359,0.56095311,0.7851834,2,3,0,20.158775,0.8389817,2.6463561,2.2202444,0.42611176,-1.2202181,-4.8481146,-1.2202181,-0.51642301,-1.2202181,-1.2202181,-1.3667509,-2.0850811,-1.4755051,-1.2831312,1,4,4,5,3,5,4,8,2,2,3,8,1,7,2,2,5,6,4,3,-1.56586,0.69370942,1.3366718,0.92726181,0.40940998
-18.941131,0.98245497,0.36457333,3,7,0,19.411928,0.79354007,1.1265562,0.89396749,0.23258871,-1.2632662,-3.8642731,-1.2632662,-0.69440946,-1.2632662,-1.2632662,-1.5001611,-2.1088523,-1.5898491,-1.4197786,2,5,4,8,5,5,4,7,3,4,5,8,5,8,4,1,5,5,5,2,-1.0210077,0.23724399,1.5612785,0.37040394,1.1908746
