# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-05-11 08:25:58 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpCZXZ45/standata-16d8c7318eed6.json
# init = 2 (Default)
# random
#   seed = 1214041539
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202605111025-1-3e55e4.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202605111025-1-5e53f6.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-17.7294,1,1,1,1,0,19.081295,0.70918378,1.5485744,1.0982239,0.45035057,-1.4520295,-1.4688767,-1.5788522,-1.4520295,-1.5482216,-1.3622453,-1.6125177,-2.8348287,-1.1872564,-1.510222,8,7,8,2,6,4,4,5,5,5,7,5,4,1,5,2,3,6,1,6,-0.58095096,0.59142377,1.6347791,0.9668472,0.66793187
-17.7294,0,14.38551,0,1,1,18.315561,0.70918378,1.5485744,1.0982239,0.45035057,-1.4520295,-1.4688767,-1.5788522,-1.4520295,-1.5482216,-1.3622453,-1.6125177,-2.8348287,-1.1872564,-1.510222,3,8,3,3,6,3,4,4,3,6,7,8,5,3,7,5,5,6,3,6,-0.58095096,0.19511891,1.7525974,0.34196489,1.4106325
-17.7294,0,2.4311673,0,1,1,19.770177,0.70918378,1.5485744,1.0982239,0.45035057,-1.4520295,-1.4688767,-1.5788522,-1.4520295,-1.5482216,-1.3622453,-1.6125177,-2.8348287,-1.1872564,-1.510222,7,5,4,1,3,1,4,4,3,7,7,8,5,5,6,1,1,6,2,5,-0.58095096,0.40096807,5.0686681,2.0323741,3.0362941
-18.34869,0.9978332,0.23979141,3,15,0,18.878123,0.1590627,3.5933544,0.57156866,3.0217858,-1.2825588,-1.0417001,-1.3344327,-1.2825588,-1.343691,-1.4974109,-2.2838039,-2.0442312,-1.5882882,-1.5059432,3,7,6,3,7,6,2,7,4,3,6,5,4,4,5,1,6,4,5,5,-2.411462,0.8266295,1.215324,1.0046227,0.21070133
-18.375476,0.98110183,0.32233072,2,7,0,19.412431,0.12930663,2.3139037,0.2992031,2.0147006,-1.3379369,-1.0838414,-1.3862788,-1.3379369,-1.3973754,-1.5500526,-2.2800266,-1.9633951,-1.6244586,-1.569565,6,8,6,2,3,1,4,4,2,5,7,8,3,2,5,4,5,5,4,5,-1.4995107,0.59117985,4.1879947,2.4758581,1.7121366
-16.634551,0.89801031,0.47633091,2,7,0,19.190499,0.59929785,2.3490139,1.407759,0.94125493,-1.3464414,-1.3431985,-1.4744534,-1.3464414,-1.4456929,-1.2989177,-1.6844765,-2.7621516,-1.192278,-1.4016564,7,5,5,2,6,2,3,6,2,5,5,6,6,4,4,4,4,5,2,3,-0.76630542,0.71236826,2.279522,1.6238591,0.65566288
-16.725552,0.9891122,0.59233611,3,7,0,16.804592,0.61657888,2.2899832,1.4119553,0.87802791,-1.3569554,-1.3602457,-1.4857335,-1.3569554,-1.4561571,-1.3013036,-1.6686356,-2.7888566,-1.1842925,-1.4113392,7,6,5,1,3,3,3,7,1,3,6,4,5,5,7,3,3,4,4,2,-0.74143159,0.70407736,2.1334587,1.50212,0.63133873
-16.820588,0.92015257,1.0182446,1,1,0,17.060328,0.62025918,1.9368351,1.2013398,0.73549536,-1.3785597,-1.3748375,-1.5059454,-1.3785597,-1.4773613,-1.324298,-1.67174,-2.7458141,-1.2008513,-1.4347609,6,5,5,4,5,3,6,3,1,8,4,4,4,5,4,3,4,6,1,6,-0.54303109,0.58307115,2.1722793,1.2665934,0.90568593
-16.820588,0.029238701,1.4529988,1,3,1,16.943122,0.62025918,1.9368351,1.2013398,0.73549536,-1.3785597,-1.3748375,-1.5059454,-1.3785597,-1.4773613,-1.324298,-1.67174,-2.7458141,-1.2008513,-1.4347609,4,7,5,3,5,2,6,2,3,7,6,8,6,3,6,3,6,7,4,3,-0.54303109,0.26240628,1.8732269,0.4915465,1.3816804
-16.341782,0.99882351,0.12622594,4,15,0,17.157345,0.37697393,2.426705,0.91480454,1.5119005,-1.293662,-1.1744465,-1.3927475,-1.293662,-1.3809535,-1.3536069,-1.9330237,-2.3606499,-1.3625666,-1.390142,4,7,7,4,8,6,6,2,5,6,5,4,6,3,3,1,3,6,4,7,-0.84410964,0.35727885,1.26306,0.45126461,0.81179535
