# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-05-11 08:25:01 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpCZXZ45/standata-16d8c5471aa9f.json
# init = 2 (Default)
# random
#   seed = 817776504
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202605111025-1-637fd8.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202605111025-1-74667c.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-24.304638,1,0.5,2,3,0,33.162385,0.92158155,0.85335346,0.7864348,0.06691866,-1.4752592,-1.5696997,-1.6670684,-1.5059322,-3.9056005,-2.824112,-1.723902,-1.5059322,-1.5561532,-1.4313434,7,4,2,8,6,4,4,6,8,2,4,5,3,6,3,2,8,5,8,4,-2.3536937,0.20238969,1.6309789,0.33009332,1.3008856
-24.304638,0,14.38551,0,1,1,25.084524,0.92158155,0.85335346,0.7864348,0.06691866,-1.4752592,-1.5696997,-1.6670684,-1.5059322,-3.9056005,-2.824112,-1.723902,-1.5059322,-1.5561532,-1.4313434,7,4,2,8,8,6,4,8,7,3,5,6,3,7,6,4,8,5,6,4,-2.3536937,0.17741897,3.8750324,0.68750426,3.1875282
-24.304638,0,2.4311673,0,1,1,24.534548,0.92158155,0.85335346,0.7864348,0.06691866,-1.4752592,-1.5696997,-1.6670684,-1.5059322,-3.9056005,-2.824112,-1.723902,-1.5059322,-1.5561532,-1.4313434,3,6,3,7,8,5,2,7,8,5,1,4,3,5,6,2,8,5,8,4,-2.3536937,0.1532112,3.4557775,0.52946381,2.9263137
-18.756152,1,0.23979141,3,7,0,25.000271,0.53671027,2.5638831,1.3760624,1.1878207,-1.5024929,-1.7470421,-1.3134629,-1.3887701,-3.7706628,-2.1902694,-1.3689183,-1.3887701,-1.0042105,-1.7407409,3,6,2,6,5,4,6,7,8,2,3,5,1,7,5,4,5,7,8,2,-0.89063539,0.459906,1.72671,0.79412428,0.93258571
-18.764463,0.99966019,0.32433241,3,7,0,18.898185,0.52288377,1.4338219,0.7497222,0.68409971,-1.5673665,-1.7717805,-1.3901984,-1.4656217,-3.3828776,-2.1027208,-1.4548571,-1.4656217,-0.98804761,-1.7430405,5,7,3,8,6,5,2,7,8,4,2,5,2,6,8,2,2,7,7,5,-0.40428317,0.092749028,2.4726821,0.22933886,2.2433432
-18.677627,0.96806255,0.50669198,2,3,0,19.021699,0.44445883,2.4683776,1.0970922,1.3712854,-1.6191786,-1.8510552,-1.2972347,-1.5066421,-3.4908014,-1.9902323,-1.3826738,-1.5066421,-0.84981017,-1.863356,2,3,2,2,6,7,6,6,7,1,2,3,2,7,7,7,3,6,7,6,-0.82485143,0.69812147,1.0226424,0.71392861,0.30871378
-18.580651,0.98461006,0.78213089,2,3,0,18.675874,0.45925095,2.2471488,1.0320052,1.2151436,-1.6040714,-1.8327321,-1.3112973,-1.4910049,-3.4827719,-2.0143004,-1.3915267,-1.4910049,-0.87667014,-1.8381709,5,4,1,6,6,4,4,5,8,3,4,4,2,8,6,4,3,7,7,4,-0.66380404,0.38033822,2.0698048,0.78722589,1.2825789
-18.580651,0.018411615,1.3319242,1,3,0,19.635822,0.45925095,2.2471488,1.0320052,1.2151436,-1.6040714,-1.8327321,-1.3112973,-1.4910049,-3.4827719,-2.0143004,-1.3915267,-1.4910049,-0.87667014,-1.8381709,4,4,5,8,3,4,4,8,7,4,4,3,2,4,6,6,4,7,7,2,-0.66380404,0.12292332,1.4744924,0.1812495,1.2932429
-18.572609,0.99995086,0.11201395,4,15,0,18.623594,0.52729357,1.8594847,0.98049434,0.87899038,-1.537832,-1.7611772,-1.3514915,-1.4302222,-3.5546119,-2.1367113,-1.4123997,-1.4302222,-0.99083395,-1.743904,5,4,2,6,5,4,7,7,4,4,5,3,5,8,7,4,3,6,6,4,-0.45422346,0.51073876,1.6407672,0.83800341,0.80276381
-18.572782,0.99849178,0.20609257,2,7,0,18.690907,0.44779408,1.750478,0.78385368,0.96662432,-1.6329548,-1.8434927,-1.3448458,-1.5253621,-3.3220808,-1.9788528,-1.4294377,-1.5253621,-0.86621044,-1.840123,4,5,3,4,5,6,6,7,8,4,7,7,2,6,7,4,6,8,5,4,-0.42669237,0.65411612,1.5148512,0.99088862,0.52396262
