# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-05-11 08:25:39 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpCZXZ45/standata-16d8c5a300f35.json
# init = 2 (Default)
# random
#   seed = 1694327834
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202605111025-1-68d30d.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202605111025-1-92a54c.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-21.482166,1,0.5,2,7,0,32.425566,0.82541641,1.1670441,0.96329735,0.20374675,-1.4191929,-1.5670302,-1.5618459,-1.416068,-3.9850849,-2.7181015,-1.6015482,-1.416068,-1.446789,-1.4616308,2,6,4,4,8,1,6,8,6,5,3,2,2,8,7,2,5,2,6,1,-1.1060622,0.62004227,0.94625353,0.58671718,0.35953635
-21.482166,0,14.38551,0,1,1,22.370152,0.82541641,1.1670441,0.96329735,0.20374675,-1.4191929,-1.5670302,-1.5618459,-1.416068,-3.9850849,-2.7181015,-1.6015482,-1.416068,-1.446789,-1.4616308,5,6,2,6,5,4,3,6,8,5,2,2,2,6,7,5,4,8,6,3,-1.1060622,0.24786468,6.5382361,1.6205978,4.9176383
-21.482166,6.1144032e-101,2.4311673,1,2,1,24.288401,0.82541641,1.1670441,0.96329735,0.20374675,-1.4191929,-1.5670302,-1.5618459,-1.416068,-3.9850849,-2.7181015,-1.6015482,-1.416068,-1.446789,-1.4616308,8,3,4,8,7,5,5,6,5,3,4,7,1,5,7,2,7,7,5,6,-1.1060622,0.17711412,1.3057499,0.23126675,1.0744832
-18.630815,0.99703478,0.23979141,3,15,0,22.077028,0.41452051,1.8096522,0.75013795,1.0595142,-1.6734869,-1.8801193,-1.336299,-1.5710867,-3.2610161,-1.9213339,-1.432622,-1.5710867,-0.81284776,-1.8849659,4,3,5,6,3,6,1,8,6,7,3,4,2,4,4,3,6,7,8,2,-0.46312851,0.27214674,1.0368434,0.28217354,0.75466983
-18.863663,0.98548727,0.32159626,2,3,0,18.870234,0.38539431,1.4963663,0.57669104,0.91967522,-1.7207754,-1.9083025,-1.3651541,-1.6277333,-3.1018239,-1.8697449,-1.4715574,-1.6277333,-0.77882678,-1.90913,2,5,3,7,8,3,4,6,7,4,5,4,2,8,4,2,2,8,8,3,-0.44565895,0.48827782,4.0994815,2.0016859,2.0977956
-18.684741,0.93216774,0.48145233,2,7,0,19.362702,0.50863445,2.5187846,1.2811406,1.237644,-1.5361414,-1.7777885,-1.3075303,-1.419968,-3.6790407,-2.1256504,-1.3712081,-1.419968,-0.95672631,-1.777122,4,6,2,8,3,4,3,7,8,3,6,3,3,7,7,3,2,6,8,6,-0.85078074,0.13361081,2.9404555,0.39287665,2.5475789
-18.684741,0.47423475,0.66490391,1,1,0,19.685581,0.50863445,2.5187846,1.2811406,1.237644,-1.5361414,-1.7777885,-1.3075303,-1.419968,-3.6790407,-2.1256504,-1.3712081,-1.419968,-0.95672631,-1.777122,4,5,1,6,8,4,6,7,8,3,1,8,2,6,8,5,6,8,6,4,-0.85078074,0.69761804,3.9356079,2.7455511,1.1900569
-19.249566,0.98202683,0.2306008,3,7,0,19.577504,0.64129065,2.5589124,1.6410066,0.9179058,-1.400654,-1.6413121,-1.3573065,-1.3141055,-4.0952854,-2.4476226,-1.3898269,-1.3141055,-1.1846563,-1.6101686,2,5,6,8,7,3,7,3,8,7,5,5,5,8,4,4,4,6,8,3,-0.96459009,0.39688462,2.4200759,0.96049091,1.459585
-19.258154,0.9636971,0.39400065,2,3,0,19.81263,0.6020666,3.0033345,1.8082074,1.1951271,-1.4224324,-1.6756671,-1.3222536,-1.3198911,-4.0681627,-2.369354,-1.3600508,-1.3198911,-1.11868,-1.6594158,4,4,2,7,8,3,5,5,7,5,2,3,4,7,4,4,8,7,7,4,-1.293221,0.48519603,2.1279304,1.0324634,1.095467
-20.443518,0.79101411,0.65044149,2,3,0,20.875092,0.21614959,1.2921039,0.27928771,1.0128161,-1.9698547,-2.0926778,-1.4037817,-1.9967288,-2.717446,-1.6523125,-1.5851149,-1.9967288,-0.5486564,-2.1138211,3,6,2,6,7,3,6,5,5,3,4,5,3,7,6,4,3,7,8,6,-0.84734555,0.50446515,2.8544612,1.4399762,1.414485
-20.443518,0.65552099,0.62982544,1,3,0,21.710958,0.21614959,1.2921039,0.27928771,1.0128161,-1.9698547,-2.0926778,-1.4037817,-1.9967288,-2.717446,-1.6523125,-1.5851149,-1.9967288,-0.5486564,-2.1138211,4,6,3,5,7,2,7,8,8,6,5,7,3,8,4,4,1,8,8,3,-0.84734555,0.3924968,3.0072899,1.1803517,1.8269383
-21.098386,0.80838429,0.40030023,3,7,0,22.75156,0.77407793,1.0039705,0.77715139,0.22681909,-1.4626326,-1.6161285,-1.5479509,-1.4406042,-3.7067358,-2.5471961,-1.5921796,-1.4406042,-1.3572759,-1.5158,2,2,2,6,8,3,5,6,7,6,3,2,2,5,8,5,8,6,7,3,-1.1315931,0.29484972,3.2588789,0.96087954,2.2979993
-21.211939,1,0.41501074,2,3,0,21.42075,0.79669948,1.0790354,0.85966696,0.21936847,-1.4415328,-1.5936464,-1.5517744,-1.4274997,-3.8310943,-2.6212223,-1.5936594,-1.4274997,-1.396218,-1.49149,2,6,4,7,7,3,7,6,7,4,6,6,1,4,7,4,6,6,7,1,-1.0920217,0.4446973,1.2703355,0.56491474,0.70542071
-21.211939,0.081058801,0.7879411,1,1,0,23.388266,0.79669948,1.0790354,0.85966696,0.21936847,-1.4415328,-1.5936464,-1.5517744,-1.4274997,-3.8310943,-2.6212223,-1.5936594,-1.4274997,-1.396218,-1.49149,3,4,2,6,5,4,2,8,8,4,3,4,2,3,8,3,7,4,7,2,-1.0920217,0.34459891,2.521539,0.8689196,1.6526195
-20.127168,0.99968029,0.084917586,4,31,0,22.205564,0.27903592,3.2140826,0.89684451,2.3172381,-1.8888243,-2.0825994,-1.2664965,-1.89752,-3.1699619,-1.6962235,-1.436274,-1.89752,-0.56515465,-2.1352991,5,6,2,4,6,3,7,4,6,1,5,3,5,7,7,2,3,8,7,2,-1.6552554,0.89171182,1.8329534,1.6344662,0.19848719
-18.525245,1,0.16246087,3,7,0,20.161806,0.48188628,1.9223667,0.92636212,0.99600453,-1.5857427,-1.8073998,-1.3364814,-1.4745189,-3.4571555,-2.0485279,-1.4098835,-1.4745189,-0.91728509,-1.801349,1,6,2,6,7,5,4,6,6,4,5,4,3,5,6,1,7,7,6,3,-0.47833135,0.70669888,6.9653851,4.9224299,2.0429552
-18.639198,0.99078741,0.3093155,2,3,0,18.65133,0.49491966,2.4394834,1.2073483,1.2321351,-1.5546501,-1.793041,-1.3079907,-1.4386026,-3.6229062,-2.0933299,-1.3760942,-1.4386026,-0.93407666,-1.7941616,3,5,2,7,4,7,6,5,8,2,4,2,5,5,8,5,5,6,8,6,-0.79113077,0.19521466,2.4627349,0.48076197,1.981973
-19.178398,0.88323136,0.56837397,2,3,0,19.526244,0.32530164,2.3569825,0.76673028,1.5902522,-1.8007531,-1.9983404,-1.2979689,-1.7452214,-3.1700187,-1.7742895,-1.4361051,-1.7452214,-0.65782017,-2.0316974,6,5,1,5,4,5,5,8,7,2,5,7,2,7,6,6,2,8,5,3,-0.86185234,0.78101916,1.9342361,1.5106754,0.42356065
-18.975985,0.93478521,0.74788991,2,3,0,19.512466,0.56784439,1.3394428,0.76059511,0.57884774,-1.5343485,-1.7349425,-1.4132172,-1.4419527,-3.4437412,-2.1807116,-1.4693246,-1.4419527,-1.0573368,-1.6932392,3,3,4,8,5,7,7,8,8,5,2,6,2,3,5,5,6,8,5,4,-0.45259413,0.30125154,2.8513329,0.85896841,1.9923644
-18.639661,1,1.145102,1,1,0,18.699163,0.40841782,1.9295437,0.78806004,1.1414837,-1.6788103,-1.8882931,-1.3263235,-1.5773919,-3.2785267,-1.9126355,-1.4251629,-1.5773919,-0.80033646,-1.8973459,4,7,4,8,4,6,5,8,7,6,5,4,1,8,7,5,3,5,5,3,-0.51430707,0.061548765,1.7062388,0.10501689,1.6012219
-18.639661,1.43143e-28,2.1161407,1,1,0,21.384383,0.40841782,1.9295437,0.78806004,1.1414837,-1.6788103,-1.8882931,-1.3263235,-1.5773919,-3.2785267,-1.9126355,-1.4251629,-1.5773919,-0.80033646,-1.8973459,4,4,3,5,4,6,6,6,8,5,3,8,2,7,6,4,3,6,7,4,-0.51430707,0.523297,1.5540726,0.81324152,0.74083107
-18.957416,0.96346882,0.20136744,2,7,0,20.260296,0.39715948,1.3519074,0.53692285,0.81498458,-1.7111487,-1.8942879,-1.3833327,-1.6154291,-3.0758334,-1.8870477,-1.4848755,-1.6154291,-0.80282404,-1.8873874,5,5,4,7,7,6,6,5,8,4,4,3,4,7,3,4,5,8,8,2,-0.47181753,0.24420231,3.591583,0.87707286,2.7145102
-19.466492,0.98710072,0.33608078,3,7,0,19.747688,0.65434748,2.77584,1.8163639,0.95947611,-1.3824487,-1.626061,-1.3566297,-1.299258,-4.1941394,-2.4970086,-1.385724,-1.299258,-1.2097618,-1.5943811,6,4,1,7,8,1,6,6,8,1,3,4,3,6,6,5,6,8,7,3,-1.1563372,0.7380198,1.5924208,1.1752381,0.41718273
-19.89,0.91984861,0.59588284,2,3,0,20.437351,0.25327415,2.3294381,0.58998645,1.7394516,-1.9278459,-2.0957464,-1.3070195,-1.9559789,-3.0006274,-1.6647137,-1.4857835,-1.9559789,-0.54444445,-2.1406494,1,3,1,8,7,4,1,8,6,2,3,7,1,7,5,5,3,8,7,5,-0.99149915,0.49165077,1.8671324,0.9179771,0.94915533
-18.817268,1,0.86220548,1,1,0,19.593198,0.40447604,2.5480402,1.0306212,1.517419,-1.6748999,-1.9002078,-1.289066,-1.5727322,-3.4000378,-1.9141872,-1.3905419,-1.5727322,-0.7827357,-1.9218429,7,6,1,7,6,1,8,8,8,1,3,5,5,6,5,4,3,8,8,6,-0.91013255,0.49828022,0.71574863,0.35664339,0.35910525
-18.817268,0.073709638,1.5590814,1,3,1,19.111626,0.40447604,2.5480402,1.0306212,1.517419,-1.6748999,-1.9002078,-1.289066,-1.5727322,-3.4000378,-1.9141872,-1.3905419,-1.5727322,-0.7827357,-1.9218429,5,3,2,7,5,5,3,8,7,6,3,2,3,7,6,2,6,7,8,2,-0.91013255,0.37377026,2.9200147,1.0914147,1.8286
-19.474214,0.97833806,0.20240421,3,7,0,19.929058,0.3864587,1.0766856,0.41609452,0.6605911,-1.7385573,-1.9032664,-1.4262032,-1.6464622,-2.9421533,-1.8719311,-1.5301662,-1.6464622,-0.80450812,-1.8850309,6,5,3,6,6,2,6,8,7,6,4,4,3,8,4,4,7,7,7,3,-0.71412253,0.098707342,1.2795548,0.12630146,1.1532534
-18.926322,0.87733913,0.34525799,2,3,0,21.109167,0.38366303,1.4291773,0.5483225,0.88085483,-1.7252039,-1.9092099,-1.3730008,-1.6328267,-3.0757257,-1.866824,-1.4797478,-1.6328267,-0.779277,-1.9078866,6,5,6,7,5,6,6,5,8,3,4,3,2,8,7,7,4,7,8,5,-0.45893972,0.33366262,1.9991469,0.66704058,1.3321063
-18.941685,0.98703705,0.44059217,3,7,0,19.42474,0.38322531,1.41473,0.54216034,0.87256967,-1.7262632,-1.9094742,-1.3747627,-1.6340453,-3.0698524,-1.8661228,-1.4816035,-1.6340453,-0.77931832,-1.9076775,6,2,4,5,8,4,6,8,8,2,2,6,5,6,8,2,2,8,8,3,-0.46307489,0.47931571,6.4020363,3.0685966,3.3334397
-19.248073,0.92391692,0.75812983,2,3,0,19.391268,0.40662518,3.2927358,1.3389093,1.9538265,-1.6656533,-1.9050509,-1.2609293,-1.5611913,-3.5162618,-1.9270173,-1.3623957,-1.5611913,-0.77823721,-1.9353811,4,5,3,8,6,7,3,4,7,4,4,4,5,8,4,7,4,6,8,6,-1.5446904,0.49100332,2.1136028,1.037786,1.0758168
-19.248073,0.055972492,1.0875772,1,3,0,20.734866,0.40662518,3.2927358,1.3389093,1.9538265,-1.6656533,-1.9050509,-1.2609293,-1.5611913,-3.5162618,-1.9270173,-1.3623957,-1.5611913,-0.77823721,-1.9353811,4,3,2,5,8,3,6,8,7,1,6,4,5,7,8,4,5,8,7,3,-1.5446904,0.70499583,2.4157942,1.7031249,0.71266937
-19.121623,0.99953158,0.14682998,4,15,0,19.668438,0.34761833,1.4056175,0.48861841,0.91699909,-1.7737351,-1.9475224,-1.3757134,-1.6950057,-2.9948128,-1.8136763,-1.49641,-1.6950057,-0.72755062,-1.9518551,4,5,3,8,5,2,4,6,5,4,4,5,4,7,7,6,5,7,6,8,-0.50703717,0.60298227,4.4151343,2.6622477,1.7528866
-18.892045,0.99965368,0.2601686,3,7,0,19.168306,0.390258,1.438887,0.56153717,0.87734985,-1.7163952,-1.9023635,-1.3720493,-1.6220743,-3.0927325,-1.876982,-1.4763973,-1.6220743,-0.7885875,-1.9001775,2,3,1,7,7,5,4,8,7,4,5,7,5,8,6,4,6,6,6,3,-0.45041542,0.78692952,3.3302001,2.6206328,0.70956733
-18.732628,0.98331802,0.45686217,2,3,0,19.279529,0.41076205,2.3996023,0.98566554,1.4139367,-1.6674952,-1.8908308,-1.2969672,-1.5635726,-3.3888146,-1.9239772,-1.3955988,-1.5635726,-0.79522917,-1.9088438,5,5,3,7,7,3,2,8,6,3,3,7,1,5,5,3,4,7,7,6,-0.79436274,0.32943383,3.0826065,1.0155148,2.0670916
-18.676226,1,0.76130645,2,3,0,18.857473,0.49785852,1.5044874,0.74902185,0.75546552,-1.5878805,-1.7939906,-1.3769636,-1.482614,-3.3539857,-2.0604728,-1.4473971,-1.482614,-0.94864739,-1.7729007,6,2,1,7,6,3,6,6,8,3,5,2,4,6,5,4,7,6,8,2,-0.39089925,0.46868645,2.1090107,0.98846474,1.120546
