# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-05-11 08:27:02 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpCZXZ45/standata-16d8c6a93b02f.json
# init = 2 (Default)
# random
#   seed = 832857295
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202605111027-2-23a790.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202605111027-2-960e29.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-28.56142,0.55325753,1,1,1,0,29.899521,0.24143643,0.24593046,0.059376572,0.18655389,-1.8982084,-1.7293035,-2.32055,-1.8982084,-1.6213692,-1.5785321,-1.3008949,-1.8037447,-1.8982084,-1.8982084,5,6,7,7,8,1,8,6,2,1,2,5,5,6,4,7,8,4,6,4,-7.5140082,0.79564634,1.6330371,1.29932,0.33371711
-28.56142,0,6.3850698,0,1,1,28.945942,0.24143643,0.24593046,0.059376572,0.18655389,-1.8982084,-1.7293035,-2.32055,-1.8982084,-1.6213692,-1.5785321,-1.3008949,-1.8037447,-1.8982084,-1.8982084,2,5,6,6,7,3,8,6,4,5,7,4,6,8,6,1,6,8,4,1,-7.5140082,0.38624485,1.976815,0.76353463,1.2132804
-20.346109,1,0.84822396,1,1,0,24.870733,0.31707968,4.722833,1.4975144,3.2253186,-1.8482426,-1.3976062,-3.0349743,-1.8482426,-1.9598131,-1.0843209,-1.2771468,-1.2286255,-1.8482426,-1.8482426,3,8,4,6,8,3,7,7,2,3,4,6,6,5,7,2,7,6,2,4,-2.9930812,0.7917738,1.0547364,0.83511263,0.21962374
-20.346109,0.00089951228,1.0473633,1,3,0,20.578621,0.31707968,4.722833,1.4975144,3.2253186,-1.8482426,-1.3976062,-3.0349743,-1.8482426,-1.9598131,-1.0843209,-1.2771468,-1.2286255,-1.8482426,-1.8482426,2,4,5,7,8,1,6,7,2,1,4,6,6,7,5,2,8,5,4,3,-2.9930812,0.19509308,1.1009158,0.21478106,0.88613474
-19.85158,0.99996051,0.090733979,4,15,0,21.675018,0.26908621,2.7532474,0.7408609,2.0123864,-1.9282876,-1.4642807,-3.0058135,-1.9282876,-2.0412083,-1.1052423,-1.3466422,-1.2845124,-1.9282876,-1.9282876,3,6,6,7,8,2,8,6,5,4,5,5,4,3,6,2,8,6,2,1,-1.2773278,0.31794418,2.7027806,0.85933336,1.8434472
-15.766723,1,0.1342296,3,15,0,20.14546,0.50717948,2.2574025,1.1449082,1.1124943,-1.4795377,-1.2594186,-2.4788413,-1.4795377,-1.3514447,-1.2702569,-0.93180233,-1.3204605,-1.4795377,-1.4795377,5,6,5,4,8,2,7,8,6,6,1,5,5,5,6,1,8,8,3,4,-0.66406198,0.32347875,2.5375155,0.82083235,1.7166832
-15.846445,0.91796806,0.22043878,3,7,0,18.808645,0.69858947,0.9894753,0.69123702,0.29823827,-1.3355313,-1.267054,-2.0897276,-1.3355313,-0.90094052,-1.4960032,-0.69794163,-1.5122076,-1.3355313,-1.3355313,2,7,6,4,8,3,7,8,4,4,1,7,8,5,5,7,7,8,3,3,-0.97189071,0.49842372,3.418983,1.7041022,1.7148808
-14.532194,0.99871857,0.29872972,2,3,0,16.13205,0.78950219,1.4361858,1.1338719,0.30231397,-1.2092671,-1.1712355,-2.0139996,-1.2092671,-0.67923003,-1.5476376,-0.52750754,-1.5128892,-1.2092671,-1.2092671,2,6,8,6,7,4,5,6,4,3,3,6,4,7,8,2,8,7,4,1,-0.80998446,0.49582598,9.9578397,4.9373556,5.0204841
-15.827282,0.74213818,0.53923941,1,3,0,16.105497,0.85213379,1.0330302,0.88027997,0.15275026,-1.2332222,-1.2170266,-1.9355333,-1.2332222,-0.58681735,-1.6204426,-0.48980881,-1.5948956,-1.2332222,-1.2332222,1,8,5,5,6,6,8,8,2,2,3,7,6,6,8,2,8,7,2,1,-1.4109062,0.83356867,2.0841057,1.7372452,0.34686049
-14.021371,1,0.44288771,2,3,0,15.570248,0.76294922,2.8973895,2.210561,0.68682845,-1.1446539,-1.0868208,-2.0989941,-1.1446539,-0.6968091,-1.4980177,-0.5029416,-1.4302689,-1.1446539,-1.1446539,4,6,7,5,7,3,8,5,1,5,4,5,7,6,5,4,8,6,2,4,-1.4826688,0.28012512,1.3961432,0.39109477,1.0050484
