# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-05-11 08:28:29 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpCZXZ45/standata-16d8c65ca857.json
# init = 2 (Default)
# random
#   seed = 667732668
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202605111028-2-078356.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202605111028-2-75106f.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-16.427166,1,0.5,3,7,0,17.773286,0.084840134,2.7340382,0.23195617,2.502082,-1.2791802,-1.2791802,-1.3239587,-1.4430196,-1.4430196,-1.3880323,-0.3333694,-1.423484,-1.4523253,-1.3208005,5,6,7,7,8,6,7,6,5,4,5,8,7,5,4,4,8,8,4,1,-2.1909329,0.55323042,2.1994068,1.2167787,0.98262803
-16.427166,0,14.38551,0,1,1,18.181222,0.084840134,2.7340382,0.23195617,2.502082,-1.2791802,-1.2791802,-1.3239587,-1.4430196,-1.4430196,-1.3880323,-0.3333694,-1.423484,-1.4523253,-1.3208005,2,7,7,7,7,1,7,8,8,4,6,5,7,6,5,8,7,7,4,3,-2.1909329,0.57197334,1.9742752,1.1292328,0.8450424
-16.427166,1.3209637e-54,2.4311673,1,1,0,17.198884,0.084840134,2.7340382,0.23195617,2.502082,-1.2791802,-1.2791802,-1.3239587,-1.4430196,-1.4430196,-1.3880323,-0.3333694,-1.423484,-1.4523253,-1.3208005,5,3,7,8,4,4,8,7,5,3,5,6,7,8,5,3,8,7,3,6,-2.1909329,0.39060208,2.3446819,0.91583764,1.4288443
-15.793427,0.9977108,0.23979141,3,7,0,16.578521,0.18443032,2.7700636,0.51088372,2.2591799,-1.2917663,-1.2917663,-1.3750576,-1.5342496,-1.5342496,-1.3664637,-0.56981961,-1.4727444,-1.5068516,-1.4155312,2,2,7,7,7,3,7,8,6,3,6,7,8,5,7,4,8,4,6,2,-1.5594452,0.78581355,0.89624531,0.70428172,0.1919636
-18.49599,0.87357236,0.32221801,3,7,0,19.058087,0.025224295,2.1948956,0.055364694,2.1395309,-1.3148446,-1.3148446,-1.3287176,-1.4300914,-1.4300914,-1.431408,-0.2216662,-1.4259779,-1.4494432,-1.2865888,6,5,7,7,8,5,8,7,3,2,5,5,8,6,5,4,8,6,6,2,-2.9429552,0.19101494,2.4476244,0.46753284,1.9800916
-16.720341,0.96320498,0.34555676,3,7,0,19.313326,0.28441899,1.4058371,0.39984676,1.0059903,-1.4263534,-1.4263534,-1.511621,-1.7034129,-1.7034129,-1.4583449,-0.84393291,-1.6025286,-1.6341029,-1.5437789,7,5,8,6,7,5,7,2,7,3,6,6,4,6,7,7,8,6,7,3,-0.61516469,0.35467149,2.6967223,0.95645051,1.7402718
-16.407973,0.76584367,0.5201286,2,3,0,18.708554,0.088053331,2.9277299,0.25779637,2.6699335,-1.2713669,-1.2713669,-1.3184471,-1.4391018,-1.4391018,-1.3798328,-0.33472466,-1.4181936,-1.4476513,-1.3197374,1,5,6,5,6,4,7,6,4,3,4,7,4,5,4,2,8,5,5,3,-2.3206898,0.33900889,4.5940055,1.5574087,3.0365968
-16.006774,0.9978064,0.44528947,2,3,0,16.42242,0.1233958,2.7762392,0.34257626,2.4336629,-1.2787688,-1.2787688,-1.3400496,-1.472943,-1.472943,-1.3770023,-0.42302147,-1.4396635,-1.4708959,-1.355468,4,2,6,6,8,2,6,8,8,6,6,5,6,5,5,3,8,4,4,4,-1.8942894,0.38163253,1.9287553,0.73607574,1.1926795
-16.006774,0.077677883,0.80458923,2,3,0,17.64636,0.1233958,2.7762392,0.34257626,2.4336629,-1.2787688,-1.2787688,-1.3400496,-1.472943,-1.472943,-1.3770023,-0.42302147,-1.4396635,-1.4708959,-1.355468,4,7,8,6,8,6,6,2,4,5,5,6,7,7,3,3,7,7,5,5,-1.8942894,0.24852904,1.7119933,0.42548006,1.2865133
-16.939844,0.9958772,0.081217279,4,31,0,18.558127,0.32934113,1.419358,0.46745298,0.95190505,-1.4504408,-1.4504408,-1.5446057,-1.7617948,-1.7617948,-1.4576352,-0.94449044,-1.6301419,-1.6620846,-1.5868524,5,3,8,5,4,5,6,6,7,1,4,4,6,4,6,3,8,6,5,5,-0.52961153,0.28498823,3.4416127,0.98081912,2.4607936
