# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-05-11 08:28:01 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpCZXZ45/standata-16d8c770407a7.json
# init = 2 (Default)
# random
#   seed = 786817841
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202605111028-2-837d89.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202605111028-2-747120.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-35.934158,0.046584329,1,1,1,0,37.049345,0.75328446,0.14655048,0.1103942,0.036156281,-2.0824286,-2.0824286,-1.9988207,-2.2228628,-2.2228628,-2.0463018,-1.5584698,-2.1214714,-2.1544725,-1.9832394,5,5,6,6,7,6,8,6,2,5,2,8,6,7,1,5,8,8,7,3,-11.857583,0.085092729,1.7375014,0.14784873,1.5896526
-35.934158,0,2.5414592,0,1,1,36.025866,0.75328446,0.14655048,0.1103942,0.036156281,-2.0824286,-2.0824286,-1.9988207,-2.2228628,-2.2228628,-2.0463018,-1.5584698,-2.1214714,-2.1544725,-1.9832394,7,5,7,5,5,2,6,6,4,2,4,8,7,8,7,7,7,7,5,1,-11.857583,0.47243787,2.3052813,1.0891022,1.2161791
-34.532126,1,0.25695591,1,1,0,36.405087,0.77317939,0.16957062,0.13110851,0.038462111,-2.0693354,-2.0693354,-1.9892352,-2.2367929,-2.2367929,-2.0144927,-1.5918872,-2.1077157,-2.1401722,-1.9822298,5,5,6,7,5,5,4,4,6,2,4,8,8,3,3,1,7,4,7,4,-10.578811,0.18878111,3.1770428,0.59976565,2.5772771
-19.788677,1,0.27148377,3,7,0,34.172493,0.58509358,1.7529111,1.0256171,0.72729409,-1.6745343,-1.6745343,-1.8591093,-2.3115526,-2.3115526,-1.4761267,-1.5731848,-1.8540444,-1.8714753,-1.88238,8,8,6,7,6,8,8,4,5,4,4,5,8,7,7,3,8,7,7,4,-0.44577456,0.056419196,2.589341,0.14608854,2.4432525
-19.342357,0.98870314,0.37050503,2,3,0,20.249004,0.55394535,2.3667178,1.3110323,1.0556855,-1.618884,-1.618884,-1.8201183,-2.2701775,-2.2701775,-1.4267672,-1.5181565,-1.8167889,-1.836844,-1.8588327,5,5,5,3,6,3,7,5,7,5,4,6,8,3,6,3,6,5,5,3,-0.7502271,0.25880801,2.5789288,0.66744743,1.9114814
-17.081515,1,0.56347519,2,3,0,18.773969,0.39228992,1.7743486,0.69605906,1.0782895,-1.4668287,-1.4668287,-1.58706,-1.8581529,-1.8581529,-1.4262953,-1.0896639,-1.6581258,-1.6905508,-1.6495388,7,5,7,6,6,5,5,6,6,3,5,7,5,4,7,1,8,4,4,7,-0.46993952,0.089654308,1.3417816,0.1202965,1.2214851
-16.211999,0.69671715,0.96188604,1,3,0,16.921283,0.13161031,3.597736,0.47349916,3.1242368,-1.2528503,-1.2528503,-1.3216713,-1.4606298,-1.4606298,-1.3490401,-0.42427537,-1.4217599,-1.4550025,-1.3517003,7,3,8,8,5,4,7,7,8,1,7,7,8,6,8,8,8,5,7,4,-2.5728693,0.56808635,2.5271119,1.4356178,1.0914941
-18.014613,0.52137701,0.67087025,2,3,0,18.789467,0.26389032,0.95012861,0.25072974,0.69939887,-1.487311,-1.487311,-1.5504353,-1.7186694,-1.7186694,-1.5357836,-0.82791415,-1.6452936,-1.6733767,-1.5506404,4,4,8,8,8,3,8,5,6,3,5,4,8,8,8,1,8,7,6,3,-1.129452,0.71088619,1.3916071,0.98927424,0.40233282
-17.648015,1,0.27228967,3,7,0,19.26876,0.33276675,4.9045982,1.6320872,3.272511,-1.32969,-1.32969,-1.4774238,-1.7456207,-1.7456207,-1.3077878,-0.93547558,-1.5532827,-1.5920748,-1.5781472,6,3,7,6,7,4,6,6,7,7,6,5,8,6,6,4,7,5,5,5,-3.1384454,0.40055287,2.3114216,0.92584655,1.385575
-17.358009,1,0.50321584,2,3,0,17.932963,0.21949267,1.0982288,0.24105316,0.8571756,-1.4429529,-1.4429529,-1.5054005,-1.6597633,-1.6597633,-1.5075349,-0.72392784,-1.6017436,-1.629849,-1.5029169,8,4,8,8,5,2,6,4,1,3,7,5,8,8,6,6,8,6,3,3,-1.0106552,0.33108253,1.127717,0.37336741,0.75434961
