# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-05-11 08:30:18 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpCZXZ45/standata-16d8c6c36fe22.json
# init = 2 (Default)
# random
#   seed = 26694278
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202605111030-1-764e5c.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202605111030-1-0d6d3c.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-13.566984,0.95219105,0.5,2,3,0,14.275974,0.65632827,2.3747524,1.5586172,0.81613528,-0.96887534,-1.5415941,-1.2963188,-1.4252448,-0.68686472,-1.5928111,-1.7705032,-1.1576812,-0.96887534,-0.68686472,4,5,3,3,8,5,3,8,8,7,6,3,3,3,5,4,6,8,4,8,-0.84708103,0.12846071,1.6090247,0.20669645,1.4023282
-13.566984,0,13.187852,0,1,1,16.391428,0.65632827,2.3747524,1.5586172,0.81613528,-0.96887534,-1.5415941,-1.2963188,-1.4252448,-0.68686472,-1.5928111,-1.7705032,-1.1576812,-0.96887534,-0.68686472,7,3,2,3,7,3,4,5,5,8,8,3,3,6,7,6,6,7,8,8,-0.84708103,0.34918147,2.8283123,0.98759426,1.8407181
-13.566984,5.4764965e-07,2.172079,1,3,1,15.156146,0.65632827,2.3747524,1.5586172,0.81613528,-0.96887534,-1.5415941,-1.2963188,-1.4252448,-0.68686472,-1.5928111,-1.7705032,-1.1576812,-0.96887534,-0.68686472,7,4,4,4,7,5,2,6,6,6,8,1,3,1,5,3,7,6,7,6,-0.84708103,0.39625206,1.5471796,0.6130731,0.9341065
-13.811253,0.99216434,0.21110902,1,3,0,13.919757,0.62442961,2.4343148,1.5200582,0.91425655,-1.0495672,-1.6021917,-1.2932303,-1.4072106,-0.73723984,-1.6302967,-1.7196958,-1.1732908,-1.0495672,-0.73723984,8,2,4,6,8,1,6,7,8,7,7,2,1,1,7,4,3,7,8,6,-0.85116197,0.84176432,3.0201601,2.542263,0.47789708
-14.236093,0.98548923,0.27665906,3,7,0,14.673783,0.57661202,1.8878455,1.0885544,0.79929109,-1.1669399,-1.6618899,-1.330779,-1.4239082,-0.82489397,-1.6854129,-1.6597399,-1.2298983,-1.1669399,-0.82489397,6,2,3,4,8,6,5,5,6,7,6,4,3,3,8,3,7,8,8,7,-0.48618118,0.51078227,1.7342782,0.88583856,0.84843965
-13.059777,0.99954236,0.41147781,2,7,0,14.466504,0.81513279,2.6918761,2.1942365,0.49763964,-0.57265764,-1.2630657,-1.3039931,-1.5340052,-0.4251838,-1.4171283,-2.0727222,-1.0775777,-0.57265764,-0.4251838,8,2,4,5,7,4,2,4,7,8,8,2,4,6,7,1,4,8,6,8,-1.4933184,0.48526643,0.97679789,0.47400722,0.50279066
-13.059777,0.36222519,0.6955097,1,1,0,14.122931,0.81513279,2.6918761,2.1942365,0.49763964,-0.57265764,-1.2630657,-1.3039931,-1.5340052,-0.4251838,-1.4171283,-2.0727222,-1.0775777,-0.57265764,-0.4251838,6,3,2,3,8,2,3,7,8,7,7,2,2,5,8,1,7,6,8,7,-1.4933184,0.51023834,1.1477219,0.5856117,0.56211016
-13.208417,0.99884656,0.17033899,3,13,0,13.344206,0.71933138,2.3626053,1.6994962,0.66310918,-0.81253575,-1.4275689,-1.3014526,-1.4641404,-0.58662657,-1.5221407,-1.8781024,-1.1271048,-0.81253575,-0.58662657,8,3,2,4,7,5,7,8,8,8,6,2,3,1,8,3,3,7,5,7,-0.94933355,0.41160211,2.4312241,1.000697,1.4305271
-13.01502,0.99789556,0.30594039,2,5,0,13.307504,0.7940265,2.1918501,1.740387,0.45146302,-0.63638305,-1.2920133,-1.3238059,-1.5313218,-0.47598726,-1.4471031,-2.0156465,-1.1082838,-0.63638305,-0.47598726,8,4,2,3,6,5,2,7,6,8,8,4,5,7,8,4,4,7,8,8,-1.0462047,0.34819159,3.3051603,1.150829,2.1543313
-14.026778,0.70408598,0.56197698,2,3,0,14.484088,0.65097595,3.4707202,2.2593554,1.2113649,-0.98048431,-1.5810578,-1.2537645,-1.3838915,-0.67862132,-1.5983995,-1.7606639,-1.1252874,-0.98048431,-0.67862132,7,2,2,3,8,3,6,3,6,6,8,1,3,7,7,3,4,8,6,7,-1.7679669,0.2300954,1.3480939,0.3101902,1.0379037
-13.680488,1,0.41329369,2,3,0,14.234142,0.67195887,1.6320698,1.0966838,0.53538603,-0.93750585,-1.4814706,-1.3510642,-1.482346,-0.68682467,-1.5815231,-1.7982889,-1.1960932,-0.93750585,-0.68682467,8,2,6,4,6,5,2,4,7,8,5,2,3,4,7,3,4,7,8,7,-0.51871562,0.28843587,0.86651779,0.24993481,0.61658298
-13.680488,0.16348623,0.78016934,1,3,0,16.171853,0.67195887,1.6320698,1.0966838,0.53538603,-0.93750585,-1.4814706,-1.3510642,-1.482346,-0.68682467,-1.5815231,-1.7982889,-1.1960932,-0.93750585,-0.68682467,5,1,2,5,8,2,4,6,7,6,8,4,2,2,7,2,3,7,7,8,-0.51871562,0.42428611,1.0889299,0.46201785,0.6269121
-13.106553,0.99677413,0.10592062,3,11,0,14.605827,0.74535461,2.3410064,1.7448799,0.59612647,-0.74936248,-1.380662,-1.306175,-1.4842205,-0.54622333,-1.4944509,-1.9254639,-1.1172492,-0.74936248,-0.54622333,7,2,4,2,7,5,2,5,5,5,6,2,2,4,8,4,3,7,6,8,-0.99596207,0.16676683,1.9346098,0.32262876,1.6119811
-13.361443,0.98962301,0.20028308,3,7,0,13.509059,0.74202778,3.1852286,2.3635281,0.82170051,-0.74582665,-1.4034719,-1.270464,-1.4536471,-0.53101322,-1.4904866,-1.9300041,-1.0859625,-0.74582665,-0.53101322,6,2,2,7,8,5,5,7,7,7,7,1,5,3,8,2,5,8,8,7,-1.6789792,0.81448018,1.475243,1.2015562,0.27368683
-13.217378,0.99927125,0.36961303,3,7,0,13.456617,0.87174401,2.5401025,2.2143191,0.32578337,-0.44187326,-1.1617551,-1.3274189,-1.5999306,-0.34198831,-1.3648066,-2.1931946,-1.0722474,-0.44187326,-0.34198831,7,2,1,4,7,3,6,3,8,7,7,2,2,6,8,2,5,8,8,8,-1.6715196,0.51300673,1.7353334,0.89023772,0.84509571
-13.217378,0.15426735,0.69971358,1,1,0,14.900218,0.87174401,2.5401025,2.2143191,0.32578337,-0.44187326,-1.1617551,-1.3274189,-1.5999306,-0.34198831,-1.3648066,-2.1931946,-1.0722474,-0.44187326,-0.34198831,8,3,2,3,7,3,1,6,7,8,8,4,2,2,8,3,4,8,8,8,-1.6715196,0.40553133,2.5482452,1.0333933,1.514852
-13.122818,0.99860138,0.097731688,3,11,0,13.638332,0.84829582,2.0496385,1.7386998,0.31093872,-0.51522175,-1.1967906,-1.3464186,-1.589781,-0.40011023,-1.399034,-2.1205794,-1.1036195,-0.51522175,-0.40011023,6,3,3,1,6,2,5,6,6,8,8,2,3,5,8,3,3,6,8,7,-1.2032461,0.57636703,0.64359337,0.370946,0.27264737
-13.223421,0.99941487,0.18549632,3,7,0,13.283685,0.87322362,2.5126449,2.1941009,0.31854402,-0.43932288,-1.1589584,-1.3291439,-1.6023537,-0.34078086,-1.3640333,-2.1954381,-1.0733255,-0.43932288,-0.34078086,6,2,4,4,8,2,6,6,7,8,6,2,3,4,8,2,4,7,8,6,-1.6604022,0.48892336,2.4832017,1.2140953,1.2691064
-13.663878,0.94746229,0.35012408,2,7,0,14.179424,0.71282252,1.4652961,1.044496,0.42080004,-0.84794444,-1.4049017,-1.371925,-1.5204239,-0.63576546,-1.5445263,-1.8605363,-1.194204,-0.84794444,-0.63576546,5,2,5,6,8,2,5,7,5,7,8,3,4,5,8,1,6,8,8,8,-0.59582067,0.36047916,2.092415,0.75427201,1.338143
-13.351692,1,0.56030474,2,3,0,13.635389,0.76297836,3.3073257,2.523418,0.78390777,-0.69143065,-1.3663462,-1.2704191,-1.4687186,-0.49442332,-1.4661374,-1.9742365,-1.0738322,-0.69143065,-0.49442332,7,6,3,3,8,4,3,6,3,8,7,5,1,6,8,4,6,5,8,8,-1.8463046,0.30602563,1.7385685,0.53204653,1.206522
-13.351692,0.0063356218,1.0415416,1,3,0,15.73301,0.76297836,3.3073257,2.523418,0.78390777,-0.69143065,-1.3663462,-1.2704191,-1.4687186,-0.49442332,-1.4661374,-1.9742365,-1.0738322,-0.69143065,-0.49442332,4,1,2,2,2,6,4,7,7,7,8,4,3,3,6,6,4,7,7,6,-1.8463046,0.42929165,1.2697541,0.54509484,0.72465929
-13.64089,0.99682502,0.10158506,3,7,0,13.845843,0.80289567,3.9516351,3.1727507,0.77888437,-0.58302936,-1.298671,-1.2633271,-1.4960842,-0.4180284,-1.4175828,-2.0706385,-1.0438604,-0.58302936,-0.4180284,8,3,6,3,6,5,4,7,8,8,7,3,3,5,6,2,2,7,8,8,-2.5791876,0.80943848,2.0556886,1.6639535,0.39173514
-14.646329,0.96862331,0.1880456,3,11,0,17.171006,0.53673682,1.7975299,0.96480046,0.83272941,-1.2647124,-1.7265965,-1.3430463,-1.4225441,-0.88956576,-1.7317359,-1.6124702,-1.261149,-1.2647124,-0.88956576,8,3,3,4,6,3,3,6,6,8,5,2,2,4,7,3,3,6,7,7,-0.43493686,0.40926438,3.8808603,1.5882979,2.2925624
-14.786883,0.99392851,0.31754271,1,1,0,14.822595,0.52224543,1.8166774,0.94875145,0.86792592,-1.3015054,-1.7539468,-1.3439,-1.4188427,-0.91215524,-1.7494,-1.5946005,-1.2698037,-1.3015054,-0.91215524,6,2,5,4,8,7,1,7,5,4,8,2,4,3,5,5,3,6,8,5,-0.43780187,0.21237028,2.0043492,0.42566419,1.578685
-14.458611,0.9640829,0.57187188,3,7,0,16.18495,0.94567414,3.0893678,2.9215352,0.16783256,-0.25026804,-1.0347272,-1.3365876,-1.6888837,-0.20778002,-1.286414,-2.4003957,-1.0461153,-0.25026804,-0.20778002,8,6,3,3,8,4,7,5,6,3,8,2,2,2,7,3,6,7,7,8,-2.9087461,0.22081728,2.091015,0.46173226,1.6292828
-14.458611,0.028361034,0.93650931,1,1,0,16.664549,0.94567414,3.0893678,2.9215352,0.16783256,-0.25026804,-1.0347272,-1.3365876,-1.6888837,-0.20778002,-1.286414,-2.4003957,-1.0461153,-0.25026804,-0.20778002,8,2,3,7,8,2,6,7,8,7,8,2,4,6,8,3,6,6,8,8,-2.9087461,0.71474419,1.9851854,1.4188997,0.56628565
-14.823555,0.99768493,0.10738878,2,7,0,14.982529,0.95181377,3.4741298,3.3067246,0.16740523,-0.22513759,-1.0242,-1.3292293,-1.6950793,-0.18702224,-1.2743283,-2.4335855,-1.034803,-0.22513759,-0.18702224,8,1,1,3,8,1,3,4,7,6,7,1,5,7,8,2,6,8,8,8,-3.3712864,0.57424665,3.1465905,1.806919,1.3396714
-16.223817,0.99086909,0.19445557,3,7,0,16.908792,0.97254832,4.2401056,4.1237076,0.11639803,-0.15899227,-0.98718352,-1.3244662,-1.7251093,-0.13698402,-1.2456533,-2.520424,-1.0193417,-0.15899227,-0.13698402,6,4,2,2,8,3,4,5,7,3,8,4,6,5,8,2,7,7,8,8,-4.6311106,0.19634049,2.9961836,0.58827216,2.4079114
-15.320142,1,0.34208621,3,7,0,16.563386,0.95296076,1.3181241,1.2561205,0.062003554,-0.34514944,-1.0261151,-1.4459749,-1.7405091,-0.31322967,-1.3538397,-2.2814569,-1.1638734,-0.34514944,-0.31322967,8,5,1,6,8,3,5,4,7,8,8,2,6,7,8,3,7,6,7,8,-2.1628701,0.46376038,1.3705817,0.63562149,0.73496022
-13.625264,0.93606866,0.61138128,1,3,0,16.686994,0.84152937,1.4215115,1.1962437,0.22526784,-0.56757392,-1.1976737,-1.3993869,-1.6194222,-0.45513953,-1.4312675,-2.0748689,-1.1606017,-0.56757392,-0.45513953,8,5,7,6,8,2,4,7,8,6,8,3,3,5,8,3,6,8,8,7,-1.033617,0.75930189,2.2560662,1.7130353,0.54303087
-13.047708,0.6174229,0.9083641,2,3,0,13.19521,0.77959121,2.5568872,1.9933268,0.56356041,-0.66183938,-1.3243174,-1.3015738,-1.504354,-0.48546307,-1.4555947,-1.9956862,-1.0943494,-0.66183938,-0.48546307,6,3,2,7,6,3,3,6,7,7,7,1,3,4,7,2,5,7,8,7,-1.2547608,0.70504079,1.2584028,0.88722534,0.37117751
