# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-05-20 08:30:34 UTC
# method = sample (Default)
#   sample
#     num_samples = 1100
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpEolbn8/standata-14bad6839bde5.json
# init = 2 (Default)
# random
#   seed = 879851738
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202605201030-1-2130b3.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202605201030-1-328715.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-17.789054,0.27534569,1,2,3,0,18.178015,0.37117149,3.8723568,1.4373085,2.4350483,-1.3805206,-1.3805206,-1.130746,-1.2436746,-1.8427162,-1.343123,-1.8252849,-1.6369109,-1.343123,-2.4453348,5,2,6,4,5,6,8,6,4,7,4,7,6,6,6,3,7,8,6,8,-2.1159746,0.078585205,0.86661979,0.068103494,0.7985163
-17.789054,0,3.8522915,0,1,1,19.344123,0.37117149,3.8723568,1.4373085,2.4350483,-1.3805206,-1.3805206,-1.130746,-1.2436746,-1.8427162,-1.343123,-1.8252849,-1.6369109,-1.343123,-2.4453348,5,7,7,7,5,5,8,8,1,7,6,5,5,5,5,5,5,8,3,7,-2.1159746,0.67192808,2.2181548,1.4904405,0.72771431
-18.136813,0.92752213,0.44058361,1,1,0,18.219531,0.37976555,4.3564691,1.6544369,2.7020322,-1.3772815,-1.3772815,-1.1284454,-1.2339394,-1.8608605,-1.3354604,-1.8464126,-1.6160228,-1.3354604,-2.4877281,5,7,7,5,4,8,7,6,4,8,6,7,5,7,5,5,8,8,2,6,-2.563723,0.45379297,1.1218686,0.50909609,0.61277252
-17.268038,0.99958734,0.41172267,3,7,0,18.163782,0.23525043,2.0247609,0.47632587,1.5484351,-1.4026515,-1.4026515,-1.1281615,-1.3287089,-1.6503053,-1.4001715,-1.6162434,-2.0005999,-1.4001715,-2.0734157,8,6,7,6,3,7,6,7,7,7,8,4,5,3,2,6,6,8,5,7,-0.85509786,0.19465098,2.9555581,0.57530229,2.3802558
-18.13517,0.89503452,0.57836912,1,3,0,18.302411,0.14284879,1.9351171,0.27642913,1.6586879,-1.4096201,-1.4096201,-1.1099738,-1.356747,-1.5574426,-1.4095368,-1.5248854,-2.3807155,-1.4095368,-1.9306659,4,7,7,6,4,6,3,8,6,8,4,8,6,5,3,4,8,8,5,6,-1.1964845,0.21682366,1.4681157,0.31832222,1.1497935
-18.13517,0.26988768,0.67828971,1,3,0,20.87475,0.14284879,1.9351171,0.27642913,1.6586879,-1.4096201,-1.4096201,-1.1099738,-1.356747,-1.5574426,-1.4095368,-1.5248854,-2.3807155,-1.4095368,-1.9306659,4,7,8,5,2,7,5,8,6,7,5,5,6,4,5,5,5,7,3,7,-1.1964845,0.4697029,2.5700507,1.2071603,1.3628904
-17.112257,0.99859819,0.12444294,3,15,0,18.818608,0.26423103,2.242356,0.59250003,1.649856,-1.3936295,-1.3936295,-1.1262628,-1.3103214,-1.6806818,-1.3874023,-1.647295,-1.9159859,-1.3874023,-2.1339075,5,6,7,7,1,4,8,7,3,8,6,4,8,6,1,5,6,7,5,7,-0.90549506,0.49415801,1.4428524,0.71299707,0.72985532
-17.170614,0.99683634,0.21470306,3,7,0,17.239113,0.2581788,2.0439374,0.52770131,1.5162361,-1.4049533,-1.4049533,-1.1354246,-1.3237147,-1.6778118,-1.3997706,-1.6445317,-1.9261468,-1.3997706,-2.1130602,5,7,8,8,3,3,4,6,7,7,3,4,7,6,4,6,7,8,5,7,-0.80260434,0.19628127,1.8169861,0.35664035,1.4603458
-17.315079,0.82876216,0.38404997,3,7,0,18.742715,0.32872894,1.6770897,0.55130791,1.1257818,-1.4539151,-1.4539151,-1.1926332,-1.3466627,-1.7808291,-1.4361851,-1.7537557,-1.7313733,-1.4361851,-2.2113713,6,4,7,5,6,5,5,8,6,7,6,6,7,4,5,4,6,7,6,4,-0.52420928,0.23842509,4.6623036,1.1116101,3.5506934
-17.397572,0.88259959,0.41398819,1,3,0,18.453153,0.2814902,3.4272978,0.96475074,2.4625471,-1.3502054,-1.3502054,-1.0899762,-1.2597966,-1.6897928,-1.3400331,-1.6563328,-1.893827,-1.3400331,-2.2166366,6,4,8,7,5,4,7,7,8,7,5,7,6,6,6,5,6,7,4,7,-1.8442713,0.31406521,4.1566388,1.3054556,2.8511831
