# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-05-20 08:30:48 UTC
# method = sample (Default)
#   sample
#     num_samples = 1100
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpEolbn8/standata-14bad4bb6be57.json
# init = 2 (Default)
# random
#   seed = 665692830
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202605201030-1-31f208.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202605201030-1-803077.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-25.184738,0,2,0,1,1,26.145477,0.58768632,0.39992081,0.23502799,0.16489282,-1.8482075,-1.8482075,-1.567205,-1.6755241,-2.1265106,-1.7906784,-2.1144159,-1.679829,-1.7906784,-2.2925288,3,5,7,8,3,6,2,7,5,6,5,7,3,8,3,2,1,6,8,8,-4.1169315,0.23786144,0.90539625,0.21535885,0.69003739
-25.184738,0,2.3350648,0,1,1,27.081908,0.58768632,0.39992081,0.23502799,0.16489282,-1.8482075,-1.8482075,-1.567205,-1.6755241,-2.1265106,-1.7906784,-2.1144159,-1.679829,-1.7906784,-2.2925288,1,6,5,3,5,6,3,6,5,6,5,3,5,7,5,2,6,2,6,6,-4.1169315,0.15217216,1.5493571,0.23576902,1.3135881
-19.535245,1,0.23023585,2,3,0,25.418722,0.57928362,1.2134901,0.70295494,0.51053516,-1.6735155,-1.6735155,-1.3861313,-1.433321,-2.1895476,-1.553689,-2.226583,-1.4507043,-1.553689,-2.6377045,5,5,6,5,6,6,8,7,2,8,6,6,8,6,3,3,6,8,7,4,-0.53858534,0.4895941,1.5519601,0.7598305,0.79212959
-17.866681,1,0.23979141,2,3,0,19.564199,0.47629526,1.8963323,0.9032141,0.99311823,-1.5271789,-1.5271789,-1.2642748,-1.3373941,-2.02615,-1.4508694,-2.0345029,-1.4824151,-1.4508694,-2.5490605,6,8,7,8,1,2,8,6,4,8,5,3,7,4,4,6,3,7,3,7,-0.46816401,0.92118553,1.4586417,1.3436796,0.11496207
-17.482548,0.99500977,0.32433241,2,7,0,18.085142,0.35863448,1.561333,0.55994787,1.0013852,-1.4771157,-1.4771157,-1.2173009,-1.3576112,-1.8253408,-1.4521399,-1.802006,-1.6724042,-1.4521399,-2.2535086,6,3,7,3,4,6,6,8,6,8,3,4,6,8,5,5,5,7,3,8,-0.47179783,0.23354276,3.4748232,0.81151979,2.6633034
-17.073543,0.95726864,0.49971524,2,3,0,17.745241,0.30659144,2.1196313,0.64986082,1.4697705,-1.4127714,-1.4127714,-1.1517937,-1.3132721,-1.7412051,-1.398839,-1.7114393,-1.7897654,-1.398839,-2.2053142,5,3,8,6,4,4,5,8,5,6,4,4,6,4,1,5,5,7,7,7,-0.74039922,0.14636912,1.4125355,0.20675159,1.205784
-17.073543,0.3208445,0.74600604,1,1,0,17.854087,0.30659144,2.1196313,0.64986082,1.4697705,-1.4127714,-1.4127714,-1.1517937,-1.3132721,-1.7412051,-1.398839,-1.7114393,-1.7897654,-1.398839,-2.2053142,6,4,7,7,3,8,8,8,6,5,7,7,6,4,3,7,2,8,4,7,-0.74039922,0.18597826,1.268921,0.23599171,1.0329293
-17.241037,0.98624959,0.16081237,4,15,0,18.166168,0.38488705,2.4813527,0.95504052,1.5263122,-1.4304906,-1.4304906,-1.1770044,-1.2911682,-1.8639741,-1.3917657,-1.8476529,-1.6111582,-1.3917657,-2.3970095,3,6,6,6,5,5,7,7,5,7,6,7,8,3,4,3,5,6,6,5,-0.87660607,0.45048111,4.4574628,2.0080028,2.44946
-17.948977,0.94455797,0.27746477,3,7,0,18.555139,0.2019808,1.4621213,0.29532043,1.1668008,-1.451577,-1.451577,-1.1659635,-1.3849195,-1.6416887,-1.4515018,-1.6096226,-2.0616478,-1.4515018,-1.9982729,4,7,6,7,6,3,8,7,5,6,3,6,8,3,5,4,6,8,5,7,-0.83538767,0.34965162,3.1716673,1.1089786,2.0626887
-19.22739,0.87324862,0.4304614,3,7,0,20.453285,0.15087098,4.8942505,0.73840039,4.1558501,-1.3089377,-1.3089377,-1.0146849,-1.2610824,-1.5015141,-1.3093206,-1.4628168,-2.6195405,-1.3093206,-1.9857119,6,6,6,8,4,6,6,5,3,7,8,6,6,3,3,8,7,8,5,6,-3.6787095,0.76707585,3.6889864,2.8297324,0.85925401
-19.928401,0.81339434,0.54029994,1,1,0,20.348742,0.14453278,5.7558004,0.83190182,4.9238986,-1.2987101,-1.2987101,-1.0023977,-1.2529531,-1.4874588,-1.2988288,-1.4482813,-2.7117798,-1.2988288,-1.9809524,4,5,4,7,4,3,7,6,2,8,6,5,6,3,3,7,5,8,5,8,-4.5093521,0.40026945,1.0677886,0.42740317,0.64038546
-19.290691,0.99123853,0.56551879,2,3,0,20.669249,0.085684753,2.6565361,0.22762464,2.4289115,-1.3808826,-1.3808826,-1.0627743,-1.3381027,-1.4776402,-1.3755787,-1.4464141,-2.9041162,-1.3755787,-1.8601972,2,7,6,5,3,5,8,8,4,6,5,4,8,8,3,6,4,8,6,6,-2.1188862,0.45777945,2.4698028,1.130625,1.3391778
-19.290691,0.0080869017,1.0417264,1,3,0,22.267776,0.085684753,2.6565361,0.22762464,2.4289115,-1.3808826,-1.3808826,-1.0627743,-1.3381027,-1.4776402,-1.3755787,-1.4464141,-2.9041162,-1.3755787,-1.8601972,5,5,7,8,4,7,6,8,6,6,4,6,7,5,3,3,6,8,3,6,-2.1188862,0.4150749,2.4969973,1.0364409,1.4605564
-19.849114,0.99690845,0.087862905,2,7,0,20.376081,0.072541451,3.0178538,0.2189195,2.7989344,-1.3714014,-1.3714014,-1.0483,-1.3307631,-1.4558058,-1.3639832,-1.4248899,-3.1041625,-1.3639832,-1.8440849,7,6,7,4,4,6,6,6,4,5,5,5,8,6,4,4,6,8,3,5,-2.57598,0.25932357,3.0282676,0.78530115,2.2429664
-21.178304,0.99409479,0.1666245,2,7,0,23.539455,0.037037403,2.0022684,0.074158821,1.9281096,-1.4340413,-1.4340413,-1.0992147,-1.3904928,-1.4727072,-1.4211569,-1.4477335,-3.1597051,-1.4211569,-1.7968843,6,6,8,6,4,4,5,7,6,6,5,4,8,6,4,4,7,8,7,8,-2.4618829,0.26256087,4.1191772,1.0815347,3.0376424
-21.603602,0.96661412,0.31198103,2,3,0,22.157818,0.034496065,2.8844915,0.099503605,2.7849878,-1.3919443,-1.3919443,-1.0547182,-1.352123,-1.4316504,-1.3773801,-1.4047244,-3.5231416,-1.3773801,-1.7923265,5,8,5,7,3,8,7,7,4,6,3,5,7,6,5,6,3,6,4,5,-3.1636026,0.37711745,2.7475512,1.0361495,1.7114017
