# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-05-20 08:30:39 UTC
# method = sample (Default)
#   sample
#     num_samples = 1100
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpEolbn8/standata-14bad4e23256a.json
# init = 2 (Default)
# random
#   seed = 1685414154
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202605201030-1-356da5.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202605201030-1-5f43bf.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-21.187927,0.074303901,1,1,3,0,23.079234,0.19735342,8.5427843,1.6859477,6.8568366,-1.2735062,-1.2735062,-0.99632131,-1.2154193,-1.5436636,-1.2736521,-1.502382,-2.3960293,-1.2736521,-2.1043049,5,7,7,7,5,3,5,6,5,6,4,7,6,5,4,7,8,6,5,5,-6.6379772,0.20838657,1.1514737,0.23995165,0.91152204
-21.187927,0,2.6728295,0,1,1,21.216025,0.19735342,8.5427843,1.6859477,6.8568366,-1.2735062,-1.2735062,-0.99632131,-1.2154193,-1.5436636,-1.2736521,-1.502382,-2.3960293,-1.2736521,-2.1043049,8,6,4,8,6,2,7,5,2,8,3,2,7,5,5,6,6,8,4,5,-6.6379772,0.59573562,2.0768211,1.2372363,0.83958478
-22.086185,0.99019234,0.27430488,3,7,0,22.177869,0.53734671,0.59873158,0.32172645,0.27700513,-1.7432744,-1.7432744,-1.4667714,-1.5700101,-2.0737096,-1.6821096,-2.0673037,-1.6047644,-1.6821096,-2.3257463,4,4,8,7,4,4,8,4,7,8,2,6,5,7,4,3,8,6,5,8,-2.2222808,0.50416465,1.1379479,0.5737131,0.5642348
-20.066355,1,0.28475584,3,7,0,22.137871,0.26829051,7.4467232,1.9978852,5.448838,-1.2911218,-1.2911218,-1.0328984,-1.2057969,-1.6552123,-1.2824333,-1.6187353,-2.0002196,-1.2824333,-2.2597492,4,8,8,5,5,4,5,8,5,8,4,5,8,5,2,6,7,8,3,5,-5.5263504,0.069002065,1.63249,0.11264518,1.5198448
-19.545189,1,0.3899599,1,1,0,20.291285,0.24288139,6.567581,1.5951432,4.9724378,-1.291877,-1.291877,-1.0271107,-1.2172239,-1.6161796,-1.2876233,-1.5776148,-2.1090332,-1.2876233,-2.1907254,6,6,8,7,3,3,5,6,3,7,3,6,7,7,3,5,4,8,4,6,-4.8370292,0.30730056,2.4228459,0.74454189,1.678304
-18.880878,1,0.61474469,2,3,0,19.512888,0.37984479,0.98356233,0.37360103,0.6099613,-1.5662595,-1.5662595,-1.3006439,-1.4446144,-1.8700998,-1.5411719,-1.8479012,-1.6621238,-1.5411719,-2.207635,8,5,6,8,4,4,8,7,6,7,8,3,6,6,2,8,8,6,4,8,-0.87064473,0.80577958,0.92116667,0.7422573,0.17890938
-18.880878,0.00080361877,1.0518746,1,1,0,19.358305,0.37984479,0.98356233,0.37360103,0.6099613,-1.5662595,-1.5662595,-1.3006439,-1.4446144,-1.8700998,-1.5411719,-1.8479012,-1.6621238,-1.5411719,-2.207635,6,7,7,7,3,7,8,7,2,8,5,6,7,4,4,1,8,8,2,8,-0.87064473,0.87424465,1.2994832,1.1360662,0.16341696
-18.513993,0.99999986,0.084213743,3,7,0,18.965784,0.36336493,1.0730448,0.38990684,0.68313795,-1.5430682,-1.5430682,-1.277971,-1.4265973,-1.8455838,-1.5209988,-1.8219009,-1.6793107,-1.5209988,-2.1972723,6,8,7,7,1,7,7,7,4,7,7,7,4,7,5,1,5,7,6,7,-0.74381691,0.78991408,2.6609397,2.1019138,0.55902597
-17.821432,0.99906358,0.15077401,3,9,0,18.847969,0.23855229,3.9664071,0.94619549,3.0202116,-1.3270482,-1.3270482,-1.058635,-1.2534342,-1.6223324,-1.3236739,-1.5851057,-2.0757768,-1.3236739,-2.1416053,6,7,7,6,4,8,8,3,5,6,4,7,8,6,3,4,7,7,4,5,-2.4552582,0.74189332,2.975642,2.2076089,0.76803308
-17.500707,0.97209665,0.27702818,2,7,0,18.708226,0.27549542,1.5387764,0.42392584,1.1148505,-1.4518369,-1.4518369,-1.1820838,-1.364869,-1.716818,-1.4448512,-1.6857322,-1.8530841,-1.4448512,-2.1103538,4,3,7,7,5,6,5,8,4,7,6,4,8,3,4,6,4,8,5,7,-0.61392625,0.17828253,5.7207444,1.0199088,4.7008356
