# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-05-20 08:30:53 UTC
# method = sample (Default)
#   sample
#     num_samples = 1100
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpEolbn8/standata-14bad44a6cc6b.json
# init = 2 (Default)
# random
#   seed = 1744042000
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202605201030-2-3f45d1.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202605201030-2-18059d.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-17.594002,1,0.5,1,1,0,18.086231,0.39728699,1.5722695,0.62464223,0.94762732,-1.4955292,-1.4955292,-1.2369879,-1.3573747,-1.8831722,-1.4581662,-1.8664085,-1.6061306,-1.4581662,-2.3278812,5,3,6,7,1,6,8,6,5,5,3,6,6,7,4,8,5,7,3,7,-0.43176527,0.43190095,2.5966037,1.1214756,1.4751281
-17.594002,0,14.38551,0,1,1,17.940108,0.39728699,1.5722695,0.62464223,0.94762732,-1.4955292,-1.4955292,-1.2369879,-1.3573747,-1.8831722,-1.4581662,-1.8664085,-1.6061306,-1.4581662,-2.3278812,8,5,7,7,5,5,7,8,5,8,6,7,8,7,6,4,6,7,6,6,-0.43176527,0.33260192,3.7523628,1.2480431,2.5043197
-17.594002,0,2.4311673,1,1,0,18.496692,0.39728699,1.5722695,0.62464223,0.94762732,-1.4955292,-1.4955292,-1.2369879,-1.3573747,-1.8831722,-1.4581662,-1.8664085,-1.6061306,-1.4581662,-2.3278812,4,7,4,7,1,3,7,3,6,8,5,7,6,6,4,4,6,6,2,5,-0.43176527,0.63449879,1.4264135,0.90505763,0.52135584
-17.260249,0.99069046,0.23979141,1,3,0,17.834116,0.37933676,1.9496351,0.73956828,1.2100668,-1.45599,-1.45599,-1.1998415,-1.3233285,-1.8539002,-1.4220471,-1.8349553,-1.6279956,-1.4220471,-2.336226,6,6,7,8,3,3,6,7,4,7,5,2,8,6,2,2,8,6,6,6,-0.54927268,0.43939343,1.7714552,0.77836576,0.9930894
-17.511395,0.98380761,0.31581931,2,3,0,17.557475,0.38922112,1.6212849,0.63103832,0.99024659,-1.4866389,-1.4866389,-1.2284318,-1.3519903,-1.8704693,-1.4516361,-1.8523606,-1.6175943,-1.4516361,-2.3185708,3,4,6,6,4,6,6,8,6,5,4,2,7,5,4,5,7,3,3,7,-0.44201852,0.15710832,1.7420086,0.27368404,1.4683246
-17.180958,0.95806643,0.47007127,2,5,0,17.799745,0.25686737,2.0254906,0.52028245,1.5052082,-1.4059773,-1.4059773,-1.1360899,-1.3251724,-1.6766845,-1.4009878,-1.6433875,-1.9293522,-1.4009878,-2.109836,6,3,7,8,4,1,7,4,4,8,2,6,6,7,4,4,3,7,6,8,-0.79624076,0.81054014,1.9597533,1.5884587,0.37129457
-17.322375,0.95952362,0.70230826,2,3,0,17.489496,0.40377323,2.3907934,0.96533837,1.425455,-1.4465488,-1.4465488,-1.1924585,-1.2968884,-1.8974207,-1.4006529,-1.8856536,-1.5762349,-1.4006529,-2.4335029,6,3,7,7,2,5,8,6,5,8,4,6,7,7,5,4,3,7,6,8,-0.79340211,0.54941582,3.7888705,2.0816654,1.7072051
-17.322375,0.12346619,1.1041813,1,1,0,17.48696,0.40377323,2.3907934,0.96533837,1.425455,-1.4465488,-1.4465488,-1.1924585,-1.2968884,-1.8974207,-1.4006529,-1.8856536,-1.5762349,-1.4006529,-2.4335029,7,5,7,6,2,2,3,6,5,7,7,4,6,4,2,7,4,8,6,6,-0.79340211,0.51493344,2.7034482,1.3920959,1.3113523
-17.212899,0.99988781,0.12895291,3,7,0,17.363405,0.38158254,2.2172937,0.84608055,1.3712131,-1.4413013,-1.4413013,-1.1866273,-1.3054931,-1.8576263,-1.4050775,-1.8398683,-1.62028,-1.4050775,-2.3668994,5,7,6,3,4,4,6,4,5,6,7,8,6,5,6,7,5,6,4,8,-0.69561473,0.54945052,1.4138425,0.77683648,0.63700599
-20.630158,0.8536272,0.23737264,3,7,0,21.568891,0.50685099,6.2148158,3.1499856,3.0648303,-1.4796222,-1.4796222,-1.2111137,-1.230645,-2.1725209,-1.356147,-2.2268012,-1.3697407,-1.356147,-2.9698474,7,4,6,8,4,7,4,8,6,3,5,6,7,6,4,7,8,8,6,7,-4.2184047,0.056418814,1.0714973,0.060452608,1.0110447
