# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-05-20 08:30:47 UTC
# method = sample (Default)
#   sample
#     num_samples = 1100
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpEolbn8/standata-14bad1115d7e4.json
# init = 2 (Default)
# random
#   seed = 758377417
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202605201030-2-99d127.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202605201030-2-41b2d3.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-22.953474,1,0.5,2,3,0,28.962684,0.71124708,0.70942036,0.50457316,0.2048472,-1.8647079,-1.8647079,-1.541562,-1.5768187,-2.3518043,-1.6994006,-2.4158398,-1.5193283,-1.6994006,-2.6715584,4,8,7,4,4,7,5,6,2,8,6,7,5,4,6,4,8,8,5,7,-1.8221189,0.71291094,0.91698706,0.6537301,0.26325696
-22.953474,0,14.38551,0,1,1,23.076677,0.71124708,0.70942036,0.50457316,0.2048472,-1.8647079,-1.8647079,-1.541562,-1.5768187,-2.3518043,-1.6994006,-2.4158398,-1.5193283,-1.6994006,-2.6715584,5,8,7,7,4,5,7,8,3,8,3,6,8,5,2,5,7,5,4,8,-1.8221189,0.88859563,1.5725901,1.3973967,0.17519341
-22.953474,9.7235379e-242,2.4311673,1,2,1,24.844541,0.71124708,0.70942036,0.50457316,0.2048472,-1.8647079,-1.8647079,-1.541562,-1.5768187,-2.3518043,-1.6994006,-2.4158398,-1.5193283,-1.6994006,-2.6715584,7,5,4,8,4,6,7,6,2,7,7,7,7,8,4,3,8,4,5,7,-1.8221189,0.47095265,5.2932849,2.4928865,2.8003983
-23.047313,0.99694069,0.23979141,1,1,0,23.192675,0.71366508,0.69945371,0.49917569,0.20027803,-1.868405,-1.868405,-1.5448915,-1.5804078,-2.3532555,-1.7029975,-2.4170748,-1.522448,-1.7029975,-2.6689971,8,6,8,7,3,2,7,7,3,8,8,4,8,7,1,6,8,8,6,8,-1.8720435,0.82400823,1.7593752,1.4497397,0.30963556
-20.505375,0.99222107,0.32150981,3,7,0,23.768508,0.049510042,2.058573,0.10192004,1.9566529,-1.4252676,-1.4252676,-1.0947276,-1.3818284,-1.4773933,-1.414649,-1.4510401,-3.0607635,-1.414649,-1.8113762,4,4,8,4,3,6,5,8,6,5,2,3,8,8,3,7,6,8,6,7,-2.2140688,0.086395393,3.2580751,0.28148268,2.9765924
-20.955106,0.78317585,0.49107803,2,3,0,21.741908,0.067785546,1.0821003,0.073350761,1.0087496,-1.5250128,-1.5250128,-1.2000898,-1.4729664,-1.5812466,-1.5186097,-1.5580788,-2.5013131,-1.5186097,-1.8423474,3,4,4,7,2,3,8,7,4,6,5,4,5,8,7,1,6,7,7,8,-2.0291241,0.41356875,1.5033079,0.62172115,0.88158672
-23.059809,0.84273042,0.42999767,3,7,0,23.127246,0.60297286,7.2996886,4.4015141,2.8981745,-1.6214067,-1.6214067,-1.3007198,-1.2629353,-2.477826,-1.3994685,-2.6387205,-1.2589524,-1.3994685,-3.4331892,7,7,7,6,2,4,6,7,4,7,6,3,7,6,1,5,8,6,3,8,-5.2039132,0.34216123,4.8546746,1.6610814,3.1935932
-18.122914,1,0.46619,2,3,0,22.305951,0.17996005,1.4681667,0.26421136,1.2039554,-1.4508741,-1.4508741,-1.1597829,-1.3889172,-1.6204164,-1.4513301,-1.5887188,-2.1396089,-1.4513301,-1.9690587,5,6,7,6,7,5,7,7,8,7,5,3,6,6,4,5,2,6,5,6,-0.92259503,0.19226601,1.9118793,0.3675894,1.5442899
-17.135057,1,0.84855696,2,3,0,18.015746,0.28505007,2.7929169,0.79612114,1.9967957,-1.3723672,-1.3723672,-1.1109819,-1.2808518,-1.7008646,-1.3619876,-1.6682895,-1.8674196,-1.3619876,-2.1996113,4,5,3,5,5,5,6,6,5,6,8,4,6,5,4,4,6,8,7,6,-1.2747826,0.54112687,1.2503081,0.6765753,0.57373278
-17.135057,2.4670976e-21,1.5768537,1,1,0,17.979653,0.28505007,2.7929169,0.79612114,1.9967957,-1.3723672,-1.3723672,-1.1109819,-1.2808518,-1.7008646,-1.3619876,-1.6682895,-1.8674196,-1.3619876,-2.1996113,7,7,5,6,3,2,8,3,6,8,5,7,5,7,3,4,8,7,5,8,-1.2747826,0.74811371,2.4566375,1.8378442,0.61879332
-18.25045,0.99097345,0.12531129,4,15,0,18.595847,0.14215925,3.0374566,0.43180256,2.605654,-1.3528958,-1.3528958,-1.0546342,-1.3038265,-1.5188246,-1.3528475,-1.4831195,-2.5381387,-1.3528475,-1.9488635,4,8,7,7,4,4,7,8,7,7,8,4,4,6,6,5,5,8,6,8,-1.9984328,0.27080976,3.254355,0.88131109,2.3730439
-18.817257,0.99013464,0.23021076,2,3,0,18.838366,0.11759327,3.3201326,0.39042525,2.9297073,-1.3483869,-1.3483869,-1.0417421,-1.3039251,-1.4882137,-1.3466094,-1.4532787,-2.7475144,-1.3466094,-1.9134982,5,7,6,5,4,5,8,7,6,5,2,2,8,5,3,5,4,8,4,7,-2.4134714,0.33045998,1.8180212,0.60078325,1.2172379
-17.282985,0.98793448,0.42373786,2,3,0,19.015011,0.2592066,3.0665634,0.79487348,2.2716899,-1.3556354,-1.3556354,-1.0901255,-1.2741943,-1.660471,-1.3496397,-1.6254833,-1.9638935,-1.3496397,-2.1585499,5,6,7,6,6,4,8,5,4,7,4,8,7,8,7,4,7,7,5,8,-1.570112,0.33705148,2.6483838,0.89264167,1.7557421
-18.69383,0.50624705,0.77457415,1,3,0,18.902025,0.15185896,4.1122646,0.62448421,3.4877804,-1.3225858,-1.3225858,-1.0283413,-1.2735924,-1.5109645,-1.3229843,-1.4731014,-2.5650577,-1.3229843,-1.9793955,6,5,6,5,4,5,7,6,3,7,6,3,8,4,6,4,8,7,5,7,-2.9366994,0.72431891,1.908435,1.3823156,0.52611945
-17.706701,0.96221578,0.31432344,2,7,0,20.727195,0.40179934,1.4935776,0.60011847,0.89345909,-1.5056149,-1.5056149,-1.2464257,-1.366197,-1.890341,-1.467457,-1.8740611,-1.6021672,-1.467457,-2.3255738,6,6,6,7,2,4,7,6,5,8,7,6,4,3,5,8,7,8,4,5,-0.43133401,0.43626612,2.2357471,0.97538069,1.2603664
-17.169864,0.78310673,0.5310449,2,3,0,18.782674,0.31680112,1.8668263,0.59141265,1.2754136,-1.4338,-1.4338,-1.1725873,-1.3307549,-1.7602181,-1.4182073,-1.731738,-1.7601142,-1.4182073,-2.206008,7,7,6,8,5,4,6,7,4,8,6,3,6,7,3,7,5,6,5,7,-0.59821851,0.6607484,5.0850826,3.3599601,1.7251224
-18.320656,0.8053237,0.51450355,3,7,0,19.059811,0.12684631,2.3675386,0.30031354,2.067225,-1.3845982,-1.3845982,-1.0806027,-1.3360107,-1.5237474,-1.3836165,-1.4905029,-2.5461433,-1.3836165,-1.9154199,6,8,7,7,2,4,7,6,3,8,7,5,7,5,3,4,5,7,7,6,-1.5532273,0.78574336,6.0286001,4.7369325,1.2916676
-18.092151,0.98642586,0.53454726,2,3,0,18.785414,0.1409439,2.3360823,0.32925656,2.0068257,-1.3839883,-1.3839883,-1.0845303,-1.3330769,-1.538099,-1.3838485,-1.5042282,-2.4561568,-1.3838485,-1.9354714,6,7,7,6,2,8,7,7,8,8,7,5,6,8,5,6,7,8,5,8,-1.4420752,0.57764052,1.185446,0.68476166,0.50068437
-17.702728,0.85474311,0.96208125,1,1,0,18.408274,0.22637958,3.6493813,0.82614542,2.8232359,-1.3328741,-1.3328741,-1.0608634,-1.26329,-1.6085038,-1.3309008,-1.5710972,-2.1194316,-1.3309008,-2.1101391,5,7,6,7,2,4,7,8,7,7,6,7,6,5,4,5,8,8,4,6,-2.1941947,0.56609271,9.3620425,5.299784,4.0622585
-17.702728,0.14221606,1.1556907,1,3,0,20.232025,0.22637958,3.6493813,0.82614542,2.8232359,-1.3328741,-1.3328741,-1.0608634,-1.26329,-1.6085038,-1.3309008,-1.5710972,-2.1194316,-1.3309008,-2.1101391,5,4,6,4,1,4,5,8,4,8,6,8,8,8,4,5,5,6,3,6,-2.1941947,0.37058036,1.3948279,0.51689584,0.87793209
-17.491458,0.99368677,0.16551478,4,15,0,18.746092,0.43250228,2.3275987,1.0066918,1.320907,-1.4698404,-1.4698404,-1.2138325,-1.3030242,-1.9503828,-1.4114177,-1.9468965,-1.5285869,-1.4114177,-2.4967951,8,8,7,8,3,3,8,7,6,7,6,8,5,6,2,5,6,6,2,8,-0.72957495,0.66093624,2.8127133,1.8590241,0.95368915
-17.73517,0.97248349,0.30368184,3,7,0,18.147402,0.33382679,1.3652028,0.45574125,0.9094615,-1.4888395,-1.4888395,-1.2251543,-1.3812683,-1.7963974,-1.4714412,-1.76994,-1.7211404,-1.4714412,-2.1883896,7,7,6,8,1,6,8,5,2,8,5,7,6,8,3,4,5,7,2,8,-0.54028344,0.88080143,1.8906721,1.6653067,0.2253654
-17.44858,0.97545667,0.51861127,2,3,0,18.524001,0.34868886,3.4155096,1.1909502,2.2245594,-1.3781701,-1.3781701,-1.1263824,-1.2553338,-1.8007134,-1.3499066,-1.7775387,-1.6923313,-1.3499066,-2.3685748,5,5,6,6,6,5,6,6,5,7,4,6,4,4,4,1,7,7,6,5,-1.7175359,0.75426634,2.1255286,1.6032147,0.52231393
-17.115908,0.73838494,0.88564088,2,3,0,17.818658,0.26122884,2.3854268,0.62314227,1.7622845,-1.3850424,-1.3850424,-1.1177032,-1.3028062,-1.6737148,-1.3791479,-1.6398822,-1.9317189,-1.3791479,-2.135305,8,6,7,5,2,5,7,5,4,7,6,7,6,6,2,5,5,8,7,8,-1.0106501,0.45645027,2.7471266,1.2539267,1.4931999
-17.663016,0.66546033,0.75706184,2,3,0,18.087329,0.44056177,2.7934613,1.2306922,1.562769,-1.4585696,-1.4585696,-1.20307,-1.2821935,-1.97283,-1.3929356,-1.9747887,-1.5062302,-1.3929356,-2.562516,5,5,5,7,3,3,8,5,3,7,3,4,8,6,3,3,8,7,5,8,-1.0851315,0.76557773,2.4744169,1.8943585,0.58005843
-17.767722,0.99169919,0.52693985,2,3,0,17.906159,0.45559319,2.7492628,1.2525454,1.4967174,-1.4727878,-1.4727878,-1.21519,-1.2862775,-2.003289,-1.3993154,-2.0109482,-1.4835471,-1.3993154,-2.5993204,5,6,7,6,5,3,8,4,8,8,6,6,5,5,6,4,8,7,3,7,-1.0420624,0.78695032,2.2567603,1.7759583,0.48080205
-17.767722,0.010461716,0.93003101,1,3,0,19.367633,0.45559319,2.7492628,1.2525454,1.4967174,-1.4727878,-1.4727878,-1.21519,-1.2862775,-2.003289,-1.3993154,-2.0109482,-1.4835471,-1.3993154,-2.5993204,4,3,6,5,4,4,2,8,6,5,6,4,7,7,4,2,8,7,3,7,-1.0420624,0.2446516,1.159377,0.28364344,0.87573356
-17.169581,0.99999579,0.10331557,4,15,0,17.945452,0.31143935,2.9292863,0.912295,2.0169912,-1.3761727,-1.3761727,-1.1192519,-1.2730119,-1.7398391,-1.3596835,-1.7102055,-1.7900243,-1.3596835,-2.2608443,3,6,6,4,4,3,7,8,6,6,3,3,5,7,4,5,6,8,5,5,-1.3397481,0.18160723,2.4439074,0.44383125,2.0000761
-17.273503,0.99536309,0.18743048,4,15,0,17.715822,0.2540693,1.8492764,0.46984436,1.379432,-1.4186791,-1.4186791,-1.1472312,-1.3387068,-1.6788352,-1.4142087,-1.6458863,-1.9286103,-1.4142087,-2.0956058,3,4,6,4,2,4,5,8,5,7,4,7,7,5,3,6,4,4,7,7,-0.7243754,0.17593507,3.5469773,0.62403771,2.9229396
-18.881008,0.9509736,0.33239071,3,7,0,19.132379,0.10603576,2.9345205,0.3111641,2.6233564,-1.3639849,-1.3639849,-1.0531422,-1.3200328,-1.4866595,-1.3610992,-1.453258,-2.7857257,-1.3610992,-1.8918672,7,8,7,6,3,7,8,7,5,7,6,4,7,4,4,3,7,8,4,7,-2.1606307,0.72989601,1.1599275,0.84662644,0.31330105
-19.273298,0.74563436,0.51704615,2,3,0,20.312279,0.14315178,1.1301393,0.16178146,0.96835787,-1.5021453,-1.5021453,-1.1989308,-1.443817,-1.6233184,-1.5019223,-1.5951214,-2.2038549,-1.5019223,-1.91776,7,5,5,8,5,7,4,8,3,6,6,8,3,5,8,5,6,8,2,5,-1.3063566,0.68402174,1.9670743,1.3455216,0.6215527
-18.95632,0.99474291,0.4571236,2,7,0,20.675127,0.55389102,2.9442105,1.6307718,1.3134387,-1.5739454,-1.5739454,-1.28894,-1.3044419,-2.2377831,-1.4307169,-2.3040548,-1.3601558,-1.4307169,-2.9225651,4,5,3,3,1,5,8,3,3,7,7,7,7,6,3,3,7,7,6,7,-1.2109157,0.89719439,1.1154629,1.0007871,0.11467584
