# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-05-20 08:32:53 UTC
# method = sample (Default)
#   sample
#     num_samples = 1100
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpEolbn8/standata-14bad70bbc926.json
# init = 2 (Default)
# random
#   seed = 982786893
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202605201032-1-065ba9.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202605201032-1-805dbf.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-18.721871,1.4653484e-157,2,1,3,1,19.070297,0.37374237,6.4969889,2.4282001,4.0687889,-1.2061367,-1.6656194,-1.1026158,-0.98727537,-1.8536343,-1.6683887,-1.7292766,-1.3282093,-1.212414,-1.8536343,2,4,5,8,5,3,3,4,7,7,5,7,5,7,6,1,4,3,3,7,-4.5338238,0.27288884,1.8490837,0.50459432,1.3444894
-18.721871,0,2.3350648,0,1,1,18.760958,0.37374237,6.4969889,2.4282001,4.0687889,-1.2061367,-1.6656194,-1.1026158,-0.98727537,-1.8536343,-1.6683887,-1.7292766,-1.3282093,-1.212414,-1.8536343,2,3,8,8,4,4,7,2,6,4,4,6,8,8,4,3,6,3,6,4,-4.5338238,0.46901718,0.73343344,0.34399289,0.38944055
-17.106162,1,0.23023585,2,3,0,18.893076,0.45149662,4.0078225,1.8095183,2.1983042,-1.2484642,-1.5516456,-1.1855002,-1.036759,-2.0114938,-1.7946733,-1.5653852,-1.2673243,-1.2415618,-2.0114938,3,8,8,7,5,2,3,1,4,6,5,5,8,6,8,3,4,4,6,7,-2.1843597,0.43282169,1.6099526,0.69682238,0.91313018
-16.672846,0.99747991,0.23979141,3,7,0,17.375953,0.47822812,3.0691635,1.4677603,1.6014032,-1.2786722,-1.5319828,-1.2238063,-1.0737776,-2.0584432,-1.8214201,-1.5193402,-1.2589069,-1.2708272,-2.0584432,4,7,8,8,6,1,4,5,6,4,1,5,6,8,5,1,5,6,7,7,-1.3104387,0.14575161,4.5366162,0.6612191,3.8753971
-18.131548,0.88646225,0.32200552,2,5,0,18.339738,0.31612104,0.95175265,0.30086904,0.65088361,-1.4527905,-1.8123277,-1.2799037,-1.2302074,-1.7996492,-1.4147956,-1.7870069,-1.4889644,-1.466111,-1.7996492,2,5,6,4,5,4,4,4,6,3,4,6,7,7,8,2,5,2,4,7,-1.0190877,0.49433026,1.7241334,0.8522913,0.87184207
-17.101739,1,0.35884795,2,3,0,18.19429,0.28172751,1.3931609,0.39249174,1.0006691,-1.3812379,-1.8460649,-1.20002,-1.1766483,-1.7311542,-1.3923363,-1.8585935,-1.4839051,-1.4096815,-1.7311542,2,4,8,3,6,1,4,3,6,3,3,4,6,4,3,2,6,5,3,7,-0.62479692,0.4901745,0.9167691,0.44937683,0.46739227
-16.628997,0.95525245,0.6051628,1,3,0,17.61573,0.50038162,1.8032765,0.90232643,0.90095011,-1.3494561,-1.5532989,-1.2864122,-1.1494499,-2.0705469,-1.7934787,-1.4987116,-1.2858687,-1.343163,-2.0705469,4,5,7,5,4,4,1,4,6,7,1,7,2,6,3,2,6,3,4,8,-0.43137397,0.41048646,1.8106365,0.74324176,1.0673947
-17.639437,0.63804784,0.9365665,2,3,0,17.80416,0.63997888,1.8155315,1.1619018,0.65362969,-1.3957123,-1.4556833,-1.3966357,-1.2578566,-2.3898346,-2.0506961,-1.3149579,-1.1979231,-1.4017168,-2.3898346,1,5,7,6,7,5,4,6,5,8,2,5,6,5,7,3,2,2,6,8,-0.51705129,0.52236314,4.7495765,2.4810037,2.2685728
-16.502981,0.98764019,0.55026124,2,3,0,17.764778,0.48605529,1.9781423,0.96148654,1.0166558,-1.3332723,-1.5577819,-1.2668512,-1.1291455,-2.0479524,-1.780964,-1.5168262,-1.2872158,-1.3266008,-2.0479524,1,8,8,8,4,3,5,2,5,3,2,5,8,7,7,3,1,2,6,3,-0.50350407,0.12730801,1.0603851,0.13499551,0.92538954
-17.12671,0.51774749,0.98133817,1,1,0,17.511865,0.48709158,1.2994314,0.63294208,0.66648929,-1.3999792,-1.6034199,-1.315861,-1.1939496,-2.0263217,-1.719557,-1.5339155,-1.332471,-1.395057,-2.0263217,3,6,4,7,6,2,5,4,6,8,4,7,6,2,7,5,4,2,4,6,-0.45482184,0.060671314,2.1581099,0.13093536,2.0271745
-16.575505,0.99545613,0.40066848,3,7,0,17.70984,0.38618468,3.2513613,1.2556259,1.9957354,-1.2608571,-1.6562141,-1.1536888,-1.0407761,-1.8693566,-1.6477264,-1.690142,-1.3385425,-1.263562,-1.8693566,1,6,4,6,5,1,3,5,6,6,2,7,4,7,5,1,4,3,7,3,-1.5248557,0.63924384,1.640691,1.0488016,0.59188939
-16.569958,0.77692883,0.74558519,2,3,0,17.231432,0.28381269,2.2016558,0.62485786,1.576798,-1.3102845,-1.8422487,-1.1367989,-1.1137829,-1.7078433,-1.4284816,-1.8824929,-1.457076,-1.3441097,-1.7078433,3,7,5,5,6,1,2,5,7,6,3,5,6,8,3,2,3,1,2,3,-0.83495198,0.79357442,4.5510489,3.611596,0.9394529
-18.373868,0.58631098,0.69877444,1,3,0,19.154842,0.65444751,3.5233744,2.3058636,1.2175108,-1.3365315,-1.3737621,-1.37569,-1.2172344,-2.5557166,-2.1983346,-1.2475309,-1.1220198,-1.342822,-2.5557166,4,8,7,8,8,3,6,5,7,1,2,8,5,7,5,2,4,3,6,8,-1.8213536,0.045339517,0.77309237,0.035051634,0.73804074
-17.444165,0.95411541,0.36181038,2,3,0,19.353284,0.40357224,1.1048255,0.44587688,0.65894859,-1.4216889,-1.7010338,-1.292379,-1.1984335,-1.8966759,-1.5622918,-1.6576439,-1.4092151,-1.4213126,-1.8966759,2,5,5,6,7,5,1,1,6,6,2,6,6,4,5,3,3,2,7,5,-0.66230527,0.84404603,2.7563063,2.3264494,0.42985692
-17.444165,0.095226954,0.59578724,1,1,0,21.167079,0.40357224,1.1048255,0.44587688,0.65894859,-1.4216889,-1.7010338,-1.292379,-1.1984335,-1.8966759,-1.5622918,-1.6576439,-1.4092151,-1.4213126,-1.8966759,4,8,7,5,8,3,2,1,6,2,3,2,7,8,3,6,3,3,5,5,-0.66230527,0.28088296,0.80680446,0.22661763,0.58018683
-17.149949,0.99978659,0.068306769,4,15,0,17.665323,0.43387166,1.2264627,0.53212743,0.6943353,-1.4036786,-1.6591447,-1.292316,-1.1850356,-1.9391879,-1.6239698,-1.6110162,-1.3756304,-1.4006007,-1.9391879,6,7,6,8,7,1,2,2,6,4,1,6,6,7,6,1,1,1,8,7,-0.52037445,0.20240055,1.4650696,0.29653088,1.1685387
-16.378877,0.99885366,0.13074892,3,7,0,17.525344,0.36952641,1.8541155,0.68514464,1.1689709,-1.3305225,-1.703214,-1.2004272,-1.1092535,-1.8385981,-1.5648619,-1.7114657,-1.3868521,-1.3359444,-1.8385981,3,7,7,6,6,1,3,6,5,5,2,4,7,6,7,3,6,5,5,5,-0.51972964,0.6885756,3.607665,2.4841501,1.1235149
-16.99696,0.97081196,0.24782049,2,7,0,17.925595,0.57281681,1.9956756,1.1431565,0.85251907,-1.3559245,-1.4830453,-1.3325621,-1.1858616,-2.2385494,-1.9428188,-1.3908437,-1.2261199,-1.3531809,-2.2385494,2,5,5,6,4,2,3,2,7,7,3,5,7,6,4,3,1,2,5,3,-0.53275556,0.69129711,1.4314687,0.98957016,0.44189853
-16.756846,1,0.42796012,1,1,0,16.975994,0.53982435,2.0930368,1.1298722,0.96316457,-1.3389999,-1.5029807,-1.3020733,-1.1548193,-2.1675387,-1.8888227,-1.4340063,-1.2430849,-1.333498,-2.1675387,3,7,7,7,4,3,3,3,3,6,3,4,6,7,6,2,3,4,6,5,-0.56944122,0.36045475,3.2919954,1.1866154,2.10538
-18.123252,0.65050949,0.80074919,1,3,0,18.490426,0.36598852,5.6355387,2.0625424,3.5729962,-1.2147403,-1.681631,-1.1042919,-0.99653946,-1.8361591,-1.6450529,-1.7436057,-1.3399371,-1.2230542,-1.8361591,5,6,7,6,8,6,2,4,3,4,3,7,8,6,5,2,2,3,3,6,-3.7703325,0.6054433,1.661924,1.0062007,0.65572324
-17.945381,0.7895377,0.52353785,2,3,0,21.26411,0.56062076,1.0952963,0.61404586,0.48125047,-1.446566,-1.5764537,-1.3858265,-1.2644979,-2.1434505,-1.8094296,-1.4558321,-1.3125091,-1.4460246,-2.1434505,5,7,8,7,5,2,4,2,6,5,2,4,7,8,8,2,1,2,6,8,-0.65126217,0.33634711,5.9372831,1.996988,3.9402951
-17.542012,1,0.52026387,2,3,0,18.151586,0.29590409,4.4778638,1.3250182,3.1528455,-1.2346461,-1.8264575,-1.076303,-1.0390912,-1.7077134,-1.4931214,-1.8948168,-1.4225035,-1.2692242,-1.7077134,2,6,4,6,7,2,4,4,7,7,3,6,5,7,5,1,3,2,8,5,-2.8010071,0.60282654,2.8999867,1.748189,1.1517978
-17.345113,0.33345032,0.95874438,1,3,0,18.263943,0.52003922,3.8804787,2.0180011,1.8624776,-1.2676646,-1.4709348,-1.2436322,-1.0789364,-2.1758752,-1.9310363,-1.4434291,-1.2099789,-1.2592765,-2.1758752,3,8,6,7,7,4,3,4,5,6,4,7,6,8,6,4,3,2,7,4,-2.0565301,0.50051009,2.3859466,1.1941904,1.1917563
-19.196287,0.94463975,0.25202285,3,7,0,19.557496,0.26943015,0.78542886,0.21161822,0.57381065,-1.4987206,-1.8806665,-1.3023689,-1.2810933,-1.7755131,-1.3351643,-1.8510903,-1.5432719,-1.5208746,-1.7755131,1,5,6,7,4,3,3,2,6,6,5,8,8,8,6,4,8,1,7,3,-1.5651086,0.52003096,3.1858325,1.6567316,1.529101
-16.340964,1,0.39455444,2,7,0,19.001599,0.44476622,2.2354335,0.9942453,1.2411882,-1.3098135,-1.5930236,-1.2260379,-1.095416,-1.9725559,-1.7209101,-1.5810091,-1.3091582,-1.3045366,-1.9725559,1,6,6,8,7,3,2,4,5,5,1,7,8,6,6,5,2,3,5,6,-0.6618096,0.8846392,1.7317356,1.5319612,0.19977441
-17.423549,0.51859672,0.71823121,1,1,0,17.473604,0.40418788,1.1118295,0.449388,0.66244148,-1.4204698,-1.6997342,-1.2916677,-1.1973144,-1.8973733,-1.5640396,-1.6566041,-1.408034,-1.4200283,-1.8973733,3,6,5,7,5,3,4,3,8,3,3,8,4,7,6,3,4,3,6,7,-0.65321163,0.22645355,2.81957,0.63850163,2.1810683
-17.023977,0.99055851,0.33098857,3,7,0,18.064673,0.27709212,1.4644522,0.40578815,1.058664,-1.3730532,-1.8532333,-1.1903347,-1.1717196,-1.7221533,-1.3884602,-1.8700119,-1.4847724,-1.4040243,-1.7221533,3,2,6,5,6,2,4,5,5,7,5,8,3,6,3,3,2,4,7,2,-0.61766319,0.51257451,6.2178142,3.1870931,3.0307212
-17.033169,1,0.58187533,2,3,0,17.227967,0.24006547,1.7113059,0.41082544,1.3004804,-1.352625,-1.9224368,-1.1532338,-1.1787305,-1.6678541,-1.3375219,-1.9528564,-1.5113122,-1.4033757,-1.6678541,3,4,4,5,7,2,3,5,3,6,2,7,7,8,7,2,3,3,6,6,-0.72125889,0.61368601,1.4430733,0.88559389,0.55747939
-17.033169,0.0079352102,1.0403212,1,1,0,17.858757,0.24006547,1.7113059,0.41082544,1.3004804,-1.352625,-1.9224368,-1.1532338,-1.1787305,-1.6678541,-1.3375219,-1.9528564,-1.5113122,-1.4033757,-1.6678541,3,4,5,8,8,3,2,3,6,6,2,5,6,8,6,1,4,3,8,7,-0.72125889,0.55172727,5.3412703,2.9469245,2.3943458
-16.997464,0.99660353,0.11897311,4,15,0,17.638497,0.35465078,3.9455113,1.3992787,2.5462326,-1.2418719,-1.7065269,-1.118969,-1.0247668,-1.8117184,-1.6008046,-1.7593804,-1.362333,-1.2529177,-1.8117184,1,7,6,8,6,2,3,2,5,4,4,7,6,7,3,5,3,5,6,8,-2.2044498,0.70750488,1.8507609,1.3094224,0.54133853
-17.641374,0.97383856,0.21150355,3,7,0,19.277369,0.63492379,2.573621,1.6340532,0.93956778,-1.3534084,-1.4150711,-1.3703596,-1.2184195,-2.440279,-2.1071939,-1.2924407,-1.1615067,-1.357409,-2.440279,2,8,7,8,6,2,1,3,3,7,5,5,5,4,6,5,3,3,4,7,-0.96842123,0.62017879,3.0097498,1.866583,1.1431668
-16.972487,0.99164236,0.35011044,2,3,0,18.183872,0.55574328,1.7305003,0.96171395,0.7687864,-1.3698563,-1.512637,-1.3314999,-1.1907191,-2.1824872,-1.8866503,-1.4232356,-1.2530878,-1.3662943,-2.1824872,5,6,5,8,6,1,3,2,6,6,1,5,6,6,5,3,4,4,8,4,-0.42314134,0.43548044,1.1905826,0.51847542,0.67210715
-16.845897,1,0.60301089,2,3,0,17.046856,0.24453344,2.1047335,0.51467773,1.5900558,-1.321794,-1.9203024,-1.1264677,-1.1510237,-1.6590777,-1.3568666,-1.9611982,-1.4987702,-1.3744308,-1.6590777,4,5,7,7,6,3,3,4,2,7,3,6,7,8,7,4,3,3,8,5,-0.87225423,0.78730974,1.8068633,1.4225611,0.38430222
-16.365521,1,1.0526792,1,1,0,16.610159,0.37989381,2.7388462,1.0404707,1.6983755,-1.2791865,-1.671648,-1.1644927,-1.0588727,-1.8558405,-1.6209717,-1.6993425,-1.3530792,-1.2830772,-1.8558405,5,8,7,6,3,4,7,4,7,5,1,4,5,8,6,2,2,3,6,7,-1.0849783,0.19174427,0.81484214,0.15624131,0.65860083
-16.365521,0.00064259129,1.8212152,1,3,1,16.871686,0.37989381,2.7388462,1.0404707,1.6983755,-1.2791865,-1.671648,-1.1644927,-1.0588727,-1.8558405,-1.6209717,-1.6993425,-1.3530792,-1.2830772,-1.8558405,4,3,6,6,4,3,2,1,5,7,2,3,7,6,7,2,4,4,7,7,-1.0849783,0.60150767,2.7095409,1.6298096,1.0797313
-16.82614,0.93681761,0.22565082,3,7,0,19.105348,0.48111845,1.480651,0.71236851,0.76828247,-1.3765327,-1.5927823,-1.2954664,-1.1695323,-2.0221619,-1.7297855,-1.5355751,-1.3208257,-1.3710421,-2.0221619,3,4,3,5,8,4,4,2,5,6,4,5,7,7,4,6,4,3,5,5,-0.39503445,0.89389245,2.3607911,2.1102934,0.25049777
-16.539795,0.99304984,0.33219209,2,7,0,17.16801,0.34124368,1.6792427,0.57303096,1.1062118,-1.346019,-1.7487722,-1.1985374,-1.1270707,-1.7983769,-1.5064254,-1.7596636,-1.4186212,-1.3576668,-1.7983769,4,4,6,8,6,3,3,1,4,7,2,5,7,8,4,7,4,2,5,5,-0.50604791,0.63937206,7.1152754,4.5493083,2.5659671
-17.008019,0.96160547,0.56221308,2,3,0,17.14481,0.56974703,2.494973,1.4215034,1.0734695,-1.3278407,-1.4610407,-1.3133928,-1.1585883,-2.2592151,-1.9733819,-1.381915,-1.2057772,-1.3239329,-2.2592151,2,6,5,5,7,4,1,2,7,8,4,6,6,7,7,4,5,6,5,8,-0.85205212,0.7564426,1.0178024,0.76990912,0.24789332
-16.594339,1,0.87052774,1,1,0,16.984315,0.50427831,2.5226779,1.2721318,1.2505461,-1.3062485,-1.5179581,-1.2588534,-1.1093546,-2.1038419,-1.8482457,-1.4804376,-1.2522274,-1.2987531,-2.1038419,3,7,5,5,5,2,3,2,4,5,2,6,6,8,6,3,3,3,3,5,-0.85352982,0.52376409,2.7601065,1.4456447,1.3144618
