# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-05-20 08:32:58 UTC
# method = sample (Default)
#   sample
#     num_samples = 1100
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpEolbn8/standata-14bad306d73b4.json
# init = 2 (Default)
# random
#   seed = 1623530004
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202605201032-1-34acbe.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202605201032-1-3ab58a.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-28.066383,0,2,0,1,1,28.222872,0.84365192,0.30580471,0.25799273,0.047811981,-1.7863928,-1.8273189,-1.7303038,-1.6944304,-2.378701,-1.8602986,-1.5205114,-1.5067244,-1.8441621,-2.378701,2,7,5,7,2,2,5,4,3,8,3,5,6,4,5,1,3,2,5,4,-6.3283447,0.3256459,3.3544872,1.092375,2.2621122
-28.066383,0,2.3350648,0,1,1,29.36049,0.84365192,0.30580471,0.25799273,0.047811981,-1.7863928,-1.8273189,-1.7303038,-1.6944304,-2.378701,-1.8602986,-1.5205114,-1.5067244,-1.8441621,-2.378701,3,8,6,8,4,2,5,4,6,6,7,6,6,6,2,6,1,1,7,5,-6.3283447,0.30455917,4.2055907,1.2808512,2.9247395
-27.429895,1,0.23023585,1,1,0,28.357998,0.82852404,0.32149719,0.26636815,0.05512904,-1.7724171,-1.8126974,-1.7157907,-1.6758766,-2.3701119,-1.8586407,-1.5122639,-1.4960318,-1.8265408,-2.3701119,3,4,6,8,4,1,2,2,7,7,3,2,2,5,8,7,4,2,3,8,-5.9332238,0.41499717,0.75874912,0.31487873,0.44387039
-21.779449,1,0.23979141,3,7,0,27.105953,0.81085529,0.78216042,0.63421892,0.1479415,-1.6051842,-1.5791921,-1.6032234,-1.5336252,-2.5797038,-2.1145932,-1.3077046,-1.2825255,-1.6472933,-2.5797038,2,5,7,5,6,6,4,4,6,5,1,2,6,3,5,1,2,1,7,7,-1.8260959,0.55814985,2.3841032,1.3306869,1.0534164
-21.7639,0.99314655,0.32433241,3,7,0,24.006723,0.1024002,6.4841024,0.66397341,5.820129,-1.2631179,-2.4507015,-0.98875705,-1.4929714,-1.4368732,-1.1291974,-2.4338776,-1.6685897,-1.4881916,-1.4368732,1,6,5,8,6,2,4,7,8,7,6,7,5,8,5,3,3,4,6,6,-5.457205,0.27942823,2.2694188,0.63413966,1.6352791
-16.999817,1,0.496947,2,3,0,22.002324,0.55814779,1.7114586,0.95524682,0.75621175,-1.3721952,-1.5123052,-1.3343937,-1.1939777,-2.1864713,-1.889054,-1.420805,-1.2528651,-1.3688759,-2.1864713,2,6,7,7,5,3,4,2,7,5,3,5,6,7,4,2,2,5,7,7,-0.4198372,0.46262352,2.0926097,0.96809047,1.1245193
-17.066111,0.99741789,0.84544771,1,1,0,17.361969,0.58195228,2.0062355,1.1675333,0.83870217,-1.3585528,-1.4761056,-1.3396753,-1.1928436,-2.2610947,-1.9608762,-1.3783106,-1.2197595,-1.3566936,-2.2610947,1,6,8,8,5,1,4,1,7,6,2,5,6,7,6,4,1,2,6,6,-0.54383786,0.023229695,1.1239718,0.026109523,1.0978623
-16.496608,0.33333333,1.5002419,1,3,1,16.936034,0.39672071,3.0825432,1.2229087,1.8596345,-1.2669783,-1.6414528,-1.1649125,-1.0470051,-1.8886523,-1.6634568,-1.6686965,-1.331102,-1.2675731,-1.8886523,4,7,6,8,5,3,3,2,5,1,6,4,6,7,7,6,3,3,4,5,-1.3639837,0.27969874,5.0382765,1.4091996,3.6290769
-16.632679,0.87365813,0.33984083,1,3,0,18.210742,0.38163172,1.5232874,0.5813348,0.94195264,-1.362026,-1.6984369,-1.2327171,-1.1394983,-1.8595487,-1.5647698,-1.6885564,-1.3925429,-1.364793,-1.8595487,2,3,5,5,8,2,3,3,5,5,6,8,7,6,4,1,4,2,8,5,-0.44714184,0.51705103,2.9929136,1.5474891,1.4454246
-17.752818,0.88049132,0.42188276,2,3,0,18.294427,0.62598719,1.4546984,0.91062254,0.54407582,-1.4203003,-1.4952213,-1.4027841,-1.2714292,-2.3153162,-1.9785609,-1.3528524,-1.2352015,-1.4253307,-2.3153162,4,6,7,8,5,4,2,6,8,6,1,2,8,6,4,4,1,1,6,4,-0.46341274,0.10753786,2.415036,0.25970781,2.1553282
