# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-05-20 08:32:10 UTC
# method = sample (Default)
#   sample
#     num_samples = 1100
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpEolbn8/standata-14bad2f6bffda.json
# init = 2 (Default)
# random
#   seed = 412475298
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202605201032-1-679d09.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202605201032-1-0edbe4.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-18.6497,0.89509048,0.5,2,3,0,18.953667,0.50920408,3.4426744,1.7530239,1.6896506,-1.3973327,-1.52702,-1.3494002,-1.3592931,-1.2412056,-1.7594539,-2.2147883,-1.8958949,-1.4957605,-2.6123335,6,5,7,5,3,7,4,1,7,4,6,5,6,5,5,6,4,4,7,6,-1.6468321,0.47694785,1.4545109,0.69372586,0.76078507
-18.6497,0,11.887375,0,1,1,20.416961,0.50920408,3.4426744,1.7530239,1.6896506,-1.3973327,-1.52702,-1.3494002,-1.3592931,-1.2412056,-1.7594539,-2.2147883,-1.8958949,-1.4957605,-2.6123335,3,6,5,4,2,4,3,3,7,2,2,4,5,4,1,7,4,3,6,8,-1.6468321,0.15364704,2.0392457,0.31332406,1.7259216
-18.6497,1.0331598e-93,1.8985633,1,1,0,19.399536,0.50920408,3.4426744,1.7530239,1.6896506,-1.3973327,-1.52702,-1.3494002,-1.3592931,-1.2412056,-1.7594539,-2.2147883,-1.8958949,-1.4957605,-2.6123335,6,5,5,1,2,6,5,4,3,6,8,6,3,1,2,6,4,2,7,7,-1.6468321,0.33067299,1.2912377,0.42697744,0.86426029
-20.067988,0.97442861,0.18131171,3,7,0,20.659332,0.45488691,6.1479197,2.7966082,3.3513115,-1.3354892,-1.5715999,-1.3461774,-1.2931995,-1.1666627,-1.6858964,-2.1213842,-1.8344993,-1.391676,-2.5763264,2,8,5,3,2,4,1,5,7,4,5,4,5,2,3,7,5,5,6,7,-4.166722,0.26392989,0.82259429,0.21710722,0.60548707
-19.596962,1,0.22340055,3,7,0,20.323847,0.48026936,5.1841128,2.4897705,2.6943422,-1.3553296,-1.5425082,-1.3386302,-1.3159538,-1.1952425,-1.7201148,-2.1771125,-1.8754401,-1.438634,-2.6139308,5,4,3,4,4,6,5,2,7,4,6,5,3,4,5,8,4,3,7,4,-3.2818112,0.62184964,2.5211557,1.5677798,0.95337593
-19.564719,0.92478491,0.3437441,2,3,0,21.6251,0.32012819,6.6457519,2.1274925,4.5182594,-1.2950746,-1.7984195,-1.4450722,-1.2328838,-1.0668745,-1.5318876,-1.7911439,-1.5594441,-1.1850524,-2.2910766,6,7,5,1,2,7,1,1,5,4,2,7,5,3,2,7,4,4,7,6,-4.736883,0.23264454,3.3063122,0.76919548,2.5371167
-17.664266,0.94773065,0.45991322,2,3,0,20.784364,0.12946104,2.9618851,0.38344873,2.5784364,-1.3569464,-2.1959836,-1.64823,-1.270144,-1.0551251,-1.4367297,-1.4230877,-1.1670772,-1.0699238,-1.9325568,5,7,6,5,2,5,1,2,6,3,7,7,3,3,2,7,1,3,6,4,-2.0112691,0.14222003,2.0397776,0.29009723,1.7496804
-17.16143,0.76141716,0.69214518,2,3,0,18.143611,0.22814746,1.654846,0.3775489,1.2772971,-1.4307525,-1.9514,-1.5930117,-1.3534398,-1.154247,-1.5503918,-1.5959729,-1.3159197,-1.2010204,-2.0360183,7,6,4,2,2,6,1,1,5,7,6,6,4,4,1,7,4,5,7,6,-0.74623914,0.03472954,2.5623695,0.088989915,2.4733796
-18.316337,0.83485579,0.59750415,2,3,0,18.667762,0.13144113,1.2672792,0.16657262,1.1007066,-1.4808281,-2.1102691,-1.6870681,-1.39437,-1.1760677,-1.5418718,-1.4728106,-1.1535496,-1.189023,-1.9198413,3,7,3,1,5,7,1,2,7,3,3,8,2,2,3,7,5,2,7,5,-1.2573939,0.14158049,1.3082646,0.18522474,1.1230398
-18.316337,0.4354219,0.65800101,1,3,0,20.238642,0.13144113,1.2672792,0.16657262,1.1007066,-1.4808281,-2.1102691,-1.6870681,-1.39437,-1.1760677,-1.5418718,-1.4728106,-1.1535496,-1.189023,-1.9198413,8,6,5,6,4,7,6,4,3,5,6,7,8,3,3,3,3,1,7,4,-1.2573939,0.50426107,1.3603687,0.68598098,0.67438774
