# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-05-20 08:32:06 UTC
# method = sample (Default)
#   sample
#     num_samples = 1100
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpEolbn8/standata-14bad2cf51058.json
# init = 2 (Default)
# random
#   seed = 1828646692
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202605201032-2-63f6a1.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202605201032-2-56d53a.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-22.015276,7.1428644e-07,1,1,3,0,23.175462,0.58077797,6.818335,3.9599388,2.8583962,-1.3892695,-1.4184241,-1.2703839,-1.366302,-1.2793316,-1.8732164,-2.4885174,-2.1137231,-1.6317443,-2.9164008,3,6,4,2,5,5,5,2,5,5,6,4,5,4,2,3,6,3,4,6,-4.7748366,0.44158385,2.9824995,1.3170236,1.6654759
-22.015276,0,2.3350678,0,1,1,23.964624,0.58077797,6.818335,3.9599388,2.8583962,-1.3892695,-1.4184241,-1.2703839,-1.366302,-1.2793316,-1.8732164,-2.4885174,-2.1137231,-1.6317443,-2.9164008,3,5,3,5,7,3,8,4,7,7,5,5,6,5,1,7,2,3,3,6,-4.7748366,0.75477776,1.950378,1.4721019,0.47827604
-19.6212,1,0.23023623,3,7,0,23.216155,0.57537232,1.0474128,0.60265231,0.44476045,-1.5775098,-1.6004555,-1.476646,-1.5331797,-1.4014036,-1.8505702,-2.1840474,-1.8240978,-1.6297738,-2.4541602,4,4,4,5,3,5,4,2,6,7,3,5,6,6,2,7,1,2,6,3,-0.72639826,0.49573176,2.4915206,1.2351259,1.2563947
-18.546064,0.99529594,0.23979186,4,15,0,20.22688,0.17313188,5.0650345,0.87691892,4.1881156,-1.3050519,-2.1253715,-1.591324,-1.2228477,-1.0177889,-1.4241916,-1.485902,-1.2602534,-1.0500481,-2.014753,5,6,5,5,5,5,6,5,5,8,4,5,5,6,2,6,5,3,7,7,-3.727081,0.59900443,4.1276146,2.4724594,1.6551552
-18.487837,0.98492183,0.32000314,3,7,0,19.973842,0.072066135,2.1623264,0.1558305,2.0064959,-1.4035948,-2.3029632,-1.7134631,-1.3121598,-1.0878528,-1.4441817,-1.3564918,-1.0638042,-1.0899627,-1.8572193,5,8,2,4,1,6,5,1,2,6,5,4,3,4,2,5,3,1,7,7,-1.9223621,0.48280229,0.83525093,0.40326106,0.43198987
-18.076575,0.71592102,0.47815709,2,3,0,21.110678,0.091354866,2.4542742,0.22420989,2.2300643,-1.3840583,-2.27129,-1.6911365,-1.2939797,-1.0724855,-1.4375029,-1.3749222,-1.097454,-1.0777687,-1.8805453,5,5,5,2,3,7,7,2,6,3,8,5,5,2,3,1,1,4,7,5,-1.9044583,0.34345583,1.4120522,0.48497755,0.92707463
-17.412124,0.99146427,0.34051925,2,7,0,18.727906,0.14026485,2.3937905,0.33576467,2.0580259,-1.3807965,-2.1498512,-1.6447349,-1.2951253,-1.0813764,-1.4626728,-1.4477775,-1.1812542,-1.0987544,-1.9404345,2,3,2,5,1,6,4,3,6,8,5,6,4,2,4,5,2,2,7,7,-1.4868702,0.66052654,4.4437519,2.9352161,1.5085359
-17.799489,0.51456473,0.58427486,2,3,0,19.915242,0.21482311,4.2036223,0.90303522,3.3005871,-1.3182576,-2.0143381,-1.5547503,-1.240999,-1.0448846,-1.4626109,-1.5646397,-1.3342242,-1.0951735,-2.072504,5,4,7,5,3,5,6,4,6,7,5,7,4,3,1,7,5,1,6,6,-2.7532671,0.72857799,2.2373779,1.6301043,0.60727361
-17.85904,0.99827211,0.23181025,3,15,0,18.287407,0.13456528,1.5188522,0.20438477,1.3144675,-1.4483897,-2.120045,-1.6722432,-1.3622401,-1.1455119,-1.5157935,-1.4635666,-1.1615374,-1.1597725,-1.9239877,5,6,4,4,1,6,3,2,6,7,6,6,3,3,1,7,1,3,8,4,-1.1536776,0.33066571,2.7406736,0.90624678,1.8344268
-18.188193,0.94124021,0.4257435,1,3,0,19.17891,0.086628801,2.5863856,0.22405549,2.3623301,-1.3785429,-2.2902651,-1.6946651,-1.2880024,-1.0659407,-1.4299296,-1.3653997,-1.0898646,-1.0703711,-1.875493,6,5,3,7,2,7,2,2,7,7,4,7,4,2,1,7,4,2,7,4,-2.0532446,0.6661067,3.0592736,2.0378027,1.021471
